year,month,genus,cellcount,Magnification,# of Transects,Field of View #,Total Cell Count,,
2000-5,5,Fragilaria,12,,,,,,
,,,,,,,,,
2000-7,7,Microcystis,39,,,,,,
2000-7,7,Cryptomonad,25,,,,,,
2000-7,7,Cyclotella,59,,,,,,
2000-7,7,Fragilaria,23,,,,,,
,,,,,,,,,
2000-8,8,Planktothrix,3,,,,,,
2000-8,8,Cryptomonad,28,,,,,,
2000-8,8,Cyclotella,37,,,,,,
2000-8,8,Fragilaria,4,,,,,,
,,,,,,,,,
2000-11,11,Cryptomonad,33,,,,,,
2000-11,11,Cyclotella,57,,,,,,
2000-11,11,Fragilaria,1,,,,,,
,,,,,,,,,
2001-2,2,Microcystis,72,,,,,,
2001-2,2,Cryptomonad,8,,,,,,
,,,,,,,,,
2001-4,4,Microcystis,7,,,,,,
2001-4,4,Cryptomonad,48,,,,,,
2001-4,4,Fragilaria,1,,,,,,
,,,,,,,,,
2001-5,5,Cryptomonad,5,,,,,,
2001-5,5,Fragilaria,7,,,,,,
,,,,,,,,,
2001-6,6,Cryptomonad,9,,,,,,
2001-6,6,Cyclotella,7,,,,,,
2001-6,6,Fragillaria,11,,,,,,
,,,,,,,,,
2001-7,7,Planktothrix,13,1000,,,,,
2001-7,7,Cryptomonad,7,,,,,,
2001-7,7,Fragilaria,4,,,,,,
,,,,,,,,,
2001-8,8,Planktothrix,51,1000,1,,,,
2001-8,8,Microcystis,79,,,,,,
2001-8,8,Cryptomonad,8,,,,,,
2001-8,8,Cyclotella,10,,,,,,
,,,,,,,,,
2001-11,11,Fragilaria,53,,,,,,
2001-11,11,Cyclotella,11,,,,,,
2001-11,11,Planktothrix,16,,,,,,
2001-11,11,Cryptomonad,1,,,,,,
,,,,,,,,,
,,,,,,,,,
2002-2,2,Cyclotella,79,1000,,,,,
2002-2,2,Planktothrix,5,,,,,,
2002-2,2,Cryptomonad,25,,1,,,,
2002-2,2,Fragilaria,8,,,,,,
,,,,,,,,,
,,,,,,,,,
2002-4,4,Cyclotella,38,,,,,,
2002-4,4,Planktothrix,15,,1,,,,
2002-4,4,Cryptomonad,91,,,,,,
2002-4,4,Fragilaria,96,,,,,,
,,,,,,,,,
,,,,,,,,,
2002-6,6,Cryptomonad,55,,1,,,,
2002-6,6,Cyclotella,35,,,,,,
2002-6,6,Fragilaria,109,,,,,,
,,,,,,,,,
2002-7,7,Planktothrix,18,,,,,,
2002-7,7,Microcystis,66,,1,,,,
2002-7,7,Cryptomonad,58,,,,,,
2002-7,7,Cyclotella,12,,,,,,
2002-7,7,Fragilaria,11,,,,,,
,,,,,,,,,
2002-8,8,Planktothrix,8,,,,,,
2002-8,8,Microcystis,103,,,,,,
2002-8,8,Cryptomonad,18,,,,,,
2002-8,8,Cyclotella,35,,,,,,
2002-8,8,Fragilaria,1,,,,,,
,,,,,,,,,
,,,,,,,,,
2002-11,11,Planktothrix,2,,,,,,
2002-11,11,Microcystis,261,,1,,,,
2002-11,11,Cryptomonad,27,,,,,,
2002-11,11,Cyclotella,309,,,,,,
2002-11,,Fragilaria,17,,,,,,
,,,,,,,,,
2003-3,3,Planktothrix,32,,,,,,
2003-3,3,Microcystis,126,,1,,,,
2003-3,3,Cryptomonad,49,,,,,,
2003-3,3,Cyclotella,17,,,,,,
2003-3,3,Fragilaria,1,,,,,,
,,,,,,,,,
2003-4,4,Cryptomonad,73,,,,,,
2003-4,4,Cyclotella,27,,,,,,
2003-4,4,Fragilaria,6,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,1,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
