,sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,X15,X16,X17,X18,X19,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,X1,lakeid,year4,group,depth,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2,totnf,totnuf,totpf,totpuf,drsif
21,7/1/99,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6657,SP,1999,iceoff,0,8.1,NA,8.38,8.47,3.3,3.67,1,NA,7,NA,131,181,1,4,2491
22,8/23/99,TotalBiovolume,NA,NA,NA,58570.67871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6738,SP,1999,iceoff,0,8.07,619,8.27,8.31,3.66,3.47,2,NA,6,8,178,223,4,5,2272
23,11/10/99,TotalBiovolume,NA,NA,NA,29393.12457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844,SP,1999,iceoff,0,7.54,651,8.57,8.66,3.34,3.27,1,NA,10,11.6,212,223,5,9,2545
24,2/22/00,TotalBiovolume,NA,NA,NA,19235.34559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6887,SP,2000,iceon,0,7.66,709,9.61,9.62,3.21,3.16,2,NA,60,14.4,226,282,6,9,2975
25,4/6/00,TotalBiovolume,NA,NA,NA,128642.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6909,SP,2000,iceoff,0,7.42,645,8.41,8.77,2.67,2.58,8,NA,12,11.7,242,279,2,7,3007
26,5/30/00,TotalBiovolume,NA,NA,NA,306599.4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6993,SP,2000,iceoff,0,8.16,NA,8.48,8.62,3.31,3.22,2,NA,50,9.7,171,249,1,4,2947
27,7/26/00,TotalBiovolume,NA,NA,NA,77778.75809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7077,SP,2000,iceoff,0,7.99,NA,8.4,8.54,3.78,3.93,0,NA,9,8.3,193,248,0,3,2138
28,8/21/00,TotalBiovolume,NA,NA,NA,76589.00186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7122,SP,2000,iceoff,0,8.36,633,8.2,8.34,4,4.22,1,NA,6,8.8,214,191,4,3,2386
29,11/16/00,TotalBiovolume,NA,NA,NA,95748.80998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248,SP,2000,iceoff,0,7.32,656,9.06,8.95,3.35,3.45,5,NA,47,10.2,226,268,3,9,2890
30,2/28/01,TotalBiovolume,NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7292,SP,2001,iceon,0,7.7,676,8.62,8.76,3.16,2.93,4,NA,56,12.5,293,266,4,14,2790
31,2/28/01,TotalBiovolume,NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7293,SP,2001,iceon,0,7.68,672,8.54,8.84,3.19,2.94,8,NA,61,12.5,243,297,3,14,3055
32,2/28/01,TotalBiovolume,NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7294,SP,2001,iceon,0,7.7,676,8.62,8.76,3.16,2.93,4,NA,56,NA,293,266,4,14,2790
33,2/28/01,TotalBiovolume,NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7295,SP,2001,iceon,0,7.68,672,8.54,8.84,3.19,2.94,8,NA,61,NA,243,297,3,14,3055
34,4/30/01,TotalBiovolume,NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7336,SP,2001,iceoff,0,7.9,645,8.49,8.8,3.46,3.26,13,NA,33,12.7,131,198,4,10,2857
35,4/30/01,TotalBiovolume,NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7337,SP,2001,iceoff,0,7.91,646,8.26,8.74,3.38,3.44,2,NA,2,12.7,117,194,3,8,2923
36,4/30/01,TotalBiovolume,NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7338,SP,2001,iceoff,0,7.9,645,8.49,8.8,3.46,3.26,13,NA,33,NA,131,198,4,10,2857
37,4/30/01,TotalBiovolume,NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7339,SP,2001,iceoff,0,7.91,646,8.26,8.74,3.38,3.44,2,NA,2,NA,117,194,3,8,2923
38,5/29/01,TotalBiovolume,NA,NA,NA,41235.72366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7378,SP,2001,iceoff,0,7.92,NA,8.4,8.11,3.28,3.16,13,NA,5,9.7,209,156,1,2,2592
39,6/26/01,TotalBiovolume,NA,NA,NA,134990.8154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diatoms.org,NA,NA,NA,NA,NA,7421,SP,2001,iceoff,0,8.22,NA,8.04,8.17,3.44,3.32,1,NA,5,10,242,215,6,9,2536
40,7/24/01,TotalBiovolume,NA,NA,NA,22145.11309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7463,SP,2001,iceoff,0,8.1,NA,8.4,8.28,3.5,3.53,1,NA,1,8.4,153,101,1,1,2649
41,8/20/01,TotalBiovolume,NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7505,SP,2001,iceoff,0,8.13,655,7.9,7.93,3.43,3.39,4,NA,54,8.4,191,219,0,1,2649
42,8/20/01,TotalBiovolume,NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7506,SP,2001,iceoff,0,NA,646,7.88,7.96,3.43,3.49,0,NA,0,8.4,224,238,0,0,2771
43,8/20/01,TotalBiovolume,NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7507,SP,2001,iceoff,0,8.13,655,7.9,7.93,3.43,3.39,4,NA,54,NA,191,219,0,1,2649
44,8/20/01,TotalBiovolume,NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7508,SP,2001,iceoff,0,NA,646,7.88,7.96,3.43,3.49,0,NA,0,NA,224,238,0,0,2771
45,11/15/01,TotalBiovolume,NA,NA,NA,139887.1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7631,SP,2001,iceoff,0,7.54,664,8.96,9.03,3.37,3.32,28,NA,43,10.5,188,196,7,11,2959
46,2/28/02,TotalBiovolume,NA,NA,NA,52925.62857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7674,SP,2002,iceon,0,8.1,705,9.01,9.14,3.35,3.28,22,NA,10,15.4,350,327,3,2,3057
47,4/23/02,TotalBiovolume,NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7719,SP,2002,iceoff,0,7.29,634,8.73,8.97,3.01,2.91,59,NA,33,11.7,302,311,11,21,2877
48,4/23/02,TotalBiovolume,NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7720,SP,2002,iceoff,0,7.28,611,8.66,8.96,2.91,2.92,62,NA,43,11.7,297,307,11,18,1860
49,4/23/02,TotalBiovolume,NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7721,SP,2002,iceoff,0,7.29,634,8.73,8.97,3.01,2.91,59,NA,33,NA,302,311,11,21,2877
50,4/23/02,TotalBiovolume,NA,NA,NA,127889.5355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7722,SP,2002,iceoff,0,7.28,611,8.66,8.96,2.91,2.92,62,NA,43,NA,297,307,11,18,1860
51,6/19/02,TotalBiovolume,NA,NA,NA,114042.3605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some sort of bluegreen in the family Chroococolaes.  Same as ?17,NA,NA,NA,NA,NA,7803,SP,2002,iceoff,0,7.97,NA,8.09,8.06,3.4,3.6,2,NA,12,9.1,267,302,6,7,2510
52,7/17/02,TotalBiovolume,NA,NA,NA,72801.22226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7845,SP,2002,iceoff,0,8.11,NA,8.33,8.36,3.45,3.39,11,NA,5,7.9,111,126,5,6,2455
53,8/14/02,TotalBiovolume,NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7887,SP,2002,iceoff,0,8.42,655,8.32,8.48,3.75,3.79,3,NA,9,8.3,268,290,3,9,2428
54,8/14/02,TotalBiovolume,NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7888,SP,2002,iceoff,0,8.37,650,8.35,8.48,3.67,3.54,0,NA,9,8.3,227,243,3,6,2428
55,8/14/02,TotalBiovolume,NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7889,SP,2002,iceoff,0,8.42,655,8.32,8.48,3.75,3.79,3,NA,9,NA,268,290,3,9,2428
56,8/14/02,TotalBiovolume,NA,NA,NA,45852.44843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7890,SP,2002,iceoff,0,8.37,650,8.35,8.48,3.67,3.54,0,NA,9,NA,227,243,3,6,2428
57,11/7/02,TotalBiovolume,NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8013,SP,2002,iceoff,0,7.39,665,8.66,8.73,3.27,3.12,7,NA,43,10,222,256,5,13,3131
58,11/7/02,TotalBiovolume,NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014,SP,2002,iceoff,0,7.4,661,8.66,8.74,3.28,3.16,3,NA,30,10,218,256,4,10,3067
59,11/7/02,TotalBiovolume,NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8015,SP,2002,iceoff,0,7.39,665,8.66,8.73,3.27,3.12,7,NA,43,NA,222,256,5,13,3131
60,11/7/02,TotalBiovolume,NA,NA,NA,79280.51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8016,SP,2002,iceoff,0,7.4,661,8.66,8.74,3.28,3.16,3,NA,30,NA,218,256,4,10,3067
61,3/6/03,TotalBiovolume,NA,NA,NA,39769.15413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8057,SP,2003,iceon,0,7.7,763,10.32,10.71,4.08,4.14,33,NA,149,14.2,379,312,7,10,2904
62,4/29/03,TotalBiovolume,NA,NA,NA,69635.17216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8101,SP,2003,iceoff,0,7.5,640,8.61,8.81,3.24,3.13,7,NA,36,12,401,428,9,10,2603
63,6/23/03,TotalBiovolume,NA,NA,NA,53497.5692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8185,SP,2003,iceoff,0,7.99,NA,7.94,8.02,3.94,3.97,3,NA,14,8.8,184,256,3,4,2318
64,7/21/03,TotalBiovolume,NA,NA,NA,76879.44305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8228,SP,2003,iceoff,0,7.94,NA,8.26,8.32,3.61,3.54,1,NA,7,8.5,172,195,2,3,2106
65,8/20/03,TotalBiovolume,NA,NA,NA,70854.36054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8270,SP,2003,iceoff,0,8.33,643,8.35,8.35,3.97,3.79,0,NA,11,8,186,213,3,4,1890
66,11/13/03,TotalBiovolume,NA,NA,NA,102362.2103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8396,SP,2003,iceoff,0,7.26,672,7.33,6.92,5.27,5.54,3,NA,25,10.5,306,258,3,7,2569
67,2/18/04,TotalBiovolume,NA,NA,NA,9708.792357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8440,SP,2004,iceon,0,7.39,733,10.06,10.01,3.39,3.33,33,NA,37,12.8,282,296,3,7,2956
68,4/30/04,TotalBiovolume,NA,NA,NA,124704.1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8484,SP,2004,iceoff,0,7.47,637,8.78,8.94,3.19,3.2,57,NA,13,11.2,334,325,11,10,2841
69,6/22/04,TotalBiovolume,NA,NA,NA,80990.95401,NA,NA,NA,NA,"94.9, 38.1",NA,NA,NA,NA,NA,NA,NA,NA,"111.7, 38.1",NA,Full,NA,NA,NA,NA,8568,SP,2004,iceoff,0,8.13,NA,8.21,8.31,3.55,3.47,1,NA,39,9.4,239,239,1,5,2405
70,7/21/04,TotalBiovolume,NA,NA,NA,38911.84667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8610,SP,2004,iceoff,0,7.96,NA,8.43,8.37,3.82,3.53,1,NA,20,8.7,201,234,1,3,2519
71,8/16/04,TotalBiovolume,NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8652,SP,2004,iceoff,0,8.25,642,8.28,8.2,3.65,3.65,0,NA,47,8.9,221,211,2,5,2461
72,8/16/04,TotalBiovolume,NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8653,SP,2004,iceoff,0,8.15,680,8.15,8.2,3.59,3.52,1,NA,40,8.9,226,191,4,6,2461
73,8/16/04,TotalBiovolume,NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8654,SP,2004,iceoff,0,8.25,642,8.28,8.2,3.65,3.65,0,NA,47,NA,221,211,2,5,2461
74,8/16/04,TotalBiovolume,NA,NA,NA,34815.18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8655,SP,2004,iceoff,0,8.15,680,8.15,8.2,3.59,3.52,1,NA,40,NA,226,191,4,6,2461
75,11/10/04,TotalBiovolume,NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8775,SP,2004,iceoff,0,7.41,652,8.55,8.7,3.14,3.12,12,NA,55,9.8,177,226,3,8,2783
76,11/10/04,TotalBiovolume,NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8776,SP,2004,iceoff,0,7.41,636,8.51,8.68,3.04,3.08,6,NA,22,9.8,205,237,4,8,2783
77,11/10/04,TotalBiovolume,NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8777,SP,2004,iceoff,0,7.41,652,8.55,8.7,3.14,3.12,12,NA,55,NA,177,226,3,8,2783
78,11/10/04,TotalBiovolume,NA,NA,NA,40141.8149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8778,SP,2004,iceoff,0,7.41,636,8.51,8.68,3.04,3.08,6,NA,22,NA,205,237,4,8,2783
79,4/20/05,TotalBiovolume,NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,SP,2005,iceoff,0,7.65,620,8.29,8.47,3.04,2.98,2,NA,5,12.2,167,201,3,7,2943
80,4/20/05,TotalBiovolume,NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8863,SP,2005,iceoff,0,7.65,616,8.31,NA,3.02,NA,3,NA,10,12.2,197,197,3,7,2866
81,4/20/05,TotalBiovolume,NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8864,SP,2005,iceoff,0,7.65,620,8.29,8.47,3.04,2.98,2,NA,5,NA,167,201,3,7,2943
82,4/20/05,TotalBiovolume,NA,NA,NA,120897.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8865,SP,2005,iceoff,0,7.65,616,8.31,NA,3.02,NA,3,NA,10,NA,197,197,3,7,2866
83,6/13/05,TotalBiovolume,NA,NA,NA,112841.9249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8947,SP,2005,iceoff,0,7.98,NA,9.1,9.21,3.64,3.67,2,NA,26,8.8,210,208,2,3,2712
84,7/12/05,TotalBiovolume,NA,NA,NA,66524.46203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8987,SP,2005,iceoff,0,8.2,NA,8.72,8.74,3.6,3.39,4,NA,68,8.6,210,198,4,2,2556
85,8/9/05,TotalBiovolume,NA,NA,NA,36120.08981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9027,SP,2005,iceoff,0,8.25,637,8.58,8.66,3.52,3.62,2,NA,9,8.6,185,248,2,4,2723
86,11/15/05,TotalBiovolume,NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9149,SP,2005,iceoff,0,7.4,669,9.06,9.33,3.45,3.53,2,NA,20,9.2,207,256,6,10,2933
87,11/15/05,TotalBiovolume,NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9150,SP,2005,iceoff,0,7.42,669,9.12,9.23,3.16,3.08,2,NA,21,9.2,191,255,4,10,2793
88,11/15/05,TotalBiovolume,NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9151,SP,2005,iceoff,0,7.4,669,9.06,9.33,3.45,3.53,2,NA,20,NA,207,256,6,10,2933
89,11/15/05,TotalBiovolume,NA,NA,NA,37769.78604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9152,SP,2005,iceoff,0,7.42,669,9.12,9.23,3.16,3.08,2,NA,21,NA,191,255,4,10,2793
90,2/13/06,TotalBiovolume,NA,NA,NA,13445.22755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9193,SP,2006,iceon,0,7.73,722,3.17,3.16,8.92,9.12,12,NA,49,13.6,0,303,2,8,3036
