"","X1.x","sampledate","depth.x","o2.x","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite","X1.y","Genus","Transect Cell Count","Magnification","Biovolume","CellBioVol","PerBioVol","# of Transects","Cell Count per cm2","Transect Length (cm)","Start XY","Taxa","WaterCol","Functional","X15","X16","X17","X18","X19","End XY","Notes","Field of View scope","Field of View #","Total Cell Count","Estimated Total","Estimated Mucilage Percent Coverage","X1_1","lakeid","year4","group","depth.y","ph","alk","dic","tic","doc","toc","no3no2","no2","nh4","o2.y","totnf","totnuf","totpf","totpuf","drsif"
"14",14,1982-04-05,0,13.4,NA,NA,NA,4,51,24.7,NA,26.3,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,"SP",1982,"iceon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA
"15",15,1982-05-12,0,10.5,570,265,0.465,NA,NA,NA,NA,NA,0.464912280701754,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,"SP",1982,"iceoff",0,7.44,545,NA,NA,NA,NA,0,0,NA,10.5,NA,NA,NA,NA,3584
"16",16,1982-05-27,0,7.9,410,350,0.854,NA,NA,NA,NA,NA,0.853658536585366,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
"17",17,1982-06-10,0,7.7,600,400,0.667,NA,NA,NA,NA,NA,0.666666666666667,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
"18",18,1982-06-23,0,NA,710,570,0.803,NA,NA,NA,NA,NA,0.802816901408451,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,1982-07-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,1982-07-20,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"21",21,1982-08-02,0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
"22",22,1982-08-17,0,NA,NA,1420,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,"SP",1982,"iceoff",0,7.59,578,NA,NA,NA,NA,0,0,0,NA,NA,NA,4,NA,3490
"23",23,1982-09-09,0,9.1,1350,1050,0.778,NA,NA,NA,NA,NA,0.777777777777778,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,"SP",1982,"iceoff",0,7.59,NA,NA,NA,NA,NA,0,0,0,9.1,NA,NA,NA,NA,3489
"24",24,1982-09-20,0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,"SP",1982,"iceoff",0,7.5,NA,NA,NA,NA,NA,0,0,0,8.7,NA,NA,NA,NA,3431
"25",25,1982-10-07,0,10,270,190,0.704,NA,NA,NA,NA,NA,0.703703703703704,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,"SP",1982,"iceoff",0,7.59,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,NA,NA,3431
"26",26,1982-10-19,0,9.5,98,68,0.694,NA,NA,NA,NA,NA,0.693877551020408,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,"SP",1982,"iceoff",0,7.25,NA,NA,NA,NA,NA,5,0,10,9.5,NA,NA,NA,NA,3370
"27",27,1982-11-10,0,9.8,58,41,0.707,NA,NA,NA,NA,NA,0.706896551724138,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA
"28",28,1982-12-02,0,10.9,144,120,0.833,NA,NA,NA,NA,NA,0.833333333333333,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA
"29",29,1983-01-13,0,13.1,NA,NA,NA,24,27,1,NA,26,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,"SP",1982,"iceon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA
"30",30,1983-02-24,0,11,NA,NA,NA,1,29,1,NA,28,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,"SP",1982,"iceon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"31",31,1983-03-28,0,NA,NA,NA,NA,9.5,39,8,NA,31,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,"SP",1982,"iceon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,1983-05-11,0,11.1,1570,1350,0.86,NA,NA,NA,NA,NA,0.859872611464968,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA
"33",33,1983-05-25,0,11.1,1750,1575,0.9,NA,NA,NA,NA,NA,0.9,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,"SP",1982,"iceoff",0,7.84,NA,NA,NA,NA,NA,0,NA,16,11.1,NA,NA,NA,NA,3430
"34",34,1983-06-09,0,10,1680,1500,0.893,NA,NA,NA,NA,NA,0.892857142857143,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665,"SP",1982,"iceoff",0,7.51,NA,NA,NA,NA,NA,0,NA,0,10,NA,NA,NA,NA,3385
"35",35,1983-06-21,0,8.7,560,350,0.625,NA,NA,NA,NA,NA,0.625,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,"SP",1982,"iceoff",0,7.7,NA,NA,NA,NA,NA,0,NA,NA,8.7,NA,NA,NA,NA,3390
"36",36,1983-07-08,0,8.6,1550,1450,0.935,NA,NA,NA,NA,NA,0.935483870967742,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,"SP",1982,"iceoff",0,7.75,NA,NA,NA,NA,NA,0,NA,0,8.6,NA,NA,NA,NA,NA
"37",37,1983-07-21,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921787709497,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733,"SP",1982,"iceoff",0,7.7,NA,NA,NA,NA,NA,4,NA,0,8.2,NA,NA,NA,NA,3232
"38",38,1983-07-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733,"SP",1982,"iceoff",0,7.7,NA,NA,NA,NA,NA,4,NA,0,8.2,NA,NA,NA,NA,3232
"39",37,1983-07-21,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921787709497,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,"SP",1982,"iceoff",0,7.78,NA,NA,NA,NA,NA,0,NA,0,8.2,NA,NA,NA,NA,3251
"40",38,1983-07-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,"SP",1982,"iceoff",0,7.78,NA,NA,NA,NA,NA,0,NA,0,8.2,NA,NA,NA,NA,3251
"41",37,1983-07-21,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921787709497,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,"SP",1982,"iceoff",0,7.7,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,3232
"42",38,1983-07-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,"SP",1982,"iceoff",0,7.7,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,3232
"43",37,1983-07-21,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921787709497,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,"SP",1982,"iceoff",0,7.78,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3251
"44",38,1983-07-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,"SP",1982,"iceoff",0,7.78,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3251
"45",39,1983-08-01,0,8.8,1860,1600,0.86,NA,NA,NA,NA,NA,0.860215053763441,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
"46",40,1983-08-16,0,9.3,800,610,0.763,NA,NA,NA,NA,NA,0.7625,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,"SP",1982,"iceoff",0,7.92,502,NA,NA,NA,NA,0,NA,0,9.3,NA,NA,7,NA,3384
"47",41,1983-09-06,0,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,"SP",1982,"iceoff",0,7.76,NA,NA,NA,NA,NA,0,NA,42,7.6,NA,NA,NA,NA,3457
"48",42,1983-09-27,0,8.8,740,580,0.784,NA,NA,NA,NA,NA,0.783783783783784,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823,"SP",1982,"iceoff",0,7.73,NA,NA,NA,NA,NA,0,NA,0,8.8,NA,NA,NA,NA,4138
"49",43,1983-10-17,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747474748,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,"SP",1982,"iceoff",0,7.43,NA,NA,NA,NA,NA,0,NA,12,9,NA,NA,NA,NA,3234
"50",44,1983-10-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,"SP",1982,"iceoff",0,7.43,NA,NA,NA,NA,NA,0,NA,12,9,NA,NA,NA,NA,3234
"51",43,1983-10-17,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747474748,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,"SP",1982,"iceoff",0,7.45,NA,NA,NA,NA,NA,0,NA,0,9,NA,NA,NA,NA,3236
"52",44,1983-10-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,"SP",1982,"iceoff",0,7.45,NA,NA,NA,NA,NA,0,NA,0,9,NA,NA,NA,NA,3236
"53",43,1983-10-17,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747474748,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,"SP",1982,"iceoff",0,7.43,NA,NA,NA,NA,NA,0,NA,12,NA,NA,NA,NA,NA,3234
"54",44,1983-10-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,"SP",1982,"iceoff",0,7.43,NA,NA,NA,NA,NA,0,NA,12,NA,NA,NA,NA,NA,3234
"55",43,1983-10-17,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747474748,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,"SP",1982,"iceoff",0,7.45,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3236
"56",44,1983-10-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,"SP",1982,"iceoff",0,7.45,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3236
"57",45,1983-11-02,0,8.6,249,193,0.775,NA,NA,NA,NA,NA,0.775100401606426,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA
"58",46,1983-11-15,0,8.7,145,115,0.793,NA,NA,NA,NA,NA,0.793103448275862,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886,"SP",1982,"iceoff",0,7.23,589,NA,NA,NA,NA,5,NA,34,8.7,NA,NA,14,NA,3628
"59",47,1983-11-29,0,10.6,225,200,0.889,NA,NA,NA,NA,NA,0.888888888888889,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,"SP",1982,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA
"60",48,1984-01-06,0,12.9,NA,NA,NA,2.7,36.2,11.8,NA,24.4,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,"SP",1984,"iceon",0,7.5,NA,NA,NA,NA,NA,11,NA,41,12.9,NA,NA,NA,NA,3830
"61",49,1984-02-27,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,"SP",1984,"iceon",0,7.61,650,NA,NA,NA,NA,23,NA,46,13.6,NA,NA,27,NA,3786
"62",50,1984-02-27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,"SP",1984,"iceon",0,7.61,650,NA,NA,NA,NA,23,NA,46,13.6,NA,NA,27,NA,3786
"63",49,1984-02-27,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,"SP",1984,"iceon",0,7.63,655,NA,NA,NA,NA,36,NA,40,13.6,NA,NA,10,NA,3797
"64",50,1984-02-27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,"SP",1984,"iceon",0,7.63,655,NA,NA,NA,NA,36,NA,40,13.6,NA,NA,10,NA,3797
"65",49,1984-02-27,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,"SP",1984,"iceon",0,7.61,650,NA,NA,NA,NA,23,NA,46,NA,NA,NA,27,NA,3786
"66",50,1984-02-27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,"SP",1984,"iceon",0,7.61,650,NA,NA,NA,NA,23,NA,46,NA,NA,NA,27,NA,3786
"67",49,1984-02-27,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,"SP",1984,"iceon",0,7.63,655,NA,NA,NA,NA,36,NA,40,NA,NA,NA,10,NA,3797
"68",50,1984-02-27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953,"SP",1984,"iceon",0,7.63,655,NA,NA,NA,NA,36,NA,40,NA,NA,NA,10,NA,3797
"69",51,1984-04-10,0,9.6,NA,NA,NA,0,44.5,5,NA,39.5,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,"SP",1984,"iceon",0,7.36,NA,NA,NA,NA,NA,23,NA,37,9.6,NA,NA,NA,NA,2272
"70",52,1984-04-26,0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,"SP",1984,"iceoff",0,NA,NA,NA,NA,NA,NA,0,NA,21,11.2,NA,NA,NA,NA,3267
"71",53,1984-05-09,0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,"SP",1984,"iceoff",0,7.45,589,NA,NA,NA,NA,3,NA,0,10.7,NA,NA,9,NA,3374
"72",54,1984-05-21,0,10.1,740,700,0.946,NA,NA,NA,NA,NA,0.945945945945946,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,"SP",1984,"iceoff",0,7.75,NA,NA,NA,NA,NA,0,NA,8,10.1,NA,NA,NA,NA,3240
