,sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,Genus,CellBioVol,,,
356,9/23/99,0,9.1,977,751.06,0.769,NA,NA,NA,NA,NA,0.768741044,,,,,
357,10/8/99,0,9.6,95,51.77,0.545,NA,NA,NA,NA,NA,0.544947368,,,,,
358,10/19/99,0,10.2,133,69.83,0.525,NA,NA,NA,NA,NA,0.525037594,,,,,
359,11/10/99,0,11.6,62,30.19,0.487,NA,NA,NA,NA,NA,0.486935484,TotalBiovolume,29393.12457,,,
360,1/18/00,0,11.5,826,4.8,0.006,18.9,27.5,0.5,NA,27,0.005811138,,,,,
361,2/22/00,0,14.4,690,2.65,0.004,27.6,36,2,NA,34,0.00384058,TotalBiovolume,19235.34559,,,
362,4/6/00,0,11.7,511,281.7,0.551,NA,NA,NA,NA,NA,0.551272016,TotalBiovolume,128642.492,,,
363,4/18/00,0,12.2,615,368.6,0.599,NA,NA,NA,NA,NA,0.599349593,,,,,
364,5/2/00,0,12.2,849,494.9,0.583,NA,NA,NA,NA,NA,0.582921084,,,,,
366,5/17/00,0,10.3,719,410.5,0.571,NA,NA,NA,NA,NA,0.57093185,,,,,
367,5/30/00,0,9.7,271,152.4,0.562,NA,NA,NA,NA,NA,0.562361624,TotalBiovolume,306599.4631,,,
368,6/13/00,0,9.3,602,383.9,0.638,NA,NA,NA,NA,NA,0.637707641,,,,,
370,6/27/00,0,9,395,247.4,0.626,NA,NA,NA,NA,NA,0.626329114,,,,,
372,7/12/00,0,8.9,144,84.4,0.586,NA,NA,NA,NA,NA,0.586111111,,,,,
373,7/26/00,0,8.3,492,249.3,0.507,NA,NA,NA,NA,NA,0.506707317,TotalBiovolume,77778.75809,,,
374,8/8/00,0,8.3,37,21.45,0.58,NA,NA,NA,NA,NA,0.57972973,,,,,
375,8/21/00,0,8.8,1486,855,0.575,NA,NA,NA,NA,NA,0.575370121,TotalBiovolume,76589.00186,,,
376,9/6/00,0,8.6,1146,756,0.66,NA,NA,NA,NA,NA,0.659685864,,,,,
377,9/18/00,0,9.2,1425,851,0.597,NA,NA,NA,NA,NA,0.597192982,,,,,
378,10/3/00,0,9.8,316,204.2,0.646,NA,NA,NA,NA,NA,0.646202532,,,,,
379,10/17/00,0,10.5,810,452.7,0.559,NA,NA,NA,NA,NA,0.558888889,,,,,
380,11/1/00,0,10.3,112,73.2,0.654,NA,NA,NA,NA,NA,0.653571429,,,,,
381,11/16/00,0,10.2,198,123.5,0.624,NA,NA,NA,NA,NA,0.623737374,TotalBiovolume,95748.80998,,,
382,1/22/01,0,13.5,810,10.43,0.013,20.7,32,10,0.309,22,0.012876543,,,,,
383,2/28/01,0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.007320988,TotalBiovolume,21262.77994,,,
385,4/3/01,0,12.9,1178,126.8,0.108,2.2,45,32,0.232,13,0.107640068,,,,,
386,4/30/01,0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.68138987,TotalBiovolume,28410.14551,,,
388,5/14/01,0,10.8,1748,1243,0.711,NA,NA,NA,NA,NA,0.711098398,,,,,
389,5/29/01,0,9.7,1564,1035,0.662,NA,NA,NA,NA,NA,0.661764706,TotalBiovolume,41235.72366,,,
390,6/11/01,0,10.1,1744,1267,0.726,NA,NA,NA,NA,NA,0.726490826,,,,,
391,6/26/01,0,10,1755,1285,0.732,NA,NA,NA,NA,NA,0.732193732,TotalBiovolume,134990.8154,,,
392,7/9/01,0,8.7,553,359.3,0.65,NA,NA,NA,NA,NA,0.649728752,,,,,
393,7/24/01,0,8.4,1339,905,0.676,NA,NA,NA,NA,NA,0.675877521,TotalBiovolume,22145.11309,,,
394,8/6/01,0,8.2,322,182.1,0.566,NA,NA,NA,NA,NA,0.56552795,,,,,
395,8/20/01,0,8.4,671,435,0.648,NA,NA,NA,NA,NA,0.64828614,TotalBiovolume,29306.01224,,,
397,9/4/01,0,8.9,1663,1127,0.678,NA,NA,NA,NA,NA,0.67769092,,,,,
398,9/18/01,0,9.2,468,220.8,0.472,NA,NA,NA,NA,NA,0.471794872,,,,,
399,10/2/01,0,9.8,337,188,0.558,NA,NA,NA,NA,NA,0.557863501,,,,,
400,10/15/01,0,9.9,264,132.9,0.503,NA,NA,NA,NA,NA,0.503409091,,,,,
401,10/29/01,0,10.4,491,220.4,0.449,NA,NA,NA,NA,NA,0.448879837,,,,,
402,11/15/01,0,10.5,214,95.2,0.445,NA,NA,NA,NA,NA,0.444859813,TotalBiovolume,139887.1505,,,
403,1/16/02,0,14.8,446,20.4,0.046,5.1,16.5,4,0.416,12.5,0.04573991,,,,,
404,2/28/02,0,15.4,622,35.5,0.057,1.6,38,11,0.267,27,0.057073955,TotalBiovolume,52925.62857,,,
405,4/1/02,0,16,1647,10.42,0.006,15,54,21,0.189,33,0.006326655,,,,,
406,4/23/02,0,11.7,671,335.9,0.501,NA,NA,NA,NA,NA,0.500596125,TotalBiovolume,127889.5355,,,
408,5/7/02,0,12,844,480.2,0.569,NA,NA,NA,NA,NA,0.568957346,,,,,
409,5/22/02,0,13.2,1750,1193,0.682,NA,NA,NA,NA,NA,0.681714286,TotalBiovolume,114042.3605,,,
410,6/5/02,0,9.9,1907,1248,0.654,NA,NA,NA,NA,NA,0.654431044,,,,,
411,6/19/02,0,9.1,679,371.3,0.547,NA,NA,NA,NA,NA,0.546833579,,,,,
412,7/3/02,0,8,432,245.3,0.568,NA,NA,NA,NA,NA,0.567824074,,,,,
413,7/17/02,0,7.9,985,607.3,0.617,NA,NA,NA,NA,NA,0.616548223,TotalBiovolume,72801.22226,,,
414,7/30/02,0,8.4,1161,828,0.713,NA,NA,NA,NA,NA,0.713178295,,,,,
415,8/14/02,0,8.3,1883,1249,0.663,NA,NA,NA,NA,NA,0.66330324,TotalBiovolume,45852.44843,,,
417,8/29/02,0,8.7,786,507.1,0.645,NA,NA,NA,NA,NA,0.645165394,,,,,
418,9/12/02,0,8.8,510,232.2,0.455,NA,NA,NA,NA,NA,0.455294118,,,,,
420,9/26/02,0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
421,10/9/02,0,9.9,357,219.8,0.616,NA,NA,NA,NA,NA,0.615686275,,,,,
422,10/24/02,0,9.7,344,285.9,0.831,NA,NA,NA,NA,NA,0.831104651,,,,,
423,11/7/02,0,10,435,234.5,0.539,NA,NA,NA,NA,NA,0.53908046,TotalBiovolume,79280.51352,,,
425,1/15/03,0,16.1,NA,NA,NA,1,45,0,NA,45,NA,,,,,
426,3/6/03,0,14.2,1236,13.97,0.011,17.5,61,0,0.238,61,0.011302589,TotalBiovolume,39769.15413,,,
427,4/2/03,0,10.8,294,17.54,0.06,7.5,48,0,0.411,48,0.059659864,,,,,
428,4/2/03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
429,4/29/03,0,12,642,428.1,0.667,NA,NA,NA,NA,NA,0.66682243,TotalBiovolume,69635.17216,,,
430,5/14/03,0,11.1,1309,960,0.733,NA,NA,NA,NA,NA,0.733384263,,,,,
431,5/30/03,0,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
432,5/30/03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
433,6/9/03,0,9.4,1238,738,0.596,NA,NA,NA,NA,NA,0.596122779,,,,,
434,6/23/03,0,8.8,288,155.6,0.54,NA,NA,NA,NA,NA,0.540277778,TotalBiovolume,53497.5692,,,
435,7/7/03,0,8.5,2400,1648,0.687,NA,NA,NA,NA,NA,0.686666667,,,,,
436,7/21/03,0,8.5,625,361.4,0.578,NA,NA,NA,NA,NA,0.57824,TotalBiovolume,76879.44305,,,
437,8/4/03,0,8.6,1652,1246,0.754,NA,NA,NA,NA,NA,0.754237288,,,,,
438,8/20/03,0,8,745,399.6,0.536,NA,NA,NA,NA,NA,0.536375839,TotalBiovolume,70854.36054,,,
439,9/3/03,0,8.5,574,361.9,0.63,NA,NA,NA,NA,NA,0.630487805,,,,,
440,9/16/03,0,8.6,1125,751,0.668,NA,NA,NA,NA,NA,0.667555556,,,,,
441,10/1/03,0,9.3,312,129.5,0.415,NA,NA,NA,NA,NA,0.415064103,,,,,
442,10/14/03,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
443,10/28/03,0,9.1,123,53.83,0.438,NA,NA,NA,NA,NA,0.437642276,,,,,
444,11/13/03,0,10.5,544,272.6,0.501,NA,NA,NA,NA,NA,0.501102941,TotalBiovolume,102362.2103,,,
445,1/12/04,0,13.6,134,4.49,0.034,10,37,8,NA,29,0.033507463,,,,,
447,2/18/04,0,12.8,906,0,0,29.7,42,7,NA,35,0,TotalBiovolume,9708.792357,,,
448,4/7/04,0,11.3,937,417.4,0.445,0,39,6,0.25,33,0.445464248,,,,,
449,4/30/04,0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,124704.1185,,,
450,5/10/04,0,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
451,5/24/04,0,10.8,523,310.1,0.593,NA,NA,NA,NA,NA,0.59292543,,,,,
452,6/7/04,0,11,2075,1049,0.506,NA,NA,NA,NA,NA,0.505542169,,,,,
453,6/22/04,0,9.4,573,269.6,0.471,NA,NA,NA,NA,NA,0.470506108,TotalBiovolume,80990.95401,,,
454,7/6/04,0,8.6,260,134.9,0.519,NA,NA,NA,NA,NA,0.518846154,,,,,
455,7/21/04,0,8.7,224,145.6,0.65,NA,NA,NA,NA,NA,0.65,TotalBiovolume,38911.84667,,,
456,8/2/04,0,8.3,523,365.7,0.699,NA,NA,NA,NA,NA,0.699235182,,,,,
457,8/16/04,0,8.9,650,562.5,0.865,NA,NA,NA,NA,NA,0.865384615,TotalBiovolume,34815.18089,,,
459,8/30/04,0,9.3,521,381.7,0.733,NA,NA,NA,NA,NA,0.732629559,,,,,
460,9/13/04,0,9.3,1287,1101,0.855,NA,NA,NA,NA,NA,0.855477855,,,,,
461,9/29/04,0,9.3,942,832,0.883,NA,NA,NA,NA,NA,0.883227176,,,,,
462,10/11/04,0,12.2,531,445.2,0.838,NA,NA,NA,NA,NA,0.838418079,,,,,
463,10/25/04,0,9.9,87,72.2,0.83,NA,NA,NA,NA,NA,0.829885057,,,,,
464,11/10/04,0,9.8,31,21.39,0.69,NA,NA,NA,NA,NA,0.69,TotalBiovolume,40141.8149,,,
465,11/10/04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
466,1/19/05,0,16.6,347,6.59,0.019,11.2,43,0,NA,43,0.018991354,,,,,
467,2/25/05,0,16.3,545,15.32,0.028,10,54,5,0.509,49,0.028110092,,,,,
468,4/6/05,0,11.4,125,94.08,0.753,0,42,0,0.397,42,0.75264,,,,,
469,4/20/05,0,12.2,381,290.53,0.763,NA,NA,NA,NA,NA,0.762545932,TotalBiovolume,120897.0379,,,
471,5/2/05,0,12.6,1514,1259.4,0.832,NA,NA,NA,NA,NA,0.831836196,,,,,
472,5/19/05,0,11.5,496,278.97,0.562,NA,NA,NA,NA,NA,0.562439516,,,,,
473,6/1/05,0,10.3,1352,1241.8,0.918,NA,NA,NA,NA,NA,0.918491124,,,,,
474,6/13/05,0,8.8,586,447.62,0.764,NA,NA,NA,NA,NA,0.763856655,TotalBiovolume,112841.9249,,,
475,6/27/05,0,8.8,817,642.98,0.787,NA,NA,NA,NA,NA,0.787001224,,,,,
476,7/12/05,0,8.6,2026,1600.7,0.79,NA,NA,NA,NA,NA,0.790078973,TotalBiovolume,66524.46203,,,
477,7/25/05,0,8.5,950,900.41,0.948,NA,NA,NA,NA,NA,0.9478,,,,,
478,8/9/05,0,8.6,468,342.45,0.732,NA,NA,NA,NA,NA,0.731730769,TotalBiovolume,36120.08981,,,
479,8/22/05,0,8.5,1630,759.14,0.466,NA,NA,NA,NA,NA,0.465730061,,,,,
480,9/8/05,0,8.6,536,388.57,0.725,NA,NA,NA,NA,NA,0.72494403,,,,,
481,9/19/05,0,8.6,90,71.71,0.797,NA,NA,NA,NA,NA,0.796777778,,,,,
482,10/3/05,0,9.2,226,160.07,0.708,NA,NA,NA,NA,NA,0.708274336,,,,,
483,10/17/05,0,9.8,1320,1070.2,0.811,NA,NA,NA,NA,NA,0.810757576,,,,,
484,11/15/05,0,9.2,143,104.86,0.733,NA,NA,NA,NA,NA,0.733286713,TotalBiovolume,37769.78604,,,
486,1/17/06,0,13.7,179,4.07,0.023,12.5,29,6,NA,23,0.02273743,,,,,
487,2/13/06,0,13.6,655,17.43,0.027,23.6,33,12,NA,21,0.026610687,TotalBiovolume,13445.22755,,,
489,3/31/06,0,15,522,209.78,0.402,0,41,21,0.272,20,0.401877395,,,,,
491,4/20/06,0,NA,1642,1490.3,0.908,NA,NA,NA,NA,NA,0.907612667,,,,,
492,5/2/06,0,11.6,961,735.9,0.766,NA,NA,NA,NA,NA,0.765764828,TotalBiovolume,105932.2045,,,
493,5/18/06,0,10.9,771,578.79,0.751,NA,NA,NA,NA,NA,0.750700389,,,,,
495,5/31/06,0,9.4,1584,1528.1,0.965,NA,NA,NA,NA,NA,0.964709596,,,,,
496,6/15/06,0,9.2,1367,1099,0.804,NA,NA,NA,NA,NA,0.803950256,,,,,
497,6/28/06,0,8.8,1621,1261.2,0.778,NA,NA,NA,NA,NA,0.778038248,,,,,
498,7/12/06,0,8.8,766,595.79,0.778,NA,NA,NA,NA,NA,0.777793734,TotalBiovolume,55725.91462,,,
499,7/26/06,0,8.1,1542,1366.3,0.886,NA,NA,NA,NA,NA,0.886057069,,,,,
500,8/9/06,0,8.5,1963,1480.9,0.754,NA,NA,NA,NA,NA,0.754406521,TotalBiovolume,18557.99633,,,
501,8/24/06,0,9.1,1227,700.11,0.571,NA,NA,NA,NA,NA,0.570586797,,,,,
502,9/8/06,0,8.8,51,34.06,0.668,NA,NA,NA,NA,NA,0.667843137,,,,,
504,9/21/06,0,9.1,885,561.65,0.635,NA,NA,NA,NA,NA,0.634632768,,,,,
505,10/4/06,0,9.4,1357,734.23,0.541,NA,NA,NA,NA,NA,0.541068534,,,,,
506,10/19/06,0,9.3,NA,68.72,NA,NA,NA,NA,NA,NA,NA,,,,,
507,10/30/06,0,9.4,NA,380.01,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,49288.15794,,,
508,1/15/07,0,17.3,415,10.41,0.025,6.8,29,8,0.53,21,0.025084337,,,,,
509,2/20/07,0,16.1,1138,25.11,0.022,8.7,42,5,0.315,37,0.022065026,TotalBiovolume,43538.89356,,,
510,3/28/07,0,12,914,633.27,0.693,0,27,0,0.283,27,0.69285558,,,,,
512,4/24/07,0,11.9,1012,643.22,0.636,NA,NA,NA,NA,NA,0.635592885,TotalBiovolume,57749.85027,,,
513,5/9/07,0,10.8,194,116.38,0.6,NA,NA,NA,NA,NA,0.599896907,,,,,
514,5/21/07,0,10.1,1753,1255.5,0.716,NA,NA,NA,NA,NA,0.716200799,,,,,
515,6/6/07,0,9.4,1537,1139.9,0.742,NA,NA,NA,NA,NA,0.741639558,,,,,
516,6/19/07,0,8.4,514,296.72,0.577,NA,NA,NA,NA,NA,0.577276265,TotalBiovolume,63864.52915,,,
518,7/2/07,0,8.4,469,253.75,0.541,NA,NA,NA,NA,NA,0.541044776,,,,,
519,7/16/07,0,8.4,1270,829.31,0.653,NA,NA,NA,NA,NA,0.653,TotalBiovolume,78698.81792,,,
520,7/23/07,0,8.7,454,272.12,0.599,NA,NA,NA,NA,NA,0.59938326,,,,,
522,7/30/07,0,8.6,1631,1274.4,0.781,NA,NA,NA,NA,NA,0.781361128,,,,,
523,8/13/07,0,8.2,1392,1144.2,0.822,NA,NA,NA,NA,NA,0.821982759,TotalBiovolume,86298.54542,,,
524,8/27/07,0,8.5,339,213.94,0.631,NA,NA,NA,NA,NA,0.631091445,,,,,
525,9/11/07,0,8.5,233,144.38,0.62,NA,NA,NA,NA,NA,0.619656652,,,,,
526,9/24/07,0,9.6,1674,1246.5,0.745,NA,NA,NA,NA,NA,0.744623656,,,,,
527,10/10/07,0,9.3,152,105.46,0.694,NA,NA,NA,NA,NA,0.693815789,,,,,
528,10/23/07,0,9.8,735,413.26,0.562,NA,NA,NA,NA,NA,0.562258503,,,,,
529,11/12/07,0,10.5,181,99.99,0.552,NA,NA,NA,NA,NA,0.552430939,TotalBiovolume,69229.21827,,,
530,1/17/08,0,14.3,249,3.25,0.013,11.1,33,8,0.356,25,0.013052209,,,,,
532,3/3/08,0,14.6,1237,19.11,0.015,18.9,48,13,0.236,35,0.015448666,TotalBiovolume,7414.250988,,,
534,3/27/08,0,13.7,913,9.52,0.01,16.1,50,6,0.236,44,0.010427163,,,,,
535,5/13/08,0,11.3,886,804.83,0.908,NA,NA,NA,NA,NA,0.908386005,TotalBiovolume,101618.1581,,,
536,5/19/08,0,11.5,1433,1335.3,0.932,NA,NA,NA,NA,NA,0.931821354,,,,,
537,6/2/08,0,10.3,996,842.57,0.846,NA,NA,NA,NA,NA,0.845953815,,,,,
538,6/18/08,0,9.6,1423,1334.8,0.938,NA,NA,NA,NA,NA,0.938018271,,,,,
539,7/1/08,0,9,1347,809.74,0.601,NA,NA,NA,NA,NA,0.601143281,TotalBiovolume,137303.0078,,,
540,7/15/08,0,9.2,1922,1602.9,0.834,NA,NA,NA,NA,NA,0.833975026,,,,,
541,7/29/08,0,8.6,253,177.88,0.703,NA,NA,NA,NA,NA,0.703083004,,,,,
542,8/12/08,0,8.5,980,809.06,0.826,NA,NA,NA,NA,NA,0.825571429,,,,,
543,8/25/08,0,8.2,1890,1417.1,0.75,NA,NA,NA,NA,NA,0.74978836,TotalBiovolume,71584.60772,,,
545,9/8/08,0,8.7,1847,1476.7,0.8,NA,NA,NA,NA,NA,0.799512723,,,,,
546,9/23/08,0,9.3,1552,1154.8,0.744,NA,NA,NA,NA,NA,0.744072165,,,,,
547,10/7/08,0,10,110,74.04,0.673,NA,NA,NA,NA,NA,0.673090909,,,,,
548,10/20/08,0,11.6,723,444.96,0.615,NA,NA,NA,NA,NA,0.615435685,,,,,
549,11/12/08,0,10.1,65,47.02,0.723,NA,NA,NA,NA,NA,0.723384615,TotalBiovolume,77010.33942,,,
550,1/20/09,0,15.3,NA,NA,NA,17.8,45,6,NA,39,NA,,,,,
551,2/24/09,0,14.5,729,46.38,0.064,3.6,55,9,0.278,46,0.063621399,TotalBiovolume,56387.25094,,,
552,3/20/09,0,13.1,345,120.12,0.348,0,56,5,0.269,51,0.348173913,,,,,
554,4/29/09,0,12.2,765,648.19,0.847,NA,NA,NA,NA,NA,0.84730719,TotalBiovolume,324208.1319,,,
555,5/13/09,0,11.8,164,133.2,0.814,NA,NA,NA,NA,NA,0.812195122,,,,,
556,5/27/09,0,10.5,457,380.01,0.832,NA,NA,NA,NA,NA,0.831531729,,,,,
558,6/10/09,0,10.1,177,73.93,0.417,NA,NA,NA,NA,NA,0.417683616,,,,,
559,6/25/09,0,8.9,1995,1765.6,0.885,NA,NA,NA,NA,NA,0.885012531,,,,,
560,7/9/09,0,9.8,1028,916.4,0.891,NA,NA,NA,NA,NA,0.891439689,,,,,
561,7/22/09,0,8.8,512,388.29,0.759,NA,NA,NA,NA,NA,0.758378906,,,,,
562,8/6/09,0,9,1446,1300,0.9,NA,NA,NA,NA,NA,0.899031812,,,,,
563,8/19/09,0,8.5,620,396.33,0.63,NA,NA,NA,NA,NA,0.639241935,,,,,
564,9/3/09,0,9.1,1639,1528.2,0.932,NA,NA,NA,NA,NA,0.932397804,,,,,
565,9/17/09,0,8.7,695,786.37,1.131,NA,NA,NA,NA,NA,1.131467626,,,,,
566,9/17/09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
567,10/1/09,0,9,587,807.53,1.376,NA,NA,NA,NA,NA,1.375689949,,,,,
568,10/14/09,0,9.3,228,182.34,0.8,NA,NA,NA,NA,NA,0.799736842,,,,,
569,10/29/09,0,9.5,35,25.9,0.735,NA,NA,NA,NA,NA,0.74,,,,,
570,11/11/09,0,10.1,364,300.61,0.826,NA,NA,NA,NA,NA,0.825851648,,,,,
571,11/11/09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
