,X1.x,sampledate,depth.x,o2.x,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,X15,X16,X17,X18,X19,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,X1.y,lakeid,year4,group,depth.y,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2.y,totnf,totnuf,totpf,totpuf,drsif,year4frac,lakeid.y,year4.y,rep,sta,depth,surfchlor,wtemp,o2,o2sat,cond,frlight.y,chlor,phaeo,ph.y,phair,alk.y,dic.y,tic.y,doc.y,toc.y,no3no2.y,no2.y,nh4.y,totnf.y,totnuf.y,totpf.y,totpuf.y,drsif.y,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh
11,332,08/12/1998,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,7.9,171,210,2,3,2156,1982.151,SP,1982,1,1,0,2.8,15.39,8.11,88.29,NA,NA,0.83,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,333,08/12/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,7.9,171,210,2,3,2156,1982.26,SP,1982,1,1,0,4.6,15.01,8.79,94.05,87.86,0.23,1.22,4.5,7.43,7.97,622.46,8.43,8.54,3.51,3.58,0.39,NA,45.83,104.83,153.21,3,10.08,2557.02,2534.82,2695.42,0.15,5.03,2.52,10.13,2.8,2.45,0.7,0.15,0.02,NA,NA,NA,NA,NA,NA
13,332,08/12/1998,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,7.9,156,190,1,3,2731,1982.362,SP,1982,1,1,0,5.9,14.72,8.7,92.49,NA,0.23,1.25,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,333,08/12/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,7.9,156,190,1,3,2731,1982.403,SP,1982,1,1,0,1.1,13.96,8.17,85.72,NA,0.19,1.02,1.8,7.26,7.99,NA,8.57,8.82,3.44,3.48,0.98,NA,58.37,214.02,223.39,8.51,10.72,2783.4,2628.66,2554.31,0.37,NA,NA,NA,NA,NA,NA,0.41,0.04,NA,NA,NA,NA,NA,NA
15,332,08/12/1998,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,NA,171,210,2,3,2156,1982.441,SP,1982,1,1,0,1.2,12.98,8.21,84.53,NA,0.2,1.78,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,333,08/12/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,NA,171,210,2,3,2156,1982.477,SP,1982,1,1,0,1.4,9.79,8.66,81.78,NA,0.19,0.91,4.84,7.3,7.85,NA,8.86,9.06,3.41,3.4,0,NA,64,236.39,258.13,7.44,11.91,2806.28,2579.23,2654.55,0.18,NA,NA,NA,NA,NA,NA,0.36,0.03,NA,NA,NA,NA,NA,NA
17,332,08/12/1998,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,NA,156,190,1,3,2731,1982.518,SP,1982,1,1,0,1.3,7.08,9.49,83.16,88.62,0.12,2,4.72,7.38,7.98,638.89,8.59,8.72,3.3,3.42,2.13,NA,24.03,43.49,47.3,3.49,9,2712.31,2521.43,2508.57,0.09,4.99,2.44,10.19,2.88,2.52,0.67,0.01,0,NA,NA,NA,NA,NA,NA
18,333,08/12/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,NA,156,190,1,3,2731,1982.551,SP,1982,1,1,0,0.9,3.07,13.05,102.78,NA,1,9.86,1.4,7.41,7.9,NA,9.35,9.7,3.49,3.42,11.83,NA,99.32,260.5,287.89,3.4,12.06,3248.7,3001.58,3031.69,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
19,340,11/12/1998,0,9.2,815,464.2,0.57,NA,NA,NA,NA,NA,0.569570552,TotalBiovolume,NA,NA,NA,147520.6467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6483,SP,1998,iceoff,0,7.33,661,9.18,9.18,3.68,3.52,2,NA,30,9.2,219,240,5,12,2918,1982.586,SP,1982,1,1,0,1.8,3.27,10.96,86.88,93.13,0.24,2.15,0.44,7.29,7.85,670.14,10.67,9.49,3.41,3.18,73.52,NA,160.66,389.01,352.29,6.29,14.57,3158.98,3023.56,2938.36,0,5.06,2.49,10.16,2.85,2.45,0.7,0.75,0.15,NA,NA,NA,NA,NA,NA
20,342,02/23/1999,0,13.2,1262,9.66,0.008,9,41,14,NA,27,0.007654517,TotalBiovolume,NA,NA,NA,83274.68798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6526,SP,1999,iceon,0,7.54,731,9.44,9.58,3.44,3.24,32,NA,72,13.2,447,576,5,15,3068,1982.627,SP,1982,1,1,0,1.1,3.47,10.35,82.34,NA,0.07,5.19,0.78,7.32,7.91,NA,8.82,9.05,3.39,3.36,94.6,NA,25.68,307.1,314.11,7.1,12.51,2842.28,2918.5,2877.5,0.12,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,NA,NA
21,344,05/04/1999,0,12.2,1585,1104,0.697,NA,NA,NA,NA,NA,0.696529968,TotalBiovolume,NA,NA,NA,227305.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6570,SP,1999,iceoff,0,8.14,649,8.37,8.61,2.99,2.89,0,NA,9,12.2,147,117,4,29,2700,1982.69,SP,1982,1,1,0,0.9,9.42,11.29,105.01,NA,0.2,5.85,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,348,07/01/1999,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103152,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6654,SP,1999,iceoff,0,8.09,NA,8.29,8.41,3.32,3.36,2,NA,7,8.4,136,211,2,4,2555,1982.721,SP,1982,1,1,0,1.8,12.24,10.48,103.93,NA,0.24,5.28,0.07,7.53,8,NA,8.29,8.54,2.97,3.1,0.3,NA,24.75,191.25,249.57,3.36,9.75,2560.29,2708.39,2800.3,0.21,NA,NA,NA,NA,NA,NA,0.02,0.01,NA,NA,NA,NA,NA,NA
23,349,07/01/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6654,SP,1999,iceoff,0,8.09,NA,8.29,8.41,3.32,3.36,2,NA,7,8.4,136,211,2,4,2555,1982.767,SP,1982,1,1,0,2.5,12.41,9.88,98.19,NA,0.24,4.44,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,348,07/01/1999,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103152,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6655,SP,1999,iceoff,0,8.1,NA,8.38,8.47,3.3,3.67,1,NA,7,8.4,131,181,1,4,2491,1982.86,SP,1982,1,1,0,4.3,12.86,10.29,103.9,NA,0.25,3.73,0.8,7.57,8.19,NA,8.16,8.48,3.33,3.47,1.24,NA,16.77,183.04,227.7,2.92,7.44,2468.03,2643.55,2655.26,0.14,NA,NA,NA,NA,NA,NA,0.07,0.01,NA,NA,NA,NA,NA,NA
25,349,07/01/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6655,SP,1999,iceoff,0,8.1,NA,8.38,8.47,3.3,3.67,1,NA,7,8.4,131,181,1,4,2491,1982.921,SP,1982,1,1,0,3.7,15.35,9.5,100.95,NA,0.29,3.35,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,348,07/01/1999,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103152,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6656,SP,1999,iceoff,0,8.09,NA,8.29,8.41,3.32,3.36,2,NA,7,NA,136,211,2,4,2555,1983.036,SP,1983,1,1,0,9.4,16.51,9.28,101.95,NA,0.25,2.73,0.78,7.45,8.1,NA,8.43,8.57,3.49,3.37,2.6,NA,27.26,170.61,207.52,2.65,8.06,2460.67,2622.69,2716.85,0.14,NA,NA,NA,NA,NA,NA,0.12,0.01,NA,NA,NA,NA,NA,NA
27,349,07/01/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6656,SP,1999,iceoff,0,8.09,NA,8.29,8.41,3.32,3.36,2,NA,7,NA,136,211,2,4,2555,1983.151,SP,1983,1,1,0,0.3,16.46,9.81,107.69,NA,0.27,3.23,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,348,07/01/1999,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103152,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6657,SP,1999,iceoff,0,8.1,NA,8.38,8.47,3.3,3.67,1,NA,7,NA,131,181,1,4,2491,1983.238,SP,1983,1,1,0,9.8,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
29,349,07/01/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6657,SP,1999,iceoff,0,8.1,NA,8.38,8.47,3.3,3.67,1,NA,7,NA,131,181,1,4,2491,1983.359,SP,1983,1,1,0,6.1,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
30,354,08/23/1999,0,8,424,274.56,0.648,NA,NA,NA,NA,NA,0.64754717,TotalBiovolume,NA,NA,NA,58570.67871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6738,SP,1999,iceoff,0,8.07,619,8.27,8.31,3.66,3.47,2,NA,6,8,178,223,4,5,2272,1983.397,SP,1983,1,1,0,6.8,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
31,359,11/10/1999,0,11.6,62,30.19,0.487,NA,NA,NA,NA,NA,0.486935484,TotalBiovolume,NA,NA,NA,29393.12457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844,SP,1999,iceoff,0,7.54,651,8.57,8.66,3.34,3.27,1,NA,10,11.6,212,223,5,9,2545,1983.438,SP,1983,1,1,0,1.6,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
32,361,02/22/2000,0,14.4,690,2.65,0.004,27.6,36,2,NA,34,0.00384058,TotalBiovolume,NA,NA,NA,19235.34559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6887,SP,2000,iceon,0,7.66,709,9.61,9.62,3.21,3.16,2,NA,60,14.4,226,282,6,9,2975,1983.471,SP,1983,1,1,0,1.1,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
33,362,04/06/2000,0,11.7,511,281.7,0.551,NA,NA,NA,NA,NA,0.551272016,TotalBiovolume,NA,NA,NA,128642.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6909,SP,2000,iceoff,0,7.42,645,8.41,8.77,2.67,2.58,8,NA,12,11.7,242,279,2,7,3007,1983.518,SP,1983,1,1,0,1.3,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
34,367,05/30/2000,0,9.7,271,152.4,0.562,NA,NA,NA,NA,NA,0.562361624,TotalBiovolume,NA,NA,NA,306599.4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6993,SP,2000,iceoff,0,8.16,NA,8.48,8.62,3.31,3.22,2,NA,50,9.7,171,249,1,4,2947,1983.553,SP,1983,1,1,0,1.2,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
35,373,07/26/2000,0,8.3,492,249.3,0.507,NA,NA,NA,NA,NA,0.506707317,TotalBiovolume,NA,NA,NA,77778.75809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7077,SP,2000,iceoff,0,7.99,NA,8.4,8.54,3.78,3.93,0,NA,9,8.3,193,248,0,3,2138,1983.584,SP,1983,1,1,0,0.7,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA
36,375,08/21/2000,0,8.8,1486,855,0.575,NA,NA,NA,NA,NA,0.575370121,TotalBiovolume,NA,NA,NA,76589.00186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7122,SP,2000,iceoff,0,8.36,633,8.2,8.34,4,4.22,1,NA,6,8.8,214,191,4,3,2386,1983.625,SP,1983,1,1,0,0.8,17.24,8.42,94.65,NA,0.29,4.33,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,381,11/16/2000,0,10.2,198,123.5,0.624,NA,NA,NA,NA,NA,0.623737374,TotalBiovolume,NA,NA,NA,95748.80998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248,SP,2000,iceoff,0,7.32,656,9.06,8.95,3.35,3.45,5,NA,47,10.2,226,268,3,9,2890,1983.682,SP,1983,1,1,0,1.7,16.36,7.9,87.87,NA,0.27,4.1,1.4,7.38,7.97,NA,9.08,9.22,3.66,3.66,2.78,NA,40.26,177.78,238.58,2.11,9.84,2635.59,2766.92,2771.59,0.22,NA,NA,NA,NA,NA,NA,0.31,0.03,NA,NA,NA,NA,NA,NA
