sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,,,,,,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage
05/06/1997,Cryptomonad,217,,195.2354,42366.0818,0.076528091,,,,,,,,,,,,,,,,,,,
05/06/1997,Naked Dinoflagellate,43,,7003.540037,301152.2216,0.543987165,,,,,,,,,,,,,,,,,,,
05/06/1997,Armored Dinoflagellate,206,,874.8631698,180221.813,0.32554418,,,,,,,,,,,,,,,,,,,
05/06/1997,TotalBiovolume,,,,553601.7042,,,,,,,,,,,,,,,,,,,,
06/18/1997,Sellaphora,1,,120,120,0.000992944,,,,,,,,,,,,,,,,,,,
06/18/1997,Diatoma mesodon,1,,530.1437603,530.1437603,0.00438669,,,,,,,,,,,,,,,,,,,
06/18/1997,Small cocconeis,4,,152.6421331,610.5685324,0.005052168,,,,,,,,,,,,,,,,,,,
06/18/1997,Navicula,2,,186.6048309,373.2096619,0.003088134,,,,,,,,,,,,,,,,,,,
06/18/1997,Limnothrix,8,,5.642771,45.142168,0.00037353,,,,,,,,,,,,,,,,,,,
06/18/1997,Dinobryon,57,,1034.087,58942.959,0.487725274,,,,,,,,,,,,,,,,,,,
06/18/1997,Microcystis,184,,3.156457729,580.7882221,0.004805749,,,,,,,,,,,,,,,,,,,
06/18/1997,Cryptomonad,65,,195.2354,12690.301,0.105006275,,,,,,,,,,,,,,,,,,,
06/18/1997,Naked Dinoflagellate,5,,7003.540037,35017.70018,0.289755006,,,,,,,,,,,,,,,,,,,
06/18/1997,Armored Dinoflagellate,9,,874.8631698,7873.768528,0.065151733,,,,,,,,,,,,,,,,,,,
06/18/1997,Cyclotella,18,,113.0973355,2035.75204,0.016844891,,,,,,,,,,,,,,,,,,,
06/18/1997,Cyclostephanos invisitatus,1,,94.247,94.247,0.00077985,,,,,,,,,,,,,,,,,,,
06/18/1997,Small Cocconeis,12,,152.6421331,1831.705597,0.015156503,,,,,,,,,,,,,,,,,,,
06/18/1997,Cf. Elakatothrix,41,,2.597609,106.501969,0.000881254,,,,,,,,,,,,,,,,,,,
06/18/1997,TotalBiovolume,,,,120852.7877,,,,,,,,,,,,,,,,,,,,
08/28/1997,Cf. Planktolyngabia,14,100,314.1592654,4398.229715,0.059432529,1,,,,,,,,,,,,,,,,,,
08/28/1997,Nostoc,1,,195.61707,195.61707,0.00264334,,,,,,,,,,,,,,Estimate as equal to 20 Cf. Komvophoron / Trichormus cells,,,,,
08/28/1997,Peanut,2,,84.9851,169.9702,0.002296778,,,,,,,,,,,,,,,,,,,
08/28/1997,Limnothrix,213,,5.642771,1201.910223,0.016241208,,,,,,,,,,,,,,,,,,,
08/28/1997,Microcystis,478,,3.156457729,1508.786794,0.020387979,,,,,,,,,,,,,,,,,,,
08/28/1997,Cf. Komvophoron / Trichormus,161,,9.7808535,1574.717414,0.021278888,,,,,,,,,,,,,,,,,,,
08/28/1997,Cryptomonad,60,,195.2354,11714.124,0.158290963,,,,,,,,,,,,,,,,,,,
08/28/1997,Naked Dinoflagellate,5,,7003.540037,35017.70018,0.47318822,,,,,,,,,,,,,,,,,,,
08/28/1997,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.082753139,,,,,,,,,,,,,,,,,,,
08/28/1997,Cyclotella,5,,113.0973355,565.4866776,0.007641325,,,,,,,,,,,,,,,,,,,
08/28/1997,Small Cocconeis,74,,152.6421331,11295.51785,0.152634409,,,,,,,,,,,,,,,,,,,
08/28/1997,Cf. Elakatothrix,21,,2.597609,54.549789,0.000737122,,,,,,,,,,,,,,,,,,,
08/28/1997,Cyclostephanos invisitatus,1,,94.247,94.247,0.001273544,,,,,,,,,,,,,,,,,,,
08/28/1997,Lindavia,2,,44.42277385,88.84554771,0.001200555,,,,,,,,,,,,,,,,,,,
08/28/1997,TotalBiovolume,,,,74003.74465,,,,,,,,,,,,,,,,,,,,
11/10/1997,Cf. Craspedostauros,1,100,,0,0,1,,,,,,,,,,,,,,,,,,
11/10/1997,Cyclostephanos invisitatus,4,,94.247,376.988,0.002926165,,,,,,,,,,,,,,,,,,,
11/10/1997,Microcystis,83,,3.156457729,261.9859915,0.002033524,,,,,,,,,,,,,,,,,,,
11/10/1997,Limnothrix,146,,5.642771,823.844566,0.006394647,,,,,,,,,,,,,,,,,,,
11/10/1997,Cf. Komvophoron / Trichormus,28,,9.7808535,273.863898,0.00212572,,,,,,,,,,,,,,,,,,,
11/10/1997,Cryptomonad,97,,195.2354,18937.8338,0.146994684,,,,,,,,,,,,,,,,,,,
11/10/1997,Naked Dinoflagellate,12,,7003.540037,84042.48044,0.652334262,,,,,,,,,,,,,,,,,,,
11/10/1997,Armored Dinoflagellate,12,,874.8631698,10498.35804,0.081487821,,,,,,,,,,,,,,,,,,,
11/10/1997,Lindavia,1,,44.42277385,44.42277385,0.000344808,,,,,,,,,,,,,,,,,,,
11/10/1997,Cyanobacterium diachloros,55,,87.26957,4799.82635,0.037256054,,,,,,,,,,,,,,,,,,,
11/10/1997,Dinobryon,2,,1034.087,2068.174,0.016053081,,,,,,,,,,,,,,,,,,,
11/10/1997,Fragilaria crototensis,4,,311.155,1244.62,0.009660689,,,,,,,,,,,,,,,,,,,
11/10/1997,Cf. Elakatothrix,2,,2.597609,5.195218,4.03E-05,,,,,,,,,,,,,,,,,,,
11/10/1997,Asterionella,10,,545.5867498,5455.867498,0.042348218,,,,,,,,,,,,,,,,,,,
11/10/1997,TotalBiovolume,,,,128833.4606,,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Planktolyngabia,5,100,314.1592654,1570.796327,0.008306377,1,,,,,,,,,,,,,,,,,,
02/23/1998,Limnothrix,1522,,5.642771,8588.297462,0.04541495,,,,,,,,,,,,,,,,,,,
02/23/1998,Microcystis,998,,3.156457729,3150.144814,0.016657978,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Komvophoron / Trichormus,295,,9.7808535,2885.351783,0.015257751,,,,,,,,,,,,,,,,,,,
02/23/1998,Cryptomonad,75,,195.2354,14642.655,0.077430417,,,,,,,,,,,,,,,,,,,
02/23/1998,Naked Dinoflagellate,18,,7003.540037,126063.7207,0.666625446,,,,,,,,,,,,,,,,,,,
02/23/1998,Armored Dinoflagellate,21,,874.8631698,18372.12657,0.097151877,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Merispomedia,188,,3,564,0.002982434,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Komvophoron / Trichormus,13,,9.7808535,127.1510955,0.000672375,,,,,,,,,,,,,,,,,,,
02/23/1998,Cyclostephanos invisitatus,1,,94.247,94.247,0.000498379,,,,,,,,,,,,,,,,,,,
02/23/1998,Fragilaria crototensis,19,,311.155,5911.945,0.031262388,,,,,,,,,,,,,,,,,,,
02/23/1998,Dinobryon,2,,1034.087,2068.174,0.010936512,,,,,,,,,,,,,,,,,,,
02/23/1998,Cyanobacterium diachloros,56,,87.26957,4887.09592,0.025842982,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Cavinula,1,,131.95,131.95,0.000697752,,,,,,,,,,,,,,,,,,,
02/23/1998,Cf. Elakatothrix,2,,2.597609,5.195218,2.75E-05,,,,,,,,,,,,,,,,,,,
02/23/1998,Lindavia,1,,44.42277385,44.42277385,0.000234908,,,,,,,,,,,,,,,,,,,
02/23/1998,TotalBiovolume,,,,189107.2736,,,,,,,,,,,,,,,,,,,,
04/20/1998,Fragilaria crototensis,12,100,311.155,3733.86,0.020553037,1,,,,,,,,,,,,,,,,,,
04/20/1998,Peanut,2,,84.9851,169.9702,0.000935601,,,,,,,,,,,,,,,,,,,15%
04/20/1998,Fragilaria intermedia,4,,311.155,1244.62,0.006851012,,,,,,,,,,,,,,,,,,,
04/20/1998,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.000323032,,,,,,,,,,,,,,,,,,,
04/20/1998,Asterionella formosa,1,,545.5867498,545.5867498,0.003003183,,,,,,,,,,,,,,,,,,,
04/20/1998,Cf. Planktolyngabia,2,,314.1592654,628.3185307,0.00345858,,,,,,,,,,,,,,,,,,,
04/20/1998,Limnothrix,52,,5.642771,293.424092,0.001615153,,,,,,,,,,,,,,,,,,,
04/20/1998,Cryptomonad,109,,195.2354,21280.6586,0.117139414,,,,228.25,,,,,,,,,,,,,,,
04/20/1998,Naked Dinoflagellate,12,,7003.540037,84042.48044,0.462611949,,,,,,,,,,,,,,,,,,,
04/20/1998,Armored Dinoflagellate,71,,874.8631698,62115.28506,0.341913672,,,,,,,,,,,,,,,,,,,
04/20/1998,Dinobryon,7,,1034.087,7238.609,0.039844933,,,,,,,,,,,,,,,,,,,
04/20/1998,Cf. Merispomedia,106,,3,318,0.001750431,,,,,,,,,,,,,,,,,,,
04/20/1998,TotalBiovolume,,,,181669.4978,,,,,,,,,,,,,,,,,,,,
06/15/1998,Asterionella,20,100,545.5867498,10911.735,0.064985716,1,,,,,,,,,,,,,,,,,,
06/15/1998,Cf. Planktolyngabia,18,,314.1592654,5654.866776,0.033678014,,,,,,,,,,,,,,,,,,,
06/15/1998,Peanut,12,,84.9851,1019.8212,0.006073627,,,,,,,,,,,,,,,,,,,
06/15/1998,Microcystis,470,,3.156457729,1483.535132,0.008835313,,,,,,,,,,,,,,,,,,,
06/15/1998,Cyclostephanos invisitatus,2,,94.247,188.494,0.001122591,,,,,,,,,,,,,,,,,,,
06/15/1998,Diploneis,1,,241.4706653,241.4706653,0.001438098,,,,,,,,,,,,,,,,,,,
06/15/1998,Cf. Encyonema,1,,47.63282781,47.63282781,0.000283681,,,,,,,,,,,,,,,,,,,
06/15/1998,Limnothrix,384,,5.642771,2166.824064,0.012904695,,,,,,,,,,,,,,,,,,,
06/15/1998,Cf. Komvophoron / Trichormus,392,,9.7808535,3834.094572,0.022834259,,,,,,,,,,,,,,,,,,,
06/15/1998,Cryptomonad,127,,195.2354,24794.8958,0.147667997,,,,,,,,,,,,,,,,,,,
06/15/1998,Naked Dinoflagellate,11,,7003.540037,77038.9404,0.458811608,,,,,,,,,,,,,,,,,,,
06/15/1998,Armored Dinoflagellate,15,,874.8631698,13122.94755,0.07815477,,,,,,,,,,,,,,,,,,,
06/15/1998,Cyanobacterium diachloros,40,,87.26957,3490.7828,0.020789638,,,,,,,,,,,,,,,,,,,
06/15/1998,Dinobryon,21,,1034.087,21715.827,0.129330355,,,,,,,,,,,,,,,,,,,
06/15/1998,Fragilaria crototensis,7,,311.155,2178.085,0.01297176,,,,,,,,,,,,,,,,,,,
06/15/1998,Cf. Merispomedia,4,,3,12,7.15E-05,,,,,,,,,,,,,,,,,,,
06/15/1998,Cf. Elakatothrix,3,,2.597609,7.792827,4.64E-05,,,,,,,,,,,,,,,,,,,
06/15/1998,TotalBiovolume,,,,167909.7456,,,,,,,,,,,,,,,,,,,,
07/14/1997,Cf. Elakatothrix,36,100,2.597609,93.513924,0.000457466,1,,,,,,,,,,,,,,,,,,
07/14/1997,Cf. Planktolyngabia,57,,314.1592654,17907.07813,0.087600697,,,,,,,,,,,,,,,,,,,
07/14/1997,Cf. Sellaphora pupula,2,,120,240,0.00117407,,,,,,,,,,,,,,,,,,,
07/14/1997,Fragilaria,2,,311.155,622.31,0.003044315,,,,,,,,,,,,,,Look up @ diatoms.org,,,,,
07/14/1997,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.018978032,,,,,,,,,,,,,,,,,,,
07/14/1997,Cf. Komvophoron / Trichormus,4,,9.7808535,39.123414,0.00019139,,,,,,,,,,,,,,,,,,,
07/14/1997,Cryptomonad,62,,195.2354,12104.5948,0.059215185,,,,,,,,,,,,,,,,,,,
07/14/1997,Navicula,1,,186.6048309,186.6048309,0.000912863,,,,,,,,,,,,,,,,,,,
07/14/1997,Asterionella,3,,545.5867498,1636.760249,0.008006964,,,,,,,,,,,,,,,,,,,
07/14/1997,Limnothrix,409,,5.642771,2307.893339,0.01129012,,,,,,,,,,,,,,,,,,,
07/14/1997,Microcystis,541,,3.156457729,1707.643631,0.008353723,,,,,,,,,,,,,,,,,,,
07/14/1997,Cf. Komvophoron / Trichormus,181,,9.7808535,1770.334484,0.008660404,,,,,,,,,,,,,,,,,,,
07/14/1997,Naked Dinoflagellate,19,,7003.540037,133067.2607,0.650959621,,,,,,,,,,,,,,,,,,,
07/14/1997,Armored Dinoflagellate,8,,874.8631698,6998.905358,0.03423836,,,,,,,,,,,,,,,,,,,
07/14/1997,Lindavia comensis,226,,44.42277385,10039.54689,0.049113055,,,,,,,,,,,,,,,,,,,
07/14/1997,Cyanobacterium diachloros,88,,87.26957,7679.72216,0.037568888,,,,,,,,,,,,,,,,,,,
07/14/1997,Dinobryon,4,,1034.087,4136.348,0.020234846,,,,,,,,,,,,,,,,,,,
07/14/1997,TotalBiovolume,,,,204417.0737,,,,,,,,,,,,,,,,,,,,
08/12/1998,Cf. Cyanobium,35,100,,0,0,1,,,,,,,,,,,,,,,,,,
08/12/1998,Asterionella,2,,545.5867498,1091.1735,0.005629698,,,,,,,,,,,,,,,,,,,
08/12/1998,Planothidium,3,,126.6690158,380.0070474,0.001960573,,,,,,,,,,,,,,,,,,,
08/12/1998,Limnothrix,494,,5.642771,2787.528874,0.014381715,,,,,,,,,,,,,,,,,,,
08/12/1998,Microcystis,488,,3.156457729,1540.351372,0.007947144,,,,,,,,,,,,,,,,,,,
08/12/1998,Cf. Komvophoron / Trichormus,199,,9.7808535,1946.389847,0.010042021,,,,,,,,,,,,,,"Things marked ""cyst"" are resting stages- this is interesting info from a systems ecology perspective, but not useful for biomass data.  You can ignore things named ""cyst"" generally",,,,,
08/12/1998,Cryptomonad,35,,195.2354,6833.239,0.035254771,,,,,,,,,,,,,,"""statocyst"" falls under ""cyst""",,,,,
08/12/1998,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.542001097,,,,,,,,,,,,,,,,,,,
08/12/1998,Armored Dinoflagellate,14,,874.8631698,12248.08438,0.063191616,,,,,,,,,,,,,,,,,,,
08/12/1998,Lindavia comensis,171,,44.42277385,7596.294328,0.039191607,,,,,,,,,,,,,,,,,,,
08/12/1998,Cyanobacterium diachloros,177,,87.26957,15446.71389,0.079694324,,,,,,,,,,,,,,,,,,,
08/12/1998,Dinobryon,11,,1034.087,11374.957,0.058686884,,,,,,,,,,,,,,,,,,,
08/12/1998,Cf. Planktolyngabia,87,,314.1592654,27331.85609,0.14101341,,,,,,,,,,,,,,,,,,,
08/12/1998,Cf. Elakatothrix,75,,2.597609,194.820675,0.001005139,,,,,,,,,,,,,,,,,,,
08/12/1998,Actinastrum hantzchii,12,,,0,0,,,,,,,,,,,,,,,,,,,
08/12/1998,TotalBiovolume,,,,193824.5165,,,,,,,,,,,,,,,,,,,,
11/12/1998,Hippodonta capitata,1,100,315.7300617,315.7300617,0.002140243,1,,,,,,,,,,,,,diatoms.org,,,,,15%
11/12/1998,Chamaecalyx,15,,,0,0,,,,,,,,,,,,,,,,,,,
11/12/1998,Ankistrodesmus falcatus,4,,,0,0,,,,,,,,,,,,,,,,,,,
11/12/1998,Actinastrum hantzchii,140,,,0,0,,,,,,,,,,,,,,,,,,,
11/12/1998,Actinastrum hantzchii (colony),11,,,0,0,,,,,,,,,,,,,,,,,,,
11/12/1998,Cf. Coelosphaerium,600,,0.976259,585.7554,0.003970667,,,,,,,,,,,,,,In Rare page,,,,,
11/12/1998,?10,1,,,0,0,,,,,,,,,,,,,,,,,,,
11/12/1998,Microcystis,25,,3.156457729,78.91144323,0.000534918,,,,,,,,,,,,,,,,,,,
11/12/1998,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.00039781,,,,,,,,,,,,,,,,,,,
11/12/1998,Cryptomonad,46,,195.2354,8980.8284,0.060878451,,,,,,,,,,,,,,,,,,,
11/12/1998,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.712124729,,,,,,,,,,,,,,,,,,,
11/12/1998,Armored Dinoflagellate,22,,874.8631698,19246.98974,0.130469803,,,,,,,,,,,,,,,,,,,
11/12/1998,Lindavia comensis,7,,44.42277385,310.959417,0.002107904,,,,,,,,,,,,,,,,,,,
11/12/1998,Large Cryptomonad,12,,195.2354,2342.8248,0.015881335,,,,,,,,,,,,,,,,,,,
11/12/1998,Cyanobacteria diachloros,80,,87.26957,6981.5656,0.047326024,,,,,,,,,,,,,,,,,,,
11/12/1998,Dinobryon,1,,1034.087,1034.087,0.007009778,,,,,,,,,,,,,,,,,,,
11/12/1998,Fragilaria,7,,311.1551121,2178.085785,0.014764617,,,,,,,,,,,,,,,,,,,
11/12/1998,Cf. Planktolyngabia,1,,314.1592654,314.1592654,0.002129595,,,,,,,,,,,,,,,,,,,
11/12/1998,Cf. Elakatothrix,15,,2.597609,38.964135,0.000264127,,,,,,,,,,,,,,,,,,,
11/12/1998,TotalBiovolume,,,,147520.6467,,,,,,,,,,,,,,,,,,,,
02/23/1999,Cyclostephanos invisitatus,1,100,94.247,94.247,0.00113176,1,,,,,,,,,,,,,diatoms.org,,,,,
02/23/1999,Cyanobacteria diachlorus,3,,87.26957,261.80871,0.003143917,,,,,,,,,,,,,,diatoms.org,,,,,
02/23/1999,Cf. Diatoma mesodon,6,,530.1437603,3180.862562,0.038197232,,,,,,,,,,,,,,"*** Anything marked ""Synedra"" should become ""Mallomonas scales"".  If there's anything marked ""Synedra colony"", that can become ""Mallomonas colony""",,,,,
02/23/1999,Limnothrix,163,,5.642771,919.771673,0.011045033,,,,,,,,,,,,,,"Mallomonas scales don't really have any inherent biomass, they're just indicitave of Mallomonas ""colonies"" (a single multicellular alga covered in scales"").  My recommendation would be to weigh the total # of scales against the # of recorded ""colonies.""  Approximately 20 scales per ""colony"" is a good estimate.  If the # of scales exceeds the # of colonies x20, add 1 extra colony to the tally per 20 surplus scales.  Then just use the biomass of the colony as the only biomass for the species.",,,,,
02/23/1999,Microcystis,202,,3.156457729,637.6044613,0.007656642,,,,,,,,,,,,,,,,,,,
02/23/1999,Cryptomonad,16,,195.2354,3123.7664,0.037511595,,,,,,,,,,,,,,,,,,,
02/23/1999,Naked Dinoflagellate,9,,7003.540037,63031.86033,0.756914999,,,,,,,,,,,,,,,,,,,
02/23/1999,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.07354026,,,,,,,,,,,,,,,,,,,
02/23/1999,Lindavia comensis,1,,44.42277385,44.42277385,0.000533449,,,,,,,,,,,,,,,,,,,
02/23/1999,Small Cocconeis,34,,152.6421331,5189.832525,0.062321849,,,,,,,,,,,,,,,,,,,
02/23/1999,Fragilaria crototensis,2,,311.155,622.31,0.007472979,,,,,,,,,,,,,,,,,,,
02/23/1999,Cf. Elakatothrix,17,,2.597609,44.159353,0.000530285,,,,,,,,,,,,,,,,,,,
02/23/1999,TotalBiovolume,,,,83274.68798,,,,,,,,,,,,,,,,,,,,
05/04/1999,Tetraedron victoriae,8,100,47.2472,377.9776,0.001662863,1,,,,,,,,,,,,,,,,,,
05/04/1999,?11,6,,1545.356039,9272.136233,0.040791545,,,,,,,,,,,,,,,,,,,
05/04/1999,Placoneis,1,,910.8753375,910.8753375,0.004007276,,,,,,,,,,,,,,,,,,,
05/04/1999,Epithemia,1,,252.8982086,252.8982086,0.001112592,,,,,,,,,,,,,,,,,,,
05/04/1999,Asterionella,1,,545.5867498,545.5867498,0.002400237,,,,,,,,,,,,,,,,,,,
05/04/1999,Cf. Komvophoron / Trichormus,4,,9.7808535,39.123414,0.000172118,,,,,,,,,,,,,,,,,,,
05/04/1999,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.017067059,,,,,,,,,,,,,,,,,,,
05/04/1999,Microcystis,94,,3.156457729,296.7070265,0.001305324,,,,,,,,,,,,,,,,,,,
05/04/1999,Cyanobacterium diachloros,2,,87.26957,174.53914,0.000767862,,,,,,,,,,,,,,,,,,,
05/04/1999,Cryptomonad,72,,195.2354,14056.9488,0.061841699,,,,,,,,,,,,,,,,,,,
05/04/1999,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.462167307,,,,,,,,,,,,,,,,,,,
05/04/1999,Armored Dinoflagellate,19,,874.8631698,16622.40023,0.073128065,,,,,,,,,,,,,,,,,,,
05/04/1999,Euglena,4,,7392.788,29571.152,0.130094396,,,,,,,,,,,,,,,,,,,
05/04/1999,Small Cocconeis,19,,152.6421331,2900.200528,0.012759051,,,,,,,,,,,,,,,,,,,
05/04/1999,Dinobryon,4,,1034.087,4136.348,0.018197319,,,,,,,,,,,,,,,,,,,
05/04/1999,Fragilaria,126,,311.155,39205.53,0.172479576,,,,,,,,,,,,,,,,,,,
05/04/1999,Cf. Elakatothrix,4,,2.597609,10.390436,4.57E-05,,,,,,,,,,,,,,,,,,,
05/04/1999,TotalBiovolume,,,,227305.348,,,,,,,,,,,,,,,,,,,,
07/01/1999,Asterionella,10,100,545.5867498,5455.867498,0.072790771,1,,,,,,,,,,,,,,,,,,
07/01/1999,?11,3,,1545.356039,4636.068117,0.06185322,,,,,,,,,,,,,,,,,,,
07/01/1999,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.051758401,,,,,,,,,,,,,,,,,,,
07/01/1999,Limnothrix,5,,5.642771,28.213855,0.000376422,,,,,,,,,,,,,,,,,,,
07/01/1999,Microcystis,0,,3.156457729,0,0,,,,,,,,,,,,,,,,,,,
07/01/1999,Euglena,1,,7392.788,7392.788,0.098632663,,,,,,,,,,,,,,,,,,,
07/01/1999,Cryptomonad,21,,195.2354,4099.9434,0.054700383,,,,,,,,,,,,,,,,,,,
07/01/1999,Naked Dinoflagellate,3,,7003.540037,21010.62011,0.280318252,,,,,,,,,,,,,,,,,,,
07/01/1999,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.081705385,,,,,,,,,,,,,,,,,,,
07/01/1999,Small Cocconeis,17,,152.6421331,2594.916262,0.034620701,,,,,,,,,,,,,,,,,,,
07/01/1999,Dinobryon,11,,1034.087,11374.957,0.15176173,,,,,,,,,,,,,,,,,,,
07/01/1999,Fragilaria,16,,87.26957,1396.31312,0.018629248,,,,,,,,,,,,,,,,,,,
07/01/1999,Cf. Planktolyngabia,11,,314.1592654,3455.751919,0.046105747,,,,,,,,,,,,,,,,,,,
07/01/1999,Cf. Elakatothrix,173,,2.597609,449.386357,0.005995596,,,,,,,,,,,,,,,,,,,
07/01/1999,Cyanobacteria diachloros,28,,87.26957,2443.54796,0.032601184,,,,,,,,,,,,,,,,,,,
07/01/1999,Flagellated green,7,,87.26957,610.88699,0.008150296,,,,,,,,,,,,,,,,,,,
07/01/1999,TotalBiovolume,,,,74952.73654,,,,,,,,,,,,,,,,,,,,
08/23/1999,Tabellaria,10,100,431.1835917,4311.835917,0.073617653,1,,,,,,,,,,,,,,,,,,
08/23/1999,Aulacoseira,29,,312.0629482,9049.825498,0.154511194,,,,,,,,,,,,,,,,,,,
08/23/1999,Lindavia affinis,4,,44.42277385,177.6910954,0.003033789,,,,,,,,,,,,,,Rare,,,,,
08/23/1999,Stephanodiscus,1,,154.4537325,154.4537325,0.002637049,,,,,,,,,,,,,,"Unless otherwise marked, assume ""Lindavia"" is ""Lindavia affinis""",,,,,
08/23/1999,Asterionella,2,,545.5867498,1091.1735,0.01863003,,,,,,,,,,,,,,,,,,,
08/23/1999,Cryptomonad,30,,195.2354,5857.062,0.0999999,,,,,,,,,,,,,,,,,,,
08/23/1999,Naked Dinoflagellate,1,,7003.540037,7003.540037,0.119574166,,,,,,,,,,,,,,,,,,,
08/23/1999,Armored Dinoflagellate,3,,874.8631698,2624.589509,0.044810638,,,,,,,,,,,,,,,,,,,
08/23/1999,Cyclotella,53,,113.0973355,5994.158783,0.102340607,,,,,,,,,,,,,,,,,,,
08/23/1999,Cf. Planktolyngabia,3,,314.1592654,942.4777962,0.01609129,,,,,,,,,,,,,,"Becomes ""Lindavia comensis""",,,,,
08/23/1999,Cf. Elakatothrix,242,,2.597609,628.621378,0.010732698,,,,,,,,,,,,,,,,,,,
08/23/1999,Cyanobacteria diachloros,20,,87.26957,1745.3914,0.029799747,,,,,,,,,,,,,,,,,,,
08/23/1999,Encyonema,1,,47.63282781,47.63282781,0.000813254,,,,,,,,,,,,,,,,,,,
08/23/1999,Placoneis,1,,910.8753375,910.8753375,0.015551729,,,,,,,,,,,,,,,,,,,
08/23/1999,Navicula,1,,186.6048309,186.6048309,0.003185977,,,,,,,,,,,,,,,,,,,
08/23/1999,Asterocapsa,1,,3879.43376,3879.43376,0.066235083,,,,,,,,,,,,,,,,,,,
08/23/1999,Cf. Pseudosaurosira,1,,24.6745923,24.6745923,0.000421279,,,,,,,,,,,,,,,,,,,
