,lakeid,year4,sample_date,species_code,species_name,density,individuals_measured,avg_length,group
89,SP,1981,8/11/81,61801,KERATELLA COCHLEARIS,0.44,NA,NA,iceoff
90,SP,1981,8/11/81,61803,KERATELLA CRASSA,1.26,NA,NA,iceoff
91,SP,1981,8/11/81,61806,KERATELLA QUADRATA,0.09,NA,NA,iceoff
92,SP,1981,8/11/81,61900,LECANE,0.21,NA,NA,iceoff
93,SP,1981,8/11/81,62700,NOTOMMATA,0.09,NA,NA,iceoff
94,SP,1981,8/11/81,62900,PLOESOMA,0.7,NA,NA,iceoff
95,SP,1981,8/11/81,63000,POLYARTHRA,0.22,NA,NA,iceoff
96,SP,1981,8/11/81,63003,POLYARTHRA MAJOR,0.56,NA,NA,iceoff
97,SP,1981,8/11/81,63400,SYNCHAETA,0.23,NA,NA,iceoff
98,SP,1981,8/11/81,63600,TRICHOCERCA,0.09,NA,NA,iceoff
99,SP,1981,8/11/81,63616,TRICHOCERCA ROUSSELETI,0.2,NA,NA,iceoff
100,SP,1981,8/11/81,69901,NA,0.14,NA,NA,iceoff
101,SP,1981,8/11/81,70039,NA,0.18,NA,NA,iceoff
102,SP,1981,8/11/81,70064,NA,0.18,NA,NA,iceoff
103,SP,1981,8/25/81,10000,COPEPOD NAUPLII,2.26,NA,NA,iceoff
104,SP,1981,8/25/81,20000,CYCLOPOID,1.4,NA,NA,iceoff
105,SP,1981,8/25/81,30000,CALANOID,1.03,NA,NA,iceoff
106,SP,1981,8/25/81,50700,BOSMINIDAE,2.33,NA,NA,iceoff
107,SP,1981,8/25/81,51000,CHYDORUS,0.39,NA,NA,iceoff
108,SP,1981,8/25/81,51103,DAPHNIA MENDOTAE,0.39,NA,NA,iceoff
109,SP,1981,8/25/81,51104,DAPHNIA LONGIREMIS,0.78,NA,NA,iceoff
110,SP,1981,8/25/81,51200,DIAPHANOSOMA,0.68,NA,NA,iceoff
111,SP,1981,8/25/81,61500,GASTROPUS,0.58,NA,NA,iceoff
112,SP,1981,8/25/81,61702,KELLICOTTIA LONGISPINA,1.03,NA,NA,iceoff
113,SP,1981,8/25/81,61801,KERATELLA COCHLEARIS,1.63,NA,NA,iceoff
114,SP,1981,8/25/81,61900,LECANE,0.39,NA,NA,iceoff
115,SP,1981,8/25/81,62400,MONOSTYLA,0.39,NA,NA,iceoff
116,SP,1981,8/25/81,63000,POLYARTHRA,0.68,NA,NA,iceoff
117,SP,1981,8/25/81,63400,SYNCHAETA,0.39,NA,NA,iceoff
118,SP,1981,8/25/81,63600,TRICHOCERCA,0.39,NA,NA,iceoff
119,SP,1981,8/25/81,69901,NA,0.39,NA,NA,iceoff
120,SP,1981,8/25/81,70039,NA,0.9,NA,NA,iceoff
121,SP,1981,9/15/81,10000,COPEPOD NAUPLII,3.29,NA,NA,iceoff
122,SP,1981,9/15/81,20000,CYCLOPOID,2.87,NA,NA,iceoff
123,SP,1981,9/15/81,30000,CALANOID,0.58,NA,NA,iceoff
124,SP,1981,9/15/81,50700,BOSMINIDAE,1.1,NA,NA,iceoff
125,SP,1981,9/15/81,51000,CHYDORUS,0.78,NA,NA,iceoff
126,SP,1981,9/15/81,51108,DAPHNIA DENTIFERA,0.39,NA,NA,iceoff
127,SP,1981,9/15/81,51200,DIAPHANOSOMA,0.39,NA,NA,iceoff
128,SP,1981,9/15/81,60700,COLURELLA,0.65,NA,NA,iceoff
129,SP,1981,9/15/81,61400,FILINIA,0.39,NA,NA,iceoff
130,SP,1981,9/15/81,61500,GASTROPUS,0.58,NA,NA,iceoff
131,SP,1981,9/15/81,61702,KELLICOTTIA LONGISPINA,0.71,NA,NA,iceoff
132,SP,1981,9/15/81,61801,KERATELLA COCHLEARIS,3.88,NA,NA,iceoff
133,SP,1981,9/15/81,61803,KERATELLA CRASSA,0.39,NA,NA,iceoff
134,SP,1981,9/15/81,61806,KERATELLA QUADRATA,0.39,NA,NA,iceoff
135,SP,1981,9/15/81,61808,KERATELLA TAUROCEPHALA,0.39,NA,NA,iceoff
136,SP,1981,9/15/81,61900,LECANE,0.39,NA,NA,iceoff
137,SP,1981,9/15/81,63000,POLYARTHRA,1.63,NA,NA,iceoff
138,SP,1981,9/15/81,63400,SYNCHAETA,0.58,NA,NA,iceoff
139,SP,1981,9/15/81,63600,TRICHOCERCA,0.39,NA,NA,iceoff
140,SP,1981,9/15/81,69901,NA,1.16,NA,NA,iceoff
141,SP,1981,9/15/81,70038,NA,0.39,NA,NA,iceoff
142,SP,1981,9/15/81,70039,NA,0.39,NA,NA,iceoff
143,SP,1981,9/15/81,70041,NA,0.84,NA,NA,iceoff
144,SP,1981,9/15/81,70051,NA,0.39,NA,NA,iceoff
145,SP,1981,9/15/81,70052,NA,0.39,NA,NA,iceoff
146,SP,1981,9/22/81,10000,COPEPOD NAUPLII,26.19,NA,NA,iceoff
147,SP,1981,9/22/81,20302,DIACYCLOPS THOMASI,11.9,NA,NA,iceoff
148,SP,1981,9/22/81,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.38,NA,NA,iceoff
149,SP,1981,9/22/81,30801,SKISTODIAPTOMUS OREGONENSIS,2.38,NA,NA,iceoff
150,SP,1981,9/22/81,61702,KELLICOTTIA LONGISPINA,4.76,NA,NA,iceoff
151,SP,1981,9/22/81,61801,KERATELLA COCHLEARIS,16.67,NA,NA,iceoff
152,SP,1981,9/22/81,61803,KERATELLA CRASSA,2.38,NA,NA,iceoff
153,SP,1981,9/22/81,61804,KERATELLA EARLINAE,9.52,NA,NA,iceoff
154,SP,1981,9/22/81,61900,LECANE,2.38,NA,NA,iceoff
155,SP,1981,9/22/81,63004,POLYARTHRA REMATA,11.9,NA,NA,iceoff
156,SP,1981,9/22/81,63005,POLYARTHRA VULGARIS,14.29,NA,NA,iceoff
157,SP,1981,9/22/81,63400,SYNCHAETA,2.38,NA,NA,iceoff
158,SP,1981,9/22/81,69915,UNKNOWN,14.29,NA,NA,iceoff
159,SP,1981,12/2/81,10000,COPEPOD NAUPLII,4.65,NA,NA,iceoff
160,SP,1981,12/2/81,20000,CYCLOPOID,1.3,NA,NA,iceoff
161,SP,1981,12/2/81,20302,DIACYCLOPS THOMASI,2.33,NA,NA,iceoff
162,SP,1981,12/2/81,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.63,NA,NA,iceoff
163,SP,1981,12/2/81,30000,CALANOID,0.08,NA,NA,iceoff
164,SP,1981,12/2/81,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,NA,NA,iceoff
165,SP,1981,12/2/81,51000,CHYDORUS,2.81,NA,NA,iceoff
166,SP,1981,12/2/81,60300,ASPLANCHNA,8.99,NA,NA,iceoff
167,SP,1981,12/2/81,60900,CONOCHILUS,0.3,NA,NA,iceoff
168,SP,1981,12/2/81,60902,CONOCHILUS UNICORNIS,6.54,NA,NA,iceoff
169,SP,1981,12/2/81,61702,KELLICOTTIA LONGISPINA,45,NA,NA,iceoff
170,SP,1981,12/2/81,61801,KERATELLA COCHLEARIS,62.82,NA,NA,iceoff
171,SP,1981,12/2/81,61803,KERATELLA CRASSA,1,NA,NA,iceoff
172,SP,1981,12/2/81,61805,KERATELLA HIEMALIS,0.24,NA,NA,iceoff
173,SP,1981,12/2/81,61806,KERATELLA QUADRATA,1.89,NA,NA,iceoff
174,SP,1981,12/2/81,61900,LECANE,2.36,NA,NA,iceoff
175,SP,1981,12/2/81,61904,LECANE INERMIS,0.23,NA,NA,iceoff
176,SP,1981,12/2/81,63001,POLYARTHRA DOLICHOPTERA,0.42,NA,NA,iceoff
177,SP,1981,12/2/81,63004,POLYARTHRA REMATA,0.08,NA,NA,iceoff
178,SP,1981,12/2/81,63005,POLYARTHRA VULGARIS,6.25,NA,NA,iceoff
179,SP,1981,12/2/81,69935,NA,3.39,NA,NA,iceoff
180,SP,1981,12/2/81,69936,NA,0.89,NA,NA,iceoff
181,SP,1982,1/20/82,10000,COPEPOD NAUPLII,34.54,NA,NA,iceon
182,SP,1982,1/20/82,20302,DIACYCLOPS THOMASI,6.66,NA,NA,iceon
183,SP,1982,1/20/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.31,NA,NA,iceon
184,SP,1982,1/20/82,30402,LEPTODIAPTOMUS MINUTUS,0.31,NA,NA,iceon
185,SP,1982,1/20/82,51000,CHYDORUS,0.66,NA,NA,iceon
186,SP,1982,1/20/82,51100,DAPHNIA,0.31,NA,NA,iceon
187,SP,1982,1/20/82,60300,ASPLANCHNA,0.62,NA,NA,iceon
188,SP,1982,1/20/82,60900,CONOCHILUS,16.67,NA,NA,iceon
189,SP,1982,1/20/82,61402,FILINIA TERMINALIS,0.9,NA,NA,iceon
190,SP,1982,1/20/82,61502,GASTROPUS STYLIFER,0.35,NA,NA,iceon
191,SP,1982,1/20/82,61702,KELLICOTTIA LONGISPINA,26.21,NA,NA,iceon
192,SP,1982,1/20/82,61801,KERATELLA COCHLEARIS,0.31,NA,NA,iceon
193,SP,1982,1/20/82,61803,KERATELLA CRASSA,1,NA,NA,iceon
194,SP,1982,1/20/82,61804,KERATELLA EARLINAE,12.53,NA,NA,iceon
195,SP,1982,1/20/82,61805,KERATELLA HIEMALIS,0.23,NA,NA,iceon
196,SP,1982,1/20/82,61806,KERATELLA QUADRATA,0.35,NA,NA,iceon
197,SP,1982,1/20/82,61904,LECANE INERMIS,3.93,NA,NA,iceon
198,SP,1982,1/20/82,63005,POLYARTHRA VULGARIS,9.34,NA,NA,iceon
199,SP,1982,1/20/82,63400,SYNCHAETA,0.23,NA,NA,iceon
200,SP,1982,1/20/82,69990,NA,0.23,NA,NA,iceon
201,SP,1982,1/20/82,69991,NA,0.23,NA,NA,iceon
202,SP,1982,1/20/82,69992,UNKNOWN ROTIFER,0.62,NA,NA,iceon
203,SP,1982,2/24/82,10000,COPEPOD NAUPLII,12.77,NA,NA,iceon
204,SP,1982,2/24/82,20000,CYCLOPOID,0.93,NA,NA,iceon
205,SP,1982,2/24/82,20302,DIACYCLOPS THOMASI,0.64,NA,NA,iceon
206,SP,1982,2/24/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.73,NA,NA,iceon
207,SP,1982,2/24/82,51104,DAPHNIA LONGIREMIS,0.11,NA,NA,iceon
208,SP,1982,2/24/82,60300,ASPLANCHNA,0.53,NA,NA,iceon
209,SP,1982,2/24/82,60902,CONOCHILUS UNICORNIS,8.64,NA,NA,iceon
210,SP,1982,2/24/82,61500,GASTROPUS,0.42,NA,NA,iceon
211,SP,1982,2/24/82,61702,KELLICOTTIA LONGISPINA,15.67,NA,NA,iceon
212,SP,1982,2/24/82,61801,KERATELLA COCHLEARIS,1.75,NA,NA,iceon
213,SP,1982,2/24/82,61803,KERATELLA CRASSA,0.82,NA,NA,iceon
214,SP,1982,2/24/82,61805,KERATELLA HIEMALIS,0.14,NA,NA,iceon
215,SP,1982,2/24/82,61806,KERATELLA QUADRATA,0.72,NA,NA,iceon
216,SP,1982,2/24/82,61900,LECANE,0.43,NA,NA,iceon
217,SP,1982,2/24/82,63001,POLYARTHRA DOLICHOPTERA,1.86,NA,NA,iceon
218,SP,1982,2/24/82,63005,POLYARTHRA VULGARIS,3.49,NA,NA,iceon
219,SP,1982,2/24/82,69932,NA,0.86,NA,NA,iceon
220,SP,1982,5/27/82,10000,COPEPOD NAUPLII,41.62,NA,NA,iceoff
221,SP,1982,5/27/82,20000,CYCLOPOID,1.53,NA,NA,iceoff
222,SP,1982,5/27/82,20300,DIACYCLOPS,1.07,NA,NA,iceoff
223,SP,1982,5/27/82,20302,DIACYCLOPS THOMASI,26.6,NA,NA,iceoff
224,SP,1982,5/27/82,30000,CALANOID,1.44,NA,NA,iceoff
225,SP,1982,5/27/82,30402,LEPTODIAPTOMUS MINUTUS,14.13,NA,NA,iceoff
226,SP,1982,5/27/82,30801,SKISTODIAPTOMUS OREGONENSIS,2.53,NA,NA,iceoff
227,SP,1982,5/27/82,50700,BOSMINIDAE,1.55,NA,NA,iceoff
228,SP,1982,5/27/82,51130,DAPHNIA PULICARIA,0.14,NA,NA,iceoff
229,SP,1982,5/27/82,60300,ASPLANCHNA,1.55,NA,NA,iceoff
230,SP,1982,5/27/82,60900,CONOCHILUS,28.58,NA,NA,iceoff
231,SP,1982,5/27/82,61702,KELLICOTTIA LONGISPINA,18.34,NA,NA,iceoff
232,SP,1982,5/27/82,61801,KERATELLA COCHLEARIS,15.67,NA,NA,iceoff
233,SP,1982,5/27/82,61803,KERATELLA CRASSA,8,NA,NA,iceoff
234,SP,1982,5/27/82,61804,KERATELLA EARLINAE,12.66,NA,NA,iceoff
235,SP,1982,5/27/82,61805,KERATELLA HIEMALIS,0.14,NA,NA,iceoff
236,SP,1982,5/27/82,61806,KERATELLA QUADRATA,1.76,NA,NA,iceoff
237,SP,1982,5/27/82,61808,KERATELLA TAUROCEPHALA,16.46,NA,NA,iceoff
238,SP,1982,5/27/82,61900,LECANE,1.27,NA,NA,iceoff
239,SP,1982,5/27/82,63000,POLYARTHRA,3.48,NA,NA,iceoff
240,SP,1982,5/27/82,63001,POLYARTHRA DOLICHOPTERA,19.38,NA,NA,iceoff
241,SP,1982,5/27/82,63004,POLYARTHRA REMATA,1.27,NA,NA,iceoff
242,SP,1982,5/27/82,63005,POLYARTHRA VULGARIS,21.84,NA,NA,iceoff
243,SP,1982,5/27/82,63400,SYNCHAETA,9.27,NA,NA,iceoff
244,SP,1982,5/27/82,69915,UNKNOWN,1.27,NA,NA,iceoff
245,SP,1982,5/27/82,70057,NA,0.63,NA,NA,iceoff
246,SP,1982,5/27/82,70058,NA,0.43,NA,NA,iceoff
247,SP,1982,5/27/82,70059,NA,0.66,NA,NA,iceoff
248,SP,1982,5/27/82,70060,NA,2.13,NA,NA,iceoff
249,SP,1982,6/10/82,10000,COPEPOD NAUPLII,31.79,NA,NA,iceoff
250,SP,1982,6/10/82,20000,CYCLOPOID,1.97,NA,NA,iceoff
251,SP,1982,6/10/82,20302,DIACYCLOPS THOMASI,19.25,NA,NA,iceoff
252,SP,1982,6/10/82,30000,CALANOID,0.95,NA,NA,iceoff
253,SP,1982,6/10/82,30400,DIAPTOMID,0.3,NA,NA,iceoff
254,SP,1982,6/10/82,30402,LEPTODIAPTOMUS MINUTUS,0.48,NA,NA,iceoff
255,SP,1982,6/10/82,30801,SKISTODIAPTOMUS OREGONENSIS,8,NA,NA,iceoff
256,SP,1982,6/10/82,50700,BOSMINIDAE,1.98,NA,NA,iceoff
257,SP,1982,6/10/82,51100,DAPHNIA,0.4,NA,NA,iceoff
258,SP,1982,6/10/82,51130,DAPHNIA PULICARIA,0.18,NA,NA,iceoff
259,SP,1982,6/10/82,51202,DIAPHANOSOMA BIRGEI,0.4,NA,NA,iceoff
260,SP,1982,6/10/82,60300,ASPLANCHNA,0.62,NA,NA,iceoff
261,SP,1982,6/10/82,60900,CONOCHILUS,22.34,NA,NA,iceoff
262,SP,1982,6/10/82,60901,CONOCHILUS HIPPOCREPIS,2.33,NA,NA,iceoff
263,SP,1982,6/10/82,60902,CONOCHILUS UNICORNIS,0.36,NA,NA,iceoff
264,SP,1982,6/10/82,61502,GASTROPUS STYLIFER,39.4,NA,NA,iceoff
265,SP,1982,6/10/82,61702,KELLICOTTIA LONGISPINA,34.83,NA,NA,iceoff
266,SP,1982,6/10/82,61801,KERATELLA COCHLEARIS,12.51,NA,NA,iceoff
267,SP,1982,6/10/82,61803,KERATELLA CRASSA,17.69,NA,NA,iceoff
268,SP,1982,6/10/82,61804,KERATELLA EARLINAE,40.2,NA,NA,iceoff
269,SP,1982,6/10/82,61805,KERATELLA HIEMALIS,1.79,NA,NA,iceoff
270,SP,1982,6/10/82,61806,KERATELLA QUADRATA,10.15,NA,NA,iceoff
271,SP,1982,6/10/82,61808,KERATELLA TAUROCEPHALA,0.58,NA,NA,iceoff
272,SP,1982,6/10/82,63000,POLYARTHRA,20.8,NA,NA,iceoff
273,SP,1982,6/10/82,63001,POLYARTHRA DOLICHOPTERA,2.73,NA,NA,iceoff
274,SP,1982,6/10/82,63005,POLYARTHRA VULGARIS,1.34,NA,NA,iceoff
275,SP,1982,6/10/82,63400,SYNCHAETA,7.42,NA,NA,iceoff
276,SP,1982,6/10/82,70061,NA,0.36,NA,NA,iceoff
277,SP,1982,6/10/82,70062,NA,0.94,NA,NA,iceoff
278,SP,1982,6/10/82,70063,NA,0.18,NA,NA,iceoff
279,SP,1982,7/8/82,10000,COPEPOD NAUPLII,7.07,NA,NA,iceoff
280,SP,1982,7/8/82,20000,CYCLOPOID,2.72,NA,NA,iceoff
281,SP,1982,7/8/82,30000,CALANOID,1.88,NA,NA,iceoff
282,SP,1982,7/8/82,50700,BOSMINIDAE,0.65,NA,NA,iceoff
283,SP,1982,7/8/82,51100,DAPHNIA,0.65,NA,NA,iceoff
284,SP,1982,7/8/82,51200,DIAPHANOSOMA,1.16,NA,NA,iceoff
285,SP,1982,7/8/82,60900,CONOCHILUS,3.04,NA,NA,iceoff
286,SP,1982,7/8/82,61400,FILINIA,0.43,NA,NA,iceoff
287,SP,1982,7/8/82,61702,KELLICOTTIA LONGISPINA,4.67,NA,NA,iceoff
288,SP,1982,7/8/82,61801,KERATELLA COCHLEARIS,27.07,NA,NA,iceoff
289,SP,1982,7/8/82,61806,KERATELLA QUADRATA,4.57,NA,NA,iceoff
290,SP,1982,7/8/82,63000,POLYARTHRA,4.24,NA,NA,iceoff
291,SP,1982,7/8/82,63400,SYNCHAETA,1.2,NA,NA,iceoff
292,SP,1982,7/8/82,63600,TRICHOCERCA,2.03,NA,NA,iceoff
293,SP,1982,8/2/82,10000,COPEPOD NAUPLII,5.33,NA,NA,iceoff
294,SP,1982,8/2/82,20000,CYCLOPOID,0.78,NA,NA,iceoff
295,SP,1982,8/2/82,20302,DIACYCLOPS THOMASI,0.78,NA,NA,iceoff
296,SP,1982,8/2/82,30000,CALANOID,0.39,NA,NA,iceoff
297,SP,1982,8/2/82,30400,DIAPTOMID,0.58,NA,NA,iceoff
298,SP,1982,8/2/82,51100,DAPHNIA,0.39,NA,NA,iceoff
299,SP,1982,8/2/82,51130,DAPHNIA PULICARIA,0.78,NA,NA,iceoff
300,SP,1982,8/2/82,51200,DIAPHANOSOMA,0.39,NA,NA,iceoff
301,SP,1982,8/2/82,51202,DIAPHANOSOMA BIRGEI,0.39,NA,NA,iceoff
302,SP,1982,8/2/82,60900,CONOCHILUS,2.71,NA,NA,iceoff
303,SP,1982,8/2/82,61702,KELLICOTTIA LONGISPINA,2.2,NA,NA,iceoff
304,SP,1982,8/2/82,61801,KERATELLA COCHLEARIS,3.1,NA,NA,iceoff
305,SP,1982,8/2/82,61803,KERATELLA CRASSA,2.58,NA,NA,iceoff
306,SP,1982,8/2/82,61806,KERATELLA QUADRATA,3.1,NA,NA,iceoff
307,SP,1982,8/2/82,61900,LECANE,1.16,NA,NA,iceoff
308,SP,1982,8/2/82,63001,POLYARTHRA DOLICHOPTERA,1.16,NA,NA,iceoff
309,SP,1982,8/2/82,63005,POLYARTHRA VULGARIS,0.78,NA,NA,iceoff
310,SP,1982,8/2/82,63400,SYNCHAETA,2.81,NA,NA,iceoff
311,SP,1982,8/17/82,10000,COPEPOD NAUPLII,8.64,NA,NA,iceoff
312,SP,1982,8/17/82,20000,CYCLOPOID,2.48,NA,NA,iceoff
313,SP,1982,8/17/82,20302,DIACYCLOPS THOMASI,1.07,NA,NA,iceoff
314,SP,1982,8/17/82,30000,CALANOID,0.48,NA,NA,iceoff
315,SP,1982,8/17/82,30402,LEPTODIAPTOMUS MINUTUS,0.96,NA,NA,iceoff
316,SP,1982,8/17/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.28,NA,NA,iceoff
317,SP,1982,8/17/82,51103,DAPHNIA MENDOTAE,0.76,NA,NA,iceoff
318,SP,1982,8/17/82,51104,DAPHNIA LONGIREMIS,0.63,NA,NA,iceoff
319,SP,1982,8/17/82,51200,DIAPHANOSOMA,1.73,NA,NA,iceoff
320,SP,1982,8/17/82,60902,CONOCHILUS UNICORNIS,0.95,NA,NA,iceoff
321,SP,1982,8/17/82,61402,FILINIA TERMINALIS,0.22,NA,NA,iceoff
322,SP,1982,8/17/82,61500,GASTROPUS,0.12,NA,NA,iceoff
323,SP,1982,8/17/82,61702,KELLICOTTIA LONGISPINA,4.18,NA,NA,iceoff
