lakeid,year4,sample_date,species_code,species_name,density,individuals_measured,avg_length
SP,1981,08/11/1981,61806,KERATELLA QUADRATA,0.09,,
SP,1981,08/11/1981,61900,LECANE,0.21,,
SP,1981,08/11/1981,62700,NOTOMMATA,0.09,,
SP,1981,08/11/1981,62900,PLOESOMA,0.7,,
SP,1981,08/11/1981,63000,POLYARTHRA,0.22,,
SP,1981,08/11/1981,63003,POLYARTHRA MAJOR,0.56,,
SP,1981,08/11/1981,63400,SYNCHAETA,0.23,,
SP,1981,08/11/1981,63600,TRICHOCERCA,0.09,,
SP,1981,08/11/1981,63616,TRICHOCERCA ROUSSELETI,0.2,,
SP,1981,08/11/1981,69901,,0.14,,
SP,1981,08/11/1981,70039,,0.18,,
SP,1981,08/11/1981,70064,,0.18,,
SP,1981,08/25/1981,10000,COPEPOD NAUPLII,2.26,,
SP,1981,08/25/1981,20000,CYCLOPOID,1.4,,
SP,1981,08/25/1981,30000,CALANOID,1.03,,
SP,1981,08/25/1981,50700,BOSMINIDAE,2.33,,
SP,1981,08/25/1981,51000,CHYDORUS,0.39,,
SP,1981,08/25/1981,51103,DAPHNIA MENDOTAE,0.39,,
SP,1981,08/25/1981,51104,DAPHNIA LONGIREMIS,0.78,,
SP,1981,08/25/1981,51200,DIAPHANOSOMA,0.68,,
SP,1981,08/25/1981,61500,GASTROPUS,0.58,,
SP,1981,08/25/1981,61702,KELLICOTTIA LONGISPINA,1.03,,
SP,1981,08/25/1981,61801,KERATELLA COCHLEARIS,1.63,,
SP,1981,08/25/1981,61900,LECANE,0.39,,
SP,1981,08/25/1981,62400,MONOSTYLA,0.39,,
SP,1981,08/25/1981,63000,POLYARTHRA,0.68,,
SP,1981,08/25/1981,63400,SYNCHAETA,0.39,,
SP,1981,08/25/1981,63600,TRICHOCERCA,0.39,,
SP,1981,08/25/1981,69901,,0.39,,
SP,1981,08/25/1981,70039,,0.9,,
SP,1981,09/15/1981,10000,COPEPOD NAUPLII,3.29,,
SP,1981,09/15/1981,20000,CYCLOPOID,2.87,,
SP,1981,09/15/1981,30000,CALANOID,0.58,,
SP,1981,09/15/1981,50700,BOSMINIDAE,1.1,,
SP,1981,09/15/1981,51000,CHYDORUS,0.78,,
SP,1981,09/15/1981,51108,DAPHNIA DENTIFERA,0.39,,
SP,1981,09/15/1981,51200,DIAPHANOSOMA,0.39,,
SP,1981,09/15/1981,60700,COLURELLA,0.65,,
SP,1981,09/15/1981,61400,FILINIA,0.39,,
SP,1981,09/15/1981,61500,GASTROPUS,0.58,,
SP,1981,09/15/1981,61702,KELLICOTTIA LONGISPINA,0.71,,
SP,1981,09/15/1981,61801,KERATELLA COCHLEARIS,3.88,,
SP,1981,09/15/1981,61803,KERATELLA CRASSA,0.39,,
SP,1981,09/15/1981,61806,KERATELLA QUADRATA,0.39,,
SP,1981,09/15/1981,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,1981,09/15/1981,61900,LECANE,0.39,,
SP,1981,09/15/1981,63000,POLYARTHRA,1.63,,
SP,1981,09/15/1981,63400,SYNCHAETA,0.58,,
SP,1981,09/15/1981,63600,TRICHOCERCA,0.39,,
SP,1981,09/15/1981,69901,,1.16,,
SP,1981,09/15/1981,70038,,0.39,,
SP,1981,09/15/1981,70039,,0.39,,
SP,1981,09/15/1981,70041,,0.84,,
SP,1981,09/15/1981,70051,,0.39,,
SP,1981,09/15/1981,70052,,0.39,,
SP,1981,09/22/1981,10000,COPEPOD NAUPLII,26.19,,
SP,1981,09/22/1981,20302,DIACYCLOPS THOMASI,11.9,,
SP,1981,09/22/1981,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.38,,
SP,1981,09/22/1981,30801,SKISTODIAPTOMUS OREGONENSIS,2.38,,
SP,1981,09/22/1981,61702,KELLICOTTIA LONGISPINA,4.76,,
SP,1981,09/22/1981,61801,KERATELLA COCHLEARIS,16.67,,
SP,1981,09/22/1981,61803,KERATELLA CRASSA,2.38,,
SP,1981,09/22/1981,61804,KERATELLA EARLINAE,9.52,,
SP,1981,09/22/1981,61900,LECANE,2.38,,
SP,1981,09/22/1981,63004,POLYARTHRA REMATA,11.9,,
SP,1981,09/22/1981,63005,POLYARTHRA VULGARIS,14.29,,
SP,1981,09/22/1981,63400,SYNCHAETA,2.38,,
SP,1981,09/22/1981,69915,UNKNOWN,14.29,,
SP,1981,12/02/1981,10000,COPEPOD NAUPLII,4.65,,
SP,1981,12/02/1981,20000,CYCLOPOID,1.3,,
SP,1981,12/02/1981,20302,DIACYCLOPS THOMASI,2.33,,
SP,1981,12/02/1981,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.63,,
SP,1981,12/02/1981,30000,CALANOID,0.08,,
SP,1981,12/02/1981,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,,
SP,1981,12/02/1981,51000,CHYDORUS,2.81,,
SP,1981,12/02/1981,60300,ASPLANCHNA,8.99,,
SP,1981,12/02/1981,60900,CONOCHILUS,0.3,,
SP,1981,12/02/1981,60902,CONOCHILUS UNICORNIS,6.54,,
SP,1981,12/02/1981,61702,KELLICOTTIA LONGISPINA,45,,
SP,1981,12/02/1981,61801,KERATELLA COCHLEARIS,62.82,,
SP,1981,12/02/1981,61803,KERATELLA CRASSA,1,,
SP,1981,12/02/1981,61805,KERATELLA HIEMALIS,0.24,,
SP,1981,12/02/1981,61806,KERATELLA QUADRATA,1.89,,
SP,1981,12/02/1981,61900,LECANE,2.36,,
SP,1981,12/02/1981,61904,LECANE INERMIS,0.23,,
SP,1981,12/02/1981,63001,POLYARTHRA DOLICHOPTERA,0.42,,
SP,1981,12/02/1981,63004,POLYARTHRA REMATA,0.08,,
SP,1981,12/02/1981,63005,POLYARTHRA VULGARIS,6.25,,
SP,1981,12/02/1981,69935,,3.39,,
SP,1981,12/02/1981,69936,,0.89,,
SP,1982,01/20/1982,10000,COPEPOD NAUPLII,34.54,,
SP,1982,01/20/1982,20302,DIACYCLOPS THOMASI,6.66,,
SP,1982,01/20/1982,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.31,,
SP,1982,01/20/1982,30402,LEPTODIAPTOMUS MINUTUS,0.31,,
SP,1982,01/20/1982,51000,CHYDORUS,0.66,,
SP,1982,01/20/1982,51100,DAPHNIA,0.31,,
SP,1982,01/20/1982,60300,ASPLANCHNA,0.62,,
SP,1982,01/20/1982,60900,CONOCHILUS,16.67,,
SP,1982,01/20/1982,61402,FILINIA TERMINALIS,0.9,,
SP,1982,01/20/1982,61502,GASTROPUS STYLIFER,0.35,,
SP,1982,01/20/1982,61702,KELLICOTTIA LONGISPINA,26.21,,
SP,1982,01/20/1982,61801,KERATELLA COCHLEARIS,0.31,,
SP,1982,01/20/1982,61803,KERATELLA CRASSA,1,,
SP,1982,01/20/1982,61804,KERATELLA EARLINAE,12.53,,
SP,1982,01/20/1982,61805,KERATELLA HIEMALIS,0.23,,
SP,1982,01/20/1982,61806,KERATELLA QUADRATA,0.35,,
SP,1982,01/20/1982,61904,LECANE INERMIS,3.93,,
SP,1982,01/20/1982,63005,POLYARTHRA VULGARIS,9.34,,
SP,1982,01/20/1982,63400,SYNCHAETA,0.23,,
SP,1982,01/20/1982,69990,,0.23,,
SP,1982,01/20/1982,69991,,0.23,,
SP,1982,01/20/1982,69992,UNKNOWN ROTIFER,0.62,,
SP,1982,02/24/1982,10000,COPEPOD NAUPLII,12.77,,
SP,1982,02/24/1982,20000,CYCLOPOID,0.93,,
SP,1982,02/24/1982,20302,DIACYCLOPS THOMASI,0.64,,
SP,1982,02/24/1982,30801,SKISTODIAPTOMUS OREGONENSIS,0.73,,
SP,1982,02/24/1982,51104,DAPHNIA LONGIREMIS,0.11,,
SP,1982,02/24/1982,60300,ASPLANCHNA,0.53,,
SP,1982,02/24/1982,60902,CONOCHILUS UNICORNIS,8.64,,
SP,1982,02/24/1982,61500,GASTROPUS,0.42,,
SP,1982,02/24/1982,61702,KELLICOTTIA LONGISPINA,15.67,,
SP,1982,02/24/1982,61801,KERATELLA COCHLEARIS,1.75,,
SP,1982,02/24/1982,61803,KERATELLA CRASSA,0.82,,
SP,1982,02/24/1982,61805,KERATELLA HIEMALIS,0.14,,
SP,1982,02/24/1982,61806,KERATELLA QUADRATA,0.72,,
SP,1982,02/24/1982,61900,LECANE,0.43,,
SP,1982,02/24/1982,63001,POLYARTHRA DOLICHOPTERA,1.86,,
SP,1982,02/24/1982,63005,POLYARTHRA VULGARIS,3.49,,
SP,1982,02/24/1982,69932,,0.86,,
SP,1982,05/27/1982,10000,COPEPOD NAUPLII,41.62,,
SP,1982,05/27/1982,20000,CYCLOPOID,1.53,,
SP,1982,05/27/1982,20300,DIACYCLOPS,1.07,,
SP,1982,05/27/1982,20302,DIACYCLOPS THOMASI,26.6,,
SP,1982,05/27/1982,30000,CALANOID,1.44,,
SP,1982,05/27/1982,30402,LEPTODIAPTOMUS MINUTUS,14.13,,
SP,1982,05/27/1982,30801,SKISTODIAPTOMUS OREGONENSIS,2.53,,
SP,1982,05/27/1982,50700,BOSMINIDAE,1.55,,
SP,1982,05/27/1982,51130,DAPHNIA PULICARIA,0.14,,
SP,1982,05/27/1982,60300,ASPLANCHNA,1.55,,
SP,1982,05/27/1982,60900,CONOCHILUS,28.58,,
SP,1982,05/27/1982,61702,KELLICOTTIA LONGISPINA,18.34,,
SP,1982,05/27/1982,61801,KERATELLA COCHLEARIS,15.67,,
SP,1982,05/27/1982,61803,KERATELLA CRASSA,8,,
SP,1982,05/27/1982,61804,KERATELLA EARLINAE,12.66,,
SP,1982,05/27/1982,61805,KERATELLA HIEMALIS,0.14,,
SP,1982,05/27/1982,61806,KERATELLA QUADRATA,1.76,,
SP,1982,05/27/1982,61808,KERATELLA TAUROCEPHALA,16.46,,
SP,1982,05/27/1982,61900,LECANE,1.27,,
SP,1982,05/27/1982,63000,POLYARTHRA,3.48,,
SP,1982,05/27/1982,63001,POLYARTHRA DOLICHOPTERA,19.38,,
SP,1982,05/27/1982,63004,POLYARTHRA REMATA,1.27,,
SP,1982,05/27/1982,63005,POLYARTHRA VULGARIS,21.84,,
SP,1982,05/27/1982,63400,SYNCHAETA,9.27,,
SP,1982,05/27/1982,69915,UNKNOWN,1.27,,
SP,1982,05/27/1982,70057,,0.63,,
SP,1982,05/27/1982,70058,,0.43,,
SP,1982,05/27/1982,70059,,0.66,,
SP,1982,05/27/1982,70060,,2.13,,
SP,1982,06/10/1982,10000,COPEPOD NAUPLII,31.79,,
SP,1982,06/10/1982,20000,CYCLOPOID,1.97,,
SP,1982,06/10/1982,20302,DIACYCLOPS THOMASI,19.25,,
SP,1982,06/10/1982,30000,CALANOID,0.95,,
SP,1982,06/10/1982,30400,DIAPTOMID,0.3,,
SP,1982,06/10/1982,30402,LEPTODIAPTOMUS MINUTUS,0.48,,
SP,1982,06/10/1982,30801,SKISTODIAPTOMUS OREGONENSIS,8,,
SP,1982,06/10/1982,50700,BOSMINIDAE,1.98,,
SP,1982,06/10/1982,51100,DAPHNIA,0.4,,
SP,1982,06/10/1982,51130,DAPHNIA PULICARIA,0.18,,
SP,1982,06/10/1982,51202,DIAPHANOSOMA BIRGEI,0.4,,
SP,1982,06/10/1982,60300,ASPLANCHNA,0.62,,
SP,1982,06/10/1982,60900,CONOCHILUS,22.34,,
SP,1982,06/10/1982,60901,CONOCHILUS HIPPOCREPIS,2.33,,
SP,1982,06/10/1982,60902,CONOCHILUS UNICORNIS,0.36,,
SP,1982,06/10/1982,61502,GASTROPUS STYLIFER,39.4,,
SP,1982,06/10/1982,61702,KELLICOTTIA LONGISPINA,34.83,,
SP,1982,06/10/1982,61801,KERATELLA COCHLEARIS,12.51,,
SP,1982,06/10/1982,61803,KERATELLA CRASSA,17.69,,
SP,1982,06/10/1982,61804,KERATELLA EARLINAE,40.2,,
SP,1982,06/10/1982,61805,KERATELLA HIEMALIS,1.79,,
SP,1982,06/10/1982,61806,KERATELLA QUADRATA,10.15,,
SP,1982,06/10/1982,61808,KERATELLA TAUROCEPHALA,0.58,,
SP,1982,06/10/1982,63000,POLYARTHRA,20.8,,
SP,1982,06/10/1982,63001,POLYARTHRA DOLICHOPTERA,2.73,,
SP,1982,06/10/1982,63005,POLYARTHRA VULGARIS,1.34,,
SP,1982,06/10/1982,63400,SYNCHAETA,7.42,,
SP,1982,06/10/1982,70061,,0.36,,
SP,1982,06/10/1982,70062,,0.94,,
SP,1982,06/10/1982,70063,,0.18,,
SP,1982,07/08/1982,10000,COPEPOD NAUPLII,7.07,,
SP,1982,07/08/1982,20000,CYCLOPOID,2.72,,
SP,1982,07/08/1982,30000,CALANOID,1.88,,
SP,1982,07/08/1982,50700,BOSMINIDAE,0.65,,
SP,1982,07/08/1982,51100,DAPHNIA,0.65,,
SP,1982,07/08/1982,51200,DIAPHANOSOMA,1.16,,
SP,1982,07/08/1982,60900,CONOCHILUS,3.04,,
SP,1982,07/08/1982,61400,FILINIA,0.43,,
SP,1982,07/08/1982,61702,KELLICOTTIA LONGISPINA,4.67,,
SP,1982,07/08/1982,61801,KERATELLA COCHLEARIS,27.07,,
SP,1982,07/08/1982,61806,KERATELLA QUADRATA,4.57,,
SP,1982,07/08/1982,63000,POLYARTHRA,4.24,,
SP,1982,07/08/1982,63400,SYNCHAETA,1.2,,
SP,1982,07/08/1982,63600,TRICHOCERCA,2.03,,
SP,1982,08/02/1982,10000,COPEPOD NAUPLII,5.33,,
SP,1982,08/02/1982,20000,CYCLOPOID,0.78,,
SP,1982,08/02/1982,20302,DIACYCLOPS THOMASI,0.78,,
SP,1982,08/02/1982,30000,CALANOID,0.39,,
SP,1982,08/02/1982,30400,DIAPTOMID,0.58,,
SP,1982,08/02/1982,51100,DAPHNIA,0.39,,
SP,1982,08/02/1982,51130,DAPHNIA PULICARIA,0.78,,
SP,1982,08/02/1982,51200,DIAPHANOSOMA,0.39,,
SP,1982,08/02/1982,51202,DIAPHANOSOMA BIRGEI,0.39,,
SP,1982,08/02/1982,60900,CONOCHILUS,2.71,,
SP,1982,08/02/1982,61702,KELLICOTTIA LONGISPINA,2.2,,
SP,1982,08/02/1982,61801,KERATELLA COCHLEARIS,3.1,,
SP,1982,08/02/1982,61803,KERATELLA CRASSA,2.58,,
SP,1982,08/02/1982,61806,KERATELLA QUADRATA,3.1,,
SP,1982,08/02/1982,61900,LECANE,1.16,,
SP,1982,08/02/1982,63001,POLYARTHRA DOLICHOPTERA,1.16,,
SP,1982,08/02/1982,63005,POLYARTHRA VULGARIS,0.78,,
SP,1982,08/02/1982,63400,SYNCHAETA,2.81,,
SP,1982,08/17/1982,10000,COPEPOD NAUPLII,8.64,,
SP,1982,08/17/1982,20000,CYCLOPOID,2.48,,
SP,1982,08/17/1982,20302,DIACYCLOPS THOMASI,1.07,,
SP,1982,08/17/1982,30000,CALANOID,0.48,,
SP,1982,08/17/1982,30402,LEPTODIAPTOMUS MINUTUS,0.96,,
SP,1982,08/17/1982,30801,SKISTODIAPTOMUS OREGONENSIS,0.28,,
SP,1982,08/17/1982,51103,DAPHNIA MENDOTAE,0.76,,
SP,1982,08/17/1982,51104,DAPHNIA LONGIREMIS,0.63,,
SP,1982,08/17/1982,51200,DIAPHANOSOMA,1.73,,
SP,1982,08/17/1982,60902,CONOCHILUS UNICORNIS,0.95,,
SP,1982,08/17/1982,61402,FILINIA TERMINALIS,0.22,,
SP,1982,08/17/1982,61500,GASTROPUS,0.12,,
SP,1982,08/17/1982,61702,KELLICOTTIA LONGISPINA,4.18,,
SP,1982,08/17/1982,61801,KERATELLA COCHLEARIS,11.32,,
SP,1982,08/17/1982,61803,KERATELLA CRASSA,0.3,,
SP,1982,08/17/1982,61805,KERATELLA HIEMALIS,0.12,,
SP,1982,08/17/1982,61806,KERATELLA QUADRATA,2.13,,
SP,1982,08/17/1982,61808,KERATELLA TAUROCEPHALA,0.13,,
SP,1982,08/17/1982,61900,LECANE,0.21,,
SP,1982,08/17/1982,63001,POLYARTHRA DOLICHOPTERA,2.13,,
SP,1982,08/17/1982,63003,POLYARTHRA MAJOR,0.12,,
SP,1982,08/17/1982,63005,POLYARTHRA VULGARIS,0.65,,
SP,1982,08/17/1982,63400,SYNCHAETA,0.12,,
SP,1982,08/17/1982,63603,TRICHOCERCA CYLINDRICA,0.13,,
SP,1982,09/09/1982,10000,COPEPOD NAUPLII,14.14,,
SP,1982,09/09/1982,20000,CYCLOPOID,6.99,,
SP,1982,09/09/1982,20302,DIACYCLOPS THOMASI,3.62,,
SP,1982,09/09/1982,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.3,,
SP,1982,09/09/1982,30402,LEPTODIAPTOMUS MINUTUS,0.86,,
SP,1982,09/09/1982,30801,SKISTODIAPTOMUS OREGONENSIS,0.91,,
SP,1982,09/09/1982,51103,DAPHNIA MENDOTAE,1.23,,
SP,1982,09/09/1982,51200,DIAPHANOSOMA,1.23,,
SP,1982,09/09/1982,60902,CONOCHILUS UNICORNIS,0.52,,
SP,1982,09/09/1982,61500,GASTROPUS,2.04,,
SP,1982,09/09/1982,61702,KELLICOTTIA LONGISPINA,14.94,,
SP,1982,09/09/1982,61801,KERATELLA COCHLEARIS,27.4,,
SP,1982,09/09/1982,61806,KERATELLA QUADRATA,2.23,,
SP,1982,09/09/1982,61808,KERATELLA TAUROCEPHALA,0.33,,
SP,1982,09/09/1982,61900,LECANE,0.28,,
SP,1982,09/09/1982,62900,PLOESOMA,1.16,,
SP,1982,09/09/1982,63001,POLYARTHRA DOLICHOPTERA,2.71,,
SP,1982,09/09/1982,63005,POLYARTHRA VULGARIS,2.64,,
SP,1982,10/07/1982,10000,COPEPOD NAUPLII,21.84,,
SP,1982,10/07/1982,20302,DIACYCLOPS THOMASI,19.54,,
SP,1982,10/07/1982,20901,TROPOCYCLOPS PRASINUS MEXICANUS,3.45,,
SP,1982,10/07/1982,30402,LEPTODIAPTOMUS MINUTUS,1.15,,
SP,1982,10/07/1982,51000,CHYDORUS,2.3,,
SP,1982,10/07/1982,51104,DAPHNIA LONGIREMIS,2.3,,
SP,1982,10/07/1982,51202,DIAPHANOSOMA BIRGEI,2.3,,
SP,1982,10/07/1982,61702,KELLICOTTIA LONGISPINA,20.69,,
SP,1982,10/07/1982,61801,KERATELLA COCHLEARIS,57.47,,
SP,1982,10/07/1982,61804,KERATELLA EARLINAE,2.3,,
SP,1982,10/07/1982,63001,POLYARTHRA DOLICHOPTERA,3.45,,
SP,1982,10/07/1982,63004,POLYARTHRA REMATA,2.3,,
SP,1982,10/07/1982,63005,POLYARTHRA VULGARIS,18.39,,
SP,1982,11/10/1982,10000,COPEPOD NAUPLII,2.9,,
SP,1982,11/10/1982,20000,CYCLOPOID,3.38,,
SP,1982,11/10/1982,20302,DIACYCLOPS THOMASI,1.85,,
SP,1982,11/10/1982,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.77,,
SP,1982,11/10/1982,30000,CALANOID,0.05,,
SP,1982,11/10/1982,30402,LEPTODIAPTOMUS MINUTUS,0.12,,
SP,1982,11/10/1982,30801,SKISTODIAPTOMUS OREGONENSIS,0.4,,
SP,1982,11/10/1982,50700,BOSMINIDAE,0.99,,
SP,1982,11/10/1982,51103,DAPHNIA MENDOTAE,3.03,,
SP,1982,11/10/1982,51104,DAPHNIA LONGIREMIS,0.25,,
SP,1982,11/10/1982,60200,ASCOMORPHA,0.48,,
SP,1982,11/10/1982,60300,ASPLANCHNA,1.83,,
SP,1982,11/10/1982,61500,GASTROPUS,0.67,,
SP,1982,11/10/1982,61702,KELLICOTTIA LONGISPINA,3.14,,
SP,1982,11/10/1982,61801,KERATELLA COCHLEARIS,12.96,,
SP,1982,11/10/1982,61806,KERATELLA QUADRATA,0.05,,
SP,1982,11/10/1982,61900,LECANE,0.34,,
SP,1982,11/10/1982,63001,POLYARTHRA DOLICHOPTERA,0.34,,
SP,1982,11/10/1982,63005,POLYARTHRA VULGARIS,12.67,,
SP,1982,11/10/1982,63400,SYNCHAETA,0.11,,
SP,1983,01/13/1983,10000,COPEPOD NAUPLII,20.12,,
SP,1983,01/13/1983,20302,DIACYCLOPS THOMASI,15.38,,
SP,1983,01/13/1983,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.37,,
SP,1983,01/13/1983,51103,DAPHNIA MENDOTAE,4.73,,
SP,1983,01/13/1983,61702,KELLICOTTIA LONGISPINA,11.83,,
SP,1983,01/13/1983,61801,KERATELLA COCHLEARIS,7.1,,
SP,1983,01/13/1983,61805,KERATELLA HIEMALIS,3.55,,
SP,1983,01/13/1983,63004,POLYARTHRA REMATA,1.18,,
SP,1983,01/13/1983,63005,POLYARTHRA VULGARIS,10.65,,
SP,1983,03/28/1983,10000,COPEPOD NAUPLII,48.99,,
SP,1983,03/28/1983,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.07,,
SP,1983,03/28/1983,60300,ASPLANCHNA,1.07,,
SP,1983,03/28/1983,61702,KELLICOTTIA LONGISPINA,11.71,,
SP,1983,03/28/1983,61805,KERATELLA HIEMALIS,1.07,,
SP,1983,03/28/1983,63400,SYNCHAETA,1.07,,
SP,1983,05/25/1983,10000,COPEPOD NAUPLII,11.71,,
SP,1983,05/25/1983,20302,DIACYCLOPS THOMASI,24.49,,
SP,1983,05/25/1983,30801,SKISTODIAPTOMUS OREGONENSIS,1.07,,
SP,1983,05/25/1983,51103,DAPHNIA MENDOTAE,1.07,,
SP,1983,05/25/1983,60300,ASPLANCHNA,9.58,,
SP,1983,05/25/1983,60900,CONOCHILUS,8.52,,
SP,1983,05/25/1983,61501,GASTROPUS HYPTOPUS,6.39,,
SP,1983,05/25/1983,61502,GASTROPUS STYLIFER,1.07,,
SP,1983,05/25/1983,61702,KELLICOTTIA LONGISPINA,317.36,,
SP,1983,05/25/1983,61801,KERATELLA COCHLEARIS,19.17,,
SP,1983,05/25/1983,61805,KERATELLA HIEMALIS,5.32,,
SP,1983,05/25/1983,63001,POLYARTHRA DOLICHOPTERA,1.07,,
SP,1983,05/25/1983,63004,POLYARTHRA REMATA,2.13,,
