"lakeid","year4","sample_date","station","species_code","species_name","density","individuals_measured","avg_length"
"AL",1983,"1983-05-10",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.80,,
"AL",1983,"1983-05-10",1,30801,"SKISTODIAPTOMUS OREGONENSIS",0.60,,
"AL",1983,"1983-05-10",1,51801,"HOLOPEDIUM GIBBERUM",0.60,,
"AL",1983,"1983-05-10",1,60900,"CONOCHILUS",38.30,,
"AL",1983,"1983-05-10",1,61402,"FILINIA TERMINALIS",3.00,,
"AL",1983,"1983-05-10",1,61702,"KELLICOTTIA LONGISPINA",10.40,,
"AL",1983,"1983-05-10",1,61801,"KERATELLA COCHLEARIS",11.00,,
"AL",1983,"1983-05-10",1,61803,"KERATELLA CRASSA",0.60,,
"AL",1983,"1983-05-10",1,61804,"KERATELLA EARLINAE",28.60,,
"AL",1983,"1983-05-10",1,61805,"KERATELLA HIEMALIS",74.20,,
"AL",1983,"1983-05-10",1,61806,"KERATELLA QUADRATA",18.30,,
"AL",1983,"1983-05-10",1,63001,"POLYARTHRA DOLICHOPTERA",48.70,,
"AL",1983,"1983-05-10",1,63004,"POLYARTHRA REMATA",2.40,,
"AL",1983,"1983-05-10",1,63005,"POLYARTHRA VULGARIS",8.50,,
"AL",1983,"1983-05-10",1,63400,"SYNCHAETA",29.80,,
"AL",1983,"1983-05-10",1,63616,"TRICHOCERCA ROUSSELETI",0.60,,
"AL",1983,"1983-06-22",1,10000,"COPEPOD NAUPLII",94.30,,
"AL",1983,"1983-06-22",1,20000,"CYCLOPOID",7.20,,
"AL",1983,"1983-06-22",1,20302,"DIACYCLOPS THOMASI",4.80,,
"AL",1983,"1983-06-22",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",3.20,,
"AL",1983,"1983-06-22",1,30801,"SKISTODIAPTOMUS OREGONENSIS",16.00,,
"AL",1983,"1983-06-22",1,50900,"CERIODAPHNIA",0.80,,
"AL",1983,"1983-06-22",1,51103,"DAPHNIA MENDOTAE",9.60,,
"AL",1983,"1983-06-22",1,51130,"DAPHNIA PULICARIA",0.80,,
"AL",1983,"1983-06-22",1,51202,"DIAPHANOSOMA BIRGEI",0.80,,
"AL",1983,"1983-06-22",1,51801,"HOLOPEDIUM GIBBERUM",0.80,,
"AL",1983,"1983-06-22",1,60202,"ASCOMORPHA OVALIS",11.20,,
"AL",1983,"1983-06-22",1,60300,"ASPLANCHNA",19.20,,
"AL",1983,"1983-06-22",1,60900,"CONOCHILUS",22.40,,
"AL",1983,"1983-06-22",1,61502,"GASTROPUS STYLIFER",3.20,,
"AL",1983,"1983-06-22",1,61702,"KELLICOTTIA LONGISPINA",22.40,,
"AL",1983,"1983-06-22",1,61801,"KERATELLA COCHLEARIS",71.90,,
"AL",1983,"1983-06-22",1,61803,"KERATELLA CRASSA",11.20,,
"AL",1983,"1983-06-22",1,61804,"KERATELLA EARLINAE",9.60,,
"AL",1983,"1983-06-22",1,63003,"POLYARTHRA MAJOR",1.60,,
"AL",1983,"1983-06-22",1,63004,"POLYARTHRA REMATA",19.20,,
"AL",1983,"1983-06-22",1,63005,"POLYARTHRA VULGARIS",43.10,,
"AL",1983,"1983-06-22",1,63400,"SYNCHAETA",35.10,,
"AL",1983,"1983-06-22",1,63603,"TRICHOCERCA CYLINDRICA",6.40,,
"AL",1983,"1983-06-22",1,63612,"TRICHOCERCA MULTICRINIS",6.40,,
"AL",1983,"1983-06-22",1,63616,"TRICHOCERCA ROUSSELETI",9.60,,
"AL",1983,"1983-06-22",1,63617,"TRICHOCERCA SIMILIS",1.60,,
"AL",1983,"1983-08-15",1,10000,"COPEPOD NAUPLII",28.20,,
"AL",1983,"1983-08-15",1,20000,"CYCLOPOID",2.10,,
"AL",1983,"1983-08-15",1,20101,"ACANTHOCYCLOPS VERNALIS",0.50,,
"AL",1983,"1983-08-15",1,20601,"MESOCYCLOPS EDAX",2.70,,
"AL",1983,"1983-08-15",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.10,,
"AL",1983,"1983-08-15",1,30801,"SKISTODIAPTOMUS OREGONENSIS",4.70,,
"AL",1983,"1983-08-15",1,51103,"DAPHNIA MENDOTAE",12.00,,
"AL",1983,"1983-08-15",1,51202,"DIAPHANOSOMA BIRGEI",1.10,,
"AL",1983,"1983-08-15",1,51801,"HOLOPEDIUM GIBBERUM",0.50,,
"AL",1983,"1983-08-15",1,60202,"ASCOMORPHA OVALIS",3.10,,
"AL",1983,"1983-08-15",1,60300,"ASPLANCHNA",3.10,,
"AL",1983,"1983-08-15",1,60900,"CONOCHILUS",39.70,,
"AL",1983,"1983-08-15",1,61502,"GASTROPUS STYLIFER",6.30,,
"AL",1983,"1983-08-15",1,61702,"KELLICOTTIA LONGISPINA",1.10,,
"AL",1983,"1983-08-15",1,61801,"KERATELLA COCHLEARIS",74.20,,
"AL",1983,"1983-08-15",1,61803,"KERATELLA CRASSA",2.10,,
"AL",1983,"1983-08-15",1,61804,"KERATELLA EARLINAE",2.10,,
"AL",1983,"1983-08-15",1,62900,"PLOESOMA",1.10,,
"AL",1983,"1983-08-15",1,63001,"POLYARTHRA DOLICHOPTERA",16.70,,
"AL",1983,"1983-08-15",1,63004,"POLYARTHRA REMATA",16.70,,
"AL",1983,"1983-08-15",1,63005,"POLYARTHRA VULGARIS",114.00,,
"AL",1983,"1983-08-15",1,63100,"POMPHOLYX",7.30,,
"AL",1983,"1983-08-15",1,63603,"TRICHOCERCA CYLINDRICA",97.20,,
"AL",1983,"1983-10-18",1,10000,"COPEPOD NAUPLII",25.50,,
"AL",1983,"1983-10-18",1,20000,"CYCLOPOID",3.40,,
"AL",1983,"1983-10-18",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.40,,
"AL",1983,"1983-10-18",1,30801,"SKISTODIAPTOMUS OREGONENSIS",14.70,,
"AL",1983,"1983-10-18",1,50700,"BOSMINIDAE",0.70,,
"AL",1983,"1983-10-18",1,51100,"DAPHNIA",9.40,,
"AL",1983,"1983-10-18",1,60300,"ASPLANCHNA",1.30,,
"AL",1983,"1983-10-18",1,61803,"KERATELLA CRASSA",0.70,,
"AL",1983,"1983-10-18",1,61804,"KERATELLA EARLINAE",23.50,,
"AL",1983,"1983-10-18",1,63000,"POLYARTHRA",4.70,,
"AL",1983,"1983-10-18",1,63400,"SYNCHAETA",2.70,,
"AL",1984,"1984-02-29",1,10000,"COPEPOD NAUPLII",20.10,,
"AL",1984,"1984-02-29",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.70,,
"AL",1984,"1984-02-29",1,30801,"SKISTODIAPTOMUS OREGONENSIS",6.70,,
"AL",1984,"1984-02-29",1,51100,"DAPHNIA",0.70,,
"AL",1984,"1984-02-29",1,61701,"KELLICOTTIA BOSTONIENSIS",0.70,,
"AL",1984,"1984-02-29",1,61801,"KERATELLA COCHLEARIS",6.70,,
"AL",1984,"1984-02-29",1,61804,"KERATELLA EARLINAE",8.10,,
"AL",1984,"1984-02-29",1,61805,"KERATELLA HIEMALIS",4.00,,
"AL",1984,"1984-02-29",1,61806,"KERATELLA QUADRATA",2.00,,
"AL",1984,"1984-02-29",1,63000,"POLYARTHRA",0.70,,
"AL",1984,"1984-05-09",1,10000,"COPEPOD NAUPLII",93.60,,
"AL",1984,"1984-05-09",1,20000,"CYCLOPOID",29.90,,
"AL",1984,"1984-05-09",1,30801,"SKISTODIAPTOMUS OREGONENSIS",2.30,,
"AL",1984,"1984-05-09",1,51100,"DAPHNIA",5.40,,
"AL",1984,"1984-05-09",1,51801,"HOLOPEDIUM GIBBERUM",0.80,,
"AL",1984,"1984-05-09",1,60300,"ASPLANCHNA",0.80,,
"AL",1984,"1984-05-09",1,60900,"CONOCHILUS",3.80,,
"AL",1984,"1984-05-09",1,61402,"FILINIA TERMINALIS",16.10,,
"AL",1984,"1984-05-09",1,61804,"KERATELLA EARLINAE",27.60,,
"AL",1984,"1984-05-09",1,61806,"KERATELLA QUADRATA",74.40,,
"AL",1984,"1984-05-09",1,63000,"POLYARTHRA",3.10,,
"AL",1984,"1984-06-21",1,10000,"COPEPOD NAUPLII",32.30,,
"AL",1984,"1984-06-21",1,20000,"CYCLOPOID",2.90,,
"AL",1984,"1984-06-21",1,20302,"DIACYCLOPS THOMASI",5.10,,
"AL",1984,"1984-06-21",1,50700,"BOSMINIDAE",0.70,,
"AL",1984,"1984-06-21",1,51100,"DAPHNIA",16.20,,
"AL",1984,"1984-06-21",1,60300,"ASPLANCHNA",2.20,,
"AL",1984,"1984-06-21",1,61702,"KELLICOTTIA LONGISPINA",2.20,,
"AL",1984,"1984-06-21",1,61803,"KERATELLA CRASSA",0.70,,
"AL",1984,"1984-06-21",1,61804,"KERATELLA EARLINAE",54.40,,
"AL",1984,"1984-06-21",1,63000,"POLYARTHRA",63.20,,
"AL",1984,"1984-06-21",1,63603,"TRICHOCERCA CYLINDRICA",5.90,,
"AL",1984,"1984-08-14",1,10000,"COPEPOD NAUPLII",26.20,,
"AL",1984,"1984-08-14",1,20000,"CYCLOPOID",0.60,,
"AL",1984,"1984-08-14",1,20101,"ACANTHOCYCLOPS VERNALIS",1.30,,
"AL",1984,"1984-08-14",1,20302,"DIACYCLOPS THOMASI",1.80,,
"AL",1984,"1984-08-14",1,30801,"SKISTODIAPTOMUS OREGONENSIS",5.70,,
"AL",1984,"1984-08-14",1,51103,"DAPHNIA MENDOTAE",6.40,,
"AL",1984,"1984-08-14",1,51202,"DIAPHANOSOMA BIRGEI",0.60,,
"AL",1984,"1984-08-14",1,60202,"ASCOMORPHA OVALIS",10.20,,
"AL",1984,"1984-08-14",1,60601,"COLLOTHECA MUTABILIS",2.60,,
"AL",1984,"1984-08-14",1,60900,"CONOCHILUS",1.30,,
"AL",1984,"1984-08-14",1,61502,"GASTROPUS STYLIFER",1.30,,
"AL",1984,"1984-08-14",1,61702,"KELLICOTTIA LONGISPINA",1.90,,
"AL",1984,"1984-08-14",1,61801,"KERATELLA COCHLEARIS",66.50,,
"AL",1984,"1984-08-14",1,61803,"KERATELLA CRASSA",0.60,,
"AL",1984,"1984-08-14",1,61804,"KERATELLA EARLINAE",14.70,,
"AL",1984,"1984-08-14",1,61808,"KERATELLA TAUROCEPHALA",1.90,,
"AL",1984,"1984-08-14",1,62900,"PLOESOMA",1.30,,
"AL",1984,"1984-08-14",1,63003,"POLYARTHRA MAJOR",8.30,,
"AL",1984,"1984-08-14",1,63004,"POLYARTHRA REMATA",15.30,,
"AL",1984,"1984-08-14",1,63005,"POLYARTHRA VULGARIS",26.80,,
"AL",1984,"1984-08-14",1,63100,"POMPHOLYX",6.40,,
"AL",1984,"1984-08-14",1,63400,"SYNCHAETA",2.60,,
"AL",1984,"1984-08-14",1,63602,"TRICHOCERCA BIROSTRIS",1.30,,
"AL",1984,"1984-08-14",1,63616,"TRICHOCERCA ROUSSELETI",1.90,,
"AL",1984,"1984-08-14",1,63617,"TRICHOCERCA SIMILIS",1.30,,
"AL",1984,"1984-11-08",1,10000,"COPEPOD NAUPLII",26.10,,
"AL",1984,"1984-11-08",1,20000,"CYCLOPOID",2.90,,
"AL",1984,"1984-11-08",1,20601,"MESOCYCLOPS EDAX",1.50,,
"AL",1984,"1984-11-08",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",2.90,,
"AL",1984,"1984-11-08",1,30801,"SKISTODIAPTOMUS OREGONENSIS",21.80,,
"AL",1984,"1984-11-08",1,50700,"BOSMINIDAE",26.10,,
"AL",1984,"1984-11-08",1,51000,"CHYDORUS",2.90,,
"AL",1984,"1984-11-08",1,51100,"DAPHNIA",14.50,,
"AL",1984,"1984-11-08",1,60900,"CONOCHILUS",1.50,,
"AL",1984,"1984-11-08",1,61502,"GASTROPUS STYLIFER",2.90,,
"AL",1984,"1984-11-08",1,61702,"KELLICOTTIA LONGISPINA",2.90,,
"AL",1984,"1984-11-08",1,61801,"KERATELLA COCHLEARIS",289.00,,
"AL",1984,"1984-11-08",1,61803,"KERATELLA CRASSA",1.50,,
"AL",1984,"1984-11-08",1,61806,"KERATELLA QUADRATA",4.40,,
"AL",1984,"1984-11-08",1,63004,"POLYARTHRA REMATA",7.30,,
"AL",1984,"1984-11-08",1,63005,"POLYARTHRA VULGARIS",5.80,,
"AL",1984,"1984-11-08",1,63400,"SYNCHAETA",2.90,,
"AL",1984,"1984-11-08",1,63602,"TRICHOCERCA BIROSTRIS",1.50,,
"AL",1984,"1984-11-08",1,63613,"TRICHOCERCA PORCELLUS",2.90,,
"AL",1985,"1985-02-25",1,10000,"COPEPOD NAUPLII",38.90,,
"AL",1985,"1985-02-25",1,20302,"DIACYCLOPS THOMASI",1.40,,
"AL",1985,"1985-02-25",1,30801,"SKISTODIAPTOMUS OREGONENSIS",2.00,,
"AL",1985,"1985-02-25",1,50700,"BOSMINIDAE",2.00,,
"AL",1985,"1985-02-25",1,51100,"DAPHNIA",15.40,,
"AL",1985,"1985-02-25",1,61402,"FILINIA TERMINALIS",2.70,,
"AL",1985,"1985-02-25",1,61702,"KELLICOTTIA LONGISPINA",1.30,,
"AL",1985,"1985-02-25",1,61803,"KERATELLA CRASSA",1.30,,
"AL",1985,"1985-02-25",1,61804,"KERATELLA EARLINAE",107.40,,
"AL",1985,"1985-02-25",1,61805,"KERATELLA HIEMALIS",3.40,,
"AL",1985,"1985-02-25",1,61806,"KERATELLA QUADRATA",7.40,,
"AL",1985,"1985-02-25",1,62608,"NOTHOLCA SQUAMULA",0.70,,
"AL",1985,"1985-04-30",1,10000,"COPEPOD NAUPLII",72.70,,
"AL",1985,"1985-04-30",1,20000,"CYCLOPOID",40.70,,
"AL",1985,"1985-04-30",1,20302,"DIACYCLOPS THOMASI",2.40,,
"AL",1985,"1985-04-30",1,20601,"MESOCYCLOPS EDAX",1.60,,
"AL",1985,"1985-04-30",1,30801,"SKISTODIAPTOMUS OREGONENSIS",3.20,,
"AL",1985,"1985-04-30",1,50700,"BOSMINIDAE",0.80,,
"AL",1985,"1985-04-30",1,51100,"DAPHNIA",0.80,,
"AL",1985,"1985-04-30",1,51801,"HOLOPEDIUM GIBBERUM",0.80,,
"AL",1985,"1985-04-30",1,60900,"CONOCHILUS",3.20,,
"AL",1985,"1985-04-30",1,61402,"FILINIA TERMINALIS",12.80,,
"AL",1985,"1985-04-30",1,61804,"KERATELLA EARLINAE",8.00,,
"AL",1985,"1985-04-30",1,61805,"KERATELLA HIEMALIS",4.00,,
"AL",1985,"1985-04-30",1,61806,"KERATELLA QUADRATA",12.80,,
"AL",1985,"1985-04-30",1,62607,"NOTHOLCA MICHIGANENSIS",0.80,,
"AL",1985,"1985-04-30",1,63000,"POLYARTHRA",3.20,,
"AL",1985,"1985-06-11",1,10000,"COPEPOD NAUPLII",42.30,,
"AL",1985,"1985-06-11",1,20000,"CYCLOPOID",13.60,,
"AL",1985,"1985-06-11",1,20101,"ACANTHOCYCLOPS VERNALIS",1.50,,
"AL",1985,"1985-06-11",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.50,,
"AL",1985,"1985-06-11",1,30801,"SKISTODIAPTOMUS OREGONENSIS",7.50,,
"AL",1985,"1985-06-11",1,51000,"CHYDORUS",1.50,,
"AL",1985,"1985-06-11",1,51100,"DAPHNIA",9.10,,
"AL",1985,"1985-06-11",1,60202,"ASCOMORPHA OVALIS",6.00,,
"AL",1985,"1985-06-11",1,60300,"ASPLANCHNA",16.60,,
"AL",1985,"1985-06-11",1,60900,"CONOCHILUS",4.50,,
"AL",1985,"1985-06-11",1,61501,"GASTROPUS HYPTOPUS",1.50,,
"AL",1985,"1985-06-11",1,61502,"GASTROPUS STYLIFER",9.10,,
"AL",1985,"1985-06-11",1,61702,"KELLICOTTIA LONGISPINA",78.50,,
"AL",1985,"1985-06-11",1,61801,"KERATELLA COCHLEARIS",145.00,,
"AL",1985,"1985-06-11",1,61804,"KERATELLA EARLINAE",22.70,,
"AL",1985,"1985-06-11",1,63005,"POLYARTHRA VULGARIS",128.40,,
"AL",1985,"1985-06-11",1,63400,"SYNCHAETA",27.20,,
"AL",1985,"1985-06-11",1,63613,"TRICHOCERCA PORCELLUS",1.50,,
"AL",1985,"1985-06-11",1,63616,"TRICHOCERCA ROUSSELETI",25.70,,
"AL",1985,"1985-06-11",1,63617,"TRICHOCERCA SIMILIS",1.50,,
"AL",1985,"1985-08-19",1,10000,"COPEPOD NAUPLII",32.40,,
"AL",1985,"1985-08-19",1,20000,"CYCLOPOID",0.60,,
"AL",1985,"1985-08-19",1,20601,"MESOCYCLOPS EDAX",0.60,,
"AL",1985,"1985-08-19",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.60,,
"AL",1985,"1985-08-19",1,30801,"SKISTODIAPTOMUS OREGONENSIS",1.90,,
"AL",1985,"1985-08-19",1,50700,"BOSMINIDAE",1.90,,
"AL",1985,"1985-08-19",1,51000,"CHYDORUS",2.50,,
"AL",1985,"1985-08-19",1,51103,"DAPHNIA MENDOTAE",3.70,,
"AL",1985,"1985-08-19",1,60202,"ASCOMORPHA OVALIS",2.50,,
"AL",1985,"1985-08-19",1,60900,"CONOCHILUS",26.20,,
"AL",1985,"1985-08-19",1,61502,"GASTROPUS STYLIFER",11.20,,
"AL",1985,"1985-08-19",1,61702,"KELLICOTTIA LONGISPINA",3.70,,
"AL",1985,"1985-08-19",1,61801,"KERATELLA COCHLEARIS",290.30,,
"AL",1985,"1985-08-19",1,61803,"KERATELLA CRASSA",23.70,,
"AL",1985,"1985-08-19",1,63001,"POLYARTHRA DOLICHOPTERA",2.50,,
"AL",1985,"1985-08-19",1,63003,"POLYARTHRA MAJOR",2.50,,
"AL",1985,"1985-08-19",1,63004,"POLYARTHRA REMATA",54.80,,
"AL",1985,"1985-08-19",1,63005,"POLYARTHRA VULGARIS",181.90,,
"AL",1985,"1985-08-19",1,63100,"POMPHOLYX",2.50,,
"AL",1985,"1985-08-19",1,63616,"TRICHOCERCA ROUSSELETI",1.30,,
"AL",1985,"1985-08-19",1,63617,"TRICHOCERCA SIMILIS",3.70,,
"AL",1985,"1985-11-11",1,10000,"COPEPOD NAUPLII",31.20,,
"AL",1985,"1985-11-11",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1.30,,
"AL",1985,"1985-11-11",1,30801,"SKISTODIAPTOMUS OREGONENSIS",1.30,,
"AL",1985,"1985-11-11",1,51000,"CHYDORUS",3.70,,
"AL",1985,"1985-11-11",1,51100,"DAPHNIA",7.50,,
"AL",1985,"1985-11-11",1,60900,"CONOCHILUS",10.00,,
"AL",1985,"1985-11-11",1,61702,"KELLICOTTIA LONGISPINA",8.70,,
"AL",1985,"1985-11-11",1,61800,"KERATELLA",39.90,,
"AL",1985,"1985-11-11",1,61803,"KERATELLA CRASSA",3.70,,
"AL",1985,"1985-11-11",1,61806,"KERATELLA QUADRATA",5.00,,
"AL",1985,"1985-11-11",1,63003,"POLYARTHRA MAJOR",1.30,,
"AL",1985,"1985-11-11",1,63612,"TRICHOCERCA MULTICRINIS",1.30,,
"AL",1986,"1986-03-03",1,10000,"COPEPOD NAUPLII",2.80,,
"AL",1986,"1986-03-03",1,20302,"DIACYCLOPS THOMASI",0.80,,
"AL",1986,"1986-03-03",1,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",0.40,,
"AL",1986,"1986-03-03",1,30801,"SKISTODIAPTOMUS OREGONENSIS",2.80,,
"AL",1986,"1986-03-03",1,51103,"DAPHNIA MENDOTAE",9.20,,
"AL",1986,"1986-03-03",1,51130,"DAPHNIA PULICARIA",6.40,,
"AL",1986,"1986-03-03",1,61702,"KELLICOTTIA LONGISPINA",0.80,,
"AL",1986,"1986-03-03",1,61801,"KERATELLA COCHLEARIS",16.00,,
"AL",1986,"1986-03-03",1,61803,"KERATELLA CRASSA",0.80,,
"AL",1986,"1986-03-03",1,61804,"KERATELLA EARLINAE",1.20,,
"AL",1986,"1986-03-03",1,61805,"KERATELLA HIEMALIS",1.20,,
"AL",1986,"1986-03-03",1,61806,"KERATELLA QUADRATA",13.20,,
