,X1.x,sampledate,depth.x,o2.x,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,X1.y,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,Taxa,WaterCol,Functional,year4,group,depth.y,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2.y,totnf,totnuf,totpf,totpuf,drsif
11,11,12/2/81,0,11.7,95,65,0.684,NA,NA,NA,NA,NA,0.684210526,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA
12,12,1/20/82,0,11.4,NA,NA,NA,4.3,43,22.5,NA,20.5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA
13,13,2/24/82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,4/5/82,0,13.4,NA,NA,NA,4,51,24.7,NA,26.3,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA
15,15,5/12/82,0,10.5,570,265,0.465,NA,NA,NA,NA,NA,0.464912281,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.44,545,NA,NA,NA,NA,0,0,NA,10.5,NA,NA,NA,NA,3584
16,16,5/27/82,0,7.9,410,350,0.854,NA,NA,NA,NA,NA,0.853658537,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
17,17,6/10/82,0,7.7,600,400,0.667,NA,NA,NA,NA,NA,0.666666667,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
18,18,6/23/82,0,NA,710,570,0.803,NA,NA,NA,NA,NA,0.802816901,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,7/8/82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,7/20/82,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
21,21,8/2/82,0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
22,22,8/17/82,0,NA,NA,1420,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,578,NA,NA,NA,NA,0,0,0,NA,NA,NA,4,NA,3490
23,23,9/9/82,0,9.1,1350,1050,0.778,NA,NA,NA,NA,NA,0.777777778,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,NA,NA,NA,NA,NA,0,0,0,9.1,NA,NA,NA,NA,3489
24,24,9/20/82,0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.5,NA,NA,NA,NA,NA,0,0,0,8.7,NA,NA,NA,NA,3431
25,25,10/7/82,0,10,270,190,0.704,NA,NA,NA,NA,NA,0.703703704,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,NA,NA,3431
26,26,10/19/82,0,9.5,98,68,0.694,NA,NA,NA,NA,NA,0.693877551,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.25,NA,NA,NA,NA,NA,5,0,10,9.5,NA,NA,NA,NA,3370
27,27,11/10/82,0,9.8,58,41,0.707,NA,NA,NA,NA,NA,0.706896552,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA
28,28,12/2/82,0,10.9,144,120,0.833,NA,NA,NA,NA,NA,0.833333333,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA
29,29,1/13/83,0,13.1,NA,NA,NA,24,27,1,NA,26,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA
30,30,2/24/83,0,11,NA,NA,NA,1,29,1,NA,28,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
31,31,3/28/83,0,NA,NA,NA,NA,9.5,39,8,NA,31,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,5/11/83,0,11.1,1570,1350,0.86,NA,NA,NA,NA,NA,0.859872611,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA
33,33,5/25/83,0,11.1,1750,1575,0.9,NA,NA,NA,NA,NA,0.9,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.84,NA,NA,NA,NA,NA,0,NA,16,11.1,NA,NA,NA,NA,3430
34,34,6/9/83,0,10,1680,1500,0.893,NA,NA,NA,NA,NA,0.892857143,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.51,NA,NA,NA,NA,NA,0,NA,0,10,NA,NA,NA,NA,3385
35,35,6/21/83,0,8.7,560,350,0.625,NA,NA,NA,NA,NA,0.625,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,0,NA,NA,8.7,NA,NA,NA,NA,3390
36,36,7/8/83,0,8.6,1550,1450,0.935,NA,NA,NA,NA,NA,0.935483871,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,0,8.6,NA,NA,NA,NA,NA
37,37,7/21/83,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921788,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,8.2,NA,NA,NA,NA,3232
38,38,7/21/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,8.2,NA,NA,NA,NA,3232
39,37,7/21/83,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921788,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,8.2,NA,NA,NA,NA,3251
40,38,7/21/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,8.2,NA,NA,NA,NA,3251
41,37,7/21/83,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921788,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,3232
42,38,7/21/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,3232
43,37,7/21/83,0,8.2,1790,1550,0.866,NA,NA,NA,NA,NA,0.865921788,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3251
44,38,7/21/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3251
45,39,8/1/83,0,8.8,1860,1600,0.86,NA,NA,NA,NA,NA,0.860215054,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
46,40,8/16/83,0,9.3,800,610,0.763,NA,NA,NA,NA,NA,0.7625,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.92,502,NA,NA,NA,NA,0,NA,0,9.3,NA,NA,7,NA,3384
47,41,9/6/83,0,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.76,NA,NA,NA,NA,NA,0,NA,42,7.6,NA,NA,NA,NA,3457
48,42,9/27/83,0,8.8,740,580,0.784,NA,NA,NA,NA,NA,0.783783784,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.73,NA,NA,NA,NA,NA,0,NA,0,8.8,NA,NA,NA,NA,4138
49,43,10/17/83,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,9,NA,NA,NA,NA,3234
50,44,10/17/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,9,NA,NA,NA,NA,3234
51,43,10/17/83,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,9,NA,NA,NA,NA,3236
52,44,10/17/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,9,NA,NA,NA,NA,3236
53,43,10/17/83,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,NA,NA,NA,NA,NA,3234
54,44,10/17/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,NA,NA,NA,NA,NA,3234
55,43,10/17/83,0,9,990,740,0.747,NA,NA,NA,NA,NA,0.747474747,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3236
56,44,10/17/83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3236
57,45,11/2/83,0,8.6,249,193,0.775,NA,NA,NA,NA,NA,0.775100402,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA
58,46,11/15/83,0,8.7,145,115,0.793,NA,NA,NA,NA,NA,0.793103448,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.23,589,NA,NA,NA,NA,5,NA,34,8.7,NA,NA,14,NA,3628
59,47,11/29/83,0,10.6,225,200,0.889,NA,NA,NA,NA,NA,0.888888889,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA
60,48,1/6/84,0,12.9,NA,NA,NA,2.7,36.2,11.8,NA,24.4,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.5,NA,NA,NA,NA,NA,11,NA,41,12.9,NA,NA,NA,NA,3830
61,49,2/27/84,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,13.6,NA,NA,27,NA,3786
62,50,2/27/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,13.6,NA,NA,27,NA,3786
63,49,2/27/84,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,13.6,NA,NA,10,NA,3797
64,50,2/27/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,13.6,NA,NA,10,NA,3797
65,49,2/27/84,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,NA,NA,NA,27,NA,3786
66,50,2/27/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,NA,NA,NA,27,NA,3786
67,49,2/27/84,0,13.6,NA,NA,NA,1,47.5,15,NA,32.5,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,NA,NA,NA,10,NA,3797
68,50,2/27/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,NA,NA,NA,10,NA,3797
69,51,4/10/84,0,9.6,NA,NA,NA,0,44.5,5,NA,39.5,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.36,NA,NA,NA,NA,NA,23,NA,37,9.6,NA,NA,NA,NA,2272
70,52,4/26/84,0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,NA,NA,NA,NA,NA,NA,0,NA,21,11.2,NA,NA,NA,NA,3267
71,53,5/9/84,0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.45,589,NA,NA,NA,NA,3,NA,0,10.7,NA,NA,9,NA,3374
72,54,5/21/84,0,10.1,740,700,0.946,NA,NA,NA,NA,NA,0.945945946,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,10.1,NA,NA,NA,NA,3240
73,55,5/21/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,10.1,NA,NA,NA,NA,3240
74,54,5/21/84,0,10.1,740,700,0.946,NA,NA,NA,NA,NA,0.945945946,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,NA,NA,NA,NA,NA,3240
75,55,5/21/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,NA,NA,NA,NA,NA,3240
76,56,6/4/84,0,10,1650,1050,0.636,NA,NA,NA,NA,NA,0.636363636,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.88,NA,NA,NA,NA,NA,0,NA,9,10,NA,NA,NA,NA,3729
77,57,6/20/84,0,9,622,489,0.786,NA,NA,NA,NA,NA,0.786173633,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,9,NA,NA,NA,NA,3311
78,58,6/20/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,9,NA,NA,NA,NA,3311
79,57,6/20/84,0,9,622,489,0.786,NA,NA,NA,NA,NA,0.786173633,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,NA,NA,NA,NA,NA,3311
80,58,6/20/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,NA,NA,NA,NA,NA,3311
81,59,7/5/84,0,8.1,661,206,0.312,NA,NA,NA,NA,NA,0.311649017,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.98,NA,NA,NA,NA,NA,3,NA,92,8.1,NA,NA,NA,NA,3330
82,60,7/16/84,0,8.2,685,489,0.714,NA,NA,NA,NA,NA,0.713868613,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,8.2,NA,NA,NA,NA,3424
83,61,7/16/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,8.2,NA,NA,NA,NA,3424
84,60,7/16/84,0,8.2,685,489,0.714,NA,NA,NA,NA,NA,0.713868613,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,8.2,NA,NA,NA,NA,3322
85,61,7/16/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,8.2,NA,NA,NA,NA,3322
86,60,7/16/84,0,8.2,685,489,0.714,NA,NA,NA,NA,NA,0.713868613,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,NA,NA,NA,NA,NA,3424
87,61,7/16/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,NA,NA,NA,NA,NA,3424
88,60,7/16/84,0,8.2,685,489,0.714,NA,NA,NA,NA,NA,0.713868613,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,NA,NA,NA,NA,NA,3322
89,61,7/16/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,NA,NA,NA,NA,NA,3322
90,62,7/31/84,0,8.6,1700,1260,0.741,NA,NA,NA,NA,NA,0.741176471,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8,NA,NA,NA,NA,NA,0,NA,10,8.6,NA,NA,NA,NA,3432
91,63,8/16/84,0,8.5,1280,971,0.759,NA,NA,NA,NA,NA,0.75859375,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,580,NA,NA,NA,NA,0,NA,37,8.5,NA,NA,4,NA,3374
92,64,9/5/84,0,8.9,930,750,0.806,NA,NA,NA,NA,NA,0.806451613,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.99,NA,NA,NA,NA,NA,0,NA,8,8.9,NA,NA,NA,NA,3270
93,65,9/25/84,0,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.81,NA,NA,NA,NA,NA,3,NA,40,9.3,NA,NA,NA,NA,3177
94,66,10/17/84,0,9.1,820,610,0.744,NA,NA,NA,NA,NA,0.743902439,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,9.1,NA,NA,NA,NA,3095
95,67,10/17/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,9.1,NA,NA,NA,NA,3095
96,66,10/17/84,0,9.1,820,610,0.744,NA,NA,NA,NA,NA,0.743902439,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,3095
97,67,10/17/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,3095
98,68,11/7/84,0,9.4,348,185,0.532,NA,NA,NA,NA,NA,0.531609195,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,9.4,NA,NA,12,NA,3379
99,69,11/7/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,9.4,NA,NA,12,NA,3379
100,68,11/7/84,0,9.4,348,185,0.532,NA,NA,NA,NA,NA,0.531609195,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,9.4,NA,NA,10,NA,3380
101,69,11/7/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,9.4,NA,NA,10,NA,3380
102,68,11/7/84,0,9.4,348,185,0.532,NA,NA,NA,NA,NA,0.531609195,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,NA,NA,NA,12,NA,3379
103,69,11/7/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,NA,NA,NA,12,NA,3379
104,68,11/7/84,0,9.4,348,185,0.532,NA,NA,NA,NA,NA,0.531609195,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,NA,NA,NA,10,NA,3380
105,69,11/7/84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,NA,NA,NA,10,NA,3380
106,70,11/26/84,0,11,93,65,0.699,NA,NA,NA,NA,NA,0.698924731,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.37,NA,NA,NA,NA,NA,5,NA,71,11,NA,NA,NA,NA,3446
107,71,1/11/85,0,13.4,273,13.9,0.051,8.8,28.7,3,0.355,25.7,0.050915751,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,7.48,NA,NA,NA,NA,NA,10,NA,59,13.4,NA,NA,NA,NA,3827
