,X1.x,daynum,sampledate,depth.x,o2.x,deck,light,frlight.x,avsnow,totice,whiteice,extcoef,blueice,surflite,X1.y,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,X15,X16,X17,X18,X19,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,X1_1,lakeid,year4.x,group,depth.y,ph.x,alk.x,dic.x,tic.x,doc.x,toc.x,no3no2.x,no2.x,nh4.x,o2.y,totnf.x,totnuf.x,totpf.x,totpuf.x,drsif.x,X1,lakeid.x,wtemp,o2,o2sat,cond,frlight.y,chlor,phaeo,ph.y,phair,alk.y,dic.y,tic.y,doc.y,toc.y,no3no2.y,no2.y,nh4.y,totnf.y,totnuf.y,totpf.y,totpuf.y,drsif.y,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,year4frac,lakeid.y,year4.y,rep,sta,depth,surfchlor
579,314,225,8/13/97,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5986,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,292,SP,15.39,8.11,88.29,NA,NA,0.83,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.614,SP,1997,1,1,0,0.8
580,315,240,8/28/97,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.801872659,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6005,SP,1997,iceoff,0,8.21,598,7.85,7.96,3.59,3.71,0,NA,48,8.9,92,96,1,3,2242,293,SP,15.01,8.79,94.05,87.86,0.23,1.22,4.5,7.43,7.97,622.46,8.43,8.54,3.51,3.58,0.39,NA,45.83,104.83,153.21,3,10.08,2557.02,2534.82,2695.42,0.15,5.03,2.52,10.13,2.8,2.45,0.7,0.15,0.02,NA,NA,NA,NA,NA,NA,1997.655,SP,1997,1,1,0,0.5
581,316,252,9/9/97,0,9,564,402.3,0.713,NA,NA,NA,NA,NA,0.713297872,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6027,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,294,SP,14.72,8.7,92.49,NA,0.23,1.25,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.688,SP,1997,1,1,0,1.1
582,317,267,9/24/97,0,9.1,712,860,NA,NA,NA,NA,NA,NA,1.207865169,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6046,SP,1997,iceoff,0,8.01,NA,8.07,8.14,3.54,3.54,0,NA,24,9.1,167,152,4,6,2436,295,SP,13.96,8.17,85.72,NA,0.19,1.02,1.8,7.26,7.99,NA,8.57,8.82,3.44,3.48,0.98,NA,58.37,214.02,223.39,8.51,10.72,2783.4,2628.66,2554.31,0.37,NA,NA,NA,NA,NA,NA,0.41,0.04,NA,NA,NA,NA,NA,NA,1997.729,SP,1997,1,1,0,1.1
583,318,280,10/7/97,0,9.1,532,419.4,0.788,NA,NA,NA,NA,NA,0.788345865,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,296,SP,12.98,8.21,84.53,NA,0.2,1.78,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.764,SP,1997,1,1,0,0.8
584,319,297,10/24/97,0,9.7,566,423.4,0.748,NA,NA,NA,NA,NA,0.748056537,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6087,SP,1997,iceoff,0,7.63,NA,8.22,8.37,3.39,3.39,0,NA,7,9.7,161,198,3,6,2637,297,SP,9.79,8.66,81.78,NA,0.19,0.91,4.84,7.3,7.85,NA,8.86,9.06,3.41,3.4,0,NA,64,236.39,258.13,7.44,11.91,2806.28,2579.23,2654.55,0.18,NA,NA,NA,NA,NA,NA,0.36,0.03,NA,NA,NA,NA,NA,NA,1997.811,SP,1997,1,1,0,1.2
585,320,314,11/10/97,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661972,368,Dinobryon,2,NA,1034.087,2068.174,0.016053081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6109,SP,1997,iceoff,0,7.39,641,8.58,8.74,3.29,3.5,2,NA,21,9.4,43,40,3,9,2757,298,SP,7.08,9.49,83.16,88.62,0.12,2,4.72,7.38,7.98,638.89,8.59,8.72,3.3,3.42,2.13,NA,24.03,43.49,47.3,3.49,9,2712.31,2521.43,2508.57,0.09,4.99,2.44,10.19,2.88,2.52,0.67,0.01,0,NA,NA,NA,NA,NA,NA,1997.858,SP,1997,1,1,0,1.8
586,321,12,1/12/98,0,19.7,166,0,0,17.5,26,0,NA,26,0,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6131,SP,1998,iceon,0,7.97,NA,10,10.79,3.92,4.04,5,NA,29,19.7,253,292,5,16,3103,299,SP,3.07,13.05,102.78,NA,1,9.86,1.4,7.41,7.9,NA,9.35,9.7,3.49,3.42,11.83,NA,99.32,260.5,287.89,3.4,12.06,3248.7,3001.58,3031.69,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1998.03,SP,1998,1,1,0,42.7
587,322,54,2/23/98,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818,370,Dinobryon,2,NA,1034.087,2068.174,0.010936512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6153,SP,1998,iceon,0,7.92,674,8.14,8.26,3.3,3.27,92,NA,79,14,311,276,5,6,2871,300,SP,3.27,10.96,86.88,93.13,0.24,2.15,0.44,7.29,7.85,670.14,10.67,9.49,3.41,3.18,73.52,NA,160.66,389.01,352.29,6.29,14.57,3158.98,3023.56,2938.36,0,5.06,2.49,10.16,2.85,2.45,0.7,0.75,0.15,NA,NA,NA,NA,NA,NA,1998.145,SP,1998,1,1,0,0.7
588,323,77,3/18/98,0,17,297,2.02,0.007,8.5,37,8,NA,29,0.006801347,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6175,SP,1998,iceon,0,8.58,NA,8.27,8.59,3.77,3.76,162,NA,18,17,398,403,13,15,2755,301,SP,3.47,10.35,82.34,NA,0.07,5.19,0.78,7.32,7.91,NA,8.82,9.05,3.39,3.36,94.6,NA,25.68,307.1,314.11,7.1,12.51,2842.28,2918.5,2877.5,0.12,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,NA,NA,1998.208,SP,1998,1,1,0,12
589,325,125,5/5/98,0,10.7,1127,1057,0.938,NA,NA,NA,NA,NA,0.937888199,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6218,SP,1998,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,302,SP,9.42,11.29,105.01,NA,0.2,5.85,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.34,SP,1998,1,1,0,2.4
590,326,139,5/19/98,0,9.5,1572,1275,0.811,NA,NA,NA,NA,NA,0.811068702,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6237,SP,1998,iceoff,0,8.11,NA,7.99,8.16,3.18,3.19,0,NA,5,9.5,195,205,2,4,2522,303,SP,12.24,10.48,103.93,NA,0.24,5.28,0.07,7.53,8,NA,8.29,8.54,2.97,3.1,0.3,NA,24.75,191.25,249.57,3.36,9.75,2560.29,2708.39,2800.3,0.21,NA,NA,NA,NA,NA,NA,0.02,0.01,NA,NA,NA,NA,NA,NA,1998.378,SP,1998,1,1,0,1.9
591,327,152,6/1/98,0,8.9,1064,805,0.757,NA,NA,NA,NA,NA,0.756578947,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6259,SP,1998,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,304,SP,12.41,9.88,98.19,NA,0.24,4.44,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.414,SP,1998,1,1,0,1.8
592,328,166,6/15/98,0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723,376,Dinobryon,21,NA,1034.087,21715.827,0.129330355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,SP,1998,iceoff,0,8.06,NA,7.98,8.35,3.27,4.23,1,NA,7,9.5,168,168,0,3,2396,305,SP,12.86,10.29,103.9,NA,0.25,3.73,0.8,7.57,8.19,NA,8.16,8.48,3.33,3.47,1.24,NA,16.77,183.04,227.7,2.92,7.44,2468.03,2643.55,2655.26,0.14,NA,NA,NA,NA,NA,NA,0.07,0.01,NA,NA,NA,NA,NA,NA,1998.452,SP,1998,1,1,0,0.9
593,329,180,6/29/98,0,8.2,1965,1609,0.819,NA,NA,NA,NA,NA,0.818829517,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6300,SP,1998,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,306,SP,15.35,9.5,100.95,NA,0.29,3.35,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.49,SP,1998,1,1,0,0.8
594,330,195,7/14/98,0,8.3,1754,1642,0.936,NA,NA,NA,NA,NA,0.936145952,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6319,SP,1998,iceoff,0,8.12,NA,8.06,8.21,3.47,3.37,1,NA,7,8.3,130,142,1,3,2300,307,SP,16.51,9.28,101.95,NA,0.25,2.73,0.78,7.45,8.1,NA,8.43,8.57,3.49,3.37,2.6,NA,27.26,170.61,207.52,2.65,8.06,2460.67,2622.69,2716.85,0.14,NA,NA,NA,NA,NA,NA,0.12,0.01,NA,NA,NA,NA,NA,NA,1998.532,SP,1998,1,1,0,0.6
595,331,208,7/27/98,0,9.2,1293,797,0.616,NA,NA,NA,NA,NA,0.616395978,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6341,SP,1998,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,308,SP,16.46,9.81,107.69,NA,0.27,3.23,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.567,SP,1998,1,1,0,0.9
596,332,224,8/12/98,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,380,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,7.9,171,210,2,3,2156,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
597,333,224,8/12/98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,7.9,171,210,2,3,2156,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
598,332,224,8/12/98,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,381,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,7.9,156,190,1,3,2731,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
599,333,224,8/12/98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,7.9,156,190,1,3,2731,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
600,332,224,8/12/98,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,382,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,NA,171,210,2,3,2156,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
601,333,224,8/12/98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,SP,1998,iceoff,0,8.2,625,8.25,8.26,3.53,3.53,2,NA,108,NA,171,210,2,3,2156,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
602,332,224,8/12/98,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,383,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,NA,156,190,1,3,2731,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
603,333,224,8/12/98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,Dinobryon,11,NA,1034.087,11374.957,0.058686884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,SP,1998,iceoff,0,7.95,622,8.26,8.29,3.56,3.55,0,NA,13,NA,156,190,1,3,2731,309,SP,17.09,8.06,90.11,89.77,0.27,2.32,1.33,7.4,8.07,624.71,8.36,8.89,3.57,3.51,0.52,NA,47.11,196.74,241.48,4.15,8.98,2459.47,2405.14,2479.03,0.27,5.38,2.55,9.37,2.84,2.5,0.68,0.18,0.02,NA,NA,NA,NA,NA,NA,1998.611,SP,1998,1,1,0,1
604,334,238,8/26/98,0,8.4,1805,1452,0.804,NA,NA,NA,NA,NA,0.804432133,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6382,SP,1998,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,310,SP,17.24,8.42,94.65,NA,0.29,4.33,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.649,SP,1998,1,1,0,1.4
