,sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,Taxa,WaterCol,Functional,year4,group,depth,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2,totnf,totnuf,totpf,totpuf,drsif
68,7/16/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,NA,NA,NA,NA,NA,3424
69,7/16/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,NA,NA,NA,NA,NA,3322
70,7/31/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8,NA,NA,NA,NA,NA,0,NA,10,8.6,NA,NA,NA,NA,3432
71,8/16/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,580,NA,NA,NA,NA,0,NA,37,8.5,NA,NA,4,NA,3374
72,9/5/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.99,NA,NA,NA,NA,NA,0,NA,8,8.9,NA,NA,NA,NA,3270
73,9/25/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.81,NA,NA,NA,NA,NA,3,NA,40,9.3,NA,NA,NA,NA,3177
74,10/17/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,9.1,NA,NA,NA,NA,3095
75,10/17/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.56,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,3095
76,11/7/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,9.4,NA,NA,12,NA,3379
77,11/7/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,9.4,NA,NA,10,NA,3380
78,11/7/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.22,595,NA,NA,NA,NA,2,NA,49,NA,NA,NA,12,NA,3379
79,11/7/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.23,585,NA,NA,NA,NA,2,NA,43,NA,NA,NA,10,NA,3380
80,11/26/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.37,NA,NA,NA,NA,NA,5,NA,71,11,NA,NA,NA,NA,3446
81,1/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,7.48,NA,NA,NA,NA,NA,10,NA,59,13.4,NA,NA,NA,NA,3827
82,1/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,7.47,NA,NA,NA,NA,NA,10,NA,62,13.4,NA,NA,NA,NA,3870
83,1/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,7.48,NA,NA,NA,NA,NA,10,NA,59,NA,NA,NA,NA,NA,3827
84,1/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,7.47,NA,NA,NA,NA,NA,10,NA,62,NA,NA,NA,NA,NA,3870
85,2/27/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA
86,3/26/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,NA,NA,NA
87,4/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,4/29/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.27,567,NA,NA,NA,NA,60,NA,18,12.1,NA,NA,5,NA,3469
89,4/29/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.27,567,NA,NA,NA,NA,60,NA,18,NA,NA,NA,5,NA,3469
90,5/15/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.98,NA,NA,NA,NA,NA,4,NA,6,10.1,NA,NA,NA,NA,3333
91,5/15/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.82,NA,NA,NA,NA,NA,3,NA,26,10.1,NA,NA,NA,NA,3323
92,5/15/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.98,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,3333
93,5/15/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.82,NA,NA,NA,NA,NA,3,NA,26,NA,NA,NA,NA,NA,3323
94,5/29/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.82,NA,NA,NA,NA,NA,11,NA,17,9.7,NA,NA,NA,NA,3173
95,6/10/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.91,NA,NA,NA,NA,NA,0,NA,12,9.1,NA,NA,NA,NA,3157
96,6/25/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.81,NA,NA,NA,NA,NA,1,NA,17,9.1,NA,NA,NA,NA,3057
97,6/25/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.84,NA,NA,NA,NA,NA,1,NA,11,9.1,NA,NA,NA,NA,3056
98,6/25/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.81,NA,NA,NA,NA,NA,1,NA,17,NA,NA,NA,NA,NA,3057
99,6/25/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.84,NA,NA,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,3056
100,7/10/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,8,NA,NA,NA,NA,3074
101,7/22/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.89,NA,NA,NA,NA,NA,0,NA,12,8.3,NA,NA,NA,NA,2987
102,8/5/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.88,NA,NA,NA,NA,NA,0,NA,26,8.3,NA,NA,NA,NA,3073
103,8/19/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.95,574,6.96,NA,3.46,NA,3,NA,70,8.5,NA,NA,4,NA,3029
104,9/10/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.88,NA,NA,NA,NA,NA,1,NA,11,8.7,NA,NA,NA,NA,3034
105,9/30/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.77,NA,NA,NA,NA,NA,0,NA,9,9.2,NA,NA,NA,NA,2994
106,10/23/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.39,NA,NA,NA,NA,NA,0,NA,14,10,NA,NA,NA,NA,3096
107,11/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.2,587,NA,NA,NA,NA,0,NA,18,10.3,NA,NA,9,NA,3382
108,11/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.19,582,NA,NA,NA,NA,0,NA,29,10.3,NA,NA,12,NA,3416
109,11/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.2,587,NA,NA,NA,NA,0,NA,18,NA,NA,NA,9,NA,3382
110,11/11/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,iceoff,0,7.19,582,NA,NA,NA,NA,0,NA,29,NA,NA,NA,12,NA,3416
111,1/14/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA
112,2/27/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA
113,2/27/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,4/24/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.42,575,7.45,NA,3.07,NA,47,NA,3,11.7,154,181,5,13,3561
115,5/7/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA
116,5/19/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,8.44,NA,6.84,7.03,3.25,3.14,2,NA,10,10.7,392,390,8,12,3317
117,5/19/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,8.44,NA,6.84,7.03,3.25,3.14,2,NA,10,NA,392,390,8,12,3317
118,6/3/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA
119,6/16/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.94,NA,7,6.97,3.07,3.05,0,NA,6,9.4,177,193,0,4,3316
120,6/30/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA
121,7/14/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,8.02,NA,6.98,7.09,3.13,3.24,2,NA,25,8.3,215,241,4,4,3230
122,7/29/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA
123,8/11/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,8.12,544,6.9,6.98,3.61,3.33,0,NA,4,8.2,215,224,0,0,3135
124,8/25/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
125,9/8/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.77,NA,6.94,7.06,3.56,3.52,0,NA,2,8.9,227,244,0,0,3081
126,9/8/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.82,NA,7.03,7.06,3.31,3.25,0,NA,0,8.9,237,265,0,5,3125
127,9/8/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.77,NA,6.94,7.06,3.56,3.52,0,NA,2,NA,227,244,0,0,3081
128,9/8/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.82,NA,7.03,7.06,3.31,3.25,0,NA,0,NA,237,265,0,5,3125
129,9/22/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA
130,10/7/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.71,NA,7.28,7.22,3.37,3.33,0,NA,21,9,196,239,3,10,2891
131,10/21/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA
132,11/12/86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,iceoff,0,7.45,585,7.54,7.67,3.3,3.42,2,NA,20,11.1,201,305,5,13,3183
133,1/14/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceon,0,7.99,NA,8.12,8.24,3.32,3.35,0,NA,9,14.9,219,243,0,0,3560
134,2/24/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceon,0,7.72,676,8.58,8.65,3.44,3.4,22,NA,29,15.5,240,327,3,11,3683
135,3/24/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceon,0,7.36,NA,6.36,6.72,2.85,2.79,52,NA,19,10.4,208,216,4,5,2774
136,4/20/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,7.72,573,6.86,7.04,2.79,2.86,7,NA,13,12.5,288,157,7,5,3041
137,5/5/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA
138,5/20/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,7.83,NA,7.12,7.01,3.29,2.95,0,NA,12,10,174,213,0,0,2915
139,6/2/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA
140,6/11/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,7.92,NA,7.04,7.01,3.02,3.05,9,NA,190,9.1,152,144,4,8,2872
141,6/29/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA
142,7/13/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,8.09,NA,6.91,6.98,3.18,3.11,4,NA,57,8.2,180,160,0,0,2852
143,7/29/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
144,8/11/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,8.03,583,7.13,7.13,3.41,3.39,3,NA,21,8.2,188,186,4,4,2698
145,8/26/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA
146,9/8/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,8.03,NA,7.19,7.27,3.37,3.37,0,NA,58,8.7,174,187,0,5,2702
147,9/21/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
148,10/5/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,7.79,NA,7.41,7.46,3.28,3.26,0,NA,0,9.6,159,213,0,6,2856
149,10/20/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA
150,11/2/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,7.33,608,7.92,8.03,3.13,3.24,5,NA,29,9.1,194,337,3,10,3070
151,11/16/87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA
152,1/19/88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,iceon,0,7.67,NA,8.51,8.36,3.38,3.43,26,NA,150,13.6,198,224,0,5,3242
153,2/29/88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,iceon,0,7.58,692,9.14,9.13,3.54,3.38,56,NA,11,14.1,242,279,0,7,3471
154,4/4/88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,iceon,0,7.52,NA,5.24,5.2,2.21,2.16,81,NA,54,13.6,430,367,14,14,2000
