group,year,month,sampledate,Genus,chloro,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,Chl,Chloro
iceoff,1999,11,11/10/99,Cyclotella,,7,,113.0973355,791.6813487,#REF!,,,,,,1.1
iceon,2000,2,2/22/00,Cryptomonad,,9,,195.2354,1757.1186,#REF!,0,2,34,36,,1.1
iceon,2000,2,2/22/00,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,0,2,34,36,,4
iceon,2000,2,2/22/00,Armored Dinoflagellate,,5,,874.8631698,4374.315849,#REF!,0,2,34,36,,4
iceon,2000,4,4/6/00,Cryptomonad,,48,,195.2354,9371.2992,#REF!,,,,,,1.1
iceon,2000,4,4/6/00,Naked Dinoflagellate,,5,,7003.540037,35017.70018,#REF!,,,,,,1.1
iceon,2000,4,4/6/00,Armored Dinoflagellate,,12,,874.8631698,10498.35804,#REF!,,,,,,1
iceon,2000,4,4/6/00,Cyclotella,,1,,113.0973355,113.0973355,#REF!,,,,,,1
iceoff,2000,5,5/30/00,Cryptomonad,,22,,195.2354,4295.1788,#REF!,,,,,,1.1
iceoff,2000,5,5/30/00,Naked Dinoflagellate,,5,,7003.540037,35017.70018,#REF!,,,,,,1.1
iceoff,2000,5,5/30/00,Armored Dinoflagellate,,4,,874.8631698,3499.452679,#REF!,,,,,,4.3
iceoff,2000,5,5/30/00,Cyclotella,,1,,113.0973355,113.0973355,#REF!,,,,,,4.3
iceoff,2000,7,7/26/00,Cyanobacteria ,,39,,3.156457729,123.1018514,#REF!,,,,,,0.5
iceoff,2000,7,7/26/00,Cryptomonad,,25,,195.2354,4880.885,#REF!,,,,,,0.5
iceoff,2000,7,7/26/00,Naked Dinoflagellate,,6,,7003.540037,42021.24022,#REF!,,,,,,0.7
iceoff,2000,7,7/26/00,Cyclotella,,59,,113.0973355,6672.742796,#REF!,,,,,,0.7
iceoff,2000,8,8/21/00,Limnothrix,,3,,5.642771,16.928313,#REF!,,,,,,0.4
iceoff,2000,8,8/21/00,Cryptomonad,,28,,195.2354,5466.5912,#REF!,,,,,,0.4
iceoff,2000,8,8/21/00,Naked Dinoflagellate,,3,,7003.540037,21010.62011,#REF!,,,,,,1
iceoff,2000,8,8/21/00,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,1
iceoff,2000,8,8/21/00,Cyclotella,,37,,113.0973355,4184.601415,#REF!,,,,,,5.2
iceoff,2000,11,11/16/00,Cryptomonad,,33,,195.2354,6442.7682,#REF!,,,,,,5.2
iceoff,2000,11,11/16/00,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,3.7
iceoff,2000,11,11/16/00,Cyclotella,,57,,1034.087,58942.959,#REF!,,,,,,3.7
iceon,2001,2,2/28/01,Cyanobacteria ,,72,,3.156457729,227.2649565,#REF!,15.7,23,21,22,,8.6
iceon,2001,2,2/28/01,Cryptomonad,,8,,195.2354,1561.8832,#REF!,15.7,23,21,22,,8.6
iceoff,2001,4,4/30/01,Cyanobacteria ,,7,,3.156457729,22.0952041,#REF!,,,,,,2.1
iceoff,2002,4,4/30/01,Cryptomonad,,48,,195.2354,9371.2992,#REF!,,,,,,2.1
iceoff,2003,4,4/30/01,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,,,,,,0.6
iceoff,2005,5,5/29/01,Cryptomonad,,5,,195.2354,976.177,#REF!,,,,,,0.6
iceoff,2006,5,5/29/01,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,1.2
iceoff,2001,6,6/26/01,Cryptomonad,,9,,195.2354,1757.1186,#REF!,,,,,,1.2
iceoff,2001,6,6/26/01,Cyclotella ,,7,,113.0973355,791.6813487,#REF!,,,,,,2.8
iceoff,2001,7,7/24/01,Limnothrix,,13,100,5.642771,73.356023,#REF!,,,,,,2.8
iceoff,2001,7,7/24/01,Cryptomonad,,7,,195.2354,1366.6478,#REF!,,,,,,3.6
iceoff,2001,8,8/20/01,Limnothrix,,51,100,5.642771,287.781321,#REF!,,,,,,3.6
iceoff,2001,8,8/20/01,Cryptomonad,,8,,195.2354,1561.8832,#REF!,,,,,,4
iceoff,2001,8,8/20/01,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,,,,,,4
iceoff,2001,8,8/20/01,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,1.3
iceoff,2001,11,11/15/01,Cyclotella,,11,,113.0973355,1244.070691,#REF!,,,,,,1.3
iceoff,2001,11,11/15/01,Limnothrix,,16,,5.642771,90.284336,#REF!,,,,,,1.5
iceoff,2001,11,11/15/01,Cryptomonad,,1,,195.2354,195.2354,#REF!,,,,,,1.5
iceoff,2001,11,11/15/01,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,0.9
iceoff,2001,11,11/15/01,Cyanobacteria,,2,,87.26957,174.53914,#REF!,,,,,,0.9
iceon,2002,2,2/28/02,Limnothrix,,5,,5.642771,28.213855,#REF!,1.6,11,27,38,,3.8
iceon,2002,2,2/28/02,Cryptomonad,,25,,195.2354,4880.885,#REF!,1.6,11,27,38,,3.8
iceon,2002,2,2/28/02,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,1.6,11,27,38,,2.4
iceon,2002,2,2/28/02,Cyclotella,,79,,113.0973355,8934.689507,#REF!,1.6,11,27,38,,2.4
iceon,2002,4,4/23/02,Cyclotella,,38,,113.0973355,4297.69875,#REF!,,,,,,3.4
iceon,2002,4,4/23/02,Limnothrix,,15,,5.642771,84.641565,#REF!,,,,,,3.4
iceon,2002,4,4/23/02,Cryptomonad,,91,,195.2354,17766.4214,#REF!,,,,,,1.2
iceon,2002,4,4/23/02,Naked Dinoflagellate,,5,,7003.540037,35017.70018,#REF!,,,,,,1.2
iceon,2002,4,4/23/02,Armored Dinoflagellate,,12,,874.8631698,10498.35804,#REF!,,,,,,0.8
iceoff,2002,6,6/19/02,Komvophoron / Trichormus,,12,,9.7808535,117.370242,,,,,,,0.8
iceoff,2002,6,6/19/02,Cryptomonad,,55,,195.2354,10737.947,#REF!,,,,,,3.6
iceoff,2002,6,6/19/02,Naked Dinoflagellate,,4,,7003.540037,28014.16015,#REF!,,,,,,3.6
iceoff,2002,6,6/19/02,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,2.9
iceoff,2002,6,6/19/02,Cyanobacteria,,33,,87.26957,2879.89581,#REF!,,,,,,2.9
iceoff,2002,6,6/19/02,Cyclotella,,35,,113.0973355,3958.406744,#REF!,,,,,,5.8
iceoff,2002,7,7/17/02,Cyanobacteria,,50,100,87.26957,4363.4785,#REF!,,,,,,5.8
iceoff,2002,7,7/17/02,Limnothrix,,18,,5.642771,101.569878,#REF!,,,,,,
iceoff,2002,7,7/17/02,Cyanobacteria ,,66,,3.156457729,208.3262101,#REF!,,,,,,
iceoff,2002,7,7/17/02,Cryptomonad,,58,,195.2354,11323.6532,#REF!,,,,,,
iceoff,2002,7,7/17/02,Cyclotella,,12,,113.0973355,1357.168026,#REF!,,,,,,
iceoff,2002,8,8/14/02,Cyanobacteria,,4,,87.26957,349.07828,#REF!,,,,,,
iceoff,2002,8,8/14/02,Limnothrix,,8,,5.642771,45.142168,#REF!,,,,,,
iceoff,2002,8,8/14/02,Cyanobacteria ,,103,,3.156457729,325.1151461,#REF!,,,,,,
iceoff,2002,8,8/14/02,Cryptomonad,,18,,195.2354,3514.2372,#REF!,,,,,,
iceoff,2002,8,8/14/02,Cyclotella,,35,,113.0973355,3958.406744,#REF!,,,,,,
iceoff,2002,11,11/7/02,Cyanobacteria,,9,,87.26957,785.42613,#REF!,,,,,,
iceoff,2002,11,11/7/02,Limnothrix,,2,,5.642771,11.285542,#REF!,,,,,,
iceoff,2002,11,11/7/02,Cyanobacteria ,,261,,3.156457729,823.8354673,#REF!,,,,,,
iceoff,2002,11,11/7/02,Cryptomonad,,27,,195.2354,5271.3558,#REF!,,,,,,
iceoff,2002,11,11/7/02,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,
iceoff,2002,11,11/7/02,Armored Dinoflagellate,,13,,874.8631698,11373.22121,#REF!,,,,,,
iceoff,2002,11,11/7/02,Cyclotella,,309,,113.0973355,34947.07668,#REF!,,,,,,
iceoff,2002,11,11/7/02,Cyanobacteria,,2,,87.26957,174.53914,#REF!,,,,,,
iceon,2003,3,3/6/03,Cyanobacteria,,9,,87.26957,785.42613,#REF!,17.5,0,61,61,,
iceon,2003,3,3/6/03,Cryptomonad,,49,,195.2354,9566.5346,#REF!,17.5,0,61,61,,
iceon,2003,3,3/6/03,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,17.5,0,61,61,,
iceon,2003,3,3/6/03,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,17.5,0,61,61,,
iceon,2003,3,3/6/03,Cyclotella,,17,,113.0973355,1922.654704,#REF!,17.5,0,61,61,,
iceoff,2003,4,4/29/03,Cyanobacteria,,19,,87.26957,1658.12183,#REF!,,,,,,
iceoff,2003,4,4/29/03,Komvophoron / Trichormus,,31,,9.7808535,303.2064585,#REF!,,,,,,
iceoff,2003,4,4/29/03,Cryptomonad,,73,,195.2354,14252.1842,#REF!,,,,,,
iceoff,2003,4,4/29/03,Naked Dinoflagellate,,4,,7003.540037,28014.16015,#REF!,,,,,,
iceoff,2003,4,4/29/03,Armored Dinoflagellate,,4,,874.8631698,3499.452679,#REF!,,,,,,
iceoff,2003,4,4/29/03,Cyclotella,,29,,113.0973355,3279.82273,#REF!,,,,,,
iceoff,2003,6,6/23/03,Cyanobacteria,,7,100,87.26957,610.88699,#REF!,,,,,,
iceoff,2003,6,6/23/03,Limnothrix,,288,,5.642771,1625.118048,#REF!,,,,,,
iceoff,2003,6,6/23/03,Komvophoron / Trichormus,,17,,9.7808535,166.2745095,#REF!,,,,,,
iceoff,2003,6,6/23/03,Cryptomonad,,62,,195.2354,12104.5948,#REF!,,,,,,
iceoff,2003,6,6/23/03,Armored Dinoflagellate,,7,,874.8631698,6124.042189,#REF!,,,,,,
iceoff,2003,6,6/23/03,Cyclotella,,16,,113.0973355,1809.557368,#REF!,,,,,,
iceoff,2003,7,7/21/03,Cyanobacteria,,1,,87.26957,87.26957,#REF!,,,,,,
iceoff,2003,7,7/21/03,Limnothrix,,136,,5.642771,767.416856,#REF!,,,,,,
iceoff,2003,7,7/21/03,Cyanobacteria ,,160,,3.156457729,505.0332366,#REF!,,,,,,
iceoff,2003,7,7/21/03,Komvophoron / Trichormus,,23,,9.7808535,224.9596305,#REF!,,,,,,
iceoff,2003,7,7/21/03,Cryptomonad,,17,,195.2354,3319.0018,#REF!,,,,,,
iceoff,2003,7,7/21/03,Armored Dinoflagellate,,1,,874.8631698,874.8631698,#REF!,,,,,,
iceoff,2003,7,7/21/03,Cyclotella,,70,,113.0973355,7916.813485,#REF!,,,,,,
iceoff,2003,8,8/20/03,Cyanobacteria ,,527,,3.156457729,1663.453223,#REF!,,,,,,
iceoff,2003,8,8/20/03,Komvophoron / Trichormus,,30,,9.7808535,293.425605,#REF!,,,,,,
iceoff,2003,8,8/20/03,Limnothrix,,162,,5.642771,914.128902,#REF!,,,,,,
iceoff,2003,8,8/20/03,Cryptomonad,,15,,195.2354,2928.531,#REF!,,,,,,
iceoff,2003,8,8/20/03,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,
iceoff,2003,8,8/20/03,Cyclotella,,78,,113.0973355,8821.592169,#REF!,,,,,,
iceoff,2003,8,8/20/03,Cyanobacteria,,5,,87.26957,436.34785,#REF!,,,,,,
iceoff,2003,11,11/13/03,Cyanobacteria,,2,,87.26957,174.53914,#REF!,,,,,,
iceoff,2003,11,11/13/03,Limnothrix,,24,,5.642771,135.426504,#REF!,,,,,,
iceoff,2003,11,11/13/03,Cyanobacteria ,,65,,3.156457729,205.1697524,#REF!,,,,,,
iceoff,2003,11,11/13/03,Cryptomonad,,38,,195.2354,7418.9452,#REF!,,,,,,
iceoff,2003,11,11/13/03,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,
iceoff,2003,11,11/13/03,Armored Dinoflagellate,,12,,874.8631698,10498.35804,#REF!,,,,,,
iceoff,2003,11,11/13/03,Cyclotella,,24,,113.0973355,2714.336052,#REF!,,,,,,
iceon,2004,2,2/18/04,Limnothrix,,156,100,5.642771,880.272276,#REF!,29.7,7,35,42,,
iceon,2004,2,2/18/04,Cyanobacteria ,,332,,3.156457729,1047.943966,#REF!,29.7,7,35,42,,
iceon,2004,2,2/18/04,Cryptomonad,,7,,195.2354,1366.6478,#REF!,29.7,7,35,42,,
iceon,2004,2,2/18/04,Cyclotella,,1,,113.0973355,113.0973355,#REF!,29.7,7,35,42,,
iceoff,2004,4,4/30/04,Cyanobacteria ,,488,100,3.156457729,1540.351372,#REF!,,,,,,
iceoff,2004,4,4/30/04,Cryptomonad,,48,,195.2354,9371.2992,#REF!,,,,,,
iceoff,2004,4,4/30/04,Naked Dinoflagellate,,11,,7003.540037,77038.9404,#REF!,,,,,,
iceoff,2004,4,4/30/04,Cyclotella,,1,,113.0973355,113.0973355,#REF!,,,,,,
iceoff,2004,4,4/30/04,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,,,,,,
iceoff,2004,6,6/22/04,Cyanobacteria ,,248,100,3.156457729,782.8015167,#REF!,,,,,,
iceoff,2004,6,6/22/04,Limnothrix,,36,,5.642771,203.139756,#REF!,,,,,,
iceoff,2004,6,6/22/04,Cryptomonad,,28,,195.2354,5466.5912,#REF!,,,,,,
iceoff,2004,6,6/22/04,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,,,,,,
iceoff,2004,6,6/22/04,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,,,,,,
iceoff,2004,7,7/21/04,Limnothrix,,347,,5.642771,1958.041537,#REF!,,,,,,
iceoff,2004,7,7/21/04,Cryptomonad,,31,,195.2354,6052.2974,#REF!,,,,,,
iceoff,2004,7,7/21/04,Cyanobacteria,,3,,87.26957,261.80871,#REF!,,,,,,
iceoff,2004,8,8/16/04,Cyanobacteria ,,73,,3.156457729,230.4214142,#REF!,,,,,,
iceoff,2004,8,8/16/04,Limnothrix,,273,,5.642771,1540.476483,#REF!,,,,,,
iceoff,2004,8,8/16/04,Cryptomonad,,17,,195.2354,3319.0018,#REF!,,,,,,
iceoff,2004,8,8/16/04,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,,,,,,
iceoff,2004,8,8/16/04,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,,,,,,
iceoff,2004,11,11/10/04,Limnothrix,,41,,5.642771,231.353611,#REF!,,,,,,
iceoff,2004,11,11/10/04,Cyanobacteria ,,33,,3.156457729,104.1631051,#REF!,,,,,,
iceoff,2004,11,11/10/04,Cryptomonad,,21,,195.2354,4099.9434,#REF!,,,,,,
iceoff,2004,11,11/10/04,Naked Dinoflagellate,,3,,7003.540037,21010.62011,#REF!,,,,,,
iceoff,2004,11,11/10/04,Cyanobacteria,,4,,87.26957,349.07828,#REF!,,,,,,
iceoff,2005,4,4/20/05,Limnothrix,,21,,5.642771,118.498191,#REF!,,,,,,
iceoff,2005,4,4/20/05,Cryptomonad,,61,,195.2354,11909.3594,#REF!,,,,,,
iceoff,2005,4,4/20/05,Naked Dinoflagellate,,7,,7003.540037,49024.78026,#REF!,,,,,,
iceoff,2005,4,4/20/05,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,,,,,,
iceoff,2005,6,6/13/05,Komvophoron / Trichormus,,51,100,9.7808535,498.8235285,,,,,,,
iceoff,2005,6,6/13/05,Cryptomonad,,23,,195.2354,4490.4142,#REF!,,,,,,
iceoff,2005,6,6/13/05,Naked Dinoflagellate,,3,,7003.540037,21010.62011,#REF!,,,,,,
iceoff,2005,6,6/13/05,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,,,,,,
iceoff,2005,7,7/12/05,Limnothrix,,30,,5.642771,169.28313,#REF!,,,,,,
iceoff,2005,7,7/12/05,Cyanobacteria ,,52,,3.156457729,164.1358019,#REF!,,,,,,
iceoff,2005,7,7/12/05,Komvophoron / Trichormus,,120,,9.7808535,1173.70242,#REF!,,,,,,
iceoff,2005,7,7/12/05,Cryptomonad,,59,,195.2354,11518.8886,#REF!,,,,,,
iceoff,2005,7,7/12/05,Naked Dinoflagellate,,2,,7003.540037,14007.08007,#REF!,,,,,,
iceoff,2005,7,7/12/05,Armored Dinoflagellate,,8,,874.8631698,6998.905358,#REF!,,,,,,
iceoff,2005,7,7/12/05,Cyanobacteria,,3,,87.26957,261.80871,#REF!,,,,,,
iceoff,2005,8,8/9/05,Cryptomonad,,6,,195.2354,1171.4124,#REF!,,,,,,
iceoff,2005,8,8/9/05,Armored Dinoflagellate,,7,,874.8631698,6124.042189,#REF!,,,,,,
iceoff,2005,8,8/9/05,Cyanobacteria,,2,,87.26957,174.53914,#REF!,,,,,,
iceoff,2005,11,11/15/05,Limnothrix,,13,,5.642771,73.356023,#REF!,,,,,,
iceoff,2005,11,11/15/05,Cryptomonad,,29,,195.2354,5661.8266,#REF!,,,,,,
iceoff,2005,11,11/15/05,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,
iceoff,2005,11,11/15/05,Armored Dinoflagellate,,3,,874.8631698,2624.589509,#REF!,,,,,,
iceoff,2005,11,11/15/05,Cryptomonad,,1,,195.2354,195.2354,#REF!,,,,,,
iceon,2006,2,2/13/06,Limnothrix,,13,,5.642771,73.356023,#REF!,12.5,6,23,29,,
iceon,2006,2,2/13/06,Cyanobacteria ,,4,,3.156457729,12.62583092,#REF!,12.5,6,23,29,,
iceon,2006,2,2/13/06,Cryptomonad,,12,,195.2354,2342.8248,#REF!,12.5,6,23,29,,
iceon,2006,2,2/13/06,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,12.5,6,23,29,,
iceon,2006,2,2/13/06,Armored Dinoflagellate,,2,,874.8631698,1749.72634,#REF!,12.5,6,23,29,,
iceon,2006,4,4/20/06,Cyanobacteria ,,13,,3.156457729,41.03395048,#REF!,0,21,20,41,,
iceon,2006,4,4/20/06,Cryptomonad,,91,,195.2354,17766.4214,#REF!,0,21,20,41,,
