group,year,month,sampledate,Genus,TotalCellCount,FromGroup,TotalBiovolume,Chloro,CellBioVol,PerBioVol,InchesSnow,whiteice
iceoff,2001,6,6/26/01,iceoff TotalCellCount,306,306,,1.1,,,,
iceoff,2001,7,7/24/01,iceoff TotalCellCount,82,82,,0.9,,,,
iceoff,2001,8,8/20/01,iceoff TotalCellCount,187,187,,1.2,,,,
iceoff,2001,11,11/15/01,iceoff TotalCellCount,486,486,,3.2,,,,
iceon,2002,2,2/28/02,iceon TotalCellCount,228,228,,-0.1,,,1.6,11
iceon,2002,4,4/23/02,iceon TotalCellCount,388,388,,3,,,,
iceoff,2002,6,6/19/02,iceoff TotalCellCount,419,419,,1.1,,,,
iceoff,2002,7,7/17/02,iceoff TotalCellCount,671,671,,1.2,,,,
iceoff,2002,8,8/14/02,iceoff TotalCellCount,387,387,,1.7,,,,
iceoff,2002,11,11/7/02,iceoff TotalCellCount,715,715,,4.2,,,,
iceon,2003,3,3/6/03,iceon TotalCellCount,301,301,,9,,,17.5,0
iceoff,2003,4,4/29/03,iceoff TotalCellCount,245,245,,3.4,,,,
iceoff,2003,6,6/23/03,iceoff TotalCellCount,822,822,,1.6,,,,
iceoff,2003,7,7/21/03,iceoff TotalCellCount,977,977,,2.2,,,,
iceoff,2003,8,8/20/03,iceoff TotalCellCount,1050.5,1050.5,,1.1,,,,
iceoff,2003,11,11/13/03,iceoff TotalCellCount,882,882,,2.3,,,,
iceon,2004,2,2/18/04,iceon TotalCellCount,564,564,,1.1,,,29.7,7
iceoff,2004,4,4/30/04,iceoff TotalCellCount,725,725,,4,,,,
iceoff,2004,6,6/22/04,iceoff TotalCellCount,1133.25,1133.25,,1.1,,,,
iceoff,2004,7,7/21/04,iceoff TotalCellCount,513,513,,1,,,,
iceoff,2004,8,8/16/04,iceoff TotalCellCount,486,486,,1.1,,,,
iceoff,2004,11,11/10/04,iceoff TotalCellCount,210,210,,4.3,,,,
iceoff,2005,4,4/20/05,iceoff TotalCellCount,604,604,,0.5,,,,
iceoff,2005,6,6/13/05,iceoff TotalCellCount,690,690,,0.7,,,,
iceoff,2005,7,7/12/05,iceoff TotalCellCount,898.7,898.7,,0.4,,,,
iceoff,2005,8,8/9/05,iceoff TotalCellCount,195,195,,1,,,,
iceoff,2005,11,11/15/05,iceoff TotalCellCount,343,343,,5.2,,,,
iceon,2006,2,2/13/06,iceon TotalCellCount,59,59,,3.7,,,12.5,6
iceon,2006,4,4/20/06,iceon TotalCellCount,361,361,,8.6,,,0,21
iceoff,2006,6,6/16/06,iceoff TotalCellCount,231.4,231.4,,2.1,,,,
iceoff,2006,7,7/12/06,iceoff TotalCellCount,489,489,,0.6,,,,
iceoff,2006,8,8/9/06,iceoff TotalCellCount,489,489,,1.2,,,,
iceoff,2006,10,10/30/06,iceoff TotalCellCount,357,357,,2.8,,,,
iceon,2007,2,2/20/07,iceoff TotalCellCount,237,237,,3.6,,,8.7,5
iceoff,2007,4,4/24/07,iceoff TotalCellCount,243,243,,4,,,,
iceoff,2007,6,6/19/07,iceoff TotalCellCount,471,471,,1.3,,,,
iceoff,2007,7,7/16/07,iceoff TotalCellCount,237.45,237.45,,1.5,,,,
iceoff,2007,8,8/13/07,iceoff TotalCellCount,427,427,,0.9,,,,
iceoff,2007,11,11/12/07,iceoff TotalCellCount,389,389,,3.8,,,,
iceon,2008,3,3/3/08,iceon TotalCellCount,93,93,,2.4,,,18.9,13
iceoff,2008,5,5/13/08,iceoff TotalCellCount,227,227,,3.4,,,,
iceoff,2008,7,7/1/08,iceoff TotalCellCount,1027,1027,,1.2,,,,
iceoff,2008,8,8/25/08,iceoff TotalCellCount,2384,2384,,0.8,,,,
iceoff,2008,11,11/12/08,iceoff TotalCellCount,365,365,,3.6,,,,
iceon,2009,2,2/24/09,iceon TotalCellCount,573,573,,2.9,,,3.6,55
iceoff,2009,4,4/29/09,iceoff TotalCellCount,679,679,,5.8,,,,
