group,year,month,sampledate,Genus,chloro,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,Chl,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Microcystis,,478,,3.156457729,1508.786794,0.026145751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Komvophoron / Trichormus,,161,,9.7808535,1574.717414,0.027288262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cryptomonad,,60,,195.2354,11714.124,0.202993938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Naked Dinoflagellate,,5,,7003.540037,35017.70018,0.606821378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Armored Dinoflagellate,,7,,874.8631698,6124.042189,0.106123466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cyclotella,,5,,113.0973355,565.4866776,0.009799313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8/28/97,Other,,115,,,16296.97717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,TotalBiovolume,,,,,57706.76748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Microcystis,,83,,3.156457729,261.9859915,0.002281346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Limnothrix,,146,,5.642771,823.844566,0.007173949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Komvophoron / Trichormus,,28,,9.7808535,273.863898,0.002384777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cryptomonad,,97,,195.2354,18937.8338,0.164908596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Naked Dinoflagellate,,12,,7003.540037,84042.48044,0.731832774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Armored Dinoflagellate,,12,,874.8631698,10498.35804,0.091418559,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11/10/97,Other,,79,,,13995.09384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,TotalBiovolume,,,,,114838.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Limnothrix,,1522,,5.642771,8588.297462,0.049409239,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Microcystis,,998,,3.156457729,3150.144814,0.018123063,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Komvophoron / Trichormus,,307,,9.7808535,3002.722025,0.017274927,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cryptomonad,,75,,195.2354,14642.655,0.084240496,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Naked Dinoflagellate,,18,,7003.540037,126063.7207,0.725255796,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Armored Dinoflagellate,,21,,874.8631698,18372.12657,0.105696478,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
,,,2/23/98,Other,,272,,,15277.82624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,TotalBiovolume,,,,189107.2736,173819.6665,,0,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Komvophoron / Trichormus,,6,,9.7808535,58.685121,0.000349752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Limnothrix,,52,,5.642771,293.424092,0.001748752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Cryptomonad,,109,,195.2354,21280.6586,0.12682872,,,,,,,228.25,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Naked Dinoflagellate,,12,,7003.540037,84042.48044,0.500877366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Armored Dinoflagellate,,71,,874.8631698,62115.28506,0.370195409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4/20/98,Other,,134,,,13878.96448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,TotalBiovolume,,,,,167790.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Microcystis,,470,,3.156457729,1483.535132,0.012116303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Limnothrix,,384,,5.642771,2166.824064,0.017696849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Komvophoron / Trichormus,,392,,9.7808535,3834.094572,0.031313752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cryptomonad,,127,,195.2354,24794.8958,0.202504453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Naked Dinoflagellate,,11,,7003.540037,77038.9404,0.629191128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Armored Dinoflagellate,,15,,874.8631698,13122.94755,0.107177515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/15/98,Other,,129,,,45468.50809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,TotalBiovolume,,,,,122441.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cryptomonad,,62,,195.2354,12104.5948,0.076613418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Limnothrix,,409,,5.642771,2307.893339,0.014607312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Microcystis,,541,,3.156457729,1707.643631,0.010808161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Komvophoron / Trichormus,,185,,9.7808535,1809.457898,0.011452573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Naked Dinoflagellate,,19,,7003.540037,133067.2607,0.842220477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Armored Dinoflagellate,,8,,874.8631698,6998.905358,0.044298059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7/14/97,Other,,420,,,46421.31794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,TotalBiovolume,,,,,157995.7557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Limnothrix,,494,,5.642771,2787.528874,0.02137533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Microcystis,,488,,3.156457729,1540.351372,0.011811723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Komvophoron / Trichormus,,199,,9.7808535,1946.389847,0.014925307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cryptomonad,,35,,195.2354,6833.239,0.052398646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Naked Dinoflagellate,,15,,7003.540037,105053.1005,0.805568228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Armored Dinoflagellate,,14,,874.8631698,12248.08438,0.093920766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8/12/98,Other,,573,,,63415.82253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,TotalBiovolume,,,,,130408.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Microcystis,,25,,3.156457729,78.91144323,0.000581251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Komvophoron / Trichormus,,6,,9.7808535,58.685121,0.000432267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cryptomonad,,58,,195.2354,11323.6532,0.083408526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Naked Dinoflagellate,,15,,7003.540037,105053.1005,0.773807186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Armored Dinoflagellate,,22,,874.8631698,19246.98974,0.14177077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11/12/98,Other,,882,,,11759.30666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,TotalBiovolume,,,,,135761.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Limnothrix,,163,,5.642771,919.771673,0.012456778,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Microcystis,,202,,3.156457729,637.6044613,0.008635292,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cryptomonad,,16,,195.2354,3123.7664,0.042306222,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Naked Dinoflagellate,,9,,7003.540037,63031.86033,0.85366174,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Armored Dinoflagellate,,7,,874.8631698,6124.042189,0.082939968,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
,,,2/23/99,Other,,64,,,9437.642924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,TotalBiovolume,,,,,73837.04505,,9,14,27,41,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Komvophoron / Trichormus,,4,,9.7808535,39.123414,0.000281527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Microcystis,,94,,3.156457729,296.7070265,0.002135067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cryptomonad,,72,,195.2354,14056.9488,0.101152065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Naked Dinoflagellate,,15,,7003.540037,105053.1005,0.75594912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Armored Dinoflagellate,,19,,874.8631698,16622.40023,0.119612736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cocconeis,,19,,152.6421331,2900.200528,0.020869484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5/4/99,Other,,158,,,88336.86747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,TotalBiovolume,,,,,138968.4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Limnothrix,,5,,5.642771,28.213855,0.000833306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Microcystis,,0,,3.156457729,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cryptomonad,,21,,195.2354,4099.9434,0.121093254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Naked Dinoflagellate,,3,,7003.540037,21010.62011,0.620555971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Armored Dinoflagellate,,7,,874.8631698,6124.042189,0.180875715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cocconeis,,17,,152.6421331,2594.916262,0.076641754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7/1/99,Other,,261,,,41095.00072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,TotalBiovolume,,,,,33857.73582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,Cryptomonad,,30,,195.2354,5857.062,0.272187613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,Naked Dinoflagellate,,1,,7003.540037,7003.540037,0.325466393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,Armored Dinoflagellate,,3,,874.8631698,2624.589509,0.121969129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,Cyclotella,,53,,113.0973355,5994.158783,0.278558733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,Komvophoron / Trichormus,,4,,9.7808535,39.123414,0.001818131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8/23/99,Other,,395,,,37091.32838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,TotalBiovolume,,,,,21518.47374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,Cryptomonad,,22,,195.2354,4295.1788,0.556987206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,Armored Dinoflagellate,,3,,874.8631698,2624.589509,0.340349691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,Cyclotella,,7,,113.0973355,791.6813487,0.102663103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11/10/99,Other,,372,,,21681.67491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,TotalBiovolume,,,,,7711.449658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,Cryptomonad,,9,,195.2354,1757.1186,0.13377404,0,2,34,36,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,Naked Dinoflagellate,,1,,7003.540037,7003.540037,0.533197841,0,2,34,36,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,Armored Dinoflagellate,,5,,874.8631698,4374.315849,0.333028119,0,2,34,36,,,,,,,,,,,,,,,,,,,,,,,,
,,,2/22/00,Other,,62,,,6100.371102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,TotalBiovolume,,,,,13134.97449,,0,2,34,36,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,Cryptomonad,,48,,195.2354,9371.2992,0.170385849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,Naked Dinoflagellate,,5,,7003.540037,35017.70018,0.636680194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,Armored Dinoflagellate,,12,,874.8631698,10498.35804,0.190877659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,Cyclotella,,1,,113.0973355,113.0973355,0.002056298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4/6/00,Other,,223,,,73642.03722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,TotalBiovolume,,,,,55000.45476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,Cryptomonad,,22,,195.2354,4295.1788,0.100061406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,Naked Dinoflagellate,,5,,7003.540037,35017.70018,0.815779854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,Armored Dinoflagellate,,4,,874.8631698,3499.452679,0.081524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,Cyclotella,,1,,113.0973355,113.0973355,0.00263474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,5/30/00,Other,,337,,,3676.953275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,TotalBiovolume,,,,,42925.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,Microcystis,,39,,3.156457729,123.1018514,0.002292486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,Cryptomonad,,25,,195.2354,4880.885,0.09089515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,Naked Dinoflagellate,,6,,7003.540037,42021.24022,0.782548024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,Cyclotella,,59,,113.0973355,6672.742796,0.12426434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,7/26/00,Other,,125,,,24080.78822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,TotalBiovolume,,,,,53697.96987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,Limnothrix,,3,,5.642771,16.928313,0.000536494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,Cryptomonad,,28,,195.2354,5466.5912,0.173247758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,Naked Dinoflagellate,,3,,7003.540037,21010.62011,0.665870687,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,Armored Dinoflagellate,,1,,874.8631698,874.8631698,0.027726252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,Cyclotella,,37,,113.0973355,4184.601415,0.132618809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,8/21/00,Other,,330.8,,,45035.39765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,TotalBiovolume,,,,,31553.60421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,Cryptomonad,,33,,195.2354,6442.7682,0.089001705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,Naked Dinoflagellate,,1,,7003.540037,7003.540037,0.096748321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,Cyclotella,,57,,1034.087,58942.959,0.814249974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,11/16/00,Other,,184,,,23359.54274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,TotalBiovolume,,,,,72389.26724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,Microcystis,,72,,3.156457729,227.2649565,0.127024112,15.7,23,21,22,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,Cryptomonad,,8,,195.2354,1561.8832,0.872975888,15.7,23,21,22,,,,,,,,,,,,,,,,,,,,,,,,
,,2,2/28/01,Other,,109,,,19473.63178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,2,2/28/01,TotalBiovolume,,,,,1789.148156,,15.7,23,21,22,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,Microcystis,,7,,3.156457729,22.0952041,0.00094422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,Cryptomonad,,48,,195.2354,9371.2992,0.400474751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,Naked Dinoflagellate,,2,,7003.540037,14007.08007,0.598581028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,4/30/01,Other,,50,,,5009.671031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,TotalBiovolume,,,,,23400.47448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,Cryptomonad,,5,,195.2354,976.177,0.527366729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,Armored Dinoflagellate,,1,,874.8631698,874.8631698,0.472633271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,5/29/01,Other,,168,,,34671.86845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,TotalBiovolume,,,,,1851.04017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,Cryptomonad,,9,,195.2354,1757.1186,0.689390551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,Cyclotella ,,7,,113.0973355,791.6813487,0.310609449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,6/26/01,Other,,290,,,132442.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,TotalBiovolume,,,,,2548.799949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,Limnothrix,,13,100,5.642771,73.356023,0.050941547,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,Cryptomonad,,7,,195.2354,1366.6478,0.949058453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,7/24/01,Other,,62,,,20705.10927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,TotalBiovolume,,,,,1440.003823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,Limnothrix,,51,100,5.642771,287.781321,0.017199861,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,Cryptomonad,,8,,195.2354,1561.8832,0.09334926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,Naked Dinoflagellate,,2,,7003.540037,14007.08007,0.837162828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,Armored Dinoflagellate,,1,,874.8631698,874.8631698,0.052288052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,8/20/01,Other,,125,,,12574.40448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,TotalBiovolume,,,,,16731.60776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,Tabellaria,,11,100,431.1835917,4743.019509,0.033906041,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,Stephanodiscus Niagare,,8,,154.4537325,1235.62986,0.008833048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,Prestauroneis Protracta,,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,Ulnaria cf. acus,,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,Aulacoseira,,258,,312.0629482,80512.24064,0.575551366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
