group,year,month,sampledate,Genus,TotalCellCount,Magnification,TotalBiovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,,,,,
iceoff,2001,6,6/26/01,TotalCellCount,306,306,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,6,6/26/01,TotalBiovolume,,134990.8154,134990.8154,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,TotalCellCount,82,82,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,7,7/24/01,TotalBiovolume,,22145.11309,22145.11309,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,TotalCellCount,187,187,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,8,8/20/01,TotalBiovolume,,29306.01224,29306.01224,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,TotalCellCount,486,486,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,11,11/15/01,TotalBiovolume,,139887.1505,139887.1505,,,,,,,,,,,,,,,,,,,,,,,
iceon,2002,2,2/28/02,TotalCellCount,228,228,,,,1.6,11,27,38,,,,,,,,,,,,,,,,,
iceon,2002,2,2/28/02,TotalBiovolume,,52925.62857,52925.62857,,,1.6,11,27,38,,,,,,,,,,,,,,,,,
iceon,2002,4,4/23/02,TotalCellCount,388,388,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2002,4,4/23/02,TotalBiovolume,,127889.5355,127889.5355,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,6,6/19/02,TotalCellCount,419,419,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,6,6/19/02,TotalBiovolume,,114042.3605,114042.3605,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,7,7/17/02,TotalCellCount,671,671,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,7,7/17/02,TotalBiovolume,,72801.22226,72801.22226,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,8,8/14/02,TotalCellCount,387,387,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,8,8/14/02,TotalBiovolume,,45852.44843,45852.44843,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,11,11/7/02,TotalCellCount,715,715,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2002,11,11/7/02,TotalBiovolume,,79280.51352,79280.51352,,,,,,,,,,,,,,,,,,,,,,,
iceon,2003,3,3/6/03,TotalCellCount,301,301,,,,17.5,0,61,61,,,,,,,,,,,,,,,,,
iceon,2003,3,3/6/03,TotalBiovolume,,39769.15413,39769.15413,,,17.5,0,61,61,,,,,,,,,,,,,,,,,
iceoff,2003,4,4/29/03,TotalCellCount,245,245,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,4,4/29/03,TotalBiovolume,,69861.36684,69861.36684,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,6,6/23/03,TotalCellCount,822,822,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,6,6/23/03,TotalBiovolume,,53271.37453,53271.37453,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,7,7/21/03,TotalCellCount,977,977,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,7,7/21/03,TotalBiovolume,,76879.44305,76879.44305,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,8,8/20/03,TotalCellCount,1050.5,1050.5,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,8,8/20/03,TotalBiovolume,,70854.36054,70854.36054,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,11,11/13/03,TotalCellCount,882,882,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2003,11,11/13/03,TotalBiovolume,,102362.2103,102362.2103,,,,,,,,,,,,,,,,,,,,,,,
iceon,2004,2,2/18/04,TotalCellCount,564,564,,,,29.7,7,35,42,,,,,,,,,,,,,,,,,
iceon,2004,2,2/18/04,TotalBiovolume,,9708.792357,9708.792357,,,29.7,7,35,42,,,,,,,,,,,,,,,,,
iceoff,2004,4,4/30/04,TotalCellCount,725,725,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,4,4/30/04,TotalBiovolume,,124704.1185,124704.1185,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,6,6/22/04,TotalCellCount,1133.25,1133.25,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,6,6/22/04,TotalBiovolume,,80990.95401,80990.95401,,,,,,,,"94.9, 38.1","111.7, 38.1",,,,Full,,,,,,,,,,
iceoff,2004,7,7/21/04,TotalCellCount,513,513,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,7,7/21/04,TotalBiovolume,,38911.84667,38911.84667,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,8,8/16/04,TotalCellCount,486,486,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,8,8/16/04,TotalBiovolume,,34815.18089,34815.18089,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,11,11/10/04,TotalCellCount,210,210,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2004,11,11/10/04,TotalBiovolume,,40141.8149,40141.8149,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,4,4/20/05,TotalCellCount,604,604,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,4,4/20/05,TotalBiovolume,,120897.0379,120897.0379,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,6,6/13/05,TotalCellCount,690,690,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,6,6/13/05,TotalBiovolume,,112841.9249,112841.9249,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,7,7/12/05,TotalCellCount,898.7,898.7,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,7,7/12/05,TotalBiovolume,,66524.46203,66524.46203,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,8,8/9/05,TotalCellCount,195,195,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,8,8/9/05,TotalBiovolume,,36120.08981,36120.08981,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,11,11/15/05,TotalCellCount,343,343,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2005,11,11/15/05,TotalBiovolume,,37769.78604,37769.78604,,,,,,,,,,,,,,,,,,,,,,,
iceon,2006,2,2/13/06,TotalCellCount,59,59,,,,12.5,6,23,29,,,,,,,,,,,,,,,,,
iceon,2006,2,2/13/06,TotalBiovolume,,13445.22755,13445.22755,,,12.5,6,23,29,,,,,,,,,,,,,,,,,
iceon,2006,4,4/20/06,TotalCellCount,361,361,,,,0,21,20,41,,,,,,,,,,,,,,,,,
iceon,2006,4,4/20/06,TotalBiovolume,,105932.2045,105932.2045,,,0,21,20,41,,,,,,,,,,,,,,,,,
iceoff,2006,6,6/16/06,TotalCellCount,231.4,231.4,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,6,6/16/06,TotalBiovolume,,95462.29186,95462.29186,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,7,7/12/06,TotalCellCount,489,489,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,7,7/12/06,TotalBiovolume,,55725.91462,55725.91462,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,8,8/9/06,TotalCellCount,489,489,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,8,8/9/06,TotalBiovolume,,18557.99633,18557.99633,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,10,10/30/06,TotalCellCount,357,357,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2006,10,10/30/06,TotalBiovolume,,49288.15794,49288.15794,,,,,,,,,,,,,,,,,,,,,,,
iceon,2007,2,2/20/07,TotalCellCount,237,237,,,,8.7,5,37,42,,,,,,,,,,,,,,,,,
iceon,2007,2,2/20/07,TotalBiovolume,,43538.89356,43538.89356,,,8.7,5,37,42,,,,,,,,,,,,,,,,,
iceoff,2007,4,4/24/07,TotalCellCount,243,243,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,4,4/24/07,TotalBiovolume,,57749.85027,57749.85027,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,6,6/19/07,TotalCellCount,471,471,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,6,6/19/07,TotalBiovolume,,63864.52915,63864.52915,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,7,7/16/07,TotalCellCount,237.45,237.45,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,7,7/16/07,TotalBiovolume,,78698.81792,78698.81792,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,8,8/13/07,TotalCellCount,427,427,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,8,8/13/07,TotalBiovolume,,86298.54542,86298.54542,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,11,11/12/07,TotalCellCount,389,389,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2007,11,11/12/07,TotalBiovolume,,69229.21827,69229.21827,,,,,,,,,,,,,,,,,,,,,,,
iceon,2008,3,3/3/08,TotalCellCount,93,93,,,,18.9,13,35,48,,,,,,,,,,,,,,,,,
iceon,2008,3,3/3/08,TotalBiovolume,,7414.250988,7414.250988,,,18.9,13,35,48,,,,,,,,,,,,,,,,,
iceoff,2008,5,5/13/08,TotalCellCount,227,227,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,5,5/13/08,TotalBiovolume,,101618.1581,101618.1581,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,7,7/1/08,TotalCellCount,1027,1027,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,7,7/1/08,TotalBiovolume,,137303.0078,137303.0078,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,8,8/25/08,TotalCellCount,2384,2384,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,8,8/25/08,TotalBiovolume,,71584.60772,71584.60772,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,11,11/12/08,TotalCellCount,365,365,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2008,11,11/12/08,TotalBiovolume,,77010.33942,77010.33942,,,,,,,,,,,,,,,,,,,,,,,
iceon,2009,2,2/24/09,TotalCellCount,573,573,,,,3.6,55,9,46,,,,,,,,,,,,,,,,,
iceon,2009,2,2/24/09,TotalBiovolume,,56387.25094,56387.25094,,,3.6,55,9,46,,,,,,,,,,,,,,,,,
iceoff,2009,4,4/29/09,TotalCellCount,679,679,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2009,4,4/29/09,TotalBiovolume,,324208.1319,324208.1319,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
