group,year,month,sampledate,Genus,TotalCellCount,FromGroup,TotalBiovolume,Chloro,CellBioVol,PerBioVol,InchesSnow,whiteice
iceon,2004,2,2/18/04,iceon TotalBiovolume,,9708.792357,9708.792357,1.1,,,29.7,7
iceoff,2004,4,4/30/04,iceoff TotalBiovolume,,124704.1185,124704.1185,4,,,,
iceoff,2004,6,6/22/04,iceoff TotalBiovolume,,80990.95401,80990.95401,1.1,,,,
iceoff,2004,7,7/21/04,iceoff TotalBiovolume,,38911.84667,38911.84667,1,,,,
iceoff,2004,8,8/16/04,iceoff TotalBiovolume,,34815.18089,34815.18089,1.1,,,,
iceoff,2004,11,11/10/04,iceoff TotalBiovolume,,40141.8149,40141.8149,4.3,,,,
iceoff,2005,4,4/20/05,iceoff TotalBiovolume,,120897.0379,120897.0379,0.5,,,,
iceoff,2005,6,6/13/05,iceoff TotalBiovolume,,112841.9249,112841.9249,0.7,,,,
iceoff,2005,7,7/12/05,iceoff TotalBiovolume,,66524.46203,66524.46203,0.4,,,,
iceoff,2005,8,8/9/05,iceoff TotalBiovolume,,36120.08981,36120.08981,1,,,,
iceoff,2005,11,11/15/05,iceoff TotalBiovolume,,37769.78604,37769.78604,5.2,,,,
iceon,2006,2,2/13/06,iceon TotalBiovolume,,13445.22755,13445.22755,3.7,,,12.5,6
iceon,2006,4,4/20/06,iceon TotalBiovolume,,105932.2045,105932.2045,8.6,,,0,21
iceoff,2006,6,6/16/06,iceoff TotalBiovolume,,95462.29186,95462.29186,2.1,,,,
iceoff,2006,7,7/12/06,iceoff TotalBiovolume,,55725.91462,55725.91462,0.6,,,,
iceoff,2006,8,8/9/06,iceoff TotalBiovolume,,18557.99633,18557.99633,1.2,,,,
iceoff,2006,10,10/30/06,iceoff TotalBiovolume,,49288.15794,49288.15794,2.8,,,,
iceon,2007,2,2/20/07,iceoff TotalBiovolume,,43538.89356,43538.89356,3.6,,,8.7,5
iceoff,2007,4,4/24/07,iceoff TotalBiovolume,,57749.85027,57749.85027,4,,,,
iceoff,2007,6,6/19/07,iceoff TotalBiovolume,,63864.52915,63864.52915,1.3,,,,
iceoff,2007,7,7/16/07,iceoff TotalBiovolume,,78698.81792,78698.81792,1.5,,,,
iceoff,2007,8,8/13/07,iceoff TotalBiovolume,,86298.54542,86298.54542,0.9,,,,
iceoff,2007,11,11/12/07,iceoff TotalBiovolume,,69229.21827,69229.21827,3.8,,,,
iceon,2008,3,3/3/08,iceon TotalBiovolume,,7414.250988,7414.250988,2.4,,,18.9,13
iceoff,2008,5,5/13/08,iceoff TotalBiovolume,,101618.1581,101618.1581,3.4,,,,
iceoff,2008,7,7/1/08,iceoff TotalBiovolume,,137303.0078,137303.0078,1.2,,,,
iceoff,2008,8,8/25/08,iceoff TotalBiovolume,,71584.60772,71584.60772,0.8,,,,
iceoff,2008,11,11/12/08,iceoff TotalBiovolume,,77010.33942,77010.33942,3.6,,,,
iceon,2009,2,2/24/09,iceon TotalBiovolume,,56387.25094,56387.25094,2.9,,,3.6,55
iceoff,2009,4,4/29/09,iceoff TotalBiovolume,,324208.1319,324208.1319,5.8,,,,
