group,year,month,sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,
iceoff,1997,7,7/14/97,Cf. Planktolyngabia,57,,314.1592654,17907.07813,0.087600697,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cf. Sellaphora pupula,2,,120,240,0.00117407,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Fragilaria,2,,311.155,622.31,0.003044315,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.018978032,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cf. Komvophoron / Trichormus,4,,9.7808535,39.123414,0.00019139,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cryptomonad,62,,195.2354,12104.5948,0.059215185,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Navicula,1,,186.6048309,186.6048309,0.000912863,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Asterionella,3,,545.5867498,1636.760249,0.008006964,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Limnothrix,409,,5.642771,2307.893339,0.01129012,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Microcystis,541,,3.156457729,1707.643631,0.008353723,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cf. Komvophoron / Trichormus,181,,9.7808535,1770.334484,0.008660404,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Naked Dinoflagellate,19,,7003.540037,133067.2607,0.650959621,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Armored Dinoflagellate,8,,874.8631698,6998.905358,0.03423836,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Lindavia comensis,226,,44.42277385,10039.54689,0.049113055,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cyanobacterium diachloros,88,,87.26957,7679.72216,0.037568888,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Dinobryon,4,,1034.087,4136.348,0.020234846,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,TotalBiovolume,,,,204417.0737,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cf. Cyanobium,35,100,,0,0,,,,,1,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Asterionella,2,,545.5867498,1091.1735,0.005629698,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Planothidium,3,,126.6690158,380.0070474,0.001960573,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Limnothrix,494,,5.642771,2787.528874,0.014381715,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Microcystis,488,,3.156457729,1540.351372,0.007947144,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cf. Komvophoron / Trichormus,199,,9.7808535,1946.389847,0.010042021,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cryptomonad,35,,195.2354,6833.239,0.035254771,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.542001097,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Armored Dinoflagellate,14,,874.8631698,12248.08438,0.063191616,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Lindavia comensis,171,,44.42277385,7596.294328,0.039191607,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cyanobacterium diachloros,177,,87.26957,15446.71389,0.079694324,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Dinobryon,11,,1034.087,11374.957,0.058686884,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cf. Planktolyngabia,87,,314.1592654,27331.85609,0.14101341,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Cf. Elakatothrix,75,,2.597609,194.820675,0.001005139,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,Actinastrum hantzchii,12,,,0,0,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,TotalBiovolume,,,,193824.5165,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Hippodonta capitata,1,100,315.7300617,315.7300617,0.002140243,,,,,1,,,,,,,,,,15%,,
iceoff,1998,11,11/12/98,Chamaecalyx,15,,,0,0,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Ankistrodesmus falcatus,4,,,0,0,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Actinastrum hantzchii,140,,,0,0,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Actinastrum hantzchii (colony),11,,,0,0,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cf. Coelosphaerium,600,,0.976259,585.7554,0.003970667,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Microcystis,25,,3.156457729,78.91144323,0.000534918,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.00039781,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cryptomonad,46,,195.2354,8980.8284,0.060878451,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.712124729,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Armored Dinoflagellate,22,,874.8631698,19246.98974,0.130469803,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Lindavia comensis,7,,44.42277385,310.959417,0.002107904,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Large Cryptomonad,12,,195.2354,2342.8248,0.015881335,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cyanobacteria diachloros,80,,87.26957,6981.5656,0.047326024,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Dinobryon,1,,1034.087,1034.087,0.007009778,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Fragilaria,7,,311.1551121,2178.085785,0.014764617,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cf. Planktolyngabia,1,,314.1592654,314.1592654,0.002129595,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,Cf. Elakatothrix,15,,2.597609,38.964135,0.000264127,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,TotalBiovolume,,,,147520.6467,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cyclostephanos invisitatus,1,100,94.247,94.247,0.00113176,9,14,27,41,1,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cyanobacteria diachlorus,3,,87.26957,261.80871,0.003143917,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cf. Diatoma mesodon,6,,530.1437603,3180.862562,0.038197232,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Limnothrix,163,,5.642771,919.771673,0.011045033,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Microcystis,202,,3.156457729,637.6044613,0.007656642,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cryptomonad,16,,195.2354,3123.7664,0.037511595,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Naked Dinoflagellate,9,,7003.540037,63031.86033,0.756914999,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.07354026,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Lindavia comensis,1,,44.42277385,44.42277385,0.000533449,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Small Cocconeis,34,,152.6421331,5189.832525,0.062321849,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Fragilaria crototensis,2,,311.155,622.31,0.007472979,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,Cf. Elakatothrix,17,,2.597609,44.159353,0.000530285,9,14,27,41,,,,,,,,,,,,,
iceon,1999,2,2/23/99,TotalBiovolume,,,,83274.68798,,9,14,27,41,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Tetraedron victoriae,8,100,47.2472,377.9776,0.001662863,,,,,1,,,,,,,,,,,,
iceoff,1999,5,5/4/99,?11,6,,1545.356039,9272.136233,0.040791545,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Placoneis,1,,910.8753375,910.8753375,0.004007276,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Epithemia,1,,252.8982086,252.8982086,0.001112592,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Asterionella,1,,545.5867498,545.5867498,0.002400237,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cf. Komvophoron / Trichormus,4,,9.7808535,39.123414,0.000172118,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.017067059,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Microcystis,94,,3.156457729,296.7070265,0.001305324,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cyanobacterium diachloros,2,,87.26957,174.53914,0.000767862,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cryptomonad,72,,195.2354,14056.9488,0.061841699,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Naked Dinoflagellate,15,,7003.540037,105053.1005,0.462167307,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Armored Dinoflagellate,19,,874.8631698,16622.40023,0.073128065,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Euglena,4,,7392.788,29571.152,0.130094396,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Small Cocconeis,19,,152.6421331,2900.200528,0.012759051,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Dinobryon,4,,1034.087,4136.348,0.018197319,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Fragilaria,126,,311.155,39205.53,0.172479576,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,Cf. Elakatothrix,4,,2.597609,10.390436,4.57114E-05,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,TotalBiovolume,,,,227305.348,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Asterionella,10,100,545.5867498,5455.867498,0.072790771,,,,,1,,,,,,,,,,,,
iceoff,1999,7,7/1/99,?11,3,,1545.356039,4636.068117,0.06185322,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cf. Asterocapsa,1,,3879.43376,3879.43376,0.051758401,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Limnothrix,5,,5.642771,28.213855,0.000376422,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Microcystis,0,,3.156457729,0,0,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Euglena,1,,7392.788,7392.788,0.098632663,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cryptomonad,21,,195.2354,4099.9434,0.054700383,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Naked Dinoflagellate,3,,7003.540037,21010.62011,0.280318252,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.081705385,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Small Cocconeis,17,,152.6421331,2594.916262,0.034620701,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Dinobryon,11,,1034.087,11374.957,0.15176173,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Fragilaria,16,,87.26957,1396.31312,0.018629248,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cf. Planktolyngabia,11,,314.1592654,3455.751919,0.046105747,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cf. Elakatothrix,173,,2.597609,449.386357,0.005995596,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Cyanobacteria diachloros,28,,87.26957,2443.54796,0.032601184,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,Flagellated green,7,,87.26957,610.88699,0.008150296,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,TotalBiovolume,,,,74952.73654,,,,,,,,,,,,,,,,,,
