"","year","month","sampledate","genus","cellcount","lakeid","depth","ph","alk","dic","tic","doc","toc","no2","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","chlor","phaeo","group","Characteristic","Latitude","Longitude","Area_ha","Mean Depth (m)","Maximum Depth (m)","EpiMin","EpiMax","MetaMin","MetaMax","HypoMin","HypoMax"
"14",1997,6,1997-06-18,"Microcystis",184,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1997,6,1997-06-18,"Cryptomonad",65,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1997,6,1997-06-18,"Cyclotella",18,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1997,6,1997-06-18,"Other",338,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1997,7,1997-07-29,"Fragilaria",19,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1997,7,1997-07-29,"Planktothrix",2,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1997,7,1997-07-29,"Microcystis",77,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1997,7,1997-07-29,"Cryptomonad",31,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1997,7,1997-07-29,"Cyclotella",1,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1997,7,1997-07-29,"Other",85,"SP",0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1997,8,1997-08-28,"Planktothrix",374,"SP",0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1997,8,1997-08-28,"Microcystis",478,"SP",0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1997,8,1997-08-28,"Cryptomonad",60,"SP",0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1997,8,1997-08-28,"Cyclotella",5,"SP",0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1997,8,1997-08-28,"Other",200,"SP",0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1997,11,1997-11-10,"Microcystis",83,"SP",0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1997,11,1997-11-10,"Planktothrix",174,"SP",0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1997,11,1997-11-10,"Cryptomonad",97,"SP",0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1997,11,1997-11-10,"Fragilaria",4,"SP",0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1997,11,1997-11-10,"Other",334,"SP",0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1998,2,1998-02-23,"Planktothrix",1817,"SP",0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1998,2,1998-02-23,"Microcystis",998,"SP",0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1998,2,1998-02-23,"Cryptomonad",75,"SP",0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1998,2,1998-02-23,"Fragilaria",19,"SP",0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1998,2,1998-02-23,"Other",515,"SP",0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1998,4,1998-04-20,"Fragilaria",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1998,4,1998-04-20,"Planktothrix",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1998,4,1998-04-20,"Cryptomonad",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1998,4,1998-04-20,"Other",546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1998,6,1998-06-15,"Microcystis",470,"SP",0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1998,6,1998-06-15,"Planktothrix",776,"SP",0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1998,6,1998-06-15,"Cryptomonad",127,"SP",0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1998,6,1998-06-15,"Fragilaria",7,"SP",0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1998,6,1998-06-15,"Other",432,"SP",0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1998,7,1998-07-14,"Fragilaria",2,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1998,7,1998-07-14,"Cryptomonad",62,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1998,7,1998-07-14,"Planktothrix",590,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1998,7,1998-07-14,"Microcystis",541,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1998,7,1998-07-14,"Cyclotella",226,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1998,7,1998-07-14,"Other",286,"SP",0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1998,8,1998-08-12,"Planktothrix",693,"SP",0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1998,8,1998-08-12,"Planktothrix",693,"SP",0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1998,8,1998-08-12,"Microcystis",488,"SP",0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1998,8,1998-08-12,"Microcystis",488,"SP",0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1998,8,1998-08-12,"Cryptomonad",35,"SP",0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1998,8,1998-08-12,"Cryptomonad",35,"SP",0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1998,8,1998-08-12,"Cyclotella",171,"SP",0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1998,8,1998-08-12,"Cyclotella",171,"SP",0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1998,8,1998-08-12,"Other",606,"SP",0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1998,8,1998-08-12,"Other",606,"SP",0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1998,11,1998-11-12,"Microcystis",25,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1998,11,1998-11-12,"Planktothrix",6,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1998,11,1998-11-12,"Cryptomonad",46,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1998,11,1998-11-12,"Cyclotella",7,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1998,11,1998-11-12,"Fragilaria",7,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1998,11,1998-11-12,"Other",1059,"SP",0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1999,2,1999-02-23,"Planktothrix",163,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1999,2,1999-02-23,"Microcystis",202,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1999,2,1999-02-23,"Cryptomonad",16,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1999,2,1999-02-23,"Cyclotella",1,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1999,2,1999-02-23,"Fragilaria",2,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1999,2,1999-02-23,"Other",250,"SP",0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1999,5,1999-05-04,"Microcystis",94,"SP",0,8.14,649,8.37,8.61,2.99,2.89,NA,147,117,4,29,2700,2619,2619,1.11,3.3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1999,5,1999-05-04,"Cryptomonad",72,"SP",0,8.14,649,8.37,8.61,2.99,2.89,NA,147,117,4,29,2700,2619,2619,1.11,3.3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1999,5,1999-05-04,"Fragilaria",126,"SP",0,8.14,649,8.37,8.61,2.99,2.89,NA,147,117,4,29,2700,2619,2619,1.11,3.3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1999,5,1999-05-04,"Other",109,"SP",0,8.14,649,8.37,8.61,2.99,2.89,NA,147,117,4,29,2700,2619,2619,1.11,3.3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1999,7,1999-07-01,"Planktothrix",5,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1999,7,1999-07-01,"Planktothrix",5,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1999,7,1999-07-01,"Planktothrix",5,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1999,7,1999-07-01,"Planktothrix",5,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1999,7,1999-07-01,"Microcystis",0,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1999,7,1999-07-01,"Microcystis",0,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1999,7,1999-07-01,"Microcystis",0,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1999,7,1999-07-01,"Microcystis",0,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1999,7,1999-07-01,"Cryptomonad",21,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1999,7,1999-07-01,"Cryptomonad",21,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1999,7,1999-07-01,"Cryptomonad",21,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1999,7,1999-07-01,"Cryptomonad",21,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1999,7,1999-07-01,"Fragilaria",16,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1999,7,1999-07-01,"Fragilaria",16,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1999,7,1999-07-01,"Fragilaria",16,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1999,7,1999-07-01,"Fragilaria",16,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1999,7,1999-07-01,"Other",674,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1999,7,1999-07-01,"Other",674,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1999,7,1999-07-01,"Other",674,"SP",0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1999,7,1999-07-01,"Other",674,"SP",0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1999,8,1999-08-23,"Cryptomonad",30,"SP",0,8.07,619,8.27,8.31,3.66,3.47,NA,178,223,4,5,2272,2299,2385,0.16,1.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1999,8,1999-08-23,"Cyclotella",53,"SP",0,8.07,619,8.27,8.31,3.66,3.47,NA,178,223,4,5,2272,2299,2385,0.16,1.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1999,8,1999-08-23,"Fragilaria",11,"SP",0,8.07,619,8.27,8.31,3.66,3.47,NA,178,223,4,5,2272,2299,2385,0.16,1.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1999,8,1999-08-23,"Other",3457,"SP",0,8.07,619,8.27,8.31,3.66,3.47,NA,178,223,4,5,2272,2299,2385,0.16,1.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1999,11,1999-11-10,"Cryptomonad",22,"SP",0,7.54,651,8.57,8.66,3.34,3.27,NA,212,223,5,9,2545,3156,3245,0.4,15.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",1999,11,1999-11-10,"Cyclotella",7,"SP",0,7.54,651,8.57,8.66,3.34,3.27,NA,212,223,5,9,2545,3156,3245,0.4,15.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1999,11,1999-11-10,"Fragilaria",9,"SP",0,7.54,651,8.57,8.66,3.34,3.27,NA,212,223,5,9,2545,3156,3245,0.4,15.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1999,11,1999-11-10,"Other",808,"SP",0,7.54,651,8.57,8.66,3.34,3.27,NA,212,223,5,9,2545,3156,3245,0.4,15.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2000,2,2000-02-22,"Cryptomonad",9,"SP",0,7.66,709,9.61,9.62,3.21,3.16,NA,226,282,6,9,2975,3412,3368,NA,4.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2000,2,2000-02-22,"Other",168,"SP",0,7.66,709,9.61,9.62,3.21,3.16,NA,226,282,6,9,2975,3412,3368,NA,4.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2000,4,2000-04-06,"Cryptomonad",48,"SP",0,7.42,645,8.41,8.77,2.67,2.58,NA,242,279,2,7,3007,2829,2996,1.04,10.9,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2000,4,2000-04-06,"Cyclotella",1,"SP",0,7.42,645,8.41,8.77,2.67,2.58,NA,242,279,2,7,3007,2829,2996,1.04,10.9,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
