"","x"
"748",0.02
"749",0.02
"750",0.02
"751",0.02
"752",0.02
"753",0.02
"754",0.02
"755",0.02
"756",0.02
"757",0.02
"758",0.02
"759",0.02
"760",0.02
"761",0.02
"762",0.02
"763",0.02
"764",0.02
"765",0.02
"766",0.02
"767",0.02
"768",0.02
"769",0.02
"770",0.02
"771",0.02
"772",0.02
"773",0.02
"774",0.02
"775",0.02
"776",0.02
"777",0.02
"778",0.02
"779",0.02
"780",0.02
"781",0.02
"782",0.02
"783",0.02
"784",0.02
"785",0.02
"786",0.02
"787",0.02
"788",0.02
"789",0.02
"790",0.02
