,lakeid,sampledate,Biovolume,CellBioVol,ice.pres,depth,chlor.surf,yearfrac,wtemp,o2,o2sat,cond,frlight,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,year4frac
11,SP,12/2/81,,,0,0,10.4,81.918,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.918
12,SP,1/20/82,,,1,0,18.8,82.0548,2.46,11.55,89.61,69.43,NA,5.52,NA,7.12,NA,707.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.055
13,SP,2/24/82,,,1,0,2.8,82.1507,2.61,9.27,72.16,72.6,NA,1.24,NA,6.99,NA,634.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.151
14,SP,4/5/82,,,0,0,4.6,82.2603,2.61,8.35,64.74,74.92,NA,3.53,NA,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.26
15,SP,5/12/82,,,0,,,82.3616,7.23,9.9,87.38,72.18,0.21,12.16,NA,7.29,NA,567.12,NA,NA,NA,NA,10.6,0,NA,NA,NA,NA,NA,3756.77,NA,NA,NA,2.59,3.31,8.69,2.53,1.55,0.56,NA,NA,NA,NA,NA,NA,NA,NA,1982.362
16,SP,5/27/82,,,0,,,82.4027,10.66,8.5,81.3,74.19,0.2,10.82,NA,7.35,NA,NA,NA,NA,NA,NA,4.87,0,NA,NA,NA,NA,NA,3621.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.403
17,SP,6/10/82,,,0,,,82.4411,11.23,7.88,76.22,NA,0.25,11.82,NA,7.4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,3607.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.441
18,SP,6/23/82,,,0,,,82.4767,12.07,NA,NA,75.48,0.26,8.72,0.66,7.4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,3567.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.477
19,SP,7/8/82,,,0,,,82.5178,14.61,NA,NA,73.78,NA,8.58,0.7,7.36,NA,NA,NA,NA,NA,NA,6.21,0,NA,NA,NA,NA,NA,3544.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.518
20,SP,7/20/82,,,0,,,82.5507,15.73,10.33,110.06,NA,NA,6.58,0.73,7.94,NA,NA,NA,NA,NA,NA,0,0,12.65,NA,NA,NA,NA,3615.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.551
21,SP,8/2/82,,,0,,,82.5863,15.55,9.58,102.45,76.15,NA,5.11,0.41,7.25,NA,NA,NA,NA,NA,NA,0,0,39.92,NA,NA,NA,NA,3522.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.586
22,SP,8/17/82,,,0,,,82.6274,15.47,NA,NA,72.09,0.25,2.91,0.7,7.43,NA,588.58,NA,NA,NA,NA,0,0,8.36,NA,NA,4.88,NA,3479.54,NA,NA,NA,2.52,3.24,9.11,2.83,1.72,0.6,NA,NA,NA,NA,NA,NA,NA,NA,1982.627
23,SP,9/9/82,,,0,,,82.6904,14.22,8.55,89.78,NA,0.24,2.93,1,7.25,NA,NA,NA,NA,NA,NA,0,0,14.06,NA,NA,NA,NA,3658.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.69
24,SP,9/20/82,,,0,,,82.7205,13.25,7.66,78.97,NA,NA,5.76,0.27,7.22,NA,NA,NA,NA,NA,NA,1.1,0,17.96,NA,NA,NA,NA,3636.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.721
25,SP,10/7/82,,,0,,,82.7671,12.38,8.46,85.47,NA,0.2,3.55,1.37,7.16,NA,NA,NA,NA,NA,NA,0.65,0,12.23,NA,NA,NA,NA,3639.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.767
26,SP,10/19/82,,,0,,,82.8,10.63,8.2,79.31,NA,0.21,3.42,0.96,7.1,NA,NA,NA,NA,NA,NA,3.82,0,28.08,NA,NA,NA,NA,3557.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.8
27,SP,11/10/82,,,0,,,82.8603,5.4,9.55,80.19,73.42,0.14,4.08,0.25,7.17,NA,547,NA,NA,NA,NA,0,0,36.4,NA,NA,2.61,NA,3426.59,NA,NA,NA,2.7,3.17,8.69,2.46,1.72,0.54,NA,NA,NA,NA,NA,NA,NA,NA,1982.86
28,SP,12/2/82,,,0,0,3.7,82.9205,3.45,10.76,85.89,74,0.12,2.59,0.06,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982.921
29,SP,1/13/83,,,1,,,83.0356,3.26,10.71,84.9,NA,NA,1.94,0.07,7.06,NA,NA,NA,NA,NA,NA,NA,0,72.32,NA,NA,NA,NA,3764.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.036
30,SP,2/24/83,,,1,,,83.1507,3.09,9.03,71.19,77.28,NA,0.32,0.07,7,NA,511.21,NA,NA,NA,NA,126.17,0,73.38,NA,NA,4.53,NA,3915.3,NA,NA,NA,2.7,3.27,8.99,2.63,1.69,0.65,NA,NA,NA,NA,NA,NA,NA,NA,1983.151
31,SP,3/28/83,,,1,,,83.2384,3.44,8.91,71.03,87.75,NA,1.48,2.91,6.92,NA,NA,NA,NA,NA,NA,63.06,NA,25.86,NA,NA,NA,NA,3794.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.238
32,SP,5/11/83,,,0,,,83.3589,7.11,10.05,88.46,70.72,0.16,6.08,0,6.86,NA,561.82,NA,NA,NA,NA,63.79,NA,21.27,NA,NA,3.07,NA,3790.99,NA,NA,NA,2.58,3.28,8.68,2.53,1.57,0.63,NA,NA,NA,NA,NA,NA,NA,NA,1983.359
33,SP,5/25/83,,,0,,,83.3973,9.31,10.27,95.92,70.07,0.16,9.22,0.61,7.24,NA,NA,NA,NA,NA,NA,23.9,NA,9.29,NA,NA,NA,NA,3599.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.397
34,SP,6/9/83,,,0,,,83.4384,10.63,9.59,92.47,75.86,0.22,5.24,0.22,7.11,NA,NA,NA,NA,NA,NA,20.44,NA,9.95,NA,NA,NA,NA,3530.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.438
35,SP,6/21/83,,,0,,,83.4712,13.68,9.31,95.95,75.2,0.27,4.21,3.26,7.26,NA,NA,NA,NA,NA,NA,12.25,NA,10.66,NA,NA,NA,NA,3586.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.471
36,SP,7/8/83,,,0,,,83.5178,15.17,8.9,95.19,74.24,0.21,3.08,0.19,7.21,NA,NA,NA,NA,NA,NA,8.37,NA,21.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.518
37,SP,7/21/83,,,0,,,83.5534,16.8,9.09,100.71,71.88,0.27,2.9,0.51,7.29,NA,NA,NA,NA,NA,NA,7.5,NA,7,NA,NA,NA,NA,3330.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.553
38,SP,8/1/83,,,0,,,83.5836,16.56,9.36,103.84,74.54,0.26,3.34,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.584
39,SP,8/16/83,,,0,0,0.8,83.6247,16.99,9.8,109.83,79.2,0.25,3.73,0.14,7.26,NA,527.23,NA,NA,NA,NA,0.91,NA,19.03,NA,NA,7.52,NA,3491.19,NA,NA,NA,2.72,3.09,8.71,2.66,1.65,0.6,NA,NA,NA,NA,NA,NA,NA,NA,1983.625
40,SP,9/6/83,,,0,,,83.6822,17.15,7.31,82.53,75.54,NA,2.35,1.61,7.14,NA,NA,NA,NA,NA,NA,2.98,NA,27.72,NA,NA,NA,NA,3481.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.682
41,SP,9/27/83,,,0,,,83.7397,13.16,7.51,77.95,74.14,0.23,1.75,2.02,7.13,NA,NA,NA,NA,NA,NA,0,NA,28.53,NA,NA,NA,NA,3749.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.74
42,SP,10/17/83,,,0,,,83.7945,10.49,7.45,72.09,72.65,0.21,2.16,1.58,7.08,NA,NA,NA,NA,NA,NA,3.28,NA,32.03,NA,NA,NA,NA,3495.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.795
43,SP,11/2/83,,,0,,,83.8384,8.95,7.83,72.26,75.47,0.16,2.64,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.838
44,SP,11/15/83,,,0,,,83.874,6.09,8.16,69.76,75,0.11,3.03,0.19,7.23,NA,588.66,NA,NA,NA,NA,161.23,NA,36.4,NA,NA,8.53,NA,3588.25,NA,NA,NA,2.7,3.22,8.79,2.57,1.7,0.64,NA,NA,NA,NA,NA,NA,NA,NA,1983.874
45,SP,11/29/83,,,0,,,83.9123,3.06,10.25,81.02,NA,0.14,4.79,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983.912
46,SP,1/6/84,,,1,,,84.0164,2.73,10.36,80.9,77.4,NA,2.65,0.22,7.04,NA,NA,NA,NA,NA,NA,24.09,NA,118.64,NA,NA,NA,NA,3929.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.016
47,SP,2/27/84,,,1,,,84.1585,3.05,9.6,75.45,78.8,NA,3.07,0.09,7.03,NA,637.8,NA,NA,NA,NA,52.05,NA,49.67,NA,NA,14.96,NA,3966.84,NA,NA,NA,2.74,3.32,9.19,2.73,1.7,0.66,NA,NA,NA,NA,NA,NA,NA,NA,1984.159
48,SP,4/10/84,,,1,,,84.276,3.95,9.83,79.57,78.36,NA,7.82,0.21,7.15,NA,NA,NA,NA,NA,NA,19.61,NA,27.1,NA,NA,NA,NA,2625.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.276
49,SP,4/26/84,,,0,0,5.5,84.3197,6.2,10.62,91.23,74.41,NA,7.42,0.5,NA,NA,NA,NA,NA,NA,NA,9.83,NA,19.05,NA,NA,NA,NA,3489.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.32
50,SP,5/9/84,,,0,,,84.3552,6.86,10.49,91.45,74.13,NA,9.98,0.15,7.33,NA,612.75,NA,NA,NA,NA,1.14,NA,17.45,NA,NA,10.74,NA,3404.12,NA,NA,NA,2.81,3.24,8.78,2.58,1.65,0.68,NA,NA,NA,NA,NA,NA,NA,NA,1984.355
51,SP,5/21/84,,,0,0,4.4,84.388,9.58,9.96,93.07,74.47,0.16,6.42,0.25,7.39,NA,NA,NA,NA,NA,NA,1.3,NA,41.15,NA,NA,NA,NA,3279.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.388
52,SP,6/4/84,,,0,,,84.4262,11.47,10.19,99.51,74.39,0.24,5.26,0.33,7.41,NA,NA,NA,NA,NA,NA,1.83,NA,29.07,NA,NA,NA,NA,3805.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.426
53,SP,6/20/84,,,0,0,2.1,84.4699,13.53,9.15,93.76,74.51,0.19,3.98,0.79,7.49,NA,NA,NA,NA,NA,NA,1.32,NA,41.06,NA,NA,NA,NA,3405.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.47
54,SP,7/5/84,,,0,0,1.3,84.5109,14.65,8.17,86.13,75.69,0.42,2.06,0.24,7.38,NA,NA,NA,NA,NA,NA,3.39,NA,36.2,NA,NA,NA,NA,3426.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.511
55,SP,7/16/84,,,0,0,1.2,84.541,14.93,8.03,85.82,76,0.24,2.31,0,7.4,NA,NA,NA,NA,NA,NA,1.58,NA,35.14,NA,NA,NA,NA,3362.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.541
56,SP,7/31/84,,,0,,,84.582,15.62,8.43,91.31,76.88,0.22,3.03,0.06,7.35,NA,NA,NA,NA,NA,NA,0.4,NA,23.89,NA,NA,NA,NA,3400.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.582
57,SP,8/16/84,,,0,,,84.6257,16.83,8.25,92.77,77.03,0.23,3.85,0.52,7.34,NA,589.37,NA,NA,NA,NA,0,NA,29.82,NA,NA,7.51,NA,3319.41,NA,NA,NA,2.78,3.12,9.48,2.79,1.66,0.61,NA,NA,NA,NA,NA,NA,NA,NA,1984.626
58,SP,9/5/84,,,0,0,1.3,84.6803,15.2,8.24,89.06,76.26,0.23,2.94,1.15,7.32,NA,NA,NA,NA,NA,NA,0.55,NA,46.11,NA,NA,NA,NA,3360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.68
59,SP,9/25/84,,,0,0,2.4,84.735,13.77,7.85,82.47,76.27,NA,2.4,0.9,7.25,NA,NA,NA,NA,NA,NA,1.43,NA,54.44,NA,NA,NA,NA,3317.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.735
60,SP,10/17/84,,,0,0,2.1,84.7951,11.87,7.47,74.82,76.04,0.19,2,1,7.12,NA,NA,NA,NA,NA,NA,0.76,NA,29.48,NA,NA,NA,NA,3328.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.795
61,SP,11/7/84,,,0,,,84.8525,6.7,9.15,79.47,76,0.15,1.77,0.35,7.22,NA,589.68,NA,NA,NA,NA,3.71,NA,50.91,NA,NA,9.59,NA,3383.03,NA,NA,NA,2.82,3.24,8.63,2.62,1.68,0.68,NA,NA,NA,NA,NA,NA,NA,NA,1984.853
62,SP,11/26/84,,,0,0,3.3,84.9044,3.36,10.96,87.31,76,0.16,2.55,0.07,7.35,NA,NA,NA,NA,NA,NA,5.3,NA,69.25,NA,NA,NA,NA,3438.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984.904
63,SP,1/11/85,,,1,,,85.0301,2.43,10.76,83.35,80.81,0.24,1.25,0.11,7.08,NA,NA,NA,NA,NA,NA,41.07,NA,109.19,NA,NA,NA,NA,3876.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.03
64,SP,2/27/85,,,1,0,0.9,85.1589,2.56,9.66,74.94,81.44,0.28,0.57,0.01,6.98,NA,644.42,NA,NA,NA,NA,81.01,NA,395.04,NA,NA,9.93,NA,4053.39,NA,NA,NA,2.89,3.46,9.55,2.8,1.71,0.72,NA,NA,NA,NA,NA,NA,NA,NA,1985.159
65,SP,3/26/85,,,1,,,85.2329,2.83,10.05,78.55,83.2,0.28,0.77,0.1,7.03,NA,NA,NA,NA,NA,NA,89.34,NA,25.2,NA,NA,NA,NA,3824.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.233
66,SP,4/11/85,,,0,0,1.4,85.2767,NA,NA,NA,NA,NA,1.59,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.277
67,SP,4/29/85,,,0,0,4.7,85.326,6.01,11.21,95.87,73.76,0.19,4.45,0.04,7.17,NA,562.41,NA,NA,NA,NA,64.18,NA,22.06,NA,NA,5.69,NA,3825.79,NA,NA,NA,2.81,3.23,8.83,2.68,1.65,0.62,NA,NA,NA,NA,NA,NA,NA,NA,1985.326
68,SP,5/15/85,,,0,,,85.3699,9.75,9.96,93.8,74.57,0.14,4.27,0.24,7.24,NA,NA,NA,NA,NA,NA,36.73,NA,30.13,NA,NA,NA,NA,3530.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.37
69,SP,5/29/85,,,0,0,2.5,85.4082,10.73,9.81,94.42,73.86,0.16,2.63,0.28,7.21,NA,NA,NA,NA,NA,NA,33.38,NA,29.68,NA,NA,NA,NA,3454.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.408
70,SP,6/10/85,,,0,,,85.4411,11.76,9.46,93.11,75.09,0.22,3.03,0.09,7.28,NA,NA,NA,NA,NA,NA,22.88,NA,29.49,NA,NA,NA,NA,3474.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.441
71,SP,6/25/85,,,0,0,1.4,85.4822,12.39,9.07,91.01,75.23,0.22,3.03,0.21,7.14,NA,NA,NA,NA,NA,NA,23.76,NA,38.89,NA,NA,NA,NA,3343.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.482
72,SP,7/10/85,,,0,,,85.5233,14.47,8.49,88.9,75.74,0.24,3.09,0.13,7.28,NA,NA,NA,NA,NA,NA,9.44,NA,11.35,NA,NA,NA,NA,3307.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.523
73,SP,7/22/85,,,0,,,85.5562,15.08,9.04,95.49,75.74,0.22,3.36,0.32,7.26,NA,NA,NA,NA,NA,NA,9.58,NA,23.89,NA,NA,NA,NA,3251.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.556
74,SP,8/5/85,,,0,0,1.1,85.5945,15.58,8.95,96,76.71,0.22,3.1,0.12,7.26,NA,NA,NA,NA,NA,NA,7.13,NA,21.42,NA,NA,NA,NA,3327.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.595
75,SP,8/19/85,,,0,,,85.6329,14.64,8.65,91.24,75.26,0.2,3.36,0.76,7.3,NA,589.57,7.48,NA,3.35,NA,3.27,NA,41.35,NA,NA,5.09,NA,3309.76,NA,NA,NA,2.86,3.07,8.92,2.61,1.75,0.63,NA,NA,NA,NA,NA,NA,NA,NA,1985.633
76,SP,9/10/85,,,0,0,1.7,85.6932,14.59,8.28,87.9,76.75,0.24,3.66,0.79,7.27,NA,NA,NA,NA,NA,NA,0.35,NA,32.7,NA,NA,NA,NA,3327.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.693
77,SP,9/30/85,,,0,,,85.7479,11.73,8.01,79.93,75.98,0.3,3.95,0.75,7.21,NA,NA,NA,NA,NA,NA,0.11,NA,31.73,NA,NA,NA,NA,3272.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.748
78,SP,10/23/85,,,0,0,2.2,85.811,9.2,8.7,80.93,76.62,0.18,3.21,0.72,7.08,NA,NA,NA,NA,NA,NA,0,NA,35.3,NA,NA,NA,NA,3367.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.811
79,SP,11/11/85,,,0,,,85.863,6.11,10.06,86.04,75.49,0.13,3.65,0.18,7.19,NA,586.72,NA,NA,NA,NA,0,NA,18.49,NA,NA,9.55,NA,3388.73,NA,NA,NA,2.92,3.19,8.85,2.57,1.7,0.67,NA,NA,NA,NA,NA,NA,NA,NA,1985.863
80,SP,1/14/86,,,0,0,4.2,86.0384,3.24,9.73,76.9,77.56,0.2,1.23,0.21,7.07,NA,NA,NA,NA,NA,NA,31.61,NA,80.32,NA,NA,NA,NA,3724.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.038
81,SP,2/27/86,,,0,,,86.1589,3.16,8.64,68.15,79.17,0.33,0.66,0.27,6.98,NA,647.99,8.38,NA,3.03,NA,70.02,NA,102.51,NA,NA,9.03,NA,3906.12,NA,NA,NA,3.18,3.13,9.41,2.68,1.81,0.66,NA,NA,NA,NA,NA,NA,NA,NA,1986.159
82,SP,4/24/86,,,0,0,5.8,86.3123,5.87,11.5,97.77,74,0.15,5.68,0.26,7.36,NA,567.58,7.51,7.67,3,2.94,50.61,NA,5.52,147.12,213.86,4.38,15.08,3572.03,3194.83,3258.83,0.71,3.04,3.16,8.75,2.45,1.74,0.64,NA,NA,NA,NA,NA,NA,NA,NA,1986.312
83,SP,5/7/86,,,0,,,86.3479,9.07,10.98,101.26,NA,0.17,7.82,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.348
84,SP,5/19/86,,,0,0,1.4,86.3808,10.47,10.56,101.06,NA,0.21,7.34,0.79,7.55,NA,NA,7.21,7.36,3.12,3.02,0.84,NA,17.26,346.33,424.51,7.76,14.45,3372.27,3621.84,3576.04,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.381
85,SP,6/3/86,,,0,0,1.2,86.4219,12.21,9.73,97.14,NA,0.23,3.94,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.422
86,SP,6/16/86,,,0,,,86.4575,13.37,9.23,94.42,NA,0.24,3.53,0.87,7.47,NA,NA,7.22,7.37,3.02,2.99,0,NA,8.47,171.53,249.03,0,8.73,3372.78,3158.53,3241.87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.458
87,SP,6/30/86,,,0,0,0.9,86.4959,14.9,8.5,90.66,NA,0.25,2.95,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.496
