"","sampledate","depth","o2","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite"
"144","08/16/1988",0,8.3,1600,1550,0.969,NA,NA,NA,NA,NA,0.96875
"145","08/16/1988",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","08/29/1988",0,8.6,1200,870,0.725,NA,NA,NA,NA,NA,0.725
"147","09/12/1988",0,9.2,79,50.2,0.635,NA,NA,NA,NA,NA,0.635443037974684
"148","09/27/1988",0,9.4,725,505,0.697,NA,NA,NA,NA,NA,0.696551724137931
"149","10/10/1988",0,9.9,248,165,0.665,NA,NA,NA,NA,NA,0.665322580645161
"150","10/24/1988",0,9.5,187,119,0.636,NA,NA,NA,NA,NA,0.636363636363636
"151","11/08/1988",0,10.9,340,225,0.662,NA,NA,NA,NA,NA,0.661764705882353
"152","01/12/1989",0,14.8,NA,NA,NA,18.3,33,0,NA,33,NA
"153","01/12/1989",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","02/23/1989",0,14.8,1060,23.5,0.022,7.9,58.5,17.5,"0.302",41,0.0221698113207547
"155","03/29/1989",0,12.4,515,224,0.435,NA,50,5,"0.218",45,0.43495145631068
"156","03/29/1989",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","05/01/1989",0,12.9,1410,1140,0.809,NA,NA,NA,NA,NA,0.808510638297872
"158","05/17/1989",0,11.2,880,880,1,NA,NA,NA,NA,NA,1
"159","05/30/1989",0,10,110,77.2,0.702,NA,NA,NA,NA,NA,0.701818181818182
"160","06/13/1989",0,9.3,188,144,0.766,NA,NA,NA,NA,NA,0.765957446808511
"161","06/26/1989",0,8.8,630,480,0.762,NA,NA,NA,NA,NA,0.761904761904762
"162","07/10/1989",0,8.3,910,870,0.956,NA,NA,NA,NA,NA,0.956043956043956
"163","07/24/1989",0,8.1,557,NA,NA,NA,NA,NA,NA,NA,NA
"164","08/08/1989",0,8.2,1640,1460,0.89,NA,NA,NA,NA,NA,0.890243902439024
"165","08/21/1989",0,8.8,188,127.1,0.676,NA,NA,NA,NA,NA,0.676063829787234
"166","09/05/1989",0,8.9,1699,1426,0.839,NA,NA,NA,NA,NA,0.839317245438493
"167","09/18/1989",0,9.1,545,422.6,0.775,NA,NA,NA,NA,NA,0.775412844036697
"168","10/02/1989",0,9.8,108,66.63,0.617,NA,NA,NA,NA,NA,0.616944444444444
"169","10/16/1989",0,9.7,603,409.1,0.678,NA,NA,NA,NA,NA,0.678441127694859
"170","11/01/1989",0,10.2,224,133.3,0.595,NA,NA,NA,NA,NA,0.595089285714286
"171","11/14/1989",0,10.9,87,61.28,0.704,NA,NA,NA,NA,NA,0.704367816091954
"172","01/17/1990",0,12.2,122,1.54,0.013,15.9,36,NA,NA,NA,0.0126229508196721
"173","01/17/1990",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","02/19/1990",0,10.9,1143,7.7,0.007,15.9,51,10,"0.373",41,0.00673665791776028
"175","03/28/1990",0,10.7,NA,NA,NA,0,39,4,NA,35,NA
"176","04/30/1990",0,9.8,1635,1502,0.919,NA,NA,NA,NA,NA,0.918654434250765
"177","04/30/1990",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","05/15/1990",0,10.8,440,330.8,0.752,NA,NA,NA,NA,NA,0.751818181818182
"179","05/29/1990",0,10,1958,1720,0.878,NA,NA,NA,NA,NA,0.878447395301328
"180","06/14/1990",0,9.5,1218,1101,0.904,NA,NA,NA,NA,NA,0.903940886699507
"181","06/26/1990",0,8.9,2024,1785,0.882,NA,NA,NA,NA,NA,0.881916996047431
"182","07/10/1990",0,8.6,1746,1557,0.892,NA,NA,NA,NA,NA,0.891752577319588
"183","07/23/1990",0,8.8,895,804,0.898,NA,NA,NA,NA,NA,0.898324022346369
"184","08/07/1990",0,8.5,1025,885,0.863,NA,NA,NA,NA,NA,0.863414634146341
"185","08/21/1990",0,8.9,1937,1698,0.877,NA,NA,NA,NA,NA,0.87661331956634
"186","09/04/1990",0,8.5,474,346.1,0.73,NA,NA,NA,NA,NA,0.730168776371308
"187","09/19/1990",0,9.2,347,229.7,0.662,NA,NA,NA,NA,NA,0.661959654178674
"188","10/02/1990",0,9.7,535,379.8,0.71,NA,NA,NA,NA,NA,0.709906542056075
"189","10/16/1990",0,9.5,1104,968,0.877,NA,NA,NA,NA,NA,0.876811594202899
"190","10/31/1990",0,9.8,460,436.6,0.949,NA,NA,NA,NA,NA,0.949130434782609
"191","11/12/1990",0,10.9,407,264.8,0.651,NA,NA,NA,NA,NA,0.650614250614251
"192","01/16/1991",0,14.7,211,5.04,0.024,8.8,38,5,NA,33,0.0238862559241706
"193","02/19/1991",0,15.4,557,5.7,0.01,8.6,55,5,NA,50,0.0102333931777379
"194","03/25/1991",0,14.2,775,NA,NA,0,53,3,"0.3",50,NA
"195","05/07/1991",0,11.6,2164,1680,0.776,NA,NA,NA,NA,NA,0.77634011090573
"196","05/22/1991",0,10.6,209,160.6,0.768,NA,NA,NA,NA,NA,0.768421052631579
"197","06/03/1991",0,8.7,1327,1068,0.805,NA,NA,NA,NA,NA,0.80482290881688
"198","06/03/1991",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","06/19/1991",0,8.3,1327,1015,0.765,NA,NA,NA,NA,NA,0.764883195177091
"200","07/01/1991",0,8.2,205,165.5,0.807,NA,NA,NA,NA,NA,0.807317073170732
"201","07/16/1991",0,8.1,935,1122,NA,NA,NA,NA,NA,NA,1.2
"202","07/30/1991",0,8.4,806,1240,NA,NA,NA,NA,NA,NA,1.53846153846154
"203","08/12/1991",0,8.5,840,815,0.97,NA,NA,NA,NA,NA,0.970238095238095
"204","08/28/1991",0,8.5,1491,1472,0.987,NA,NA,NA,NA,NA,0.987256874580818
"205","09/09/1991",0,8.9,402,295.5,0.735,NA,NA,NA,NA,NA,0.735074626865672
"206","09/23/1991",0,10.4,1067,687,0.644,NA,NA,NA,NA,NA,0.643861293345829
"207","10/07/1991",0,NA,416,332.5,0.799,NA,NA,NA,NA,NA,0.799278846153846
"208","11/11/1991",0,10.7,48,89.6,NA,NA,NA,NA,NA,NA,1.86666666666667
"209","01/14/1992",0,15,438,8.34,0.019,11.3,30,7,"0.388",23,0.019041095890411
"210","03/01/1992",0,14.4,1355,8.7,0.006,22.5,41,7,"0.316",34,0.00642066420664207
"211","03/01/1992",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","03/27/1992",0,13.8,1399,264.9,0.189,0.4,52,10,"0.3",42,0.189349535382416
"213","05/06/1992",0,12.3,1024,841,0.821,NA,NA,NA,NA,NA,0.8212890625
"214","05/06/1992",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","05/19/1992",0,11.4,1666,1518,0.911,NA,NA,NA,NA,NA,0.911164465786314
"216","06/02/1992",0,9.6,1226,1050,0.856,NA,NA,NA,NA,NA,0.856443719412724
"217","06/15/1992",0,8.7,903,650.5,0.72,NA,NA,NA,NA,NA,0.720376522702104
"218","06/30/1992",0,9.6,847,811,0.957,NA,NA,NA,NA,NA,0.957497048406139
"219","07/14/1992",0,8.7,1297,1276,0.984,NA,NA,NA,NA,NA,0.983808789514264
"220","07/29/1992",0,8.4,1141,866,0.759,NA,NA,NA,NA,NA,0.758983347940403
"221","08/11/1992",0,8.1,218,123.4,0.566,NA,NA,NA,NA,NA,0.56605504587156
"222","08/24/1992",0,8.5,1183,793,0.67,NA,NA,NA,NA,NA,0.67032967032967
"223","09/08/1992",0,9,1395,1454,NA,NA,NA,NA,NA,NA,1.04229390681004
"224","09/24/1992",0,9.3,684,490.3,0.717,NA,NA,NA,NA,NA,0.716812865497076
"225","10/05/1992",0,9.5,1186,1116,0.941,NA,NA,NA,NA,NA,0.94097807757167
"226","10/20/1992",0,9.6,104,66.86,0.643,NA,NA,NA,NA,NA,0.642884615384615
"227","11/09/1992",0,9.8,248,176.2,0.71,NA,NA,NA,NA,NA,0.710483870967742
"228","01/13/1993",0,14.2,294,0.05,0,19,36.5,6,NA,30.5,0.000170068027210884
"229","03/01/1993",0,15.3,689,45.7,0.066,2.7,60.5,21.5,NA,39,0.0663280116110305
"230","03/01/1993",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","03/22/1993",0,16.4,1259,16.35,0.013,9.1,56,23,"0.284",33,0.0129864972200159
"232","05/04/1993",0,12.8,544,3.44,0.006,NA,NA,NA,NA,NA,0.00632352941176471
"233","05/18/1993",0,11.3,962,900,0.936,NA,NA,NA,NA,NA,0.935550935550936
"234","05/18/1993",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","06/01/1993",0,10.6,734,571.5,0.779,NA,NA,NA,NA,NA,0.778610354223433
"236","06/14/1993",0,9,1145,840,0.734,NA,NA,NA,NA,NA,0.733624454148472
"237","06/30/1993",0,8.1,213,136.8,0.642,NA,NA,NA,NA,NA,0.642253521126761
"238","07/14/1993",0,8.5,1692,1731,NA,NA,NA,NA,NA,NA,1.02304964539007
"239","07/27/1993",0,9.3,918,785,0.855,NA,NA,NA,NA,NA,0.855119825708061
"240","08/11/1993",0,8.5,227,297.2,NA,NA,NA,NA,NA,NA,1.30925110132159
"241","08/23/1993",0,8.4,1534,2107,NA,NA,NA,NA,NA,NA,1.3735332464146
"242","09/08/1993",0,8.6,520,283.6,0.545,NA,NA,NA,NA,NA,0.545384615384615
"243","09/23/1993",0,9.4,967,792,0.819,NA,NA,NA,NA,NA,0.819027921406412
"244","10/05/1993",0,9.4,1061,1049,0.989,NA,NA,NA,NA,NA,0.988689915174364
"245","10/18/1993",0,9.8,69,65.58,0.95,NA,NA,NA,NA,NA,0.950434782608696
"246","11/10/1993",0,10.1,627,432.6,0.69,NA,NA,NA,NA,NA,0.689952153110048
"247","01/12/1994",0,13.9,283,18.98,0.067,6.8,30,10,"0.566",20,0.0670671378091873
"248","02/21/1994",0,13.6,1134,452.1,0.399,0,39,6,"0.285",33,0.398677248677249
"249","02/21/1994",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","03/28/1994",0,10,744,4.57,0.006,15.5,44,0,NA,44,0.00614247311827957
"251","05/05/1994",0,11.7,512,346,0.676,NA,NA,NA,NA,NA,0.67578125
"252","05/16/1994",0,11.1,1318,1232,0.935,NA,NA,NA,NA,NA,0.934749620637329
"253","06/01/1994",0,9.5,1767,1831,NA,NA,NA,NA,NA,NA,1.03621958121109
"254","06/01/1994",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","06/15/1994",0,8.4,162,108.2,0.668,NA,NA,NA,NA,NA,0.667901234567901
"256","06/27/1994",0,8.2,2177,2008,0.922,NA,NA,NA,NA,NA,0.92237023426734
"257","07/12/1994",0,8.5,1302,1241,0.953,NA,NA,NA,NA,NA,0.953149001536098
"258","07/27/1994",0,8.7,1111,897,0.807,NA,NA,NA,NA,NA,0.807380738073807
"259","08/09/1994",0,8.7,891,906,NA,NA,NA,NA,NA,NA,1.01683501683502
"260","08/24/1994",0,8.5,1193,1046,0.877,NA,NA,NA,NA,NA,0.876781223805532
"261","09/06/1994",0,8.7,492,427.4,0.869,NA,NA,NA,NA,NA,0.86869918699187
"262","09/06/1994",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","09/21/1994",0,8.6,258,186.9,0.724,NA,NA,NA,NA,NA,0.724418604651163
"264","10/03/1994",0,9,673,467,0.694,NA,NA,NA,NA,NA,0.693907875185735
"265","10/17/1994",0,9.6,783,710,0.907,NA,NA,NA,NA,NA,0.906768837803321
"266","11/01/1994",0,9.4,717,603.7,0.842,NA,NA,NA,NA,NA,0.841980474198047
"267","11/16/1994",0,9.5,320,213.6,0.668,NA,NA,NA,NA,NA,0.6675
"268","11/16/1994",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","01/09/1995",0,15.4,678,49.63,0.073,2.1,30,2,"0.62",28,0.0732005899705015
"270","02/20/1995",0,17,199,0.07,0,15.5,42,1,NA,41,0.000351758793969849
"271","03/24/1995",0,11.3,1113,435.6,0.391,1,34,0,"0.249",34,0.391374663072776
"272","05/02/1995",0,13.3,886,744,0.84,NA,NA,NA,NA,NA,0.839729119638826
"273","05/15/1995",0,11.7,1131,1069,0.945,NA,NA,NA,NA,NA,0.945181255526083
"274","05/31/1995",0,10.4,1395,1198,0.859,NA,NA,NA,NA,NA,0.858781362007168
"275","06/14/1995",0,9.2,1048,972,0.927,NA,NA,NA,NA,NA,0.927480916030534
"276","06/27/1995",0,7.9,282,192.6,0.683,NA,NA,NA,NA,NA,0.682978723404255
"277","07/11/1995",0,9,1857,1489,0.802,NA,NA,NA,NA,NA,0.801830910070005
"278","07/24/1995",0,8.4,481,343.2,0.714,NA,NA,NA,NA,NA,0.713513513513513
"279","08/07/1995",0,8,838,609.8,0.728,NA,NA,NA,NA,NA,0.727684964200477
"280","08/22/1995",0,8,1194,801,0.671,NA,NA,NA,NA,NA,0.670854271356784
"281","09/06/1995",0,8.4,420,390.5,0.93,NA,NA,NA,NA,NA,0.929761904761905
"282","09/19/1995",0,8.9,82,80.3,0.979,NA,NA,NA,NA,NA,0.979268292682927
"283","10/03/1995",0,9.4,846,651.5,0.77,NA,NA,NA,NA,NA,0.770094562647754
"284","10/18/1995",0,9.7,594,340.2,0.573,NA,NA,NA,NA,NA,0.572727272727273
"285","10/31/1995",0,9.9,669,489.5,0.732,NA,NA,NA,NA,NA,0.73168908819133
"286","11/13/1995",0,10.7,472,371,0.786,NA,NA,NA,NA,NA,0.786016949152542
"287","11/13/1995",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","01/24/1996",0,11.2,539,15.29,0.028,11,51,22,"0.855",29,0.0283673469387755
"289","02/21/1996",0,11.2,1096,7.72,0.007,11.7,53,26,"0.318",27,0.00704379562043796
"290","04/01/1996",0,10.9,1504,1.21,0.001,18.2,70,32,NA,38,0.000804521276595745
"291","05/14/1996",0,10.3,568,431.6,0.76,NA,NA,NA,NA,NA,0.759859154929577
"292","05/29/1996",0,10.6,1472,1346,0.914,NA,NA,NA,NA,NA,0.914402173913043
"293","06/10/1996",0,9.6,711,562.5,0.791,NA,NA,NA,NA,NA,0.791139240506329
"294","06/26/1996",0,9,474,371.9,0.785,NA,NA,NA,NA,NA,0.784599156118143
"295","07/10/1996",0,8.4,787,1011,NA,NA,NA,NA,NA,NA,1.284625158831
"296","07/25/1996",0,8.5,506,432.5,0.855,NA,NA,NA,NA,NA,0.854743083003953
"297","08/08/1996",0,8.4,1634,1469,0.899,NA,NA,NA,NA,NA,0.899020807833537
"298","08/20/1996",0,8.2,1011,572.6,0.566,NA,NA,NA,NA,NA,0.566369930761622
