"sampledate","species_name","density"
1982-05-12,"TRICHOCERCA MULTICRINIS",0
1982-05-12,"CALANOID",0
1982-05-12,"SKISTODIAPTOMUS OREGONENSIS",0
1982-05-12,"DIAPHANOSOMA BIRGEI",0
1982-05-12,"MESOCYCLOPS EDAX",0
1982-05-12,"DIAPHANOSOMA",0
1982-05-12,"ASCOMORPHA OVALIS",0
1982-05-12,"GASTROPUS",0
1982-05-12,"UNKNOWN",0
1982-05-12,"POLYARTHRA",0
1982-05-12,"UNKNOWN ROTIFER",0
1982-05-12,"LECANE INERMIS",0
1982-05-12,"TRICHOCERCA CYLINDRICA",0
1982-05-12,"LECANE MIRA",0
1982-05-12,"MANFREDIUM EUDACTYLOTUM",0
1982-05-12,"KERATELLA CRASSA",0
1982-05-12,"BRACHIONUS",0
1982-05-12,"MONOSTYLA OBTUSA",0
1982-05-12,"KERATELLA",0
1982-05-12,"ASCOMORPHA SALTANS",0
1982-05-12,"EPISCHURA LACUSTRIS",0
1982-05-12,"DAPHNIA AMBIGUA",0
1982-05-12,"LECANE TUDICOLA",0
1982-05-12,"LEPADELLA",0
1982-05-12,"CEPHALODELLA",0
1982-05-12,"NOTOMMATA",0
1982-05-12,"KERATELLA EARLINAE",0
1982-05-12,"KERATELLA TESTUDO",0
1982-05-12,"LEPADELLA ACUMINATA",0
1982-05-12,"EUCHLANIS",0
1982-05-12,"PLOESOMA LENTICULARE",0
1982-05-12,"TRICHOTRIA",0
1982-05-12,"POLYARTHRA MAJOR",0
1982-05-12,"CLADOCERAN",0
1982-05-12,"ENCENTRUM",0
1982-05-12,"SCAPHOLEBERIS",0
1982-05-12,"HOLOPEDIUM",0
1982-05-12,"LEPADELLA PATELLA",0
1982-05-12,"TRICHOCERCA ROUSSELETI",0
1982-05-12,"NOTHOLCA MICHIGANENSIS",0
1982-06-07,"ASCOMORPHA",0
1982-06-07,"ASCOMORPHA ECAUDIS",11
1982-06-07,"BOSMINIDAE",61.2
1982-06-07,"CHYDORUS",0
1982-06-07,"KERATELLA TAUROCEPHALA",395.2
1982-06-07,"KERATELLA TICINENSIS",0
1982-06-07,"TROPOCYCLOPS PRASINUS MEXICANUS",187.4
1982-06-07,"ASPLANCHNA",0
1982-06-07,"COPEPOD NAUPLII",102
1982-06-07,"CYCLOPOID",0
1982-06-07,"LECANE TENUISETA",0
1982-06-07,"MONOSTYLA LUNARIS",28.2
1982-06-07,"SYNCHAETA",4.7
1982-06-07,"DAPHNIA PULICARIA",1.6
1982-06-07,"GASTROPUS HYPTOPUS",1.6
1982-06-07,"HOLOPEDIUM GIBBERUM",2.4
1982-06-07,"POLYARTHRA VULGARIS",3.1
1982-06-07,"TRICHOCERCA BIROSTRIS",1.6
1982-06-07,"CERIODAPHNIA",0
1982-06-07,"GASTROPUS STYLIFER",0
1982-06-07,"DIACYCLOPS THOMASI",0
1982-06-07,"LEPADELLA TRIPTERA",0
1982-06-07,"CONOCHILOIDES",0
1982-06-07,"CONOCHILUS",0
1982-06-07,"DAPHNIA PARVULA",0
1982-06-07,"KELLICOTTIA BOSTONIENSIS",0
1982-06-07,"DAPHNIA MENDOTAE",0
1982-06-07,"KERATELLA HIEMALIS",0
1982-06-07,"ACANTHOCYCLOPS VERNALIS",0
1982-06-07,"FILINIA TERMINALIS",0
1982-06-07,"KERATELLA QUADRATA",0
1982-06-07,"ORTHOCYCLOPS MODESTUS",0
1982-06-07,"TRICHOCERCA",0
1982-06-07,"DAPHNIA",0
1982-06-07,"KELLICOTTIA LONGISPINA",0
1982-06-07,"POLYARTHRA REMATA",0
1982-06-07,"KERATELLA COCHLEARIS",0
1982-06-07,"MONOSTYLA",0
1982-06-07,"LECANE",0
1982-06-07,"TRICHOCERCA MULTICRINIS",0
1982-06-07,"CALANOID",0
1982-06-07,"SKISTODIAPTOMUS OREGONENSIS",0
1982-06-07,"DIAPHANOSOMA BIRGEI",0
1982-06-07,"MESOCYCLOPS EDAX",0
1982-06-07,"DIAPHANOSOMA",0
1982-06-07,"ASCOMORPHA OVALIS",0
1982-06-07,"GASTROPUS",0
1982-06-07,"UNKNOWN",0
1982-06-07,"POLYARTHRA",0
1982-06-07,"UNKNOWN ROTIFER",0
1982-06-07,"LECANE INERMIS",0
1982-06-07,"TRICHOCERCA CYLINDRICA",0
1982-06-07,"LECANE MIRA",0
1982-06-07,"MANFREDIUM EUDACTYLOTUM",0
1982-06-07,"KERATELLA CRASSA",0
1982-06-07,"BRACHIONUS",0
1982-06-07,"MONOSTYLA OBTUSA",0
1982-06-07,"KERATELLA",0
1982-06-07,"ASCOMORPHA SALTANS",0
1982-06-07,"EPISCHURA LACUSTRIS",0
1982-06-07,"DAPHNIA AMBIGUA",0
1982-06-07,"LECANE TUDICOLA",0
1982-06-07,"LEPADELLA",0
1982-06-07,"CEPHALODELLA",0
1982-06-07,"NOTOMMATA",0
1982-06-07,"KERATELLA EARLINAE",0
1982-06-07,"KERATELLA TESTUDO",0
1982-06-07,"LEPADELLA ACUMINATA",0
1982-06-07,"EUCHLANIS",0
1982-06-07,"PLOESOMA LENTICULARE",0
1982-06-07,"TRICHOTRIA",0
1982-06-07,"POLYARTHRA MAJOR",0
1982-06-07,"CLADOCERAN",0
1982-06-07,"ENCENTRUM",0
1982-06-07,"SCAPHOLEBERIS",0
1982-06-07,"HOLOPEDIUM",0
1982-06-07,"LEPADELLA PATELLA",0
1982-06-07,"TRICHOCERCA ROUSSELETI",0
1982-06-07,"NOTHOLCA MICHIGANENSIS",0
1982-08-19,"ASCOMORPHA",13.4
1982-08-19,"ASCOMORPHA ECAUDIS",15.7
1982-08-19,"BOSMINIDAE",1.2
1982-08-19,"CHYDORUS",0.6
1982-08-19,"KERATELLA TAUROCEPHALA",67.4
1982-08-19,"KERATELLA TICINENSIS",13.9
1982-08-19,"TROPOCYCLOPS PRASINUS MEXICANUS",52.9
1982-08-19,"ASPLANCHNA",0
1982-08-19,"COPEPOD NAUPLII",40.1
1982-08-19,"CYCLOPOID",0
1982-08-19,"LECANE TENUISETA",0.6
1982-08-19,"MONOSTYLA LUNARIS",1.2
1982-08-19,"SYNCHAETA",0
1982-08-19,"DAPHNIA PULICARIA",1.7
1982-08-19,"GASTROPUS HYPTOPUS",0
1982-08-19,"HOLOPEDIUM GIBBERUM",9.9
1982-08-19,"POLYARTHRA VULGARIS",0
1982-08-19,"TRICHOCERCA BIROSTRIS",0
1982-08-19,"CERIODAPHNIA",20.3
1982-08-19,"GASTROPUS STYLIFER",1.2
1982-08-19,"DIACYCLOPS THOMASI",0
1982-08-19,"LEPADELLA TRIPTERA",0
1982-08-19,"CONOCHILOIDES",0
1982-08-19,"CONOCHILUS",0
1982-08-19,"DAPHNIA PARVULA",0
1982-08-19,"KELLICOTTIA BOSTONIENSIS",0
1982-08-19,"DAPHNIA MENDOTAE",0
1982-08-19,"KERATELLA HIEMALIS",0
1982-08-19,"ACANTHOCYCLOPS VERNALIS",0
1982-08-19,"FILINIA TERMINALIS",0
1982-08-19,"KERATELLA QUADRATA",0
1982-08-19,"ORTHOCYCLOPS MODESTUS",0
1982-08-19,"TRICHOCERCA",0
1982-08-19,"DAPHNIA",0
1982-08-19,"KELLICOTTIA LONGISPINA",0
1982-08-19,"POLYARTHRA REMATA",0
1982-08-19,"KERATELLA COCHLEARIS",0
1982-08-19,"MONOSTYLA",0
1982-08-19,"LECANE",0
1982-08-19,"TRICHOCERCA MULTICRINIS",0
1982-08-19,"CALANOID",0
1982-08-19,"SKISTODIAPTOMUS OREGONENSIS",0
1982-08-19,"DIAPHANOSOMA BIRGEI",0
1982-08-19,"MESOCYCLOPS EDAX",0
1982-08-19,"DIAPHANOSOMA",0
1982-08-19,"ASCOMORPHA OVALIS",0
1982-08-19,"GASTROPUS",0
1982-08-19,"UNKNOWN",0
1982-08-19,"POLYARTHRA",0
1982-08-19,"UNKNOWN ROTIFER",0
1982-08-19,"LECANE INERMIS",0
1982-08-19,"TRICHOCERCA CYLINDRICA",0
1982-08-19,"LECANE MIRA",0
1982-08-19,"MANFREDIUM EUDACTYLOTUM",0
1982-08-19,"KERATELLA CRASSA",0
1982-08-19,"BRACHIONUS",0
1982-08-19,"MONOSTYLA OBTUSA",0
1982-08-19,"KERATELLA",0
1982-08-19,"ASCOMORPHA SALTANS",0
1982-08-19,"EPISCHURA LACUSTRIS",0
1982-08-19,"DAPHNIA AMBIGUA",0
1982-08-19,"LECANE TUDICOLA",0
1982-08-19,"LEPADELLA",0
1982-08-19,"CEPHALODELLA",0
1982-08-19,"NOTOMMATA",0
1982-08-19,"KERATELLA EARLINAE",0
1982-08-19,"KERATELLA TESTUDO",0
1982-08-19,"LEPADELLA ACUMINATA",0
1982-08-19,"EUCHLANIS",0
1982-08-19,"PLOESOMA LENTICULARE",0
1982-08-19,"TRICHOTRIA",0
1982-08-19,"POLYARTHRA MAJOR",0
1982-08-19,"CLADOCERAN",0
1982-08-19,"ENCENTRUM",0
1982-08-19,"SCAPHOLEBERIS",0
1982-08-19,"HOLOPEDIUM",0
1982-08-19,"LEPADELLA PATELLA",0
1982-08-19,"TRICHOCERCA ROUSSELETI",0
1982-08-19,"NOTHOLCA MICHIGANENSIS",0
1982-11-09,"ASCOMORPHA",2.6
1982-11-09,"ASCOMORPHA ECAUDIS",0
1982-11-09,"BOSMINIDAE",7.7
1982-11-09,"CHYDORUS",0
1982-11-09,"KERATELLA TAUROCEPHALA",10.2
1982-11-09,"KERATELLA TICINENSIS",17.3
1982-11-09,"TROPOCYCLOPS PRASINUS MEXICANUS",10.2
1982-11-09,"ASPLANCHNA",0
1982-11-09,"COPEPOD NAUPLII",0
1982-11-09,"CYCLOPOID",0
1982-11-09,"LECANE TENUISETA",0.6
1982-11-09,"MONOSTYLA LUNARIS",0
1982-11-09,"SYNCHAETA",3.2
1982-11-09,"DAPHNIA PULICARIA",0
1982-11-09,"GASTROPUS HYPTOPUS",0
1982-11-09,"HOLOPEDIUM GIBBERUM",0
1982-11-09,"POLYARTHRA VULGARIS",0
1982-11-09,"TRICHOCERCA BIROSTRIS",0
1982-11-09,"CERIODAPHNIA",1.3
1982-11-09,"GASTROPUS STYLIFER",0
1982-11-09,"DIACYCLOPS THOMASI",0.6
1982-11-09,"LEPADELLA TRIPTERA",0.6
1982-11-09,"CONOCHILOIDES",0
1982-11-09,"CONOCHILUS",0
1982-11-09,"DAPHNIA PARVULA",0
1982-11-09,"KELLICOTTIA BOSTONIENSIS",0
1982-11-09,"DAPHNIA MENDOTAE",0
1982-11-09,"KERATELLA HIEMALIS",0
1982-11-09,"ACANTHOCYCLOPS VERNALIS",0
1982-11-09,"FILINIA TERMINALIS",0
1982-11-09,"KERATELLA QUADRATA",0
1982-11-09,"ORTHOCYCLOPS MODESTUS",0
1982-11-09,"TRICHOCERCA",0
1982-11-09,"DAPHNIA",0
1982-11-09,"KELLICOTTIA LONGISPINA",0
1982-11-09,"POLYARTHRA REMATA",0
1982-11-09,"KERATELLA COCHLEARIS",0
1982-11-09,"MONOSTYLA",0
1982-11-09,"LECANE",0
1982-11-09,"TRICHOCERCA MULTICRINIS",0
1982-11-09,"CALANOID",0
1982-11-09,"SKISTODIAPTOMUS OREGONENSIS",0
1982-11-09,"DIAPHANOSOMA BIRGEI",0
1982-11-09,"MESOCYCLOPS EDAX",0
1982-11-09,"DIAPHANOSOMA",0
1982-11-09,"ASCOMORPHA OVALIS",0
1982-11-09,"GASTROPUS",0
1982-11-09,"UNKNOWN",0
1982-11-09,"POLYARTHRA",0
1982-11-09,"UNKNOWN ROTIFER",0
1982-11-09,"LECANE INERMIS",0
1982-11-09,"TRICHOCERCA CYLINDRICA",0
1982-11-09,"LECANE MIRA",0
1982-11-09,"MANFREDIUM EUDACTYLOTUM",0
1982-11-09,"KERATELLA CRASSA",0
1982-11-09,"BRACHIONUS",0
1982-11-09,"MONOSTYLA OBTUSA",0
1982-11-09,"KERATELLA",0
1982-11-09,"ASCOMORPHA SALTANS",0
1982-11-09,"EPISCHURA LACUSTRIS",0
1982-11-09,"DAPHNIA AMBIGUA",0
1982-11-09,"LECANE TUDICOLA",0
1982-11-09,"LEPADELLA",0
1982-11-09,"CEPHALODELLA",0
1982-11-09,"NOTOMMATA",0
1982-11-09,"KERATELLA EARLINAE",0
1982-11-09,"KERATELLA TESTUDO",0
1982-11-09,"LEPADELLA ACUMINATA",0
1982-11-09,"EUCHLANIS",0
1982-11-09,"PLOESOMA LENTICULARE",0
1982-11-09,"TRICHOTRIA",0
1982-11-09,"POLYARTHRA MAJOR",0
1982-11-09,"CLADOCERAN",0
1982-11-09,"ENCENTRUM",0
1982-11-09,"SCAPHOLEBERIS",0
1982-11-09,"HOLOPEDIUM",0
1982-11-09,"LEPADELLA PATELLA",0
1982-11-09,"TRICHOCERCA ROUSSELETI",0
1982-11-09,"NOTHOLCA MICHIGANENSIS",0
1983-02-22,"ASCOMORPHA",16.7
1983-02-22,"ASCOMORPHA ECAUDIS",4.2
1983-02-22,"BOSMINIDAE",6.3
1983-02-22,"CHYDORUS",0
1983-02-22,"KERATELLA TAUROCEPHALA",167.3
1983-02-22,"KERATELLA TICINENSIS",6.3
1983-02-22,"TROPOCYCLOPS PRASINUS MEXICANUS",15.7
1983-02-22,"ASPLANCHNA",0
1983-02-22,"COPEPOD NAUPLII",0
1983-02-22,"CYCLOPOID",1.1
1983-02-22,"LECANE TENUISETA",0
1983-02-22,"MONOSTYLA LUNARIS",0
1983-02-22,"SYNCHAETA",1.1
1983-02-22,"DAPHNIA PULICARIA",0
1983-02-22,"GASTROPUS HYPTOPUS",0
1983-02-22,"HOLOPEDIUM GIBBERUM",0
1983-02-22,"POLYARTHRA VULGARIS",0
1983-02-22,"TRICHOCERCA BIROSTRIS",0
1983-02-22,"CERIODAPHNIA",0
1983-02-22,"GASTROPUS STYLIFER",0
1983-02-22,"DIACYCLOPS THOMASI",0
1983-02-22,"LEPADELLA TRIPTERA",0
1983-02-22,"CONOCHILOIDES",3.1
1983-02-22,"CONOCHILUS",4.2
1983-02-22,"DAPHNIA PARVULA",0
1983-02-22,"KELLICOTTIA BOSTONIENSIS",0
1983-02-22,"DAPHNIA MENDOTAE",0
1983-02-22,"KERATELLA HIEMALIS",0
1983-02-22,"ACANTHOCYCLOPS VERNALIS",0
1983-02-22,"FILINIA TERMINALIS",0
1983-02-22,"KERATELLA QUADRATA",0
1983-02-22,"ORTHOCYCLOPS MODESTUS",0
1983-02-22,"TRICHOCERCA",0
1983-02-22,"DAPHNIA",0
1983-02-22,"KELLICOTTIA LONGISPINA",0
1983-02-22,"POLYARTHRA REMATA",0
1983-02-22,"KERATELLA COCHLEARIS",0
1983-02-22,"MONOSTYLA",0
1983-02-22,"LECANE",0
1983-02-22,"TRICHOCERCA MULTICRINIS",0
1983-02-22,"CALANOID",0
1983-02-22,"SKISTODIAPTOMUS OREGONENSIS",0
1983-02-22,"DIAPHANOSOMA BIRGEI",0
1983-02-22,"MESOCYCLOPS EDAX",0
1983-02-22,"DIAPHANOSOMA",0
1983-02-22,"ASCOMORPHA OVALIS",0
1983-02-22,"GASTROPUS",0
1983-02-22,"UNKNOWN",0
1983-02-22,"POLYARTHRA",0
1983-02-22,"UNKNOWN ROTIFER",0
1983-02-22,"LECANE INERMIS",0
1983-02-22,"TRICHOCERCA CYLINDRICA",0
1983-02-22,"LECANE MIRA",0
1983-02-22,"MANFREDIUM EUDACTYLOTUM",0
1983-02-22,"KERATELLA CRASSA",0
1983-02-22,"BRACHIONUS",0
1983-02-22,"MONOSTYLA OBTUSA",0
1983-02-22,"KERATELLA",0
1983-02-22,"ASCOMORPHA SALTANS",0
1983-02-22,"EPISCHURA LACUSTRIS",0
1983-02-22,"DAPHNIA AMBIGUA",0
1983-02-22,"LECANE TUDICOLA",0
1983-02-22,"LEPADELLA",0
1983-02-22,"CEPHALODELLA",0
1983-02-22,"NOTOMMATA",0
1983-02-22,"KERATELLA EARLINAE",0
1983-02-22,"KERATELLA TESTUDO",0
1983-02-22,"LEPADELLA ACUMINATA",0
1983-02-22,"EUCHLANIS",0
1983-02-22,"PLOESOMA LENTICULARE",0
1983-02-22,"TRICHOTRIA",0
1983-02-22,"POLYARTHRA MAJOR",0
1983-02-22,"CLADOCERAN",0
1983-02-22,"ENCENTRUM",0
1983-02-22,"SCAPHOLEBERIS",0
1983-02-22,"HOLOPEDIUM",0
1983-02-22,"LEPADELLA PATELLA",0
1983-02-22,"TRICHOCERCA ROUSSELETI",0
1983-02-22,"NOTHOLCA MICHIGANENSIS",0
1983-05-09,"ASCOMORPHA",83.7
1983-05-09,"ASCOMORPHA ECAUDIS",8.9
1983-05-09,"BOSMINIDAE",0.5
1983-05-09,"CHYDORUS",0
1983-05-09,"KERATELLA TAUROCEPHALA",40.8
1983-05-09,"KERATELLA TICINENSIS",7.8
1983-05-09,"TROPOCYCLOPS PRASINUS MEXICANUS",18.3
1983-05-09,"ASPLANCHNA",0
1983-05-09,"COPEPOD NAUPLII",3.7
1983-05-09,"CYCLOPOID",0
1983-05-09,"LECANE TENUISETA",0
1983-05-09,"MONOSTYLA LUNARIS",0
1983-05-09,"SYNCHAETA",7.8
1983-05-09,"DAPHNIA PULICARIA",0.5
1983-05-09,"GASTROPUS HYPTOPUS",0
1983-05-09,"HOLOPEDIUM GIBBERUM",0
1983-05-09,"POLYARTHRA VULGARIS",0
1983-05-09,"TRICHOCERCA BIROSTRIS",0
1983-05-09,"CERIODAPHNIA",1.1
1983-05-09,"GASTROPUS STYLIFER",0
1983-05-09,"DIACYCLOPS THOMASI",0
1983-05-09,"LEPADELLA TRIPTERA",0
1983-05-09,"CONOCHILOIDES",0
1983-05-09,"CONOCHILUS",0.5
1983-05-09,"DAPHNIA PARVULA",1.6
1983-05-09,"KELLICOTTIA BOSTONIENSIS",0.5
1983-05-09,"DAPHNIA MENDOTAE",0
1983-05-09,"KERATELLA HIEMALIS",0
1983-05-09,"ACANTHOCYCLOPS VERNALIS",0
1983-05-09,"FILINIA TERMINALIS",0
1983-05-09,"KERATELLA QUADRATA",0
1983-05-09,"ORTHOCYCLOPS MODESTUS",0
1983-05-09,"TRICHOCERCA",0
1983-05-09,"DAPHNIA",0
1983-05-09,"KELLICOTTIA LONGISPINA",0
1983-05-09,"POLYARTHRA REMATA",0
1983-05-09,"KERATELLA COCHLEARIS",0
1983-05-09,"MONOSTYLA",0
1983-05-09,"LECANE",0
1983-05-09,"TRICHOCERCA MULTICRINIS",0
1983-05-09,"CALANOID",0
1983-05-09,"SKISTODIAPTOMUS OREGONENSIS",0
1983-05-09,"DIAPHANOSOMA BIRGEI",0
1983-05-09,"MESOCYCLOPS EDAX",0
1983-05-09,"DIAPHANOSOMA",0
1983-05-09,"ASCOMORPHA OVALIS",0
1983-05-09,"GASTROPUS",0
1983-05-09,"UNKNOWN",0
1983-05-09,"POLYARTHRA",0
1983-05-09,"UNKNOWN ROTIFER",0
1983-05-09,"LECANE INERMIS",0
1983-05-09,"TRICHOCERCA CYLINDRICA",0
1983-05-09,"LECANE MIRA",0
1983-05-09,"MANFREDIUM EUDACTYLOTUM",0
1983-05-09,"KERATELLA CRASSA",0
1983-05-09,"BRACHIONUS",0
1983-05-09,"MONOSTYLA OBTUSA",0
1983-05-09,"KERATELLA",0
1983-05-09,"ASCOMORPHA SALTANS",0
1983-05-09,"EPISCHURA LACUSTRIS",0
1983-05-09,"DAPHNIA AMBIGUA",0
1983-05-09,"LECANE TUDICOLA",0
1983-05-09,"LEPADELLA",0
1983-05-09,"CEPHALODELLA",0
1983-05-09,"NOTOMMATA",0
1983-05-09,"KERATELLA EARLINAE",0
1983-05-09,"KERATELLA TESTUDO",0
1983-05-09,"LEPADELLA ACUMINATA",0
1983-05-09,"EUCHLANIS",0
1983-05-09,"PLOESOMA LENTICULARE",0
1983-05-09,"TRICHOTRIA",0
1983-05-09,"POLYARTHRA MAJOR",0
1983-05-09,"CLADOCERAN",0
1983-05-09,"ENCENTRUM",0
1983-05-09,"SCAPHOLEBERIS",0
1983-05-09,"HOLOPEDIUM",0
1983-05-09,"LEPADELLA PATELLA",0
1983-05-09,"TRICHOCERCA ROUSSELETI",0
1983-05-09,"NOTHOLCA MICHIGANENSIS",0
1983-06-23,"ASCOMORPHA",6.5
1983-06-23,"ASCOMORPHA ECAUDIS",2.8
1983-06-23,"BOSMINIDAE",3.7
1983-06-23,"CHYDORUS",0.5
1983-06-23,"KERATELLA TAUROCEPHALA",1118.1
1983-06-23,"KERATELLA TICINENSIS",1230.6
1983-06-23,"TROPOCYCLOPS PRASINUS MEXICANUS",17.2
1983-06-23,"ASPLANCHNA",0
1983-06-23,"COPEPOD NAUPLII",62.3
1983-06-23,"CYCLOPOID",0
1983-06-23,"LECANE TENUISETA",0
1983-06-23,"MONOSTYLA LUNARIS",9.3
1983-06-23,"SYNCHAETA",3.7
1983-06-23,"DAPHNIA PULICARIA",0.9
1983-06-23,"GASTROPUS HYPTOPUS",0
1983-06-23,"HOLOPEDIUM GIBBERUM",20.5
1983-06-23,"POLYARTHRA VULGARIS",0
1983-06-23,"TRICHOCERCA BIROSTRIS",0
1983-06-23,"CERIODAPHNIA",6
1983-06-23,"GASTROPUS STYLIFER",9.3
1983-06-23,"DIACYCLOPS THOMASI",0
1983-06-23,"LEPADELLA TRIPTERA",0
1983-06-23,"CONOCHILOIDES",0
1983-06-23,"CONOCHILUS",0
1983-06-23,"DAPHNIA PARVULA",0
1983-06-23,"KELLICOTTIA BOSTONIENSIS",0
1983-06-23,"DAPHNIA MENDOTAE",0.5
1983-06-23,"KERATELLA HIEMALIS",0
1983-06-23,"ACANTHOCYCLOPS VERNALIS",0
1983-06-23,"FILINIA TERMINALIS",0
1983-06-23,"KERATELLA QUADRATA",0
1983-06-23,"ORTHOCYCLOPS MODESTUS",0
1983-06-23,"TRICHOCERCA",0
1983-06-23,"DAPHNIA",0
1983-06-23,"KELLICOTTIA LONGISPINA",0
1983-06-23,"POLYARTHRA REMATA",0
1983-06-23,"KERATELLA COCHLEARIS",0
1983-06-23,"MONOSTYLA",0
1983-06-23,"LECANE",0
1983-06-23,"TRICHOCERCA MULTICRINIS",0
1983-06-23,"CALANOID",0
1983-06-23,"SKISTODIAPTOMUS OREGONENSIS",0
