lakeid,year4,sampledate,depth,chlor,division,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,Season
SP,2010,7/6/10,10,1.7,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,12,6.8,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,15,10.5,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,18,9.4,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,8/3/10,0,1.8,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,3,0.8,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,5,1.8,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,8,2.2,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,10,2.35,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,12,8.3,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,15,3.9,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,8/3/10,18,18.5,Total,86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
SP,2010,11/11/10,0,4,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,3,3.5,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,5,3.4,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,8,3.4,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,10,3.7,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,12,4.1,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,15,3.6,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2010,11/11/10,18,3.4,Total,37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
SP,2011,2/14/11,0,2.4,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,3,0.8,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,5,1.2,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,8,0.9,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,10,0.55,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,12,0.3,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,15,0.2,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,2/14/11,18,0.8,Total,98,5240.8986,5501.9904,44576.8978,0.0445769,0
SP,2011,5/3/11,0,4.1,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,3,3.9,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,5,3.6,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,8,4.4,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,10,4.05,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,12,3.5,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,15,4.5,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,5/3/11,18,4,Total,78.5,4092.7546,4318.801,499759.1397,0.49975916,1
SP,2011,6/3/11,0,1.2,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,3,1.5,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,5,1.35,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,8,4.7,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,10,13.1,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,12,14.9,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,15,8.4,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,6/3/11,18,16,Total,147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
SP,2011,7/26/11,0,1.5,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,3,0.9,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,5,1.1,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,8,1.2,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,10,2,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,12,4.6,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,15,16.2,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,7/26/11,18,13.3,Total,70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
SP,2011,8/22/11,0,0.5,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,3,0.7,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,5,0.9,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,8,0.5,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,10,1.8,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,12,2.5,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,15,13.6,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,8/22/11,18,39.7,Total,312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
SP,2011,11/15/11,0,3.05,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,3,2.9,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,5,3.1,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,8,2.8,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,10,3.7,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,12,2.7,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,15,2.9,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2011,11/15/11,18,2.8,Total,100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
SP,2012,2/21/12,0,5,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,3,2.4,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,5,1.9,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,8,0.5,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,10,0.4,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,12,0.5,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,15,0.5,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,2/21/12,18,0.8,Total,86,4365.4916,7675.9962,55638.3766,0.05563836,0
SP,2012,4/2/12,0,2.6,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,3,3.5,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,5,2.8,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,8,2.4,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,10,2.6,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,12,2.5,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,15,3.3,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,4/2/12,18,2.85,Total,125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
SP,2012,6/27/12,0,1.2,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,3,1.1,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,5,1.5,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,8,3.2,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,10,2.4,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,12,3.25,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,15,1.7,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,6/27/12,18,2.9,Total,165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
SP,2012,7/25/12,0,1.3,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,3,0.8,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,5,1.5,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,8,1.7,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,10,0.7,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,12,3.7,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,15,3.4,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,7/25/12,18,7,Total,186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
SP,2012,8/23/12,0,1.25,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,3,1.6,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,5,2.5,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,8,1.4,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,10,2.7,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,12,4.6,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,15,6.2,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,8/23/12,18,12.3,Total,270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
SP,2012,11/12/12,0,2,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,3,2.4,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,5,2.4,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,8,3.5,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,10,2.7,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,12,2.1,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,15,2.2,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2012,11/12/12,18,2.4,Total,103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
SP,2013,2/25/13,0,2.1,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,3,0.7,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,5,0.7,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,10,0.3,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,12,0.2,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,15,0.1,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,2/25/13,18,0.25,Total,45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
SP,2013,5/16/13,0,5.7,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,3,5.3,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,5,5.4,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,8,5.4,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,10,4.9,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,12,3.8,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,15,4.3,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,5/16/13,18,4.1,Total,25,3494.95,3504.9531,241242.3545,0.24124238,1
SP,2013,7/8/13,0,1.5,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,3,1.8,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,5,1.9,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,8,2.8,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,10,4.8,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,12,8.6,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,15,11.9,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,7/8/13,18,9.1,Total,78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
SP,2013,8/5/13,0,1.6,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,3,1.6,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,5,2,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,8,2.25,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,10,4,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,12,9,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,15,17.8,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,8/5/13,18,4,Total,236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
SP,2013,11/13/13,0,2.4,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,3,2.7,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,5,3,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,8,2,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,10,2.4,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,12,2.7,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,15,2.5,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2013,11/13/13,18,2.2,Total,84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
SP,2014,2/17/14,0,2.5,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,3,1.1,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,5,0.5,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,8,-0.2,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,10,0.2,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,12,0.1,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,15,0.1,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,2/17/14,18,-4,Total,121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
SP,2014,5/19/14,0,6.5,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,3,7,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,5,10.6,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,8,9.7,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,10,6.6,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,12,5.3,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,15,3.8,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,5/19/14,18,3.7,Total,81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
SP,2014,7/14/14,0,2.1,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,3,1.3,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,5,2.9,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,8,3.8,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,10,6.7,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,12,10.7,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,15,10.8,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,7/14/14,18,6.35,Total,269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
SP,2014,8/12/14,0,1,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,3,1.1,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,5,1.4,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,8,1.95,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,10,3,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,12,5.4,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,15,21,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,8/12/14,18,5.2,Total,245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
SP,2014,11/10/14,0,2,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,3,1.8,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,5,2,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,8,2.1,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,10,2.5,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,12,1.9,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,15,2.1,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2014,11/10/14,18,1.5,Total,174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
SP,2015,2/24/15,0,1.5,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,3,0.8,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,5,0.4,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,8,0.2,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,10,0.1,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,12,0.2,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,15,0,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,2/24/15,18,-4.3,Total,70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
SP,2015,4/23/15,0,1,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,3,2.9,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,5,2.5,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,8,2.1,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,10,5.6,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,12,3.1,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,15,1,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,4/23/15,18,-5.3,Total,153,7451.3292,7945.4117,582409.2471,0.5824092,1
SP,2015,6/17/15,0,1.8,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,3,1.9,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,5,1.6,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,8,1.25,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,10,2.4,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,12,5.8,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,15,10.7,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,6/17/15,18,4.7,Total,165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
SP,2015,7/15/15,0,1,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,3,1.2,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,5,1.7,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,8,2.15,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,10,2.3,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,12,2.4,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,15,7.5,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,7/15/15,18,4.1,Total,191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
SP,2015,8/11/15,0,1,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,3,1.1,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,5,1.7,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,8,2.9,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,10,4.8,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,12,5.9,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,15,5.5,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,8/11/15,18,8,Total,198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
SP,2015,11/17/15,0,3.75,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,3,4.6,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,5,3.5,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,8,3.4,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,10,3.4,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,12,3.7,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,15,4,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
SP,2015,11/17/15,18,6.8,Total,281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
