"sampledate","species_code","species_name","lakeid","density","individuals_measured","avg_length"
1981-06-04,69922,"UNKNOWN",NA,0,NA,NA
1981-06-04,61809,"KERATELLA TESTUDO",NA,0,NA,NA
1981-06-04,69918,"UNKNOWN",NA,0,NA,NA
1981-06-04,60100,"ANURAEOPSIS",NA,0,NA,NA
1981-06-04,63612,"TRICHOCERCA MULTICRINIS",NA,0,NA,NA
1981-06-04,69919,"UNKNOWN",NA,0,NA,NA
1981-06-04,69920,"UNKNOWN",NA,0,NA,NA
1981-06-04,30201,"EPISCHURA LACUSTRIS",NA,0,NA,NA
1981-06-04,62406,"MONOSTYLA LUNARIS",NA,0,NA,NA
1981-06-04,70029,"UNKNOWN",NA,0,NA,NA
1981-06-04,70030,"UNKNOWN",NA,0,NA,NA
1981-06-04,20601,"MESOCYCLOPS EDAX",NA,0,NA,NA
1981-06-04,69958,"UNKNOWN",NA,0,NA,NA
1981-06-04,60600,"COLLOTHECA",NA,0,NA,NA
1981-06-04,61911,"LECANE MIRA",NA,0,NA,NA
1981-06-04,70028,"UNKNOWN",NA,0,NA,NA
1981-06-04,60201,"ASCOMORPHA ECAUDIS",NA,0,NA,NA
1981-06-04,60601,"COLLOTHECA MUTABILIS",NA,0,NA,NA
1981-06-04,88888,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-06-04,63602,"TRICHOCERCA BIROSTRIS",NA,0,NA,NA
1981-06-04,61810,"KERATELLA TICINENSIS",NA,0,NA,NA
1981-06-04,62901,"PLOESOMA HUDSONI",NA,0,NA,NA
1981-06-04,50300,"ALONA",NA,0,NA,NA
1981-06-04,60500,"CEPHALODELLA",NA,0,NA,NA
1981-06-04,62902,"PLOESOMA LENTICULARE",NA,0,NA,NA
1981-06-04,61300,"EUCHLANIS",NA,0,NA,NA
1981-06-04,63700,"TRICHOTRIA",NA,0,NA,NA
1981-06-04,62407,"MONOSTYLA OBTUSA",NA,0,NA,NA
1981-06-04,61918,"LECANE TENUISETA",NA,0,NA,NA
1981-06-04,63002,"POLYARTHRA EURYPTERA",NA,0,NA,NA
1981-06-04,51101,"DAPHNIA AMBIGUA",NA,0,NA,NA
1981-06-04,51105,"DAPHNIA PARVULA",NA,0,NA,NA
1981-06-04,62000,"LEPADELLA",NA,0,NA,NA
1981-06-04,50900,"CERIODAPHNIA",NA,0,NA,NA
1981-06-30,10000,"COPEPOD NAUPLII","SP",1.86,NA,NA
1981-06-30,20000,"CYCLOPOID","SP",1.81,NA,NA
1981-06-30,20302,"DIACYCLOPS THOMASI",NA,0,NA,NA
1981-06-30,30000,"CALANOID","SP",0.85,NA,NA
1981-06-30,30402,"LEPTODIAPTOMUS MINUTUS",NA,0,NA,NA
1981-06-30,30801,"SKISTODIAPTOMUS OREGONENSIS",NA,0,NA,NA
1981-06-30,51103,"DAPHNIA MENDOTAE","SP",0.39,NA,NA
1981-06-30,51104,"DAPHNIA LONGIREMIS",NA,0,NA,NA
1981-06-30,51130,"DAPHNIA PULICARIA",NA,0,NA,NA
1981-06-30,51800,"HOLOPEDIUM",NA,0,NA,NA
1981-06-30,60300,"ASPLANCHNA",NA,0,NA,NA
1981-06-30,60902,"CONOCHILUS UNICORNIS",NA,0,NA,NA
1981-06-30,61400,"FILINIA",NA,0,NA,NA
1981-06-30,61701,"KELLICOTTIA BOSTONIENSIS",NA,0,NA,NA
1981-06-30,61702,"KELLICOTTIA LONGISPINA","SP",0.54,NA,NA
1981-06-30,61801,"KERATELLA COCHLEARIS","SP",5.36,NA,NA
1981-06-30,61805,"KERATELLA HIEMALIS",NA,0,NA,NA
1981-06-30,61806,"KERATELLA QUADRATA","SP",0.39,NA,NA
1981-06-30,61900,"LECANE","SP",0.39,NA,NA
1981-06-30,61904,"LECANE INERMIS",NA,0,NA,NA
1981-06-30,63001,"POLYARTHRA DOLICHOPTERA",NA,0,NA,NA
1981-06-30,63005,"POLYARTHRA VULGARIS",NA,0,NA,NA
1981-06-30,69934,"",NA,0,NA,NA
1981-06-30,50000,"CLADOCERAN","SP",0.58,NA,NA
1981-06-30,51100,"DAPHNIA","SP",0.39,NA,NA
1981-06-30,51108,"DAPHNIA DENTIFERA","SP",0.39,NA,NA
1981-06-30,51801,"HOLOPEDIUM GIBBERUM","SP",0.39,NA,NA
1981-06-30,61803,"KERATELLA CRASSA","SP",1.03,NA,NA
1981-06-30,61808,"KERATELLA TAUROCEPHALA","SP",0.39,NA,NA
1981-06-30,63000,"POLYARTHRA","SP",0.97,NA,NA
1981-06-30,63400,"SYNCHAETA","SP",0.68,NA,NA
1981-06-30,69901,"","SP",12.86,NA,NA
1981-06-30,69902,"","SP",0.65,NA,NA
1981-06-30,70038,"","SP",0.39,NA,NA
1981-06-30,50700,"BOSMINIDAE",NA,0,NA,NA
1981-06-30,51200,"DIAPHANOSOMA",NA,0,NA,NA
1981-06-30,70051,"",NA,0,NA,NA
1981-06-30,60700,"COLURELLA",NA,0,NA,NA
1981-06-30,70039,"",NA,0,NA,NA
1981-06-30,70065,"",NA,0,NA,NA
1981-06-30,51000,"CHYDORUS",NA,0,NA,NA
1981-06-30,51107,"DAPHNIA RETROCURVA",NA,0,NA,NA
1981-06-30,60800,"CONOCHILOIDES",NA,0,NA,NA
1981-06-30,61500,"GASTROPUS",NA,0,NA,NA
1981-06-30,62700,"NOTOMMATA",NA,0,NA,NA
1981-06-30,62900,"PLOESOMA",NA,0,NA,NA
1981-06-30,63003,"POLYARTHRA MAJOR",NA,0,NA,NA
1981-06-30,63600,"TRICHOCERCA",NA,0,NA,NA
1981-06-30,63616,"TRICHOCERCA ROUSSELETI",NA,0,NA,NA
1981-06-30,70064,"",NA,0,NA,NA
1981-06-30,62400,"MONOSTYLA",NA,0,NA,NA
1981-06-30,70041,"",NA,0,NA,NA
1981-06-30,70052,"",NA,0,NA,NA
1981-06-30,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",NA,0,NA,NA
1981-06-30,61804,"KERATELLA EARLINAE",NA,0,NA,NA
1981-06-30,63004,"POLYARTHRA REMATA",NA,0,NA,NA
1981-06-30,69915,"UNKNOWN",NA,0,NA,NA
1981-06-30,60900,"CONOCHILUS",NA,0,NA,NA
1981-06-30,69935,"",NA,0,NA,NA
1981-06-30,69936,"",NA,0,NA,NA
1981-06-30,61402,"FILINIA TERMINALIS",NA,0,NA,NA
1981-06-30,61502,"GASTROPUS STYLIFER",NA,0,NA,NA
1981-06-30,69990,"",NA,0,NA,NA
1981-06-30,69991,"",NA,0,NA,NA
1981-06-30,69992,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-06-30,69932,"",NA,0,NA,NA
1981-06-30,20300,"DIACYCLOPS",NA,0,NA,NA
1981-06-30,70057,"",NA,0,NA,NA
1981-06-30,70058,"",NA,0,NA,NA
1981-06-30,70059,"",NA,0,NA,NA
1981-06-30,70060,"",NA,0,NA,NA
1981-06-30,30400,"DIAPTOMID",NA,0,NA,NA
1981-06-30,51202,"DIAPHANOSOMA BIRGEI",NA,0,NA,NA
1981-06-30,60901,"CONOCHILUS HIPPOCREPIS",NA,0,NA,NA
1981-06-30,70061,"",NA,0,NA,NA
1981-06-30,70062,"",NA,0,NA,NA
1981-06-30,70063,"",NA,0,NA,NA
1981-06-30,63603,"TRICHOCERCA CYLINDRICA",NA,0,NA,NA
1981-06-30,60200,"ASCOMORPHA",NA,0,NA,NA
1981-06-30,61501,"GASTROPUS HYPTOPUS",NA,0,NA,NA
1981-06-30,69928,"UNKNOWN",NA,0,NA,NA
1981-06-30,61802,"KERATELLA COCHLEARIS F. TECTA",NA,0,NA,NA
1981-06-30,69930,"UNKNOWN",NA,0,NA,NA
1981-06-30,69931,"UNKNOWN",NA,0,NA,NA
1981-06-30,60202,"ASCOMORPHA OVALIS",NA,0,NA,NA
1981-06-30,60203,"ASCOMORPHA SALTANS",NA,0,NA,NA
1981-06-30,69921,"UNKNOWN",NA,0,NA,NA
1981-06-30,61807,"KERATELLA SERRULATA",NA,0,NA,NA
1981-06-30,20101,"ACANTHOCYCLOPS VERNALIS",NA,0,NA,NA
1981-06-30,51102,"DAPHNIA DUBIA",NA,0,NA,NA
1981-06-30,69922,"UNKNOWN",NA,0,NA,NA
1981-06-30,61809,"KERATELLA TESTUDO",NA,0,NA,NA
1981-06-30,69918,"UNKNOWN",NA,0,NA,NA
1981-06-30,60100,"ANURAEOPSIS",NA,0,NA,NA
1981-06-30,63612,"TRICHOCERCA MULTICRINIS",NA,0,NA,NA
1981-06-30,69919,"UNKNOWN",NA,0,NA,NA
1981-06-30,69920,"UNKNOWN",NA,0,NA,NA
1981-06-30,30201,"EPISCHURA LACUSTRIS",NA,0,NA,NA
1981-06-30,62406,"MONOSTYLA LUNARIS",NA,0,NA,NA
1981-06-30,70029,"UNKNOWN",NA,0,NA,NA
1981-06-30,70030,"UNKNOWN",NA,0,NA,NA
1981-06-30,20601,"MESOCYCLOPS EDAX",NA,0,NA,NA
1981-06-30,69958,"UNKNOWN",NA,0,NA,NA
1981-06-30,60600,"COLLOTHECA",NA,0,NA,NA
1981-06-30,61911,"LECANE MIRA",NA,0,NA,NA
1981-06-30,70028,"UNKNOWN",NA,0,NA,NA
1981-06-30,60201,"ASCOMORPHA ECAUDIS",NA,0,NA,NA
1981-06-30,60601,"COLLOTHECA MUTABILIS",NA,0,NA,NA
1981-06-30,88888,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-06-30,63602,"TRICHOCERCA BIROSTRIS",NA,0,NA,NA
1981-06-30,61810,"KERATELLA TICINENSIS",NA,0,NA,NA
1981-06-30,62901,"PLOESOMA HUDSONI",NA,0,NA,NA
1981-06-30,50300,"ALONA",NA,0,NA,NA
1981-06-30,60500,"CEPHALODELLA",NA,0,NA,NA
1981-06-30,62902,"PLOESOMA LENTICULARE",NA,0,NA,NA
1981-06-30,61300,"EUCHLANIS",NA,0,NA,NA
1981-06-30,63700,"TRICHOTRIA",NA,0,NA,NA
1981-06-30,62407,"MONOSTYLA OBTUSA",NA,0,NA,NA
1981-06-30,61918,"LECANE TENUISETA",NA,0,NA,NA
1981-06-30,63002,"POLYARTHRA EURYPTERA",NA,0,NA,NA
1981-06-30,51101,"DAPHNIA AMBIGUA",NA,0,NA,NA
1981-06-30,51105,"DAPHNIA PARVULA",NA,0,NA,NA
1981-06-30,62000,"LEPADELLA",NA,0,NA,NA
1981-06-30,50900,"CERIODAPHNIA",NA,0,NA,NA
1981-07-16,10000,"COPEPOD NAUPLII","SP",0.85,NA,NA
1981-07-16,20000,"CYCLOPOID","SP",1.26,NA,NA
1981-07-16,20302,"DIACYCLOPS THOMASI",NA,0,NA,NA
1981-07-16,30000,"CALANOID","SP",0.52,NA,NA
1981-07-16,30402,"LEPTODIAPTOMUS MINUTUS",NA,0,NA,NA
1981-07-16,30801,"SKISTODIAPTOMUS OREGONENSIS",NA,0,NA,NA
1981-07-16,51103,"DAPHNIA MENDOTAE",NA,0,NA,NA
1981-07-16,51104,"DAPHNIA LONGIREMIS","SP",0.39,NA,NA
1981-07-16,51130,"DAPHNIA PULICARIA","SP",0.39,NA,NA
1981-07-16,51800,"HOLOPEDIUM",NA,0,NA,NA
1981-07-16,60300,"ASPLANCHNA",NA,0,NA,NA
1981-07-16,60902,"CONOCHILUS UNICORNIS",NA,0,NA,NA
1981-07-16,61400,"FILINIA","SP",0.39,NA,NA
1981-07-16,61701,"KELLICOTTIA BOSTONIENSIS",NA,0,NA,NA
1981-07-16,61702,"KELLICOTTIA LONGISPINA","SP",0.62,NA,NA
1981-07-16,61801,"KERATELLA COCHLEARIS","SP",1.78,NA,NA
1981-07-16,61805,"KERATELLA HIEMALIS",NA,0,NA,NA
1981-07-16,61806,"KERATELLA QUADRATA",NA,0,NA,NA
1981-07-16,61900,"LECANE",NA,0,NA,NA
1981-07-16,61904,"LECANE INERMIS",NA,0,NA,NA
1981-07-16,63001,"POLYARTHRA DOLICHOPTERA",NA,0,NA,NA
1981-07-16,63005,"POLYARTHRA VULGARIS",NA,0,NA,NA
1981-07-16,69934,"",NA,0,NA,NA
1981-07-16,50000,"CLADOCERAN","SP",0.78,NA,NA
1981-07-16,51100,"DAPHNIA",NA,0,NA,NA
1981-07-16,51108,"DAPHNIA DENTIFERA","SP",0.39,NA,NA
1981-07-16,51801,"HOLOPEDIUM GIBBERUM",NA,0,NA,NA
1981-07-16,61803,"KERATELLA CRASSA",NA,0,NA,NA
1981-07-16,61808,"KERATELLA TAUROCEPHALA","SP",0.39,NA,NA
1981-07-16,63000,"POLYARTHRA","SP",1.86,NA,NA
1981-07-16,63400,"SYNCHAETA","SP",0.78,NA,NA
1981-07-16,69901,"","SP",4.26,NA,NA
1981-07-16,69902,"","SP",1.47,NA,NA
1981-07-16,70038,"",NA,0,NA,NA
1981-07-16,50700,"BOSMINIDAE","SP",0.39,NA,NA
1981-07-16,51200,"DIAPHANOSOMA","SP",0.39,NA,NA
1981-07-16,70051,"","SP",0.39,NA,NA
1981-07-16,60700,"COLURELLA",NA,0,NA,NA
1981-07-16,70039,"",NA,0,NA,NA
1981-07-16,70065,"",NA,0,NA,NA
1981-07-16,51000,"CHYDORUS",NA,0,NA,NA
1981-07-16,51107,"DAPHNIA RETROCURVA",NA,0,NA,NA
1981-07-16,60800,"CONOCHILOIDES",NA,0,NA,NA
1981-07-16,61500,"GASTROPUS",NA,0,NA,NA
1981-07-16,62700,"NOTOMMATA",NA,0,NA,NA
1981-07-16,62900,"PLOESOMA",NA,0,NA,NA
1981-07-16,63003,"POLYARTHRA MAJOR",NA,0,NA,NA
1981-07-16,63600,"TRICHOCERCA",NA,0,NA,NA
1981-07-16,63616,"TRICHOCERCA ROUSSELETI",NA,0,NA,NA
1981-07-16,70064,"",NA,0,NA,NA
1981-07-16,62400,"MONOSTYLA",NA,0,NA,NA
1981-07-16,70041,"",NA,0,NA,NA
1981-07-16,70052,"",NA,0,NA,NA
1981-07-16,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",NA,0,NA,NA
1981-07-16,61804,"KERATELLA EARLINAE",NA,0,NA,NA
1981-07-16,63004,"POLYARTHRA REMATA",NA,0,NA,NA
1981-07-16,69915,"UNKNOWN",NA,0,NA,NA
1981-07-16,60900,"CONOCHILUS",NA,0,NA,NA
1981-07-16,69935,"",NA,0,NA,NA
1981-07-16,69936,"",NA,0,NA,NA
1981-07-16,61402,"FILINIA TERMINALIS",NA,0,NA,NA
1981-07-16,61502,"GASTROPUS STYLIFER",NA,0,NA,NA
1981-07-16,69990,"",NA,0,NA,NA
1981-07-16,69991,"",NA,0,NA,NA
1981-07-16,69992,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-07-16,69932,"",NA,0,NA,NA
1981-07-16,20300,"DIACYCLOPS",NA,0,NA,NA
1981-07-16,70057,"",NA,0,NA,NA
1981-07-16,70058,"",NA,0,NA,NA
1981-07-16,70059,"",NA,0,NA,NA
1981-07-16,70060,"",NA,0,NA,NA
1981-07-16,30400,"DIAPTOMID",NA,0,NA,NA
1981-07-16,51202,"DIAPHANOSOMA BIRGEI",NA,0,NA,NA
1981-07-16,60901,"CONOCHILUS HIPPOCREPIS",NA,0,NA,NA
1981-07-16,70061,"",NA,0,NA,NA
1981-07-16,70062,"",NA,0,NA,NA
1981-07-16,70063,"",NA,0,NA,NA
1981-07-16,63603,"TRICHOCERCA CYLINDRICA",NA,0,NA,NA
1981-07-16,60200,"ASCOMORPHA",NA,0,NA,NA
1981-07-16,61501,"GASTROPUS HYPTOPUS",NA,0,NA,NA
1981-07-16,69928,"UNKNOWN",NA,0,NA,NA
1981-07-16,61802,"KERATELLA COCHLEARIS F. TECTA",NA,0,NA,NA
1981-07-16,69930,"UNKNOWN",NA,0,NA,NA
1981-07-16,69931,"UNKNOWN",NA,0,NA,NA
1981-07-16,60202,"ASCOMORPHA OVALIS",NA,0,NA,NA
1981-07-16,60203,"ASCOMORPHA SALTANS",NA,0,NA,NA
1981-07-16,69921,"UNKNOWN",NA,0,NA,NA
1981-07-16,61807,"KERATELLA SERRULATA",NA,0,NA,NA
1981-07-16,20101,"ACANTHOCYCLOPS VERNALIS",NA,0,NA,NA
1981-07-16,51102,"DAPHNIA DUBIA",NA,0,NA,NA
1981-07-16,69922,"UNKNOWN",NA,0,NA,NA
1981-07-16,61809,"KERATELLA TESTUDO",NA,0,NA,NA
1981-07-16,69918,"UNKNOWN",NA,0,NA,NA
1981-07-16,60100,"ANURAEOPSIS",NA,0,NA,NA
1981-07-16,63612,"TRICHOCERCA MULTICRINIS",NA,0,NA,NA
1981-07-16,69919,"UNKNOWN",NA,0,NA,NA
1981-07-16,69920,"UNKNOWN",NA,0,NA,NA
1981-07-16,30201,"EPISCHURA LACUSTRIS",NA,0,NA,NA
1981-07-16,62406,"MONOSTYLA LUNARIS",NA,0,NA,NA
1981-07-16,70029,"UNKNOWN",NA,0,NA,NA
1981-07-16,70030,"UNKNOWN",NA,0,NA,NA
1981-07-16,20601,"MESOCYCLOPS EDAX",NA,0,NA,NA
1981-07-16,69958,"UNKNOWN",NA,0,NA,NA
1981-07-16,60600,"COLLOTHECA",NA,0,NA,NA
1981-07-16,61911,"LECANE MIRA",NA,0,NA,NA
1981-07-16,70028,"UNKNOWN",NA,0,NA,NA
1981-07-16,60201,"ASCOMORPHA ECAUDIS",NA,0,NA,NA
1981-07-16,60601,"COLLOTHECA MUTABILIS",NA,0,NA,NA
1981-07-16,88888,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-07-16,63602,"TRICHOCERCA BIROSTRIS",NA,0,NA,NA
1981-07-16,61810,"KERATELLA TICINENSIS",NA,0,NA,NA
1981-07-16,62901,"PLOESOMA HUDSONI",NA,0,NA,NA
1981-07-16,50300,"ALONA",NA,0,NA,NA
1981-07-16,60500,"CEPHALODELLA",NA,0,NA,NA
1981-07-16,62902,"PLOESOMA LENTICULARE",NA,0,NA,NA
1981-07-16,61300,"EUCHLANIS",NA,0,NA,NA
1981-07-16,63700,"TRICHOTRIA",NA,0,NA,NA
1981-07-16,62407,"MONOSTYLA OBTUSA",NA,0,NA,NA
1981-07-16,61918,"LECANE TENUISETA",NA,0,NA,NA
1981-07-16,63002,"POLYARTHRA EURYPTERA",NA,0,NA,NA
1981-07-16,51101,"DAPHNIA AMBIGUA",NA,0,NA,NA
1981-07-16,51105,"DAPHNIA PARVULA",NA,0,NA,NA
1981-07-16,62000,"LEPADELLA",NA,0,NA,NA
1981-07-16,50900,"CERIODAPHNIA",NA,0,NA,NA
1981-07-27,10000,"COPEPOD NAUPLII","SP",1,NA,NA
1981-07-27,20000,"CYCLOPOID","SP",0.73,NA,NA
1981-07-27,20302,"DIACYCLOPS THOMASI",NA,0,NA,NA
1981-07-27,30000,"CALANOID","SP",0.56,NA,NA
1981-07-27,30402,"LEPTODIAPTOMUS MINUTUS",NA,0,NA,NA
1981-07-27,30801,"SKISTODIAPTOMUS OREGONENSIS",NA,0,NA,NA
1981-07-27,51103,"DAPHNIA MENDOTAE","SP",0.42,NA,NA
1981-07-27,51104,"DAPHNIA LONGIREMIS",NA,0,NA,NA
1981-07-27,51130,"DAPHNIA PULICARIA",NA,0,NA,NA
1981-07-27,51800,"HOLOPEDIUM",NA,0,NA,NA
1981-07-27,60300,"ASPLANCHNA",NA,0,NA,NA
1981-07-27,60902,"CONOCHILUS UNICORNIS",NA,0,NA,NA
1981-07-27,61400,"FILINIA",NA,0,NA,NA
1981-07-27,61701,"KELLICOTTIA BOSTONIENSIS",NA,0,NA,NA
1981-07-27,61702,"KELLICOTTIA LONGISPINA","SP",0.94,NA,NA
1981-07-27,61801,"KERATELLA COCHLEARIS","SP",1.46,NA,NA
1981-07-27,61805,"KERATELLA HIEMALIS",NA,0,NA,NA
1981-07-27,61806,"KERATELLA QUADRATA",NA,0,NA,NA
1981-07-27,61900,"LECANE","SP",0.42,NA,NA
1981-07-27,61904,"LECANE INERMIS",NA,0,NA,NA
1981-07-27,63001,"POLYARTHRA DOLICHOPTERA",NA,0,NA,NA
1981-07-27,63005,"POLYARTHRA VULGARIS",NA,0,NA,NA
1981-07-27,69934,"",NA,0,NA,NA
1981-07-27,50000,"CLADOCERAN",NA,0,NA,NA
1981-07-27,51100,"DAPHNIA",NA,0,NA,NA
1981-07-27,51108,"DAPHNIA DENTIFERA",NA,0,NA,NA
1981-07-27,51801,"HOLOPEDIUM GIBBERUM",NA,0,NA,NA
1981-07-27,61803,"KERATELLA CRASSA","SP",1.26,NA,NA
1981-07-27,61808,"KERATELLA TAUROCEPHALA",NA,0,NA,NA
1981-07-27,63000,"POLYARTHRA","SP",2.18,NA,NA
1981-07-27,63400,"SYNCHAETA","SP",0.42,NA,NA
1981-07-27,69901,"","SP",1.05,NA,NA
1981-07-27,69902,"",NA,0,NA,NA
1981-07-27,70038,"",NA,0,NA,NA
1981-07-27,50700,"BOSMINIDAE","SP",0.84,NA,NA
1981-07-27,51200,"DIAPHANOSOMA","SP",0.84,NA,NA
1981-07-27,70051,"",NA,0,NA,NA
1981-07-27,60700,"COLURELLA","SP",0.42,NA,NA
1981-07-27,70039,"","SP",0.42,NA,NA
1981-07-27,70065,"","SP",0.56,NA,NA
1981-07-27,51000,"CHYDORUS",NA,0,NA,NA
1981-07-27,51107,"DAPHNIA RETROCURVA",NA,0,NA,NA
1981-07-27,60800,"CONOCHILOIDES",NA,0,NA,NA
1981-07-27,61500,"GASTROPUS",NA,0,NA,NA
1981-07-27,62700,"NOTOMMATA",NA,0,NA,NA
1981-07-27,62900,"PLOESOMA",NA,0,NA,NA
1981-07-27,63003,"POLYARTHRA MAJOR",NA,0,NA,NA
1981-07-27,63600,"TRICHOCERCA",NA,0,NA,NA
1981-07-27,63616,"TRICHOCERCA ROUSSELETI",NA,0,NA,NA
1981-07-27,70064,"",NA,0,NA,NA
1981-07-27,62400,"MONOSTYLA",NA,0,NA,NA
1981-07-27,70041,"",NA,0,NA,NA
