"sampledate","division","genus","taxa_name","lakeid","year4","relative_total_biovolume","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc"
2010-02-22,"Chlorophyta","Quadrigula","Quadrigula lacustris",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Aphanothece","Aphanothece ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Stephanodiscus","Stephanodiscus medius",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Chrysococcus","Chrysococcus minutus",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Glenodinium","Glenodinium quadridens",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","NA","Chrysocapsaceae",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"NA","Rhodospirillum","Rhodospirillum rubrum","TB",2010,13.028204,1,48164.7842,48164.7842,52961.9967,0.052962
2010-04-13,"Chlorophyta","Chlamydomonas","Chlamydomonas ","TB",2010,45.450422,1,545.2617,545.2617,184764.1653,0.18476417
2010-04-13,"Cryptophyta","Cryptomonas","Cryptomonas erosa",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Synechococcus","Synechococcus ","TB",2010,0.008779,1,45.4385,45.4385,35.6874,3.57e-05
2010-04-13,"Euglenophyta","Euglena","Euglena ","TB",2010,25.367141,1,681.5771,681.5771,103122.0071,0.10312201
2010-04-13,"Miscellaneous","Miscellaneous","Miscellaneous","TB",2010,1.123684,1,90.877,90.877,4567.9754,0.00456798
2010-04-13,"Total","Total","Total","TB",2010,100.000004,15,50666.6432,50669.3862,406518.0542,0.40651807
2010-04-13,"Bacillariophyta","Asterionella","Asterionella formosa","TB",2010,0.3153,4,0.9143,3.6573,1281.7498,0.00128175
2010-04-13,"Chlorophyta","NA","Chlorophyta","TB",2010,1.474835,1,136.3154,136.3154,5995.466,0.00599547
2010-04-13,"Chlorophyta","NA","Chlorococcaceae","TB",2010,6.390949,1,136.3154,136.3154,25980.3572,0.02598036
2010-04-13,"Chrysophyta","NA","Chrysophyceae","TB",2010,2.338769,1,681.5771,681.5771,9507.5239,0.00950752
2010-04-13,"Cryptophyta","Rhodomonas","Rhodomonas minuta","TB",2010,1.123682,1,136.3154,136.3154,4567.9709,0.00456797
2010-04-13,"Cyanophyta","Synechocystis","Synechocystis ","TB",2010,0.019751,1,45.4385,45.4385,80.2943,8.03e-05
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium ","TB",2010,3.358488,1,1.8286,1.8286,13652.8602,0.01365286
2010-04-13,"Chlorophyta","Coelastrum","Coelastrum ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Monomastix","Monomastix minuta",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Oocystis","Oocystis parva",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Schroederia","Schroederia judayi",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Lindavia","Lindavia intermedia",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Sphaerocystis","Sphaerocystis schroeteri",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Dinobryon","Dinobryon cylindricum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Monoraphidium","Monoraphidium griffithii",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Kephyrion","Kephyrion ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Haptophyta","Chrysochromulina","Chrysochromulina parva",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Kephyrion","Kephyrion planctonicum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanizomenon","Aphanizomenon ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanothece","Aphanothece saxicola",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Tabellaria","Tabellaria binalis",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Oedogonium","Oedogonium ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Phormidium","Phormidium ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Actinella","Actinella punctata",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Gloeococcus","Gloeococcus minor",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Mallomonas","Mallomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanothece","Aphanothece nidulans",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Planktothrix","Planktothrix agardhii",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Scenedesmus","Scenedesmus bijuga",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Euglenophyta","Euglena","Euglena acus",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","","Chlorococcaceae",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Mougeotia","Mougeotia ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Stichococcus","Stichococcus bacillaris",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Dinobryon","Dinobryon cyst",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","","Chlorophyta",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Mucidosphaerium","Mucidosphaerium pulchellum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Gonyostomum","Gonyostomum semen",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Spinocosmarium","Spinocosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Synechococcus","Synechococcus elongatus",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Cyclotella","Cyclotella sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Stephanodiscus","Stephanodiscus parvus",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Cyclotella","Cyclotella ocellata",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Botryococcus","Botryococcus braunii",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Uroglena","Uroglena ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium inconspicuum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium umbonatum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Euglenophyta","Lepocinclis","Lepocinclis ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Monoraphidium","Monoraphidium arcuatum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Dinobryon","Dinobryon ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Dinobryon","Dinobryon sociale",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Euglenophyta","Trachelomonas","Trachelomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Fragilaria","Fragilaria filiformis",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Cosmarium","Cosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Monomastix","Monomastix astigmata",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Oocystis","Oocystis pusilla",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Staurastrum","Staurastrum ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Staurastrum","Staurastrum hexacerum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Teilingia","Teilingia granulata",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Dinobryon","Dinobryon crenulatum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Mallomonas","Mallomonas akrokomas",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Stichogloea","Stichogloea olivacea",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Peridinium","Peridinium cinctum",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Pseudanabaena","Pseudanabaena limnetica",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Microspora","Microspora ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Eunotia","Eunotia ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanizomenon","Aphanizomenon flos-aquae",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Colonial","Colonial ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chlorophyta","Quadrigula","Quadrigula lacustris",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Cyanophyta","Aphanothece","Aphanothece ",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Bacillariophyta","Stephanodiscus","Stephanodiscus medius",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","Chrysococcus","Chrysococcus minutus",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Pyrrhophyta","Glenodinium","Glenodinium quadridens",NA,NA,0,NA,NA,NA,0,NA
2010-04-13,"Chrysophyta","NA","Chrysocapsaceae",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"NA","Rhodospirillum","Rhodospirillum rubrum","TB",2010,0.671022,1,5907.0018,5907.0018,6959.0389,0.00695904
2010-06-10,"Chlorophyta","Chlamydomonas","Chlamydomonas ","TB",2010,4.47668,1,363.5078,363.5078,46426.7807,0.04642678
2010-06-10,"Cryptophyta","Cryptomonas","Cryptomonas erosa","TB",2010,52.494951,1,636.1387,636.1387,544414.9075,0.54441491
2010-06-10,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima","TB",2010,0.024471,16,30.2923,484.6771,253.7769,0.00025378
2010-06-10,"Cyanophyta","Synechococcus","Synechococcus ","TB",2010,0.027529,1,90.877,90.877,285.499,0.0002855
2010-06-10,"Euglenophyta","Euglena","Euglena ","TB",2010,12.193072,1,151.4616,151.4616,126451.9759,0.12645198
2010-06-10,"Miscellaneous","Miscellaneous","Miscellaneous","TB",2010,3.084599,1,90.877,90.877,31989.7774,0.03198978
2010-06-10,"Total","Total","Total","TB",2010,100.000001,68.3333,11966.3797,13105.4371,1037080.528,1.03708054
2010-06-10,"Bacillariophyta","Asterionella","Asterionella formosa","TB",2010,17.175023,5.3333,151.4616,807.7901,178118.8246,0.17811882
2010-06-10,"Chlorophyta","NA","Chlorophyta","TB",2010,1.706802,1,817.8926,817.8926,17700.9126,0.01770091
2010-06-10,"Chlorophyta","NA","Chlorococcaceae","TB",2010,0.012235,1,30.2923,30.2923,126.8885,0.00012689
2010-06-10,"Chrysophyta","NA","Chrysophyceae","TB",2010,5.805297,1,3453.3242,3453.3242,60205.5986,0.0602056
2010-06-10,"Cryptophyta","Rhodomonas","Rhodomonas minuta","TB",2010,0.097881,1,30.2923,30.2923,1015.1046,0.0010151
2010-06-10,"Cyanophyta","Synechocystis","Synechocystis ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Pyrrhophyta","Peridinium","Peridinium ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Coelastrum","Coelastrum ","TB",2010,0.74127,32,0.9143,29.2584,7687.5653,0.00768757
2010-06-10,"Chlorophyta","Monomastix","Monomastix minuta","TB",2010,0.034411,1,30.2923,30.2923,356.8738,0.00035687
2010-06-10,"Chlorophyta","Oocystis","Oocystis parva","TB",2010,0.550581,1,30.2923,30.2923,5709.9685,0.00570997
2010-06-10,"Chlorophyta","Schroederia","Schroederia judayi","TB",2010,0.194538,1,90.877,90.877,2017.5228,0.00201752
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2","TB",2010,0.489406,1,30.2923,30.2923,5075.5262,0.00507553
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3","TB",2010,0.220233,1,30.2923,30.2923,2283.9862,0.00228399
2010-06-10,"Bacillariophyta","Lindavia","Lindavia intermedia",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Sphaerocystis","Sphaerocystis schroeteri",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Dinobryon","Dinobryon cylindricum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Monoraphidium","Monoraphidium griffithii",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Kephyrion","Kephyrion ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Haptophyta","Chrysochromulina","Chrysochromulina parva",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Kephyrion","Kephyrion planctonicum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Aphanizomenon","Aphanizomenon ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Aphanothece","Aphanothece saxicola",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Tabellaria","Tabellaria binalis",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Oedogonium","Oedogonium ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Phormidium","Phormidium ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Actinella","Actinella punctata",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Gloeococcus","Gloeococcus minor",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Mallomonas","Mallomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Aphanothece","Aphanothece nidulans",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Planktothrix","Planktothrix agardhii",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Scenedesmus","Scenedesmus bijuga",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Euglenophyta","Euglena","Euglena acus",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","","Chlorococcaceae",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Mougeotia","Mougeotia ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Stichococcus","Stichococcus bacillaris",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Dinobryon","Dinobryon cyst",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","","Chlorophyta",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Mucidosphaerium","Mucidosphaerium pulchellum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Gonyostomum","Gonyostomum semen",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Spinocosmarium","Spinocosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Cyanophyta","Synechococcus","Synechococcus elongatus",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Cyclotella","Cyclotella sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Stephanodiscus","Stephanodiscus parvus",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Cyclotella","Cyclotella ocellata",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Botryococcus","Botryococcus braunii",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Uroglena","Uroglena ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Pyrrhophyta","Peridinium","Peridinium inconspicuum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Pyrrhophyta","Peridinium","Peridinium umbonatum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Euglenophyta","Lepocinclis","Lepocinclis ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Monoraphidium","Monoraphidium arcuatum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Dinobryon","Dinobryon ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Dinobryon","Dinobryon sociale",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Euglenophyta","Trachelomonas","Trachelomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Bacillariophyta","Fragilaria","Fragilaria filiformis",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Cosmarium","Cosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Monomastix","Monomastix astigmata",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Oocystis","Oocystis pusilla",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Staurastrum","Staurastrum ",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Staurastrum","Staurastrum hexacerum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chlorophyta","Teilingia","Teilingia granulata",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Dinobryon","Dinobryon crenulatum",NA,NA,0,NA,NA,NA,0,NA
2010-06-10,"Chrysophyta","Mallomonas","Mallomonas akrokomas",NA,NA,0,NA,NA,NA,0,NA
