sampledate,species_code,species_name,density,individuals_measured,avg_length
2/23/87,61808,KERATELLA TAUROCEPHALA,103.5,,
2/23/87,61810,KERATELLA TICINENSIS,46.5,,
2/23/87,63602,TRICHOCERCA BIROSTRIS,1,,
4/13/87,30801,SKISTODIAPTOMUS OREGONENSIS,0.4,,
4/13/87,50700,BOSMINIDAE,1.3,,
4/13/87,60200,ASCOMORPHA,13.2,,
4/13/87,61801,KERATELLA COCHLEARIS,0.2,,
4/13/87,61805,KERATELLA HIEMALIS,0.2,,
4/13/87,61808,KERATELLA TAUROCEPHALA,22.3,,
4/13/87,61810,KERATELLA TICINENSIS,1.3,,
4/13/87,62400,MONOSTYLA,0.2,,
6/22/87,50700,BOSMINIDAE,0.5,,
6/22/87,50900,CERIODAPHNIA,1,,
6/22/87,60200,ASCOMORPHA,3.1,,
6/22/87,60800,CONOCHILOIDES,12.4,,
6/22/87,61502,GASTROPUS STYLIFER,4.1,,
6/22/87,61808,KERATELLA TAUROCEPHALA,6.2,,
6/22/87,61810,KERATELLA TICINENSIS,192.7,,
6/22/87,63005,POLYARTHRA VULGARIS,8.2,,
6/22/87,63602,TRICHOCERCA BIROSTRIS,1,,
6/22/87,63612,TRICHOCERCA MULTICRINIS,5.2,,
8/12/87,10000,COPEPOD NAUPLII,33.9,,
8/12/87,30801,SKISTODIAPTOMUS OREGONENSIS,10.2,,
8/12/87,50700,BOSMINIDAE,3.4,,
8/12/87,50900,CERIODAPHNIA,15,,
8/12/87,51130,DAPHNIA PULICARIA,1,,
8/12/87,51202,DIAPHANOSOMA BIRGEI,7.3,,
8/12/87,60300,ASPLANCHNA,6.8,,
8/12/87,60800,CONOCHILOIDES,58.2,,
8/12/87,61702,KELLICOTTIA LONGISPINA,1,,
8/12/87,61808,KERATELLA TAUROCEPHALA,66.9,,
8/12/87,61810,KERATELLA TICINENSIS,97,,
8/12/87,63005,POLYARTHRA VULGARIS,1,,
8/12/87,63602,TRICHOCERCA BIROSTRIS,13.6,,
11/2/87,20000,CYCLOPOID,1,,
11/2/87,30801,SKISTODIAPTOMUS OREGONENSIS,5.5,,
11/2/87,50700,BOSMINIDAE,5.4,,
11/2/87,51130,DAPHNIA PULICARIA,1,,
11/2/87,60201,ASCOMORPHA ECAUDIS,18.8,,
11/2/87,60800,CONOCHILOIDES,21.8,,
11/2/87,61808,KERATELLA TAUROCEPHALA,99,,
11/2/87,61810,KERATELLA TICINENSIS,3,,
11/2/87,63400,SYNCHAETA,5,,
11/2/87,63612,TRICHOCERCA MULTICRINIS,3,,
1/14/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.8,,
1/14/88,30801,SKISTODIAPTOMUS OREGONENSIS,11.4,,
1/14/88,50700,BOSMINIDAE,6.6,,
1/14/88,60800,CONOCHILOIDES,250.8,,
1/14/88,60900,CONOCHILUS,6.6,,
1/14/88,61801,KERATELLA COCHLEARIS,196.9,,
1/14/88,61808,KERATELLA TAUROCEPHALA,222.4,,
1/14/88,61810,KERATELLA TICINENSIS,94.7,,
1/14/88,63005,POLYARTHRA VULGARIS,1.9,,
3/1/88,10000,COPEPOD NAUPLII,2.1,,
3/1/88,20601,MESOCYCLOPS EDAX,0.5,,
3/1/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.5,,
3/1/88,30801,SKISTODIAPTOMUS OREGONENSIS,13.7,,
3/1/88,50700,BOSMINIDAE,17.3,,
3/1/88,60800,CONOCHILOIDES,39.9,,
3/1/88,61808,KERATELLA TAUROCEPHALA,188,,
3/1/88,61810,KERATELLA TICINENSIS,95.6,,
3/23/88,20601,MESOCYCLOPS EDAX,1.1,,
3/23/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.2,,
3/23/88,30801,SKISTODIAPTOMUS OREGONENSIS,5.4,,
3/23/88,50700,BOSMINIDAE,8.6,,
3/23/88,60800,CONOCHILOIDES,20.3,,
3/23/88,60900,CONOCHILUS,10.7,,
3/23/88,61801,KERATELLA COCHLEARIS,104.9,,
3/23/88,61808,KERATELLA TAUROCEPHALA,7.5,,
3/23/88,61810,KERATELLA TICINENSIS,128.4,,
4/21/88,10000,COPEPOD NAUPLII,7.7,,
4/21/88,20601,MESOCYCLOPS EDAX,0.5,,
4/21/88,30801,SKISTODIAPTOMUS OREGONENSIS,0.5,,
4/21/88,50700,BOSMINIDAE,1,,
4/21/88,60800,CONOCHILOIDES,6.2,,
4/21/88,61805,KERATELLA HIEMALIS,0.5,,
4/21/88,61808,KERATELLA TAUROCEPHALA,67.5,,
4/21/88,61810,KERATELLA TICINENSIS,15.5,,
4/21/88,62406,MONOSTYLA LUNARIS,0.5,,
4/21/88,63602,TRICHOCERCA BIROSTRIS,0.5,,
5/10/88,10000,COPEPOD NAUPLII,21.2,,
5/10/88,20601,MESOCYCLOPS EDAX,2,,
5/10/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1,,
5/10/88,30801,SKISTODIAPTOMUS OREGONENSIS,2,,
5/10/88,51200,DIAPHANOSOMA,1,,
5/10/88,60800,CONOCHILOIDES,49.5,,
5/10/88,60900,CONOCHILUS,1,,
5/10/88,61801,KERATELLA COCHLEARIS,69.7,,
5/10/88,61808,KERATELLA TAUROCEPHALA,259.6,,
5/10/88,61810,KERATELLA TICINENSIS,20.2,,
5/10/88,61900,LECANE,1,,
5/10/88,63005,POLYARTHRA VULGARIS,1,,
6/6/88,10000,COPEPOD NAUPLII,13,,
6/6/88,20601,MESOCYCLOPS EDAX,0.9,,
6/6/88,30801,SKISTODIAPTOMUS OREGONENSIS,8.3,,
6/6/88,51130,DAPHNIA PULICARIA,5.6,,
6/6/88,51200,DIAPHANOSOMA,12,,
6/6/88,60800,CONOCHILOIDES,28.7,,
6/6/88,60900,CONOCHILUS,0.9,,
6/6/88,61801,KERATELLA COCHLEARIS,27.8,,
6/6/88,61808,KERATELLA TAUROCEPHALA,33.3,,
6/6/88,61810,KERATELLA TICINENSIS,0.9,,
6/6/88,62400,MONOSTYLA,4.6,,
6/6/88,63005,POLYARTHRA VULGARIS,7.4,,
6/20/88,10000,COPEPOD NAUPLII,6.8,,
6/20/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.5,,
6/20/88,30000,CALANOID,6.8,,
6/20/88,50700,BOSMINIDAE,2.6,,
6/20/88,50900,CERIODAPHNIA,3.7,,
6/20/88,51100,DAPHNIA,4.2,,
6/20/88,51105,DAPHNIA PARVULA,0.5,,
6/20/88,60200,ASCOMORPHA,83,,
6/20/88,60201,ASCOMORPHA ECAUDIS,2.1,,
6/20/88,60202,ASCOMORPHA OVALIS,2.6,,
6/20/88,60300,ASPLANCHNA,0.5,,
6/20/88,60900,CONOCHILUS,15.8,,
6/20/88,61502,GASTROPUS STYLIFER,14.2,,
6/20/88,61702,KELLICOTTIA LONGISPINA,1.6,,
6/20/88,61808,KERATELLA TAUROCEPHALA,62,,
6/20/88,61810,KERATELLA TICINENSIS,4.2,,
6/20/88,61918,LECANE TENUISETA,0.5,,
6/20/88,63004,POLYARTHRA REMATA,0.5,,
6/20/88,63005,POLYARTHRA VULGARIS,2.6,,
6/20/88,63602,TRICHOCERCA BIROSTRIS,3.7,,
7/4/88,10000,COPEPOD NAUPLII,11.3,,
7/4/88,20601,MESOCYCLOPS EDAX,1,,
7/4/88,30801,SKISTODIAPTOMUS OREGONENSIS,16.4,,
7/4/88,50700,BOSMINIDAE,1,,
7/4/88,51200,DIAPHANOSOMA,1,,
7/4/88,60800,CONOCHILOIDES,56.6,,
7/4/88,60900,CONOCHILUS,1,,
7/4/88,61500,GASTROPUS,1,,
7/4/88,61808,KERATELLA TAUROCEPHALA,34,,
7/4/88,61810,KERATELLA TICINENSIS,2.1,,
7/4/88,62400,MONOSTYLA,2.1,,
7/4/88,63005,POLYARTHRA VULGARIS,17.5,,
8/3/88,10000,COPEPOD NAUPLII,24.6,,
8/3/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,5.3,,
8/3/88,30801,SKISTODIAPTOMUS OREGONENSIS,4.3,,
8/3/88,50700,BOSMINIDAE,4.3,,
8/3/88,51130,DAPHNIA PULICARIA,6.4,,
8/3/88,60800,CONOCHILOIDES,18.1,,
8/3/88,60900,CONOCHILUS,7.4,,
8/3/88,61702,KELLICOTTIA LONGISPINA,1.1,,
8/3/88,61801,KERATELLA COCHLEARIS,2.2,,
8/3/88,61808,KERATELLA TAUROCEPHALA,63.1,,
8/3/88,61810,KERATELLA TICINENSIS,26.8,,
8/3/88,63005,POLYARTHRA VULGARIS,1.1,,
8/16/88,10000,COPEPOD NAUPLII,21,,
8/16/88,20601,MESOCYCLOPS EDAX,2.2,,
8/16/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.1,,
8/16/88,30801,SKISTODIAPTOMUS OREGONENSIS,3.3,,
8/16/88,50700,BOSMINIDAE,6.3,,
8/16/88,51100,DAPHNIA,2.1,,
8/16/88,60800,CONOCHILOIDES,13.7,,
8/16/88,61702,KELLICOTTIA LONGISPINA,1.1,,
8/16/88,61808,KERATELLA TAUROCEPHALA,54.6,,
8/16/88,61810,KERATELLA TICINENSIS,28.4,,
8/31/88,10000,COPEPOD NAUPLII,10.7,,
8/31/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.1,,
8/31/88,30801,SKISTODIAPTOMUS OREGONENSIS,2.2,,
8/31/88,50700,BOSMINIDAE,1.1,,
8/31/88,51130,DAPHNIA PULICARIA,1.1,,
8/31/88,61500,GASTROPUS,1.1,,
8/31/88,61801,KERATELLA COCHLEARIS,8.6,,
8/31/88,61808,KERATELLA TAUROCEPHALA,79.2,,
8/31/88,61810,KERATELLA TICINENSIS,26.7,,
8/31/88,61900,LECANE,1.1,,
8/31/88,63005,POLYARTHRA VULGARIS,1.1,,
9/28/88,10000,COPEPOD NAUPLII,2.1,,
9/28/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,5.1,,
9/28/88,30801,SKISTODIAPTOMUS OREGONENSIS,4.1,,
9/28/88,50700,BOSMINIDAE,4.1,,
9/28/88,51130,DAPHNIA PULICARIA,7.2,,
9/28/88,61801,KERATELLA COCHLEARIS,1,,
9/28/88,61808,KERATELLA TAUROCEPHALA,47.3,,
9/28/88,61810,KERATELLA TICINENSIS,14.4,,
9/28/88,63005,POLYARTHRA VULGARIS,2.1,,
9/28/88,80000,UNKNOWN,1,,
10/11/88,10000,COPEPOD NAUPLII,2.1,,
10/11/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,7.5,,
10/11/88,30801,SKISTODIAPTOMUS OREGONENSIS,7.4,,
10/11/88,50700,BOSMINIDAE,3.2,,
10/11/88,61801,KERATELLA COCHLEARIS,27.8,,
10/11/88,61808,KERATELLA TAUROCEPHALA,161.6,,
10/11/88,61810,KERATELLA TICINENSIS,37.4,,
10/11/88,62400,MONOSTYLA,1.1,,
10/11/88,63005,POLYARTHRA VULGARIS,16,,
10/25/88,10000,COPEPOD NAUPLII,2.1,,
10/25/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,11.3,,
10/25/88,30801,SKISTODIAPTOMUS OREGONENSIS,5.2,,
10/25/88,50700,BOSMINIDAE,2.1,,
10/25/88,51130,DAPHNIA PULICARIA,3.1,,
10/25/88,61500,GASTROPUS,1,,
10/25/88,61801,KERATELLA COCHLEARIS,53.5,,
10/25/88,61808,KERATELLA TAUROCEPHALA,159.5,,
10/25/88,61810,KERATELLA TICINENSIS,78.2,,
10/25/88,63000,POLYARTHRA,17.5,,
11/3/88,20901,TROPOCYCLOPS PRASINUS MEXICANUS,6,,
11/3/88,30801,SKISTODIAPTOMUS OREGONENSIS,1,,
11/3/88,50700,BOSMINIDAE,2,,
11/3/88,60200,ASCOMORPHA,2,,
11/3/88,60201,ASCOMORPHA ECAUDIS,1,,
11/3/88,60800,CONOCHILOIDES,1,,
11/3/88,61808,KERATELLA TAUROCEPHALA,116.8,,
11/3/88,61810,KERATELLA TICINENSIS,50.5,,
11/3/88,62406,MONOSTYLA LUNARIS,1,,
11/3/88,63602,TRICHOCERCA BIROSTRIS,4,,
1/17/89,10000,COPEPOD NAUPLII,2.1,,
1/17/89,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.1,,
1/17/89,30801,SKISTODIAPTOMUS OREGONENSIS,19.5,,
