raw_id,lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,taxa_id
82,TB,2010,2010-11-15,,0m,Cyanophyta,Synechocystis ,1.5,0.031734,Synechocystis,1,54.5262,54.5262,96.3532,0.00009635,4285
83,TB,2010,2010-11-15,,0m,Haptophyta,Chrysochromulina parva,4,9.776265,Chrysochromulina,1,981.4711,981.4711,29682.7278,0.02968273,1731
84,SP,2010,2010-2-11,,0m,Bacillariophyta,Fragilaria filiformis,92,2.143022,Fragilaria,1,6.4912,6.4912,2388.7656,0.00238877,1477
85,SP,2010,2010-2-11,,0m,Bacillariophyta,Urosolenia longiseta,120,26.344516,Urosolenia,1,38.9473,38.9473,29365.5444,0.02936554,111368
86,SP,2010,2010-2-11,,0m,Chlorophyta,Chlorococcaceae,2.3333,0.262229,,1,38.9473,38.9473,292.2953,0.0002923,2683
87,SP,2010,2010-2-11,,0m,Chlorophyta,Chlamydomonas ,6.2,16.115361,Chlamydomonas,1,97.3682,97.3682,17963.3743,0.01796337,2080
88,SP,2010,2010-2-11,,0m,Chlorophyta,Monomastix astigmata,8,0.304914,Monomastix,1,6.4912,6.4912,339.8791,0.00033988,2861
89,SP,2010,2010-2-11,,0m,Chlorophyta,Monomastix minuta,5.5,0.322444,Monomastix,1,19.4736,19.4736,359.4229,0.00035942,1000538
90,SP,2010,2010-2-11,,0m,Chlorophyta,Monoraphidium arcuatum,27,0.788419,Monoraphidium,1,25.9648,25.9648,878.8295,0.00087883,2031
91,SP,2010,2010-2-11,,0m,Chlorophyta,Monoraphidium griffithii,62,0.680567,Monoraphidium,1,12.9824,12.9824,758.6096,0.00075861,1000031
92,SP,2010,2010-2-11,,0m,Chlorophyta,Oocystis parva,5,0.137215,Oocystis,1,6.4912,6.4912,152.9453,0.00015295,2363
93,SP,2010,2010-2-11,,0m,Chlorophyta,Scenedesmus bijuga,5,0.137215,Scenedesmus,2,6.4912,12.9824,152.9453,0.00015295,2483
94,SP,2010,2010-2-11,,0m,Chlorophyta,Tetraedron minimum,4,0.039312,Tetraedron,1,6.4912,6.4912,43.8157,0.00004382,2554
95,SP,2010,2010-2-11,,0m,Chrysophyta,Chrysophyceae,2.25,3.4415,,1,584.209,584.209,3836.1498,0.00383615,1652
96,SP,2010,2010-2-11,,0m,Chrysophyta,Chrysophyceae,6,1.230871,,1,12.9824,12.9824,1372.0239,0.00137202,1653
97,SP,2010,2010-2-11,,0m,Chrysophyta,Kephyrion planctonicum,8,0.109772,Kephyrion,1,6.4912,6.4912,122.3567,0.00012236,1000615
98,SP,2010,2010-2-11,,0m,Cryptophyta,Cryptomonas erosa,30,26.893367,Cryptomonas,1,19.4736,19.4736,29977.3281,0.02997733,3015
99,SP,2010,2010-2-11,,0m,Cryptophyta,Cryptomonas lucens,10,0.548842,Cryptomonas,1,6.4912,6.4912,611.7823,0.00061178,3018
100,SP,2010,2010-2-11,,0m,Cryptophyta,Rhodomonas minuta,8.75,4.488327,Rhodomonas,1,149.2978,149.2978,5003.0157,0.00500302,3043
101,SP,2010,2010-2-11,,0m,Cryptophyta,Rhodomonas minuta,12,4.939598,Rhodomonas,1,58.4209,58.4209,5506.041,0.00550604,3041
102,SP,2010,2010-2-11,,0m,Cyanophyta,Aphanizomenon flos-aquae,12,0.878149,Aphanizomenon,2,6.4912,12.9824,978.8512,0.00097885,4041
103,SP,2010,2010-2-11,,0m,Cyanophyta,Aphanocapsa delicatissima,10.2,1.720943,Aphanocapsa,6.8,538.7705,3663.6394,1918.2924,0.00191829,4054
104,SP,2010,2010-2-11,,0m,Cyanophyta,Aphanothece nidulans,20,0.060986,Aphanothece,10,6.4912,64.9121,67.976,0.00006798,4062
105,SP,2010,2010-2-11,,0m,Cyanophyta,Chroococcus minimus,20,0.341499,Chroococcus,14,6.4912,90.877,380.6647,0.00038066,4083
106,SP,2010,2010-2-11,,0m,Cyanophyta,Dactylococcopsis irregularis,14,0.079422,Dactylococcopsis,1,38.9473,38.9473,88.5271,0.00008853,4113
107,SP,2010,2010-2-11,,0m,Cyanophyta,Merismopedia warmingiana,8,0.009151,Merismopedia,12,6.4912,77.8945,10.1964,0.0000102,4166
108,SP,2010,2010-2-11,,0m,Cyanophyta,Pseudanabaena acicularis,233.1429,1.201311,Pseudanabaena,58.2857,3.5267,205.5548,1339.0677,0.00133907,1000548
109,SP,2010,2010-2-11,,0m,Cyanophyta,Pseudanabaena limnetica,560,0.320614,Pseudanabaena,140,0.3919,54.8594,357.3765,0.00035738,4172
110,SP,2010,2010-2-11,,0m,Cyanophyta,Synechococcus elongatus,4,0.009151,Synechococcus,1,19.4736,19.4736,10.1964,0.0000102,4321
111,SP,2010,2010-2-11,,0m,Cyanophyta,Synechocystis ,1.5,2.058109,Synechocystis,1,1298.2422,1298.2422,2294.1237,0.00229412,4285
112,SP,2010,2010-2-11,,0m,Haptophyta,Chrysochromulina parva,4,0.88059,Chrysochromulina,1,32.4561,32.4561,981.5717,0.00098157,1731
113,SP,2010,2010-2-11,,0m,Pyrrhophyta,Gymnodinium sp. 2,16,3.512606,Gymnodinium,1,6.4912,6.4912,3915.4062,0.00391541,6033
114,SP,2010,2010-4-12,,0m,Bacillariophyta,Achnanthidium minutissima,12,0.056726,Achnanthidium,1,18.1754,18.1754,770.8456,0.00077085,1013
115,SP,2010,2010-4-12,,0m,Bacillariophyta,Asterionella formosa,90,0.240752,Asterionella,1,9.0877,9.0877,3271.5702,0.00327157,1021
116,SP,2010,2010-4-12,,0m,Bacillariophyta,Fragilaria filiformis,84.6,27.87462,Fragilaria,1.1,1154.1373,1269.551,378787.8559,0.37878786,1477
117,SP,2010,2010-4-12,,0m,Bacillariophyta,Fragilaria tenera,100,0.267502,Fragilaria,1,9.0877,9.0877,3635.0781,0.00363508,9504
118,SP,2010,2010-4-12,,0m,Bacillariophyta,Nitzschia gracilis,40,0.042019,Nitzschia,1,9.0877,9.0877,570.9972,0.000571,1222
119,SP,2010,2010-4-12,,0m,Bacillariophyta,Synedra ulna,230,7.383048,Synedra,1,27.2631,27.2631,100328.1543,0.10032815,9776
120,SP,2010,2010-4-12,,0m,Bacillariophyta,Tabellaria flocculosa,64,0.186027,Tabellaria,1,0.5486,0.5486,2527.9215,0.00252792,1332
121,SP,2010,2010-4-12,,0m,Bacillariophyta,Urosolenia longiseta,120,6.302862,Urosolenia,1,72.7016,72.7016,85649.5055,0.08564951,111368
122,SP,2010,2010-4-12,,0m,Chlorophyta,Chlorococcaceae,5.6,0.802704,,1,99.9646,99.9646,10907.9423,0.01090794,2683
123,SP,2010,2010-4-12,,0m,Chlorophyta,Chlorococcaceae,12,0.268922,,1,9.0877,9.0877,3654.3794,0.00365438,2687
124,SP,2010,2010-4-12,,0m,Chlorophyta,Chlamydomonas ,6.8333,1.187058,Chlamydomonas,1,99.9646,99.9646,16130.9151,0.01613092,2080
125,SP,2010,2010-4-12,,0m,Chlorophyta,Monomastix minuta,4.5,0.028363,Monomastix,1,36.3508,36.3508,385.4237,0.00038542,1000538
126,SP,2010,2010-4-12,,0m,Chlorophyta,Monoraphidium arcuatum,24,0.057459,Monoraphidium,1,27.2631,27.2631,780.8066,0.00078081,2031
127,SP,2010,2010-4-12,,0m,Chlorophyta,Monoraphidium griffithii,83.3333,0.344323,Monoraphidium,1,45.4385,45.4385,4678.9998,0.004679,1000031
128,SP,2010,2010-4-12,,0m,Chlorophyta,Mucidosphaerium pulchellum,10,0.077765,Mucidosphaerium,3,18.1754,54.5262,1056.7481,0.00105675,2211
129,SP,2010,2010-4-12,,0m,Chlorophyta,Nannochloris atomus,3,0.054625,Nannochloris,1,118.14,118.14,742.2975,0.0007423,102276
130,SP,2010,2010-4-12,,0m,Chlorophyta,Pyramichlamys dissecta,16,0.280127,Pyramichlamys,1,9.0877,9.0877,3806.6446,0.00380664,8101
131,SP,2010,2010-4-12,,0m,Chlorophyta,Scenedesmus bijuga,5.5,0.023111,Scenedesmus,2,27.2631,54.5262,314.0489,0.00031405,2483
132,SP,2010,2010-4-12,,0m,Chlorophyta,Schroederia judayi,60,0.037817,Schroederia,1,9.0877,9.0877,513.8973,0.0005139,2491
133,SP,2010,2010-4-12,,0m,Chlorophyta,Tetraedron regulare,8,0.04815,Tetraedron,1,9.0877,9.0877,654.314,0.00065431,2567
134,SP,2010,2010-4-12,,0m,Chrysophyta,Chrysophyceae,2,0.27455,,1,908.7695,908.7695,3730.8624,0.00373086,1652
135,SP,2010,2010-4-12,,0m,Chrysophyta,Chrysophyceae,8.5,2.852592,,1,36.3508,36.3508,38763.8435,0.03876384,1653
136,SP,2010,2010-4-12,,0m,Chrysophyta,Chrysolykos skujai,16,0.037817,Chrysolykos,1,27.2631,27.2631,513.8983,0.0005139,1492
137,SP,2010,2010-4-12,,0m,Chrysophyta,Dinobryon ,6,0.424057,Dinobryon,1,54.5262,54.5262,5762.5002,0.0057625,1123
138,SP,2010,2010-4-12,,0m,Chrysophyta,Dinobryon cylindricum,90,0.350159,Dinobryon,2,9.0877,18.1754,4758.3063,0.00475831,1125
139,SP,2010,2010-4-12,,0m,Chrysophyta,Dinobryon cyst,12,1.170148,Dinobryon,1,18.1754,18.1754,15901.1164,0.01590112,1126
140,SP,2010,2010-4-12,,0m,Chrysophyta,Dinobryon divergens,72,0.175079,Dinobryon,2,9.0877,18.1754,2379.1531,0.00237915,1128
141,SP,2010,2010-4-12,,0m,Chrysophyta,Dinobryon sociale,43.3333,0.451705,Dinobryon,1,45.4385,45.4385,6138.2155,0.00613822,9733
142,SP,2010,2010-4-12,,0m,Chrysophyta,Kephyrion planctonicum,6,0.016808,Kephyrion,1,27.2631,27.2631,228.3992,0.0002284,1000615
143,SP,2010,2010-4-12,,0m,Chrysophyta,Mallomonas ,13.3333,1.792814,Mallomonas,1,36.3508,36.3508,24362.5258,0.02436253,1180
144,SP,2010,2010-4-12,,0m,Chrysophyta,Ochromonas ,8,0.340859,Ochromonas,1,18.1754,18.1754,4631.9255,0.00463193,1570
145,SP,2010,2010-4-12,,0m,Chrysophyta,Synura ,18.6667,19.12335,Synura,1,454.3848,454.3848,259866.959,0.25986696,1323
146,SP,2010,2010-4-12,,0m,Cryptophyta,Cryptomonas erosa,18.4,10.119874,Cryptomonas,1,245.3678,245.3678,137518.8441,0.13751884,3015
147,SP,2010,2010-4-12,,0m,Cryptophyta,Cryptomonas pyrenoidifera,12,0.268922,Cryptomonas,1,18.1754,18.1754,3654.3785,0.00365438,107181
148,SP,2010,2010-4-12,,0m,Cryptophyta,Rhodomonas minuta,12,0.630286,Rhodomonas,1,90.877,90.877,8564.9527,0.00856495,3041
149,SP,2010,2010-4-12,,0m,Cryptophyta,Rhodomonas minuta,8,0.605075,Rhodomonas,1,245.3678,245.3678,8222.3475,0.00822235,3043
150,SP,2010,2010-4-12,,0m,Cyanophyta,Aphanocapsa delicatissima,8,0.063029,Aphanocapsa,5,327.157,1635.7851,856.4971,0.0008565,4054
151,SP,2010,2010-4-12,,0m,Cyanophyta,Aphanothece nidulans,12,0.00035,Aphanothece,4,9.0877,36.3508,4.7583,0.00000476,4062
152,SP,2010,2010-4-12,,0m,Cyanophyta,Dactylococcopsis irregularis,17,0.003814,Dactylococcopsis,1,18.1754,18.1754,51.8289,0.00005183,4113
153,SP,2010,2010-4-12,,0m,Cyanophyta,Jaaginema angustissimum,300,0.157572,Jaaginema,75,9.0877,681.5771,2141.2373,0.00214124,1000829
154,SP,2010,2010-4-12,,0m,Cyanophyta,Pseudanabaena acicularis,380,0.449079,Pseudanabaena,95,9.0877,863.331,6102.5272,0.00610253,1000548
155,SP,2010,2010-4-12,,0m,Cyanophyta,Pseudanabaena limnetica,80,0.189086,Pseudanabaena,20,18.1754,363.5078,2569.4858,0.00256949,4172
156,SP,2010,2010-4-12,,0m,Cyanophyta,Synechococcus elongatus,3,0.001051,Synechococcus,1,9.0877,9.0877,14.275,0.00001428,4321
157,SP,2010,2010-4-12,,0m,Cyanophyta,Synechocystis ,1.5,0.003546,Synechocystis,1,27.2631,27.2631,48.1766,0.00004818,4285
158,SP,2010,2010-4-12,,0m,Euglenophyta,Lepocinclis ,88,4.437214,Lepocinclis,1,9.0877,9.0877,60297.2543,0.06029725,5050
159,SP,2010,2010-4-12,,0m,Haptophyta,Chrysochromulina parva,4,8.130533,Chrysochromulina,1,3653.2534,3653.2534,110485.7092,0.11048571,1731
160,SP,2010,2010-4-12,,0m,Pyrrhophyta,Pyrrhophyta,28,0.170456,,1,0.5486,0.5486,2316.329,0.00231633,6051
161,SP,2010,2010-4-12,,0m,Pyrrhophyta,Gymnodinium sp. 1,24,1.680763,Gymnodinium,1,9.0877,9.0877,22839.8688,0.02283987,6032
162,SP,2010,2010-4-12,,0m,Pyrrhophyta,Gymnodinium sp. 2,10,0.112051,Gymnodinium,1,9.0877,9.0877,1522.6579,0.00152266,6033
163,SP,2010,2010-4-12,,0m,Pyrrhophyta,Peridinium ,16,0.403383,Peridinium,1,9.0877,9.0877,5481.5687,0.00548157,6040
164,SP,2010,2010-6-8,,0m,Bacillariophyta,Fragilaria delicatissima,256,0.379611,Fragilaria,1,0.5486,0.5486,1230.4798,0.00123048,1314
165,SP,2010,2010-6-8,,0m,Bacillariophyta,Fragilaria filiformis,70,1.570025,Fragilaria,1,18.1754,18.1754,5089.1093,0.00508911,1477
166,SP,2010,2010-6-8,,0m,Bacillariophyta,Synedra ulna,276,2.989544,Synedra,1,2.1944,2.1944,9690.3658,0.00969037,9776
167,SP,2010,2010-6-8,,0m,Bacillariophyta,Urosolenia longiseta,120,3.302932,Urosolenia,1,9.0877,9.0877,10706.1882,0.01070619,111368
168,SP,2010,2010-6-8,,0m,Chlorophyta,Chlorococcaceae,5.6,3.927112,,1,99.9646,99.9646,12729.4181,0.01272942,2683
169,SP,2010,2010-6-8,,0m,Chlorophyta,Chlamydomonas ,8.5,4.09402,Chlamydomonas,1,45.4385,45.4385,13270.4386,0.01327044,2080
170,SP,2010,2010-6-8,,0m,Chlorophyta,Monoraphidium arcuatum,30,0.193958,Monoraphidium,1,18.1754,18.1754,628.7013,0.0006287,2031
171,SP,2010,2010-6-8,,0m,Chlorophyta,Mucidosphaerium pulchellum,10,0.117325,Mucidosphaerium,3,9.0877,27.2631,380.301,0.0003803,2211
172,SP,2010,2010-6-8,,0m,Chlorophyta,Quadrigula lacustris,28,0.052847,Quadrigula,1,9.0877,9.0877,171.2994,0.0001713,2462
173,SP,2010,2010-6-8,,0m,Chlorophyta,Scenedesmus bijuga,4,0.023487,Scenedesmus,2,9.0877,18.1754,76.1331,0.00007613,2483
174,SP,2010,2010-6-8,,0m,Chrysophyta,Chrysophyceae,2,0.172384,,1,145.4031,145.4031,558.7697,0.00055877,1652
175,SP,2010,2010-6-8,,0m,Chrysophyta,Dinobryon ,6,1.761564,Dinobryon,1,72.7016,72.7016,5709.9661,0.00570997,1123
176,SP,2010,2010-6-8,,0m,Chrysophyta,Epipyxis epiphyticus,30,1.428041,Epipyxis,1,18.1754,18.1754,4628.8793,0.00462888,1713
