lakeid,year4,sampledate,division,taxa_name,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc
TB,2010,6/10/10,Chlorophyta,Chlorophyta,1.706802,NA,1,817.8926,817.8926,17700.9126,0.01770091
TB,2010,6/10/10,Chlorophyta,Chlamydomonas ,4.47668,Chlamydomonas,1,363.5078,363.5078,46426.7807,0.04642678
TB,2010,6/10/10,Chlorophyta,Coelastrum ,0.74127,Coelastrum,32,0.9143,29.2584,7687.5653,0.00768757
TB,2010,6/10/10,Chlorophyta,Monomastix minuta,0.034411,Monomastix,1,30.2923,30.2923,356.8738,0.00035687
TB,2010,6/10/10,Chlorophyta,Oocystis parva,0.550581,Oocystis,1,30.2923,30.2923,5709.9685,0.00570997
TB,2010,6/10/10,Chlorophyta,Schroederia judayi,0.194538,Schroederia,1,90.877,90.877,2017.5228,0.00201752
TB,2010,6/10/10,Chrysophyta,Chrysophyceae,5.805297,NA,1,3453.3242,3453.3242,60205.5986,0.0602056
TB,2010,6/10/10,Cryptophyta,Cryptomonas erosa,52.494951,Cryptomonas,1,636.1387,636.1387,544414.9075,0.54441491
TB,2010,6/10/10,Cryptophyta,Rhodomonas minuta,0.097881,Rhodomonas,1,30.2923,30.2923,1015.1046,0.0010151
TB,2010,6/10/10,Cyanophyta,Aphanocapsa delicatissima,0.024471,Aphanocapsa,16,30.2923,484.6771,253.7769,0.00025378
TB,2010,6/10/10,Cyanophyta,Synechococcus ,0.027529,Synechococcus,1,90.877,90.877,285.499,0.0002855
TB,2010,6/10/10,Euglenophyta,Euglena ,12.193072,Euglena,1,151.4616,151.4616,126451.9759,0.12645198
TB,2010,6/10/10,Miscellaneous,Miscellaneous,3.084599,Miscellaneous,1,90.877,90.877,31989.7774,0.03198978
TB,2010,6/10/10,Pyrrhophyta,Gymnodinium sp. 2,0.489406,Gymnodinium,1,30.2923,30.2923,5075.5262,0.00507553
TB,2010,6/10/10,Pyrrhophyta,Gymnodinium sp. 3,0.220233,Gymnodinium,1,30.2923,30.2923,2283.9862,0.00228399
TB,2010,6/10/10,Total,Total,100.000001,Total,68.3333,11966.3797,13105.4371,1037080.528,1.03708054
TB,2010,7/7/10,NA,Rhodospirillum rubrum,0.337723,Rhodospirillum,1,3907.7089,3907.7089,3580.6337,0.00358063
TB,2010,7/7/10,Bacillariophyta,Asterionella formosa,0.543131,Asterionella,8,3.6573,29.2584,5758.4179,0.00575842
TB,2010,7/7/10,Bacillariophyta,Lindavia intermedia,0.743421,Lindavia,1,0.9143,0.9143,7881.953,0.00788195
TB,2010,7/7/10,Chlorophyta,Chlorococcaceae,0.592791,NA,1,151.4616,151.4616,6284.9288,0.00628493
TB,2010,7/7/10,Chlorophyta,Chlorophyta,0.230025,NA,1,90.877,90.877,2438.792,0.00243879
TB,2010,7/7/10,Chlorophyta,Chlamydomonas ,9.352923,Chlamydomonas,1,484.6771,484.6771,99162.2636,0.09916226
TB,2010,7/7/10,Chlorophyta,Monomastix minuta,0.011968,Monomastix,1,30.2923,30.2923,126.8885,0.00012689
TB,2010,7/7/10,Chlorophyta,Schroederia judayi,0.095745,Schroederia,1,121.1693,121.1693,1015.1077,0.00101511
TB,2010,7/7/10,Chlorophyta,Sphaerocystis schroeteri,2.585091,Sphaerocystis,4,60.5846,242.3385,27407.8403,0.02740784
TB,2010,7/7/10,Chrysophyta,Chrysophyceae,2.622529,NA,1,4271.2167,4271.2167,27804.7666,0.02780477
TB,2010,7/7/10,Chrysophyta,Dinobryon cylindricum,0.191488,Dinobryon,1,30.2923,30.2923,2030.2093,0.00203021
TB,2010,7/7/10,Cryptophyta,Cryptomonas erosa,78.431172,Cryptomonas,1,848.1849,848.1849,831548.8353,0.83154884
TB,2010,7/7/10,Cyanophyta,Synechococcus ,0.02992,Synechococcus,1,151.4616,151.4616,317.2211,0.00031722
TB,2010,7/7/10,Cyanophyta,Synechocystis ,0.015147,Synechocystis,1,90.877,90.877,160.5887,0.00016059
TB,2010,7/7/10,Euglenophyta,Euglena ,4.216928,Euglena,1,272.6309,272.6309,44709.0336,0.04470903
TB,2010,7/7/10,Total,Total,100.000002,Total,25,10516.0058,10723.3608,1060227.48,1.06022748
TB,2010,8/3/10,NA,Rhodospirillum rubrum,0.352879,Rhodospirillum,1,2908.0624,2908.0624,2569.564,0.00256956
TB,2010,8/3/10,Chlorophyta,Chlorophyta,0.008368,NA,1,15.1462,15.1462,60.9315,6.09E-05
TB,2010,8/3/10,Chlorophyta,Chlorococcaceae,0.272275,NA,1,30.2923,30.2923,1982.6261,0.00198263
TB,2010,8/3/10,Chlorophyta,Chlamydomonas ,9.783337,Chlamydomonas,1,318.0693,318.0693,71239.4509,0.07123945
TB,2010,8/3/10,Chlorophyta,Monomastix minuta,0.049009,Monomastix,1,75.7308,75.7308,356.8738,0.00035687
TB,2010,8/3/10,Chlorophyta,Monoraphidium griffithii,0.15683,Monoraphidium,1,30.2923,30.2923,1141.9931,0.00114199
TB,2010,8/3/10,Chlorophyta,Oocystis parva,0.21782,Oocystis,1,15.1462,15.1462,1586.1027,0.0015861
TB,2010,8/3/10,Chlorophyta,Schroederia judayi,0.174256,Schroederia,1,60.5846,60.5846,1268.8846,0.00126888
TB,2010,8/3/10,Chlorophyta,Sphaerocystis schroeteri,0.940982,Sphaerocystis,4,15.1462,60.5846,6851.9601,0.00685196
TB,2010,8/3/10,Chrysophyta,Chrysophyceae,1.178429,NA,1,2090.1699,2090.1699,8580.9834,0.00858098
TB,2010,8/3/10,Chrysophyta,Dinobryon cylindricum,0.98019,Dinobryon,1,60.5846,60.5846,7137.4576,0.00713746
TB,2010,8/3/10,Chrysophyta,Dinobryon cylindricum,0.95623,Dinobryon,2,30.2923,60.5846,6962.989,0.00696299
TB,2010,8/3/10,Chrysophyta,Kephyrion ,0.039208,Kephyrion,1,15.1462,15.1462,285.499,0.0002855
TB,2010,8/3/10,Cryptophyta,Cryptomonas erosa,74.630326,Cryptomonas,1,727.0156,727.0156,543436.608,0.54343661
TB,2010,8/3/10,Cryptophyta,Rhodomonas minuta,0.069702,Rhodomonas,1,15.1462,15.1462,507.5523,0.00050755
TB,2010,8/3/10,Cyanophyta,Synechococcus ,0.006534,Synechococcus,1,15.1462,15.1462,47.5832,4.76E-05
TB,2010,8/3/10,Cyanophyta,Synechocystis ,0.011026,Synechocystis,1,45.4385,45.4385,80.2943,8.03E-05
TB,2010,8/3/10,Euglenophyta,Euglena ,9.572461,Euglena,1,242.3385,242.3385,69703.9061,0.06970391
TB,2010,8/3/10,Haptophyta,Chrysochromulina parva,0.251626,Chrysochromulina,1,60.5846,60.5846,1832.2672,0.00183227
TB,2010,8/3/10,Pyrrhophyta,Gymnodinium sp. 2,0.348511,Gymnodinium,1,15.1462,15.1462,2537.7631,0.00253776
TB,2010,8/3/10,Total,Total,99.999999,Total,24,6785.4791,6861.2098,728171.29,0.72817127
TB,2010,11/15/10,NA,Rhodospirillum rubrum,2.291902,Rhodospirillum,1,7088.4022,7088.4022,6958.6844,0.00695868
TB,2010,11/15/10,Bacillariophyta,Tabellaria flocculosa,1.110123,Tabellaria,1,0.5486,0.5486,3370.562,0.00337056
TB,2010,11/15/10,Chlorophyta,Chlorophyta,0.77648,NA,1,136.3154,136.3154,2357.548,0.00235755
TB,2010,11/15/10,Chlorophyta,Chlorococcaceae,0.037613,NA,1,27.2631,27.2631,114.1996,0.0001142
TB,2010,11/15/10,Chlorophyta,Chlamydomonas ,58.935367,Chlamydomonas,1,954.208,954.208,178939.7615,0.17893976
TB,2010,11/15/10,Chrysophyta,Chrysophyceae,26.321192,NA,1,4498.4091,4498.4091,79916.4867,0.07991649
TB,2010,11/15/10,Chrysophyta,Kephyrion planctonicum,0.169257,Kephyrion,1,27.2631,27.2631,513.8983,0.0005139
TB,2010,11/15/10,Cyanophyta,Aphanizomenon ,0.399618,Aphanizomenon,29.3333,0.5486,16.0921,1213.3152,0.00121332
TB,2010,11/15/10,Cyanophyta,Aphanothece saxicola,0.150451,Aphanothece,8,27.2631,218.1047,456.7984,0.0004568
TB,2010,11/15/10,Cyanophyta,Synechocystis ,0.031734,Synechocystis,1,54.5262,54.5262,96.3532,9.64E-05
TB,2010,11/15/10,Haptophyta,Chrysochromulina parva,9.776265,Chrysochromulina,1,981.4711,981.4711,29682.7278,0.02968273
TB,2010,11/15/10,Total,Total,100.000002,Total,46.3333,13796.2185,14002.6036,303620.3351,0.30362034
TB,2011,2/15/11,NA,Rhodospirillum rubrum,0.845441,Rhodospirillum,1,1681.2236,1681.2236,1320.433,0.00132043
TB,2011,2/15/11,Bacillariophyta,Asterionella formosa,1.309194,Asterionella,4,7.5731,30.2923,2044.7314,0.00204473
TB,2011,2/15/11,Bacillariophyta,Tabellaria binalis,6.206553,Tabellaria,2,7.5731,15.1462,9693.5415,0.00969354
TB,2011,2/15/11,Chlorophyta,Chlorococcaceae,0.710881,NA,1,15.1462,15.1462,1110.271,0.00111027
TB,2011,2/15/11,Chlorophyta,Chlorophyta,0.040619,NA,1,7.5731,7.5731,63.4442,6.34E-05
TB,2011,2/15/11,Chlorophyta,Chlamydomonas ,8.14224,Chlamydomonas,1,37.8654,37.8654,12716.7412,0.01271674
TB,2011,2/15/11,Chlorophyta,Oedogonium ,32.486798,Oedogonium,11.5,0.6857,7.886,50738.6366,0.05073864
TB,2011,2/15/11,Chlorophyta,Schroederia judayi,0.335128,Schroederia,1,22.7192,22.7192,523.4126,0.00052341
TB,2011,2/15/11,Chrysophyta,Chrysophyceae,12.356916,NA,1,2612.7124,2612.7124,19299.3223,0.01929932
TB,2011,2/15/11,Chrysophyta,Chrysophyceae,5.414786,NA,1,45.4385,45.4385,8456.9364,0.00845694
TB,2011,2/15/11,Cryptophyta,Cryptomonas erosa,4.387154,Cryptomonas,1,7.5731,7.5731,6851.9608,0.00685196
TB,2011,2/15/11,Cyanophyta,Phormidium ,8.717586,Phormidium,158,3.4287,541.7367,13615.327,0.01361533
TB,2011,2/15/11,Euglenophyta,Euglena ,16.868963,Euglena,1,98.45,98.45,26346.3407,0.02634634
TB,2011,2/15/11,Haptophyta,Chrysochromulina parva,0.146643,Chrysochromulina,1,7.5731,7.5731,229.0334,0.00022903
TB,2011,2/15/11,Miscellaneous,Miscellaneous,2.031094,Miscellaneous,1,30.2923,30.2923,3172.2054,0.00317221
TB,2011,2/15/11,Total,Total,99.999996,Total,186.5,4585.8275,5161.6281,156182.3375,0.15618233
TB,2011,5/3/11,NA,Rhodospirillum rubrum,2.30278,Rhodospirillum,1,16085.2204,16085.2204,12633.3321,0.01263333
TB,2011,5/3/11,Bacillariophyta,Actinella punctata,0.077069,Actinella,1,0.5486,0.5486,422.8073,0.00042281
TB,2011,5/3/11,Bacillariophyta,Tabellaria flocculosa,0.403186,Tabellaria,1,0.5486,0.5486,2211.9313,0.00221193
TB,2011,5/3/11,Chlorophyta,Chlorococcaceae,2.768533,NA,1,54.5262,54.5262,15188.5102,0.01518851
TB,2011,5/3/11,Chlorophyta,Chlorophyta,0.150292,NA,1,27.2631,27.2631,824.5202,0.00082452
TB,2011,5/3/11,Chlorophyta,Chlamydomonas ,57.910712,Chlamydomonas,1,1444.9435,1444.9435,317705.2239,0.31770522
TB,2011,5/3/11,Chlorophyta,Gloeococcus minor,11.636167,Gloeococcus,4,109.0523,436.2094,63837.4305,0.06383743
TB,2011,5/3/11,Chlorophyta,Schroederia judayi,0.3302,Schroederia,1,54.5262,54.5262,1811.523,0.00181152
TB,2011,5/3/11,Chrysophyta,Chrysophyceae,3.178203,NA,1,109.0523,109.0523,17436.0081,0.01743601
TB,2011,5/3/11,Chrysophyta,Chrysophyceae,0.194101,NA,1,163.5785,163.5785,1064.8634,0.00106486
TB,2011,5/3/11,Chrysophyta,Mallomonas ,17.985062,Mallomonas,1,54.5262,54.5262,98668.2359,0.09866824
TB,2011,5/3/11,Cryptophyta,Cryptomonas erosa,0.160844,Cryptomonas,1,0.5486,0.5486,882.411,0.00088241
TB,2011,5/3/11,Cyanophyta,Aphanothece nidulans,0.353873,Aphanothece,34,54.5262,1853.8898,1941.388,0.00194139
TB,2011,5/3/11,Cyanophyta,Phormidium ,0.673536,Phormidium,134,1.0972,147.0232,3695.0963,0.0036951
TB,2011,5/3/11,Cyanophyta,Planktothrix agardhii,0.311635,Planktothrix,62,0.5486,34.0128,1709.6714,0.00170967
TB,2011,5/3/11,Pyrrhophyta,Gymnodinium sp. 2,1.053812,Gymnodinium,1,27.2631,27.2631,5781.3417,0.00578134
TB,2011,5/3/11,Pyrrhophyta,Gymnodinium sp. 3,0.509994,Gymnodinium,1,27.2631,27.2631,2797.885,0.00279789
TB,2011,5/3/11,Total,Total,99.999999,Total,247,18215.0327,20520.9436,548612.1793,0.54861218
TB,2011,6/1/11,NA,Rhodospirillum rubrum,1.543626,Rhodospirillum,1,33260.9642,33260.9642,30477.0215,0.03047702
TB,2011,6/1/11,Bacillariophyta,Asterionella formosa,1.413984,Asterionella,8,27.2631,218.1047,27917.3994,0.0279174
TB,2011,6/1/11,Bacillariophyta,Tabellaria binalis,0.320091,Tabellaria,4,1.0972,4.3888,6319.8038,0.0063198
TB,2011,6/1/11,Chlorophyta,Chlorococcaceae,6.663245,NA,1,109.0523,109.0523,131557.6478,0.13155765
TB,2011,6/1/11,Chlorophyta,Chlorococcaceae,0.090376,NA,1,27.2631,27.2631,1784.3635,0.00178436
TB,2011,6/1/11,Chlorophyta,Chlamydomonas ,13.422491,Chlamydomonas,1,1472.2066,1472.2066,265010.7344,0.26501073
TB,2011,6/1/11,Chlorophyta,Monomastix minuta,0.019521,Monomastix,1,27.2631,27.2631,385.4237,0.00038542
TB,2011,6/1/11,Chlorophyta,Scenedesmus bijuga,0.31234,Scenedesmus,2,27.2631,54.5262,6166.7654,0.00616677
TB,2011,6/1/11,Chrysophyta,Chrysophyceae,0.0995,NA,1,408.9463,408.9463,1964.4961,0.0019645
TB,2011,6/1/11,Chrysophyta,Chrysophyceae,0.041761,NA,1,27.2631,27.2631,824.5202,0.00082452
TB,2011,6/1/11,Chrysophyta,Mallomonas ,2.07567,Mallomonas,1,54.5262,54.5262,40981.5755,0.04098158
TB,2011,6/1/11,Cryptophyta,Cryptomonas erosa,71.852563,Cryptomonas,1,1363.1543,1363.1543,1418641.328,1.41864133
TB,2011,6/1/11,Cyanophyta,Aphanocapsa delicatissima,0.02892,Aphanocapsa,40,27.2631,1090.5234,570.9981,0.000571
TB,2011,6/1/11,Cyanophyta,Phormidium ,0.111733,Phormidium,160,0.5486,87.7751,2206.0277,0.00220603
TB,2011,6/1/11,Euglenophyta,Euglena ,1.509641,Euglena,1,81.7893,81.7893,29806.0252,0.02980603
TB,2011,6/1/11,Euglenophyta,Euglena acus,0.494538,Euglena,1,27.2631,27.2631,9764.045,0.00976405
TB,2011,6/1/11,Total,Total,100,Total,225,36943.1267,38315.0098,1974378.175,1.97437819
TB,2011,7/25/11,NA,Rhodospirillum rubrum,1.090103,Rhodospirillum,1,6088.7557,6088.7557,4782.1088,0.00478211
TB,2011,7/25/11,Bacillariophyta,Actinella punctata,0.187798,Actinella,1,0.5486,0.5486,823.8362,0.00082384
TB,2011,7/25/11,Bacillariophyta,Asterionella formosa,0.510686,Asterionella,4,2.743,10.9719,2240.3002,0.0022403
TB,2011,7/25/11,Chlorophyta,Chlorococcaceae,0.416516,,1,12.1169,12.1169,1827.1889,0.00182719
TB,2011,7/25/11,Chlorophyta,Chlamydomonas ,4.405421,Chlamydomonas,1,36.3508,36.3508,19325.8779,0.01932588
TB,2011,7/25/11,Chlorophyta,Monoraphidium griffithii,0.030081,Monoraphidium,1,6.0585,6.0585,131.9636,0.00013196
TB,2011,7/25/11,Chlorophyta,Mougeotia ,46.858053,Mougeotia,17.6471,6.0585,106.9143,205558.8214,0.20555882
TB,2011,7/25/11,Chlorophyta,Stichococcus bacillaris,0.006508,Stichococcus,1,6.0585,6.0585,28.5499,2.86E-05
TB,2011,7/25/11,Chrysophyta,Chrysophyceae,2.022836,NA,1,1363.1543,1363.1543,8873.8617,0.00887386
TB,2011,7/25/11,Chrysophyta,Dinobryon cylindricum,3.474553,Dinobryon,4,12.1169,48.4677,15242.3136,0.01524231
TB,2011,7/25/11,Chrysophyta,Dinobryon cyst,0.694484,Dinobryon,1,6.0585,6.0585,3046.585,0.00304659
TB,2011,7/25/11,Chrysophyta,Kephyrion planctonicum,0.026032,Kephyrion,1,6.0585,6.0585,114.1996,0.0001142
TB,2011,7/25/11,Cryptophyta,Cryptomonas erosa,35.843519,Cryptomonas,1,121.1693,121.1693,157239.8087,0.15723981
TB,2011,7/25/11,Cryptophyta,Rhodomonas minuta,0.092559,Rhodomonas,1,12.1169,12.1169,406.0419,0.00040604
TB,2011,7/25/11,Euglenophyta,Euglena ,3.62369,Euglena,1,54.5262,54.5262,15896.5489,0.01589655
TB,2011,7/25/11,Haptophyta,Chrysochromulina parva,0.041768,Chrysochromulina,1,6.0585,6.0585,183.2267,0.00018323
TB,2011,7/25/11,Miscellaneous,Miscellaneous,0.571263,Miscellaneous,1,12.1169,12.1169,2506.041,0.00250604
TB,2011,7/25/11,Pyrrhophyta,Gymnodinium sp. 3,0.10413,Gymnodinium,1,6.0585,6.0585,456.7972,0.0004568
TB,2011,7/25/11,Total,Total,100,Total,40.6471,7758.125,7903.5605,438684.0712,0.43868408
TB,2011,8/23/11,NA,Rhodospirillum rubrum,0.284962,Rhodospirillum,1,8451.5565,8451.5565,7744.1612,0.00774416
TB,2011,8/23/11,Chlorophyta,Chlorophyta,0.020227,,1,18.1754,18.1754,549.6801,0.00054968
TB,2011,8/23/11,Chlorophyta,Chlorococcaceae,0.07564,,1,18.1754,18.1754,2055.5876,0.00205559
TB,2011,8/23/11,Chlorophyta,Chlamydomonas ,3.998482,Chlamydomonas,1,363.5078,363.5078,108663.0247,0.10866302
TB,2011,8/23/11,Chlorophyta,Mucidosphaerium pulchellum,0.03844,Mucidosphaerium,7,36.3508,254.4555,1044.6487,0.00104465
TB,2011,8/23/11,Chlorophyta,Oocystis parva,0.196103,Oocystis,1,36.3508,36.3508,5329.3043,0.0053293
TB,2011,8/23/11,Chlorophyta,Schroederia judayi,0.003782,Schroederia,1,18.1754,18.1754,102.78,0.00010278
TB,2011,8/23/11,Chlorophyta,Sphaerocystis schroeteri,0.830635,Sphaerocystis,6,36.3508,218.1047,22573.4021,0.0225734
TB,2011,8/23/11,Chrysophyta,Chrysophyceae,1.264105,NA,1,4271.2167,4271.2167,34353.396,0.0343534
TB,2011,8/23/11,Chrysophyta,Chrysophyceae,0.043424,NA,1,18.1754,18.1754,1180.079,0.00118008
TB,2011,8/23/11,Chrysophyta,Gonyostomum semen,16.808811,Gonyostomum,1,18.1754,18.1754,456797.3798,0.45679738
TB,2011,8/23/11,Cryptophyta,Cryptomonas erosa,76.060428,Cryptomonas,1,2799.0101,2799.0101,2067023.336,2.06702334
TB,2011,8/23/11,Cyanophyta,Phormidium ,0.066677,Phormidium,80,0.5486,43.8875,1812.0311,0.00181203
TB,2011,8/23/11,Cyanophyta,Synechocystis ,0.002364,Synechocystis,1,36.3508,36.3508,64.2355,6.42E-05
TB,2011,8/23/11,Euglenophyta,Euglena ,0.30592,Euglena,1,18.1754,18.1754,8313.7125,0.00831371
TB,2011,8/23/11,Total,Total,100,Total,105,16140.2953,16583.4928,2717606.759,2.71760676
TB,2011,11/11/11,NA,Rhodospirillum rubrum,0.205806,Rhodospirillum,1,1908.416,1908.416,1723.6813,0.00172368
TB,2011,11/11/11,Bacillariophyta,Asterionella formosa,0.069869,Asterionella,8,0.4572,3.6573,585.167,0.00058517
TB,2011,11/11/11,Chlorophyta,Chlamydomonas ,0.845237,Chlamydomonas,1,53.0116,53.0116,7079.0888,0.00707909
TB,2011,11/11/11,Chrysophyta,Chrysophyceae,2.471582,NA,1,3407.8857,3407.8857,20700.1792,0.02070018
TB,2011,11/11/11,Chrysophyta,Mallomonas ,8.181178,Mallomonas,1,7.5731,7.5731,68519.6067,0.06851961
TB,2011,11/11/11,Cryptophyta,Cryptomonas erosa,86.96194,Cryptomonas,1,416.5194,416.5194,728330.1268,0.72833013
TB,2011,11/11/11,Euglenophyta,Euglena ,1.072643,Euglena,1,7.5731,7.5731,8983.6819,0.00898368
TB,2011,11/11/11,Pyrrhophyta,Gymnodinium sp. 2,0.191747,Gymnodinium,1,7.5731,7.5731,1605.9283,0.00160593
TB,2011,11/11/11,Total,Total,100.000002,Total,15,5809.0092,5812.2093,837527.46,0.83752747
TB,2012,2/20/12,NA,Rhodospirillum rubrum,0.713923,Rhodospirillum,1,3303.0028,3303.0028,2983.2721,0.00298327
TB,2012,2/20/12,Bacillariophyta,Tabellaria flocculosa,0.880913,Tabellaria,1,0.8521,0.8521,3681.071,0.00368107
TB,2012,2/20/12,Chlorophyta,Chlamydomonas ,44.398832,Chlamydomonas,1,1402.1294,1402.1294,185529.3382,0.18552934
TB,2012,2/20/12,Chlorophyta,Spinocosmarium ,0.983991,Spinocosmarium,1,0.8521,0.8521,4111.7957,0.0041118
TB,2012,2/20/12,Chrysophyta,Chrysophyceae,1.477316,NA,1,1016.3085,1016.3085,6173.2613,0.00617326
TB,2012,2/20/12,Chrysophyta,Chrysophyceae,1.132432,NA,1,9.4103,9.4103,4732.0859,0.00473209
TB,2012,2/20/12,Chrysophyta,Mallomonas ,1.056494,Mallomonas,1,9.4103,9.4103,4414.7737,0.00441477
TB,2012,2/20/12,Cryptophyta,Cryptomonas erosa,34.131253,Cryptomonas,1,75.2821,75.2821,142624.2236,0.14262422
TB,2012,2/20/12,Cryptophyta,Rhodomonas minuta,0.754639,Rhodomonas,1,94.1026,94.1026,3153.4078,0.00315341
TB,2012,2/20/12,Cyanophyta,Synechococcus elongatus,0.009434,Synechococcus,1,18.8205,18.8205,39.4177,3.94E-05
TB,2012,2/20/12,Euglenophyta,Euglena ,13.102424,Euglena,1,188.2053,188.2053,54751.0818,0.05475108
TB,2012,2/20/12,Miscellaneous,Miscellaneous,1.358351,Miscellaneous,1,18.8205,18.8205,5676.1378,0.00567614
TB,2012,2/20/12,Total,Total,100.000002,Total,12,6137.1965,6137.1965,417869.8666,0.41786987
TB,2012,4/2/12,NA,Rhodospirillum rubrum,2.390685,Rhodospirillum,1,41075.8035,41075.8035,40324.1163,0.04032412
TB,2012,4/2/12,Bacillariophyta,Cyclotella sp. 1,0.212954,Cyclotella,1,42.3462,42.3462,3591.9308,0.00359193
TB,2012,4/2/12,Chlorophyta,Chlamydomonas ,84.973766,Chlamydomonas,1,4700.427,4700.427,1433268.301,1.4332683
TB,2012,4/2/12,Chrysophyta,Chrysophyceae,1.88108,NA,1,6987.1212,6987.1212,31728.5174,0.03172852
TB,2012,4/2/12,Chrysophyta,Chrysophyceae,4.90728,NA,1,381.1157,381.1157,82772.0041,0.082772
TB,2012,4/2/12,Cryptophyta,Cryptomonas erosa,1.892922,Cryptomonas,1,42.3462,42.3462,31928.2729,0.03192827
TB,2012,4/2/12,Cyanophyta,Synechococcus elongatus,0.005258,Synechococcus,1,42.3462,42.3462,88.6899,8.87E-05
TB,2012,4/2/12,Cyanophyta,Synechocystis ,0.013309,Synechocystis,1,127.0386,127.0386,224.4899,0.00022449
TB,2012,4/2/12,Pyrrhophyta,Gymnodinium sp. 2,3.722747,Gymnodinium,1,127.0386,127.0386,62792.2674,0.06279227
TB,2012,4/2/12,Total,Total,100.000001,Total,9,53525.5832,53525.5832,1686718.59,1.68671859
TB,2012,6/26/12,NA,Rhodospirillum rubrum,1.190502,Rhodospirillum,1,6704.8133,6704.8133,7021.2805,0.00702128
TB,2012,6/26/12,Bacillariophyta,Stephanodiscus parvus,0.80202,Stephanodiscus,1,23.5257,23.5257,4730.114,0.00473011
TB,2012,6/26/12,Chlorophyta,Chlamydomonas ,12.328318,Chlamydomonas,1,164.6796,164.6796,72709.2984,0.0727093
TB,2012,6/26/12,Chlorophyta,Monomastix minuta,0.093987,Monomastix,1,47.0513,47.0513,554.3116,0.00055431
TB,2012,6/26/12,Chlorophyta,Monoraphidium griffithii,0.165417,Monoraphidium,1,23.5257,23.5257,975.5856,0.00097559
TB,2012,6/26/12,Chrysophyta,Chrysophyceae,5.271088,NA,1,6845.9672,6845.9672,31087.5373,0.03108754
TB,2012,6/26/12,Chrysophyta,Dinobryon cylindricum,0.267339,Dinobryon,1,23.5257,23.5257,1576.7039,0.0015767
TB,2012,6/26/12,Chrysophyta,Gonyostomum semen,4.357379,Gonyostomum,1,0.8521,0.8521,25698.7234,0.02569872
