"sampledate.x","wtemp","o2","o2sat","cond","frlight","chlor.x","phaeo","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","cl","so4","ca","mg","na","k","fe","mn","chlDate","chlor.y","datePlus1","dateMinus1","year4","daynum","avsnow","totice","whiteice","blueice","CBV.date","Genus.x","CellBioVol.x","bv.datePlus1","bv.dateMinus1","Genus.y","CellBioVol.y","PerBioVol"
1982-10-07,12.38,8.46,85.47,NA,0.2,3.55,1.37,7.16,NA,NA,NA,NA,NA,NA,0.65,0,12.23,NA,NA,NA,NA,3639.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-10-07,2.5,1982-10-08,1982-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-10-19,10.63,8.2,79.31,NA,0.21,3.42,0.96,7.1,NA,NA,NA,NA,NA,NA,3.82,0,28.08,NA,NA,NA,NA,3557.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-11-10,5.4,9.55,80.19,73.42,0.14,4.08,0.25,7.17,NA,547,NA,NA,NA,NA,0,0,36.4,NA,NA,2.61,NA,3426.59,NA,NA,NA,2.7,3.17,8.69,2.46,1.72,0.54,NA,NA,1982-11-10,4.3,1982-11-11,1982-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-12-02,3.45,10.76,85.89,74,0.12,2.59,0.06,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-12-02,3.7,1982-12-03,1982-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-01-13,3.26,10.71,84.9,NA,NA,1.94,0.07,7.06,NA,NA,NA,NA,NA,NA,NA,0,72.32,NA,NA,NA,NA,3764.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-01-13,9.4,1983-01-14,1983-01-12,1983,13,24,27,1,26,NA,NA,NA,NA,NA,NA,NA,NA
1983-02-24,3.09,9.03,71.19,77.28,NA,0.32,0.07,7,NA,511.21,NA,NA,NA,NA,126.17,0,73.38,NA,NA,4.53,NA,3915.3,NA,NA,NA,2.7,3.27,8.99,2.63,1.69,0.65,NA,NA,1983-02-24,0.3,1983-02-25,1983-02-23,1983,55,1,29,1,28,NA,NA,NA,NA,NA,NA,NA,NA
1983-03-28,3.44,8.91,71.03,87.75,NA,1.48,2.91,6.92,NA,NA,NA,NA,NA,NA,63.06,NA,25.86,NA,NA,NA,NA,3794.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-03-28,9.8,1983-03-29,1983-03-27,1983,87,9.5,39,8,31,NA,NA,NA,NA,NA,NA,NA,NA
1983-05-11,7.11,10.05,88.46,70.72,0.16,6.08,0,6.86,NA,561.82,NA,NA,NA,NA,63.79,NA,21.27,NA,NA,3.07,NA,3790.99,NA,NA,NA,2.58,3.28,8.68,2.53,1.57,0.63,NA,NA,1983-05-11,6.1,1983-05-12,1983-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-05-25,9.31,10.27,95.92,70.07,0.16,9.22,0.61,7.24,NA,NA,NA,NA,NA,NA,23.9,NA,9.29,NA,NA,NA,NA,3599.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-05-25,6.8,1983-05-26,1983-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-06-09,10.63,9.59,92.47,75.86,0.22,5.24,0.22,7.11,NA,NA,NA,NA,NA,NA,20.44,NA,9.95,NA,NA,NA,NA,3530.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-06-09,1.6,1983-06-10,1983-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-06-21,13.68,9.31,95.95,75.2,0.27,4.21,3.26,7.26,NA,NA,NA,NA,NA,NA,12.25,NA,10.66,NA,NA,NA,NA,3586.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-06-21,1.1,1983-06-22,1983-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-07-08,15.17,8.9,95.19,74.24,0.21,3.08,0.19,7.21,NA,NA,NA,NA,NA,NA,8.37,NA,21.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-07-08,1.3,1983-07-09,1983-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-07-21,16.8,9.09,100.71,71.88,0.27,2.9,0.51,7.29,NA,NA,NA,NA,NA,NA,7.5,NA,7,NA,NA,NA,NA,3330.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-07-21,1.2,1983-07-22,1983-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-08-01,16.56,9.36,103.84,74.54,0.26,3.34,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-08-01,0.7,1983-08-02,1983-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-08-16,16.99,9.8,109.83,79.2,0.25,3.73,0.14,7.26,NA,527.23,NA,NA,NA,NA,0.91,NA,19.03,NA,NA,7.52,NA,3491.19,NA,NA,NA,2.72,3.09,8.71,2.66,1.65,0.6,NA,NA,1983-08-16,0.8,1983-08-17,1983-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-09-06,17.15,7.31,82.53,75.54,NA,2.35,1.61,7.14,NA,NA,NA,NA,NA,NA,2.98,NA,27.72,NA,NA,NA,NA,3481.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-09-06,1.7,1983-09-07,1983-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-09-27,13.16,7.51,77.95,74.14,0.23,1.75,2.02,7.13,NA,NA,NA,NA,NA,NA,0,NA,28.53,NA,NA,NA,NA,3749.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-09-27,0.4,1983-09-28,1983-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-10-17,10.49,7.45,72.09,72.65,0.21,2.16,1.58,7.08,NA,NA,NA,NA,NA,NA,3.28,NA,32.03,NA,NA,NA,NA,3495.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-10-17,2.5,1983-10-18,1983-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-02,8.95,7.83,72.26,75.47,0.16,2.64,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-11-02,2.4,1983-11-03,1983-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-15,6.09,8.16,69.76,75,0.11,3.03,0.19,7.23,NA,588.66,NA,NA,NA,NA,161.23,NA,36.4,NA,NA,8.53,NA,3588.25,NA,NA,NA,2.7,3.22,8.79,2.57,1.7,0.64,NA,NA,1983-11-15,3.1,1983-11-16,1983-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-11-29,3.06,10.25,81.02,NA,0.14,4.79,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-11-29,4.4,1983-11-30,1983-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-01-06,2.73,10.36,80.9,77.4,NA,2.65,0.22,7.04,NA,NA,NA,NA,NA,NA,24.09,NA,118.64,NA,NA,NA,NA,3929.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-01-06,5.4,1984-01-07,1984-01-05,1984,6,2.7,36.2,11.8,24.4,NA,NA,NA,NA,NA,NA,NA,NA
1984-02-27,3.05,9.6,75.45,78.8,NA,3.07,0.09,7.03,NA,637.8,NA,NA,NA,NA,52.05,NA,49.67,NA,NA,14.96,NA,3966.84,NA,NA,NA,2.74,3.32,9.19,2.73,1.7,0.66,NA,NA,1984-02-27,1.3,1984-02-28,1984-02-26,1984,58,1,47.5,15,32.5,NA,NA,NA,NA,NA,NA,NA,NA
1984-04-10,3.95,9.83,79.57,78.36,NA,7.82,0.21,7.15,NA,NA,NA,NA,NA,NA,19.61,NA,27.1,NA,NA,NA,NA,2625.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-04-10,2.9,1984-04-11,1984-04-09,1984,101,0,44.5,5,39.5,NA,NA,NA,NA,NA,NA,NA,NA
1984-04-26,6.2,10.62,91.23,74.41,NA,7.42,0.5,NA,NA,NA,NA,NA,NA,NA,9.83,NA,19.05,NA,NA,NA,NA,3489.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-04-26,5.5,1984-04-27,1984-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-05-09,6.86,10.49,91.45,74.13,NA,9.98,0.15,7.33,NA,612.75,NA,NA,NA,NA,1.14,NA,17.45,NA,NA,10.74,NA,3404.12,NA,NA,NA,2.81,3.24,8.78,2.58,1.65,0.68,NA,NA,1984-05-09,7.3,1984-05-10,1984-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-05-21,9.58,9.96,93.07,74.47,0.16,6.42,0.25,7.39,NA,NA,NA,NA,NA,NA,1.3,NA,41.15,NA,NA,NA,NA,3279.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-05-21,4.4,1984-05-22,1984-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-06-04,11.47,10.19,99.51,74.39,0.24,5.26,0.33,7.41,NA,NA,NA,NA,NA,NA,1.83,NA,29.07,NA,NA,NA,NA,3805.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-06-04,3,1984-06-05,1984-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-06-20,13.53,9.15,93.76,74.51,0.19,3.98,0.79,7.49,NA,NA,NA,NA,NA,NA,1.32,NA,41.06,NA,NA,NA,NA,3405.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-06-20,1.7,1984-06-21,1984-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-06-20,13.53,9.15,93.76,74.51,0.19,3.98,0.79,7.49,NA,NA,NA,NA,NA,NA,1.32,NA,41.06,NA,NA,NA,NA,3405.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-06-20,2.1,1984-06-21,1984-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-07-05,14.65,8.17,86.13,75.69,0.42,2.06,0.24,7.38,NA,NA,NA,NA,NA,NA,3.39,NA,36.2,NA,NA,NA,NA,3426.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-07-05,1.3,1984-07-06,1984-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-07-16,14.93,8.03,85.82,76,0.24,2.31,0,7.4,NA,NA,NA,NA,NA,NA,1.58,NA,35.14,NA,NA,NA,NA,3362.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-07-16,1.2,1984-07-17,1984-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-07-31,15.62,8.43,91.31,76.88,0.22,3.03,0.06,7.35,NA,NA,NA,NA,NA,NA,0.4,NA,23.89,NA,NA,NA,NA,3400.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-07-31,0.7,1984-08-01,1984-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-08-16,16.83,8.25,92.77,77.03,0.23,3.85,0.52,7.34,NA,589.37,NA,NA,NA,NA,0,NA,29.82,NA,NA,7.51,NA,3319.41,NA,NA,NA,2.78,3.12,9.48,2.79,1.66,0.61,NA,NA,1984-08-16,1.8,1984-08-17,1984-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-09-05,15.2,8.24,89.06,76.26,0.23,2.94,1.15,7.32,NA,NA,NA,NA,NA,NA,0.55,NA,46.11,NA,NA,NA,NA,3360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-09-05,1.3,1984-09-06,1984-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-09-25,13.77,7.85,82.47,76.27,NA,2.4,0.9,7.25,NA,NA,NA,NA,NA,NA,1.43,NA,54.44,NA,NA,NA,NA,3317.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-09-25,2.4,1984-09-26,1984-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-10-17,11.87,7.47,74.82,76.04,0.19,2,1,7.12,NA,NA,NA,NA,NA,NA,0.76,NA,29.48,NA,NA,NA,NA,3328.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-10-17,2.6,1984-10-18,1984-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-10-17,11.87,7.47,74.82,76.04,0.19,2,1,7.12,NA,NA,NA,NA,NA,NA,0.76,NA,29.48,NA,NA,NA,NA,3328.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-10-17,2.1,1984-10-18,1984-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-11-07,6.7,9.15,79.47,76,0.15,1.77,0.35,7.22,NA,589.68,NA,NA,NA,NA,3.71,NA,50.91,NA,NA,9.59,NA,3383.03,NA,NA,NA,2.82,3.24,8.63,2.62,1.68,0.68,NA,NA,1984-11-07,2,1984-11-08,1984-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-11-26,3.36,10.96,87.31,76,0.16,2.55,0.07,7.35,NA,NA,NA,NA,NA,NA,5.3,NA,69.25,NA,NA,NA,NA,3438.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-11-26,3.3,1984-11-27,1984-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-01-11,2.43,10.76,83.35,80.81,0.24,1.25,0.11,7.08,NA,NA,NA,NA,NA,NA,41.07,NA,109.19,NA,NA,NA,NA,3876.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-11,2.8,1985-01-12,1985-01-10,1985,11,8.8,28.7,3,25.7,NA,NA,NA,NA,NA,NA,NA,NA
1985-02-27,2.56,9.66,74.94,81.44,0.28,0.57,0.01,6.98,NA,644.42,NA,NA,NA,NA,81.01,NA,395.04,NA,NA,9.93,NA,4053.39,NA,NA,NA,2.89,3.46,9.55,2.8,1.71,0.72,NA,NA,1985-02-27,0.9,1985-02-28,1985-02-26,1985,58,11.7,48,4,44,NA,NA,NA,NA,NA,NA,NA,NA
1985-03-26,2.83,10.05,78.55,83.2,0.28,0.77,0.1,7.03,NA,NA,NA,NA,NA,NA,89.34,NA,25.2,NA,NA,NA,NA,3824.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-03-26,0.1,1985-03-27,1985-03-25,1985,85,0.5,56,12,44,NA,NA,NA,NA,NA,NA,NA,NA
1985-04-11,NA,NA,NA,NA,NA,1.59,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-04-11,1.4,1985-04-12,1985-04-10,1985,101,0,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-04-29,6.01,11.21,95.87,73.76,0.19,4.45,0.04,7.17,NA,562.41,NA,NA,NA,NA,64.18,NA,22.06,NA,NA,5.69,NA,3825.79,NA,NA,NA,2.81,3.23,8.83,2.68,1.65,0.62,NA,NA,1985-04-29,4.3,1985-04-30,1985-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-04-29,6.01,11.21,95.87,73.76,0.19,4.45,0.04,7.17,NA,562.41,NA,NA,NA,NA,64.18,NA,22.06,NA,NA,5.69,NA,3825.79,NA,NA,NA,2.81,3.23,8.83,2.68,1.65,0.62,NA,NA,1985-04-29,4.7,1985-04-30,1985-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-05-15,9.75,9.96,93.8,74.57,0.14,4.27,0.24,7.24,NA,NA,NA,NA,NA,NA,36.73,NA,30.13,NA,NA,NA,NA,3530.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-05-15,5.4,1985-05-16,1985-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-05-29,10.73,9.81,94.42,73.86,0.16,2.63,0.28,7.21,NA,NA,NA,NA,NA,NA,33.38,NA,29.68,NA,NA,NA,NA,3454.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-05-29,2.5,1985-05-30,1985-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-06-10,11.76,9.46,93.11,75.09,0.22,3.03,0.09,7.28,NA,NA,NA,NA,NA,NA,22.88,NA,29.49,NA,NA,NA,NA,3474.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-06-10,1.4,1985-06-11,1985-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-06-25,12.39,9.07,91.01,75.23,0.22,3.03,0.21,7.14,NA,NA,NA,NA,NA,NA,23.76,NA,38.89,NA,NA,NA,NA,3343.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-06-25,1.4,1985-06-26,1985-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
