"sampledate","taxa_name","genus","division","biovolume_conc"
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Chrysophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Pyrrhophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Haptophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Chlorophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Cryptophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Cyanophyta",43.6164
2010-02-22,"Synechococcus ","Synechococcus","Euglenophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Miscellaneous",0
2010-02-22,"Synechococcus ","Synechococcus","NA",0
2010-02-22,"Synechococcus ","Synechococcus","Total",0
2010-02-22,"Synechococcus ","Synechococcus","Bacillariophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Chrysophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Pyrrhophyta",0
2010-02-22,"Synechococcus ","Synechococcus","Haptophyta",0
2010-02-22,"Euglena ","Euglena","Chlorophyta",0
2010-02-22,"Euglena ","Euglena","Cryptophyta",0
2010-02-22,"Euglena ","Euglena","Cyanophyta",0
2010-02-22,"Euglena ","Euglena","Euglenophyta",91473.6948
2010-02-22,"Euglena ","Euglena","Miscellaneous",0
2010-02-22,"Euglena ","Euglena","NA",0
2010-02-22,"Euglena ","Euglena","Total",0
2010-02-22,"Euglena ","Euglena","Bacillariophyta",0
2010-02-22,"Euglena ","Euglena","Chrysophyta",0
2010-02-22,"Euglena ","Euglena","Pyrrhophyta",0
2010-02-22,"Euglena ","Euglena","Haptophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Chlorophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Cryptophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Cyanophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Euglenophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Miscellaneous",1189.5763
2010-02-22,"Miscellaneous","Miscellaneous","NA",0
2010-02-22,"Miscellaneous","Miscellaneous","Total",0
2010-02-22,"Miscellaneous","Miscellaneous","Bacillariophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Chrysophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Pyrrhophyta",0
2010-02-22,"Miscellaneous","Miscellaneous","Haptophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Chlorophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Cryptophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Cyanophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Euglenophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Miscellaneous",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","NA",1345.3878
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Total",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Bacillariophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Chrysophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Pyrrhophyta",0
2010-02-22,"Rhodospirillum rubrum","Rhodospirillum","Haptophyta",0
2010-02-22,"Total","Total","Chlorophyta",0
2010-02-22,"Total","Total","Cryptophyta",0
2010-02-22,"Total","Total","Cyanophyta",0
2010-02-22,"Total","Total","Euglenophyta",0
2010-02-22,"Total","Total","Miscellaneous",0
2010-02-22,"Total","Total","NA",0
2010-02-22,"Total","Total","Total",121008.08
2010-02-22,"Total","Total","Bacillariophyta",0
2010-02-22,"Total","Total","Chrysophyta",0
2010-02-22,"Total","Total","Pyrrhophyta",0
2010-02-22,"Total","Total","Haptophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Chlorophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Cryptophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Cyanophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Euglenophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Miscellaneous",0
2010-04-13,"Asterionella formosa","Asterionella","NA",0
2010-04-13,"Asterionella formosa","Asterionella","Total",0
2010-04-13,"Asterionella formosa","Asterionella","Bacillariophyta",1281.7498
2010-04-13,"Asterionella formosa","Asterionella","Chrysophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Pyrrhophyta",0
2010-04-13,"Asterionella formosa","Asterionella","Haptophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Chlorophyta",184764.1653
2010-04-13,"Chlamydomonas ","Chlamydomonas","Cryptophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Cyanophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Euglenophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Miscellaneous",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","NA",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Total",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Bacillariophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Chrysophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Pyrrhophyta",0
2010-04-13,"Chlamydomonas ","Chlamydomonas","Haptophyta",0
2010-04-13,"Chlorococcaceae","NA","Chlorophyta",25980.3572
2010-04-13,"Chlorococcaceae","NA","Cryptophyta",0
2010-04-13,"Chlorococcaceae","NA","Cyanophyta",0
2010-04-13,"Chlorococcaceae","NA","Euglenophyta",0
2010-04-13,"Chlorococcaceae","NA","Miscellaneous",0
2010-04-13,"Chlorococcaceae","NA","NA",0
2010-04-13,"Chlorococcaceae","NA","Total",0
2010-04-13,"Chlorococcaceae","NA","Bacillariophyta",0
2010-04-13,"Chlorococcaceae","NA","Chrysophyta",0
2010-04-13,"Chlorococcaceae","NA","Pyrrhophyta",0
2010-04-13,"Chlorococcaceae","NA","Haptophyta",0
2010-04-13,"Chlorophyta","NA","Chlorophyta",5995.466
2010-04-13,"Chlorophyta","NA","Cryptophyta",0
2010-04-13,"Chlorophyta","NA","Cyanophyta",0
2010-04-13,"Chlorophyta","NA","Euglenophyta",0
2010-04-13,"Chlorophyta","NA","Miscellaneous",0
2010-04-13,"Chlorophyta","NA","NA",0
2010-04-13,"Chlorophyta","NA","Total",0
2010-04-13,"Chlorophyta","NA","Bacillariophyta",0
2010-04-13,"Chlorophyta","NA","Chrysophyta",0
2010-04-13,"Chlorophyta","NA","Pyrrhophyta",0
2010-04-13,"Chlorophyta","NA","Haptophyta",0
2010-04-13,"Chrysophyceae","NA","Chlorophyta",0
2010-04-13,"Chrysophyceae","NA","Cryptophyta",0
2010-04-13,"Chrysophyceae","NA","Cyanophyta",0
2010-04-13,"Chrysophyceae","NA","Euglenophyta",0
2010-04-13,"Chrysophyceae","NA","Miscellaneous",0
2010-04-13,"Chrysophyceae","NA","NA",0
2010-04-13,"Chrysophyceae","NA","Total",0
2010-04-13,"Chrysophyceae","NA","Bacillariophyta",0
2010-04-13,"Chrysophyceae","NA","Chrysophyta",9507.5239
2010-04-13,"Chrysophyceae","NA","Pyrrhophyta",0
2010-04-13,"Chrysophyceae","NA","Haptophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Chlorophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Cryptophyta",4567.9709
2010-04-13,"Rhodomonas minuta","Rhodomonas","Cyanophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Euglenophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Miscellaneous",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","NA",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Total",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Bacillariophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Chrysophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Pyrrhophyta",0
2010-04-13,"Rhodomonas minuta","Rhodomonas","Haptophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Chlorophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Cryptophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Cyanophyta",35.6874
2010-04-13,"Synechococcus ","Synechococcus","Euglenophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Miscellaneous",0
2010-04-13,"Synechococcus ","Synechococcus","NA",0
2010-04-13,"Synechococcus ","Synechococcus","Total",0
2010-04-13,"Synechococcus ","Synechococcus","Bacillariophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Chrysophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Pyrrhophyta",0
2010-04-13,"Synechococcus ","Synechococcus","Haptophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Chlorophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Cryptophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Cyanophyta",80.2943
2010-04-13,"Synechocystis ","Synechocystis","Euglenophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Miscellaneous",0
2010-04-13,"Synechocystis ","Synechocystis","NA",0
2010-04-13,"Synechocystis ","Synechocystis","Total",0
2010-04-13,"Synechocystis ","Synechocystis","Bacillariophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Chrysophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Pyrrhophyta",0
2010-04-13,"Synechocystis ","Synechocystis","Haptophyta",0
2010-04-13,"Euglena ","Euglena","Chlorophyta",0
2010-04-13,"Euglena ","Euglena","Cryptophyta",0
2010-04-13,"Euglena ","Euglena","Cyanophyta",0
2010-04-13,"Euglena ","Euglena","Euglenophyta",103122.0071
2010-04-13,"Euglena ","Euglena","Miscellaneous",0
2010-04-13,"Euglena ","Euglena","NA",0
2010-04-13,"Euglena ","Euglena","Total",0
2010-04-13,"Euglena ","Euglena","Bacillariophyta",0
2010-04-13,"Euglena ","Euglena","Chrysophyta",0
2010-04-13,"Euglena ","Euglena","Pyrrhophyta",0
2010-04-13,"Euglena ","Euglena","Haptophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Chlorophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Cryptophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Cyanophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Euglenophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Miscellaneous",4567.9754
2010-04-13,"Miscellaneous","Miscellaneous","NA",0
2010-04-13,"Miscellaneous","Miscellaneous","Total",0
2010-04-13,"Miscellaneous","Miscellaneous","Bacillariophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Chrysophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Pyrrhophyta",0
2010-04-13,"Miscellaneous","Miscellaneous","Haptophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Chlorophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Cryptophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Cyanophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Euglenophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Miscellaneous",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","NA",52961.9967
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Total",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Bacillariophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Chrysophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Pyrrhophyta",0
2010-04-13,"Rhodospirillum rubrum","Rhodospirillum","Haptophyta",0
2010-04-13,"Peridinium ","Peridinium","Chlorophyta",0
2010-04-13,"Peridinium ","Peridinium","Cryptophyta",0
2010-04-13,"Peridinium ","Peridinium","Cyanophyta",0
2010-04-13,"Peridinium ","Peridinium","Euglenophyta",0
2010-04-13,"Peridinium ","Peridinium","Miscellaneous",0
2010-04-13,"Peridinium ","Peridinium","NA",0
2010-04-13,"Peridinium ","Peridinium","Total",0
2010-04-13,"Peridinium ","Peridinium","Bacillariophyta",0
2010-04-13,"Peridinium ","Peridinium","Chrysophyta",0
2010-04-13,"Peridinium ","Peridinium","Pyrrhophyta",13652.8602
2010-04-13,"Peridinium ","Peridinium","Haptophyta",0
2010-04-13,"Total","Total","Chlorophyta",0
2010-04-13,"Total","Total","Cryptophyta",0
2010-04-13,"Total","Total","Cyanophyta",0
2010-04-13,"Total","Total","Euglenophyta",0
2010-04-13,"Total","Total","Miscellaneous",0
2010-04-13,"Total","Total","NA",0
2010-04-13,"Total","Total","Total",406518.0542
2010-04-13,"Total","Total","Bacillariophyta",0
2010-04-13,"Total","Total","Chrysophyta",0
2010-04-13,"Total","Total","Pyrrhophyta",0
2010-04-13,"Total","Total","Haptophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Chlorophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Cryptophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Cyanophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Euglenophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Miscellaneous",0
2010-06-10,"Asterionella formosa","Asterionella","NA",0
2010-06-10,"Asterionella formosa","Asterionella","Total",0
2010-06-10,"Asterionella formosa","Asterionella","Bacillariophyta",178118.8246
2010-06-10,"Asterionella formosa","Asterionella","Chrysophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Pyrrhophyta",0
2010-06-10,"Asterionella formosa","Asterionella","Haptophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Chlorophyta",46426.7807
2010-06-10,"Chlamydomonas ","Chlamydomonas","Cryptophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Cyanophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Euglenophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Miscellaneous",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","NA",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Total",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Bacillariophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Chrysophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Pyrrhophyta",0
2010-06-10,"Chlamydomonas ","Chlamydomonas","Haptophyta",0
2010-06-10,"Chlorococcaceae","NA","Chlorophyta",126.8885
2010-06-10,"Chlorococcaceae","NA","Cryptophyta",0
2010-06-10,"Chlorococcaceae","NA","Cyanophyta",0
2010-06-10,"Chlorococcaceae","NA","Euglenophyta",0
2010-06-10,"Chlorococcaceae","NA","Miscellaneous",0
2010-06-10,"Chlorococcaceae","NA","NA",0
2010-06-10,"Chlorococcaceae","NA","Total",0
2010-06-10,"Chlorococcaceae","NA","Bacillariophyta",0
2010-06-10,"Chlorococcaceae","NA","Chrysophyta",0
2010-06-10,"Chlorococcaceae","NA","Pyrrhophyta",0
2010-06-10,"Chlorococcaceae","NA","Haptophyta",0
2010-06-10,"Chlorophyta","NA","Chlorophyta",17700.9126
2010-06-10,"Chlorophyta","NA","Cryptophyta",0
2010-06-10,"Chlorophyta","NA","Cyanophyta",0
2010-06-10,"Chlorophyta","NA","Euglenophyta",0
2010-06-10,"Chlorophyta","NA","Miscellaneous",0
2010-06-10,"Chlorophyta","NA","NA",0
2010-06-10,"Chlorophyta","NA","Total",0
2010-06-10,"Chlorophyta","NA","Bacillariophyta",0
2010-06-10,"Chlorophyta","NA","Chrysophyta",0
2010-06-10,"Chlorophyta","NA","Pyrrhophyta",0
2010-06-10,"Chlorophyta","NA","Haptophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Chlorophyta",7687.5653
2010-06-10,"Coelastrum ","Coelastrum","Cryptophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Cyanophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Euglenophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Miscellaneous",0
2010-06-10,"Coelastrum ","Coelastrum","NA",0
2010-06-10,"Coelastrum ","Coelastrum","Total",0
2010-06-10,"Coelastrum ","Coelastrum","Bacillariophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Chrysophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Pyrrhophyta",0
2010-06-10,"Coelastrum ","Coelastrum","Haptophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Chlorophyta",356.8738
2010-06-10,"Monomastix minuta","Monomastix","Cryptophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Cyanophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Euglenophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Miscellaneous",0
2010-06-10,"Monomastix minuta","Monomastix","NA",0
2010-06-10,"Monomastix minuta","Monomastix","Total",0
2010-06-10,"Monomastix minuta","Monomastix","Bacillariophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Chrysophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Pyrrhophyta",0
2010-06-10,"Monomastix minuta","Monomastix","Haptophyta",0
2010-06-10,"Oocystis parva","Oocystis","Chlorophyta",5709.9685
2010-06-10,"Oocystis parva","Oocystis","Cryptophyta",0
2010-06-10,"Oocystis parva","Oocystis","Cyanophyta",0
2010-06-10,"Oocystis parva","Oocystis","Euglenophyta",0
2010-06-10,"Oocystis parva","Oocystis","Miscellaneous",0
2010-06-10,"Oocystis parva","Oocystis","NA",0
2010-06-10,"Oocystis parva","Oocystis","Total",0
2010-06-10,"Oocystis parva","Oocystis","Bacillariophyta",0
2010-06-10,"Oocystis parva","Oocystis","Chrysophyta",0
2010-06-10,"Oocystis parva","Oocystis","Pyrrhophyta",0
2010-06-10,"Oocystis parva","Oocystis","Haptophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Chlorophyta",2017.5228
2010-06-10,"Schroederia judayi","Schroederia","Cryptophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Cyanophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Euglenophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Miscellaneous",0
2010-06-10,"Schroederia judayi","Schroederia","NA",0
2010-06-10,"Schroederia judayi","Schroederia","Total",0
2010-06-10,"Schroederia judayi","Schroederia","Bacillariophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Chrysophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Pyrrhophyta",0
2010-06-10,"Schroederia judayi","Schroederia","Haptophyta",0
2010-06-10,"Chrysophyceae","NA","Chlorophyta",0
2010-06-10,"Chrysophyceae","NA","Cryptophyta",0
2010-06-10,"Chrysophyceae","NA","Cyanophyta",0
2010-06-10,"Chrysophyceae","NA","Euglenophyta",0
2010-06-10,"Chrysophyceae","NA","Miscellaneous",0
2010-06-10,"Chrysophyceae","NA","NA",0
2010-06-10,"Chrysophyceae","NA","Total",0
2010-06-10,"Chrysophyceae","NA","Bacillariophyta",0
2010-06-10,"Chrysophyceae","NA","Chrysophyta",60205.5986
2010-06-10,"Chrysophyceae","NA","Pyrrhophyta",0
2010-06-10,"Chrysophyceae","NA","Haptophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Chlorophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Cryptophyta",544414.9075
2010-06-10,"Cryptomonas erosa","Cryptomonas","Cyanophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Euglenophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Miscellaneous",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","NA",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Total",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Bacillariophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Chrysophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Pyrrhophyta",0
2010-06-10,"Cryptomonas erosa","Cryptomonas","Haptophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Chlorophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Cryptophyta",1015.1046
2010-06-10,"Rhodomonas minuta","Rhodomonas","Cyanophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Euglenophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Miscellaneous",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","NA",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Total",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Bacillariophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Chrysophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Pyrrhophyta",0
2010-06-10,"Rhodomonas minuta","Rhodomonas","Haptophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Chlorophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Cryptophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyta",253.7769
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Euglenophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Miscellaneous",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","NA",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Total",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Bacillariophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Chrysophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Pyrrhophyta",0
2010-06-10,"Aphanocapsa delicatissima","Aphanocapsa","Haptophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Chlorophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Cryptophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Cyanophyta",285.499
2010-06-10,"Synechococcus ","Synechococcus","Euglenophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Miscellaneous",0
2010-06-10,"Synechococcus ","Synechococcus","NA",0
2010-06-10,"Synechococcus ","Synechococcus","Total",0
2010-06-10,"Synechococcus ","Synechococcus","Bacillariophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Chrysophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Pyrrhophyta",0
2010-06-10,"Synechococcus ","Synechococcus","Haptophyta",0
2010-06-10,"Euglena ","Euglena","Chlorophyta",0
2010-06-10,"Euglena ","Euglena","Cryptophyta",0
2010-06-10,"Euglena ","Euglena","Cyanophyta",0
2010-06-10,"Euglena ","Euglena","Euglenophyta",126451.9759
2010-06-10,"Euglena ","Euglena","Miscellaneous",0
2010-06-10,"Euglena ","Euglena","NA",0
2010-06-10,"Euglena ","Euglena","Total",0
2010-06-10,"Euglena ","Euglena","Bacillariophyta",0
2010-06-10,"Euglena ","Euglena","Chrysophyta",0
2010-06-10,"Euglena ","Euglena","Pyrrhophyta",0
2010-06-10,"Euglena ","Euglena","Haptophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Chlorophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Cryptophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Cyanophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Euglenophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Miscellaneous",31989.7774
2010-06-10,"Miscellaneous","Miscellaneous","NA",0
2010-06-10,"Miscellaneous","Miscellaneous","Total",0
2010-06-10,"Miscellaneous","Miscellaneous","Bacillariophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Chrysophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Pyrrhophyta",0
2010-06-10,"Miscellaneous","Miscellaneous","Haptophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Chlorophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Cryptophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Cyanophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Euglenophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Miscellaneous",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","NA",6959.0389
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Total",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Bacillariophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Chrysophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Pyrrhophyta",0
2010-06-10,"Rhodospirillum rubrum","Rhodospirillum","Haptophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Chlorophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Cryptophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Cyanophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Euglenophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Miscellaneous",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","NA",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Total",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Bacillariophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Chrysophyta",0
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Pyrrhophyta",5075.5262
2010-06-10,"Gymnodinium sp. 2","Gymnodinium","Haptophyta",0
2010-06-10,"Gymnodinium sp. 3","Gymnodinium","Chlorophyta",0
