lakeid,year4,sampledate,extcoef
SP,2004,2004-09-13,0.322
SP,2004,2004-10-11,0.293
SP,2004,2004-11-10,0.524
SP,2005,2005-02-25,0.509
SP,2005,2005-04-20,0.352
SP,2005,2005-05-19,0.336
SP,2005,2005-06-13,0.273
SP,2005,2005-07-12,0.289
SP,2005,2005-08-09,0.275
SP,2005,2005-09-08,0.266
SP,2005,2005-10-03,
SP,2005,2005-11-15,0.524
SP,2006,2006-02-13,
SP,2006,2006-04-20,0.434
SP,2006,2006-05-18,0.327
SP,2006,2006-06-15,0.329
SP,2006,2006-07-12,0.292
SP,2006,2006-08-09,0.311
SP,2006,2006-09-08,0.181
SP,2006,2006-10-04,
SP,2006,2006-10-30,0.449
SP,2007,2007-02-20,0.315
SP,2007,2007-04-24,0.416
SP,2007,2007-05-21,0.363
SP,2007,2007-06-19,0.339
SP,2007,2007-07-16,0.336
SP,2007,2007-07-30,0.320
SP,2007,2007-08-27,0.310
SP,2007,2007-09-24,0.343
SP,2007,2007-10-23,0.312
SP,2007,2007-11-12,0.411
SP,2008,2008-03-03,0.236
SP,2008,2008-05-13,0.381
SP,2008,2008-06-02,0.350
SP,2008,2008-07-01,
SP,2008,2008-07-29,0.320
SP,2008,2008-08-25,0.314
SP,2008,2008-09-23,0.334
SP,2008,2008-10-20,0.306
SP,2008,2008-11-24,
SP,2009,2009-02-24,0.278
SP,2009,2009-04-29,0.373
SP,2009,2009-05-27,0.304
SP,2009,2009-06-25,0.282
SP,2009,2009-07-22,0.343
SP,2009,2009-08-19,0.300
SP,2009,2009-09-17,0.339
SP,2009,2009-10-14,0.310
SP,2009,2009-11-11,0.411
SP,2010,2010-02-11,0.275
SP,2010,2010-04-27,0.347
SP,2010,2010-05-24,0.367
SP,2010,2010-06-21,0.336
SP,2010,2010-07-20,0.310
SP,2010,2010-08-17,0.319
SP,2010,2010-09-14,0.296
SP,2010,2010-10-12,0.354
SP,2010,2010-11-11,0.394
SP,2011,2011-02-14,0.216
SP,2011,2011-05-03,0.409
SP,2011,2011-06-03,0.375
SP,2011,2011-06-28,
SP,2011,2011-07-11,0.276
SP,2011,2011-07-26,0.343
SP,2011,2011-08-08,0.323
SP,2011,2011-08-22,0.282
SP,2011,2011-09-06,0.282
SP,2011,2011-10-04,0.307
SP,2011,2011-10-31,0.360
SP,2012,2012-01-12,0.372
SP,2012,2012-04-02,0.377
SP,2012,2012-05-02,0.312
SP,2012,2012-05-31,0.379
SP,2012,2012-06-13,
SP,2012,2012-06-27,0.355
SP,2012,2012-07-25,0.270
SP,2012,2012-08-23,0.288
SP,2012,2012-09-17,0.241
SP,2012,2012-10-19,0.433
SP,2012,2012-11-12,
SP,2013,2013-02-25,0.253
SP,2013,2013-05-16,0.414
SP,2013,2013-05-30,
SP,2013,2013-06-25,0.384
SP,2013,2013-07-08,0.371
SP,2013,2013-07-25,
SP,2013,2013-08-06,
SP,2013,2013-08-22,
SP,2013,2013-09-12,
SP,2013,2013-10-02,0.349
SP,2013,2013-11-13,0.505
SP,2014,2014-02-17,0.263
SP,2014,2014-05-19,0.462
SP,2014,2014-06-03,0.437
SP,2014,2014-06-17,0.386
SP,2014,2014-07-14,0.401
SP,2014,2014-08-12,0.359
SP,2014,2014-09-08,0.385
SP,2014,2014-10-08,0.370
SP,2014,2014-11-10,0.479
SP,2015,2015-02-24,0.208
SP,2015,2015-04-23,0.483
SP,2015,2015-05-18,0.363
SP,2015,2015-06-17,0.286
SP,2015,2015-07-15,
SP,2015,2015-08-11,0.316
SP,2015,2015-09-08,0.310
SP,2015,2015-10-07,0.440
SP,2015,2015-11-17,0.441
SP,2016,2016-03-07,0.319
SP,2016,2016-05-10,0.440
SP,2016,2016-06-06,0.369
SP,2016,2016-07-06,0.426
SP,2016,2016-08-02,0.335
SP,2016,2016-08-30,0.335
SP,2016,2016-09-28,0.296
SP,2016,2016-10-24,0.368
SP,2017,2017-01-17,0.331
SP,2017,2017-03-27,0.361
SP,2017,2017-05-02,0.393
SP,2017,2017-05-31,0.418
SP,2017,2017-06-28,
SP,2017,2017-07-25,0.450
SP,2017,2017-08-21,0.326
SP,2017,2017-09-19,0.415
SP,2017,2017-10-17,0.386
SP,2018,2018-01-15,0.467
SP,2018,2018-03-26,0.301
SP,2018,2018-05-30,0.448
SP,2018,2018-06-27,0.432
SP,2018,2018-07-25,0.431
SP,2018,2018-08-22,0.395
SP,2018,2018-09-17,0.442
SP,2018,2018-10-15,0.354
SP,2019,2019-01-22,
SP,2019,2019-03-28,
SP,2019,2019-05-20,
SP,2019,2019-06-18,
SP,2019,2019-07-17,
SP,2019,2019-08-13,
SP,2019,2019-09-09,
SP,2019,2019-10-07,
SP,2019,2019-11-15,
