"sampledate","division","biovolume_conc"
2015-04-21,"Pyrrhophyta",162558.2762
2015-04-21,"Haptophyta",0
2015-06-17,"Chlorophyta",1130759.264
2015-06-17,"Cryptophyta",243926.1013
2015-06-17,"Cyanophyta",842.5495
2015-06-17,"Euglenophyta",0
2015-06-17,"Miscellaneous",0
2015-06-17,"NA",3298.1541
2015-06-17,"Total",1433811.75
2015-06-17,"Bacillariophyta",5600.2071
2015-06-17,"Chrysophyta",48958.5805
2015-06-17,"Pyrrhophyta",0
2015-06-17,"Haptophyta",426.8933
2015-07-15,"Chlorophyta",1501283.9314
2015-07-15,"Cryptophyta",128262.9695
2015-07-15,"Cyanophyta",11751.3216
2015-07-15,"Euglenophyta",0
2015-07-15,"Miscellaneous",0
2015-07-15,"NA",4489.6954
2015-07-15,"Total",1714066.04
2015-07-15,"Bacillariophyta",2506.1355
2015-07-15,"Chrysophyta",45570.8471
2015-07-15,"Pyrrhophyta",18920.4594
2015-07-15,"Haptophyta",1280.68
2015-08-11,"Chlorophyta",924919.024
2015-08-11,"Cryptophyta",80352.8256
2015-08-11,"Cyanophyta",36934.7951
2015-08-11,"Euglenophyta",0
2015-08-11,"Miscellaneous",58269.1037
2015-08-11,"NA",2993.3674
2015-08-11,"Total",1156824.059
2015-08-11,"Bacillariophyta",0
2015-08-11,"Chrysophyta",49837.5095
2015-08-11,"Pyrrhophyta",1596.4132
2015-08-11,"Haptophyta",1921.0201
2015-11-17,"Chlorophyta",65536.0328
2015-11-17,"Cryptophyta",0
2015-11-17,"Cyanophyta",470.0562
2015-11-17,"Euglenophyta",0
2015-11-17,"Miscellaneous",0
2015-11-17,"NA",6872.3546
2015-11-17,"Total",265331.473
2015-11-17,"Bacillariophyta",16780.761
2015-11-17,"Chrysophyta",171396.0008
2015-11-17,"Pyrrhophyta",4276.2676
2015-11-17,"Haptophyta",0
