"sampledate","genus","biovolume_conc"
2010-08-03,"Monomastix minuta",356.8738
2010-08-03,"Oocystis parva",1586.1027
2010-08-03,"Schroederia judayi",1268.8846
2010-08-03,"Dinobryon cylindricum",14100.4466
2010-08-03,"Lindavia intermedia",0
2010-08-03,"Sphaerocystis schroeteri",6851.9601
2010-08-03,"Chrysochromulina parva",1832.2672
2010-08-03,"Kephyrion ",285.499
2010-08-03,"Monoraphidium griffithii",1141.9931
2010-08-03,"Aphanizomenon ",0
2010-08-03,"Aphanothece saxicola",0
2010-08-03,"Kephyrion planctonicum",0
2010-08-03,"Tabellaria flocculosa",0
2010-08-03,"Oedogonium ",0
2010-08-03,"Phormidium ",0
2010-08-03,"Tabellaria binalis",0
2010-08-03,"Actinella punctata",0
2010-08-03,"Aphanothece nidulans",0
2010-08-03,"Gloeococcus minor",0
2010-08-03,"Mallomonas ",0
2010-08-03,"Planktothrix agardhii",0
2010-08-03,"Euglena acus",0
2010-08-03,"Scenedesmus bijuga",0
2010-08-03,"Dinobryon cyst",0
2010-08-03,"Mougeotia ",0
2010-08-03,"Stichococcus bacillaris",0
2010-08-03,"Gonyostomum semen",0
2010-08-03,"Mucidosphaerium pulchellum",0
2010-08-03,"Spinocosmarium ",0
2010-08-03,"Synechococcus elongatus",0
2010-08-03,"Cyclotella sp. 1",0
2010-08-03,"Stephanodiscus parvus",0
2010-08-03,"Botryococcus braunii",0
2010-08-03,"Cyclotella ocellata",0
2010-08-03,"Peridinium inconspicuum",0
2010-08-03,"Uroglena ",0
2010-08-03,"Gymnodinium sp. 1",0
2010-08-03,"Peridinium umbonatum",0
2010-08-03,"Lepocinclis ",0
2010-08-03,"Dinobryon ",0
2010-08-03,"Dinobryon sociale",0
2010-08-03,"Monoraphidium arcuatum",0
2010-08-03,"Trachelomonas ",0
2010-08-03,"Cosmarium ",0
2010-08-03,"Dinobryon crenulatum",0
2010-08-03,"Fragilaria filiformis",0
2010-08-03,"Mallomonas akrokomas",0
2010-08-03,"Monomastix astigmata",0
2010-08-03,"Oocystis pusilla",0
2010-08-03,"Peridinium cinctum",0
2010-08-03,"Staurastrum ",0
2010-08-03,"Staurastrum hexacerum",0
2010-08-03,"Stichogloea olivacea",0
2010-08-03,"Teilingia granulata",0
2010-08-03,"Pseudanabaena limnetica",0
2010-08-03,"Microspora ",0
2010-08-03,"Aphanizomenon flos-aquae",0
2010-08-03,"Eunotia ",0
2010-08-03,"Colonial ",0
2010-08-03,"Quadrigula lacustris",0
2010-08-03,"Aphanothece ",0
2010-08-03,"Chrysococcus minutus",0
2010-08-03,"Stephanodiscus medius",0
2010-08-03,"Glenodinium quadridens",0
2010-08-03,"Chrysocapsaceae",0
2010-11-15,"Aphanocapsa delicatissima",0
2010-11-15,"Chlamydomonas ",178939.7615
2010-11-15,"Cryptomonas erosa",0
2010-11-15,"Euglena ",0
2010-11-15,"Miscellaneous",0
2010-11-15,"Rhodospirillum rubrum",6958.6844
2010-11-15,"Synechococcus ",0
2010-11-15,"Total",303620.3351
2010-11-15,"Asterionella formosa",0
2010-11-15,"Chlorococcaceae",114.1996
2010-11-15,"Chlorophyta",2357.548
2010-11-15,"Chrysophyceae",79916.4867
2010-11-15,"Peridinium ",0
2010-11-15,"Rhodomonas minuta",0
2010-11-15,"Synechocystis ",96.3532
2010-11-15,"Coelastrum ",0
2010-11-15,"Gymnodinium sp. 2",0
2010-11-15,"Gymnodinium sp. 3",0
2010-11-15,"Monomastix minuta",0
2010-11-15,"Oocystis parva",0
2010-11-15,"Schroederia judayi",0
2010-11-15,"Dinobryon cylindricum",0
2010-11-15,"Lindavia intermedia",0
2010-11-15,"Sphaerocystis schroeteri",0
2010-11-15,"Chrysochromulina parva",29682.7278
2010-11-15,"Kephyrion ",0
2010-11-15,"Monoraphidium griffithii",0
2010-11-15,"Aphanizomenon ",1213.3152
2010-11-15,"Aphanothece saxicola",456.7984
2010-11-15,"Kephyrion planctonicum",513.8983
2010-11-15,"Tabellaria flocculosa",3370.562
2010-11-15,"Oedogonium ",0
2010-11-15,"Phormidium ",0
2010-11-15,"Tabellaria binalis",0
2010-11-15,"Actinella punctata",0
2010-11-15,"Aphanothece nidulans",0
2010-11-15,"Gloeococcus minor",0
2010-11-15,"Mallomonas ",0
2010-11-15,"Planktothrix agardhii",0
2010-11-15,"Euglena acus",0
2010-11-15,"Scenedesmus bijuga",0
2010-11-15,"Dinobryon cyst",0
2010-11-15,"Mougeotia ",0
2010-11-15,"Stichococcus bacillaris",0
2010-11-15,"Gonyostomum semen",0
2010-11-15,"Mucidosphaerium pulchellum",0
2010-11-15,"Spinocosmarium ",0
2010-11-15,"Synechococcus elongatus",0
2010-11-15,"Cyclotella sp. 1",0
2010-11-15,"Stephanodiscus parvus",0
2010-11-15,"Botryococcus braunii",0
2010-11-15,"Cyclotella ocellata",0
2010-11-15,"Peridinium inconspicuum",0
2010-11-15,"Uroglena ",0
2010-11-15,"Gymnodinium sp. 1",0
2010-11-15,"Peridinium umbonatum",0
2010-11-15,"Lepocinclis ",0
2010-11-15,"Dinobryon ",0
2010-11-15,"Dinobryon sociale",0
2010-11-15,"Monoraphidium arcuatum",0
2010-11-15,"Trachelomonas ",0
2010-11-15,"Cosmarium ",0
2010-11-15,"Dinobryon crenulatum",0
2010-11-15,"Fragilaria filiformis",0
2010-11-15,"Mallomonas akrokomas",0
2010-11-15,"Monomastix astigmata",0
2010-11-15,"Oocystis pusilla",0
2010-11-15,"Peridinium cinctum",0
2010-11-15,"Staurastrum ",0
2010-11-15,"Staurastrum hexacerum",0
2010-11-15,"Stichogloea olivacea",0
2010-11-15,"Teilingia granulata",0
2010-11-15,"Pseudanabaena limnetica",0
2010-11-15,"Microspora ",0
2010-11-15,"Aphanizomenon flos-aquae",0
2010-11-15,"Eunotia ",0
2010-11-15,"Colonial ",0
2010-11-15,"Quadrigula lacustris",0
2010-11-15,"Aphanothece ",0
2010-11-15,"Chrysococcus minutus",0
2010-11-15,"Stephanodiscus medius",0
2010-11-15,"Glenodinium quadridens",0
2010-11-15,"Chrysocapsaceae",0
2011-02-15,"Aphanocapsa delicatissima",0
2011-02-15,"Chlamydomonas ",12716.7412
2011-02-15,"Cryptomonas erosa",6851.9608
2011-02-15,"Euglena ",26346.3407
2011-02-15,"Miscellaneous",3172.2054
2011-02-15,"Rhodospirillum rubrum",1320.433
2011-02-15,"Synechococcus ",0
2011-02-15,"Total",156182.3375
2011-02-15,"Asterionella formosa",2044.7314
2011-02-15,"Chlorococcaceae",1110.271
2011-02-15,"Chlorophyta",63.4442
2011-02-15,"Chrysophyceae",27756.2587
2011-02-15,"Peridinium ",0
2011-02-15,"Rhodomonas minuta",0
2011-02-15,"Synechocystis ",0
2011-02-15,"Coelastrum ",0
2011-02-15,"Gymnodinium sp. 2",0
2011-02-15,"Gymnodinium sp. 3",0
2011-02-15,"Monomastix minuta",0
2011-02-15,"Oocystis parva",0
2011-02-15,"Schroederia judayi",523.4126
2011-02-15,"Dinobryon cylindricum",0
2011-02-15,"Lindavia intermedia",0
2011-02-15,"Sphaerocystis schroeteri",0
2011-02-15,"Chrysochromulina parva",229.0334
2011-02-15,"Kephyrion ",0
2011-02-15,"Monoraphidium griffithii",0
2011-02-15,"Aphanizomenon ",0
2011-02-15,"Aphanothece saxicola",0
2011-02-15,"Kephyrion planctonicum",0
2011-02-15,"Tabellaria flocculosa",0
2011-02-15,"Oedogonium ",50738.6366
2011-02-15,"Phormidium ",13615.327
2011-02-15,"Tabellaria binalis",9693.5415
2011-02-15,"Actinella punctata",0
2011-02-15,"Aphanothece nidulans",0
2011-02-15,"Gloeococcus minor",0
2011-02-15,"Mallomonas ",0
2011-02-15,"Planktothrix agardhii",0
2011-02-15,"Euglena acus",0
2011-02-15,"Scenedesmus bijuga",0
2011-02-15,"Dinobryon cyst",0
2011-02-15,"Mougeotia ",0
2011-02-15,"Stichococcus bacillaris",0
2011-02-15,"Gonyostomum semen",0
2011-02-15,"Mucidosphaerium pulchellum",0
2011-02-15,"Spinocosmarium ",0
2011-02-15,"Synechococcus elongatus",0
2011-02-15,"Cyclotella sp. 1",0
2011-02-15,"Stephanodiscus parvus",0
2011-02-15,"Botryococcus braunii",0
2011-02-15,"Cyclotella ocellata",0
2011-02-15,"Peridinium inconspicuum",0
2011-02-15,"Uroglena ",0
2011-02-15,"Gymnodinium sp. 1",0
2011-02-15,"Peridinium umbonatum",0
2011-02-15,"Lepocinclis ",0
2011-02-15,"Dinobryon ",0
2011-02-15,"Dinobryon sociale",0
2011-02-15,"Monoraphidium arcuatum",0
2011-02-15,"Trachelomonas ",0
2011-02-15,"Cosmarium ",0
2011-02-15,"Dinobryon crenulatum",0
2011-02-15,"Fragilaria filiformis",0
2011-02-15,"Mallomonas akrokomas",0
2011-02-15,"Monomastix astigmata",0
2011-02-15,"Oocystis pusilla",0
2011-02-15,"Peridinium cinctum",0
2011-02-15,"Staurastrum ",0
2011-02-15,"Staurastrum hexacerum",0
2011-02-15,"Stichogloea olivacea",0
2011-02-15,"Teilingia granulata",0
2011-02-15,"Pseudanabaena limnetica",0
2011-02-15,"Microspora ",0
2011-02-15,"Aphanizomenon flos-aquae",0
2011-02-15,"Eunotia ",0
2011-02-15,"Colonial ",0
2011-02-15,"Quadrigula lacustris",0
2011-02-15,"Aphanothece ",0
2011-02-15,"Chrysococcus minutus",0
2011-02-15,"Stephanodiscus medius",0
2011-02-15,"Glenodinium quadridens",0
2011-02-15,"Chrysocapsaceae",0
2011-05-03,"Aphanocapsa delicatissima",0
2011-05-03,"Chlamydomonas ",317705.2239
2011-05-03,"Cryptomonas erosa",882.411
2011-05-03,"Euglena ",0
2011-05-03,"Miscellaneous",0
2011-05-03,"Rhodospirillum rubrum",12633.3321
2011-05-03,"Synechococcus ",0
2011-05-03,"Total",548612.1793
2011-05-03,"Asterionella formosa",0
2011-05-03,"Chlorococcaceae",15188.5102
2011-05-03,"Chlorophyta",824.5202
2011-05-03,"Chrysophyceae",18500.8715
2011-05-03,"Peridinium ",0
2011-05-03,"Rhodomonas minuta",0
2011-05-03,"Synechocystis ",0
2011-05-03,"Coelastrum ",0
2011-05-03,"Gymnodinium sp. 2",5781.3417
2011-05-03,"Gymnodinium sp. 3",2797.885
2011-05-03,"Monomastix minuta",0
2011-05-03,"Oocystis parva",0
2011-05-03,"Schroederia judayi",1811.523
2011-05-03,"Dinobryon cylindricum",0
2011-05-03,"Lindavia intermedia",0
2011-05-03,"Sphaerocystis schroeteri",0
2011-05-03,"Chrysochromulina parva",0
2011-05-03,"Kephyrion ",0
2011-05-03,"Monoraphidium griffithii",0
2011-05-03,"Aphanizomenon ",0
2011-05-03,"Aphanothece saxicola",0
2011-05-03,"Kephyrion planctonicum",0
2011-05-03,"Tabellaria flocculosa",2211.9313
2011-05-03,"Oedogonium ",0
2011-05-03,"Phormidium ",3695.0963
2011-05-03,"Tabellaria binalis",0
2011-05-03,"Actinella punctata",422.8073
2011-05-03,"Aphanothece nidulans",1941.388
2011-05-03,"Gloeococcus minor",63837.4305
2011-05-03,"Mallomonas ",98668.2359
2011-05-03,"Planktothrix agardhii",1709.6714
2011-05-03,"Euglena acus",0
2011-05-03,"Scenedesmus bijuga",0
2011-05-03,"Dinobryon cyst",0
2011-05-03,"Mougeotia ",0
2011-05-03,"Stichococcus bacillaris",0
2011-05-03,"Gonyostomum semen",0
2011-05-03,"Mucidosphaerium pulchellum",0
2011-05-03,"Spinocosmarium ",0
2011-05-03,"Synechococcus elongatus",0
2011-05-03,"Cyclotella sp. 1",0
2011-05-03,"Stephanodiscus parvus",0
2011-05-03,"Botryococcus braunii",0
2011-05-03,"Cyclotella ocellata",0
2011-05-03,"Peridinium inconspicuum",0
2011-05-03,"Uroglena ",0
2011-05-03,"Gymnodinium sp. 1",0
2011-05-03,"Peridinium umbonatum",0
2011-05-03,"Lepocinclis ",0
2011-05-03,"Dinobryon ",0
2011-05-03,"Dinobryon sociale",0
2011-05-03,"Monoraphidium arcuatum",0
2011-05-03,"Trachelomonas ",0
2011-05-03,"Cosmarium ",0
2011-05-03,"Dinobryon crenulatum",0
2011-05-03,"Fragilaria filiformis",0
2011-05-03,"Mallomonas akrokomas",0
2011-05-03,"Monomastix astigmata",0
2011-05-03,"Oocystis pusilla",0
2011-05-03,"Peridinium cinctum",0
2011-05-03,"Staurastrum ",0
2011-05-03,"Staurastrum hexacerum",0
2011-05-03,"Stichogloea olivacea",0
2011-05-03,"Teilingia granulata",0
2011-05-03,"Pseudanabaena limnetica",0
2011-05-03,"Microspora ",0
2011-05-03,"Aphanizomenon flos-aquae",0
2011-05-03,"Eunotia ",0
2011-05-03,"Colonial ",0
2011-05-03,"Quadrigula lacustris",0
2011-05-03,"Aphanothece ",0
2011-05-03,"Chrysococcus minutus",0
2011-05-03,"Stephanodiscus medius",0
2011-05-03,"Glenodinium quadridens",0
2011-05-03,"Chrysocapsaceae",0
2011-06-01,"Aphanocapsa delicatissima",570.9981
2011-06-01,"Chlamydomonas ",265010.7344
2011-06-01,"Cryptomonas erosa",1418641.328
2011-06-01,"Euglena ",29806.0252
2011-06-01,"Miscellaneous",0
2011-06-01,"Rhodospirillum rubrum",30477.0215
2011-06-01,"Synechococcus ",0
2011-06-01,"Total",1974378.175
2011-06-01,"Asterionella formosa",27917.3994
