"lakeid","year4","sampledate","taxa_name","relative_total_biovolume","genus","cells_per_nu","nu_per_ml","cells_per_ml","biomass_conc","division","biovolume_conc"
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"NA",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Chlorophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Cryptophyta",25377.6325
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Cyanophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Euglenophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Miscellaneous",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Total",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Chrysophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Cryptomonas erosa",20.971848,"Cryptomonas",1,7.5731,7.5731,0.02537763,"Haptophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"NA",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Chlorophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Cryptophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Cyanophyta",55.5137
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Euglenophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Miscellaneous",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Total",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Chrysophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Aphanocapsa delicatissima",0.045873,"Aphanocapsa",14,7.5731,106.0231,5.55e-05,"Haptophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"NA",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Chlorophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Cryptophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Cyanophyta",43.6164
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Euglenophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Miscellaneous",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Total",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Chrysophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Synechococcus ",0.036047,"Synechococcus",1,45.4385,45.4385,4.36e-05,"Haptophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"NA",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Chlorophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Cryptophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Cyanophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Euglenophyta",91473.6948
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Miscellaneous",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Total",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Chrysophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Euglena ",75.593043,"Euglena",1,454.3848,454.3848,0.09147369,"Haptophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"NA",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Chlorophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Cryptophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Cyanophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Euglenophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Miscellaneous",1189.5763
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Total",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Chrysophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Miscellaneous",0.983058,"Miscellaneous",1,15.1462,15.1462,0.00118958,"Haptophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"NA",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Chlorophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Cryptophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Cyanophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Euglenophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Miscellaneous",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Total",121008.08
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Chrysophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Total",100,"Total",20,1862.9777,1961.4277,0.12100808,"Haptophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"NA",52961.9967
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Chlorophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Cryptophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Cyanophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Euglenophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Miscellaneous",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Total",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Chrysophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Rhodospirillum rubrum",13.028204,"Rhodospirillum",1,48164.7842,48164.7842,0.052962,"Haptophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"NA",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Chlorophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Cryptophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Cyanophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Euglenophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Miscellaneous",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Total",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Bacillariophyta",1281.7498
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Chrysophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Asterionella formosa",0.3153,"Asterionella",4,0.9143,3.6573,0.00128175,"Haptophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"NA",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Chlorophyta",5995.466
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Cryptophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Cyanophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Euglenophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Miscellaneous",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Total",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Chrysophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Chlorophyta",1.474835,"NA",1,136.3154,136.3154,0.00599547,"Haptophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"NA",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Chlorophyta",25980.3572
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Cryptophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Cyanophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Euglenophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Miscellaneous",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Total",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Chrysophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Chlorococcaceae",6.390949,"NA",1,136.3154,136.3154,0.02598036,"Haptophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"NA",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Chlorophyta",184764.1653
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Cryptophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Cyanophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Euglenophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Miscellaneous",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Total",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Chrysophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Chlamydomonas ",45.450422,"Chlamydomonas",1,545.2617,545.2617,0.18476417,"Haptophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"NA",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Chlorophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Cryptophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Cyanophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Euglenophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Miscellaneous",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Total",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Chrysophyta",9507.5239
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Chrysophyceae",2.338769,"",1,681.5771,681.5771,0.00950752,"Haptophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"NA",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Chlorophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Cryptophyta",4567.9709
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Cyanophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Euglenophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Miscellaneous",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Total",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Chrysophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Rhodomonas minuta",1.123682,"Rhodomonas",1,136.3154,136.3154,0.00456797,"Haptophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"NA",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Chlorophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Cryptophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Cyanophyta",35.6874
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Euglenophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Miscellaneous",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Total",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Chrysophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Synechococcus ",0.008779,"Synechococcus",1,45.4385,45.4385,3.57e-05,"Haptophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"NA",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Chlorophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Cryptophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Cyanophyta",80.2943
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Euglenophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Miscellaneous",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Total",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Chrysophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Synechocystis ",0.019751,"Synechocystis",1,45.4385,45.4385,8.03e-05,"Haptophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"NA",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Chlorophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Cryptophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Cyanophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Euglenophyta",103122.0071
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Miscellaneous",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Total",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Chrysophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Pyrrhophyta",NA
"TB",2010,2010-04-13,"Euglena ",25.367141,"Euglena",1,681.5771,681.5771,0.10312201,"Haptophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"NA",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Chlorophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Cryptophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Cyanophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Euglenophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Miscellaneous",4567.9754
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Total",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Bacillariophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Chrysophyta",NA
"TB",2010,2010-04-13,"Miscellaneous",1.123684,"Miscellaneous",1,90.877,90.877,0.00456798,"Pyrrhophyta",NA
