"","sampledate","wtemp","o2","o2sat","cond","frlight","chlor.int","phaeo","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","cl","so4","ca","mg","na","k","fe","mn","year4frac","year","chlor.surf","avsnow","totice","whiteice","blueice","light","CellBioVol","ice.off","ice.on","iceduration","ice.pres","log.cbv"
"27",1999-07-01,14.01,9.63,98.66,NA,0.22,2.72,1.48,7.59,8.18,NA,8.87,8.93,3.31,3.28,1.22,NA,45.69,189.97,224.61,5.24,10.31,2722.64,2800.29,2829.87,0,NA,NA,NA,NA,NA,NA,0.23,0.02,1999.496,1999,0.9,0,0,0,0,1354.3,74952.73654,"1999-04-15","1999-12-17",114,0,11.2246130144052
"28",1999-08-23,15.81,8.09,87.56,91.23,0.2,4.16,3.05,7.38,7.74,630.39,8.81,8.96,3.38,3.21,1.5,NA,38.66,221.31,266.89,7.79,15.17,2635.12,2691.12,2802.64,0,5.57,1.95,10.06,2.94,2.53,0.67,0.21,0.03,1999.641,1999,1.7,0,0,0,0,274.56,58570.67871,"1999-04-15","1999-12-17",114,0,10.977989487031
"29",1999-11-10,7.39,11.5,101.55,91,0.13,15.29,0.51,7.55,8.04,649.9,8.57,8.71,3.34,3.37,1.62,NA,12.64,199.52,220.48,4.87,9.25,2553.2,3216.62,3245,0,5.95,2.14,10.3,3.03,2.57,0.72,0.08,0,1999.858,1999,15.2,0,0,0,0,30.19,29393.12457,"1999-04-15","1999-12-17",114,0,10.2885160678144
"30",2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001.326,2001,14.3,0,0,0,0,1157,28410.14551,"2001-04-22","2001-12-26",139,0,10.2545015966232
"31",2001-04-30,7.16,12.57,110.63,91.74,0.16,10.04,0.8,7.48,7.97,649.82,8.59,8.9,3.44,3.22,16.91,NA,23.65,144.91,187.8,3.51,8.64,2955.45,3056.76,3696.41,0.09,5.9,2.29,10.34,2.97,2.65,0.67,0.04,0,2001.326,2001,11,0,0,0,0,1157,28410.14551,"2001-04-22","2001-12-26",139,0,10.2545015966232
"32",2001-05-29,11.32,10.34,100.28,NA,0.24,3.9,0.15,7.57,7.92,NA,8.57,8.58,3.18,3.14,8.02,NA,13.62,198.92,227.15,1.36,4.03,2753.29,2982.93,3066.82,0.1,NA,NA,NA,NA,NA,NA,0.01,0.01,2001.405,2001,0.5,0,0,0,0,1035,41235.72366,"2001-04-22","2001-12-26",139,0,10.6270602387679
"33",2001-06-26,14.74,11.37,118.96,NA,0.25,3.23,0.76,7.6,7.89,NA,8.31,8.6,3.22,3.25,0.94,NA,10.66,229.97,239.45,5.59,8.84,2707.98,2577.27,2650.58,0.14,NA,NA,NA,NA,NA,NA,0,0,2001.482,2001,1.1,0,0,0,0,1285,134990.8154,"2001-04-22","2001-12-26",139,0,11.8129620210321
"34",2001-07-24,17.35,9.49,105.02,NA,0.29,4.6,0.12,7.52,7.94,NA,8.71,8.79,3.45,3.39,3.15,NA,51.27,140.2,130.79,1.88,4.08,2658.15,2843.98,2874.71,0.11,NA,NA,NA,NA,NA,NA,0.02,0.03,2001.559,2001,0.9,0,0,0,0,905,22145.11309,"2001-04-22","2001-12-26",139,0,10.0053721231404
"35",2001-08-20,17.05,8.66,96.32,92.63,0.33,2.04,0.72,7.49,8,658.15,8.37,8.44,3.41,3.35,4.42,NA,42.39,249.66,299.71,0.57,7.17,2781.3,3087,3135.23,0.12,4.31,2.3,10.8,3.1,2.73,0.7,0.17,0.03,2001.633,2001,1,0,0,0,0,435,29306.01225,"2001-04-22","2001-12-26",139,0,10.285547970201
"36",2001-08-20,17.05,8.66,96.32,92.63,0.33,2.04,0.72,7.49,8,658.15,8.37,8.44,3.41,3.35,4.42,NA,42.39,249.66,299.71,0.57,7.17,2781.3,3087,3135.23,0.12,4.31,2.3,10.8,3.1,2.73,0.7,0.17,0.03,2001.633,2001,1.2,0,0,0,0,435,29306.01225,"2001-04-22","2001-12-26",139,0,10.285547970201
"37",2001-11-15,7.92,10.81,96.69,95.49,0.19,3.25,0.65,7.48,7.78,649.05,8.98,9.06,3.37,3.32,13.27,NA,48.14,183.6,229.13,13.54,14.12,2918.12,2846.58,2932.58,0.08,4.41,2.29,10.7,3,2.64,0.69,0.02,0.01,2001.871,2001,3.2,0,0,0,0,95.2,198499.175,"2001-04-22","2001-12-26",139,0,12.1985402229295
"38",2002-04-23,4.07,11.46,93,93.12,0.18,2.3,2.2,7.19,7.94,636.01,8.92,9.14,2.94,2.9,63.44,NA,40.51,302.74,416.08,11.13,23.35,2851.91,3074.33,3041.85,0.1,5.93,2.56,10.54,2.98,2.61,0.69,0.07,0.01,2002.307,2002,2.9,0,0,0,0,335.9,127889.5355,"2002-04-17","2002-11-27",112,0,11.7589221663932
"39",2002-04-23,4.07,11.46,93,93.12,0.18,2.3,2.2,7.19,7.94,636.01,8.92,9.14,2.94,2.9,63.44,NA,40.51,302.74,416.08,11.13,23.35,2851.91,3074.33,3041.85,0.1,5.93,2.56,10.54,2.98,2.61,0.69,0.07,0.01,2002.307,2002,3.1,0,0,0,0,335.9,127889.5355,"2002-04-17","2002-11-27",112,0,11.7589221663932
"40",2002-06-19,13.08,10.46,105.12,NA,0.24,3.11,1.61,7.61,7.97,NA,8.28,8.34,3.38,3.42,4.1,NA,21.45,277.79,404.87,6.57,12.93,2659.39,2452.65,2617.33,0.25,NA,NA,NA,NA,NA,NA,NA,NA,2002.463,2002,1.1,0,0,0,0,371.3,114042.3605,"2002-04-17","2002-11-27",112,0,11.64432524169
"41",2002-07-17,16.9,9.89,107.66,NA,0.23,2.18,3.07,7.57,8.03,NA,8.63,8.76,3.37,3.37,11.15,NA,27.89,258.15,316.7,7.99,12.74,2700.71,2589.46,2717.62,0.24,NA,NA,NA,NA,NA,NA,NA,NA,2002.54,2002,1.2,0,0,0,0,607.3,72801.22226,"2002-04-17","2002-11-27",112,0,11.1954880233296
"42",2002-08-14,16.96,9.24,102.34,93.34,0.24,4.68,4.54,7.51,8.01,646.81,8.61,8.82,3.62,3.66,6.62,NA,37.66,294.34,337.85,4.81,10.94,2748.24,2553.13,2623.54,0.22,6.23,2.72,10.29,2.95,2.62,0.67,0.22,0.03,2002.616,2002,1.7,0,0,0,0,1249,46163.60343,"2002-04-17","2002-11-27",112,0,10.7399469620433
"43",2002-08-14,16.96,9.24,102.34,93.34,0.24,4.68,4.54,7.51,8.01,646.81,8.61,8.82,3.62,3.66,6.62,NA,37.66,294.34,337.85,4.81,10.94,2748.24,2553.13,2623.54,0.22,6.23,2.72,10.29,2.95,2.62,0.67,0.22,0.03,2002.616,2002,1.5,0,0,0,0,1249,46163.60343,"2002-04-17","2002-11-27",112,0,10.7399469620433
"44",2002-11-07,6.44,10.06,86.72,98.49,0.14,3.98,0.09,7.4,7.68,655.48,8.64,8.78,3.26,3.12,4.53,NA,33.61,225.46,259.75,5.86,11.38,3091.4,2727.97,2838.04,0.11,6.47,2.28,10.55,2.99,2.65,0.68,0.06,0,2002.849,2002,4,0,0,0,0,234.5,79327.76072,"2002-04-17","2002-11-27",112,0,11.2813434184931
"45",2002-11-07,6.44,10.06,86.72,98.49,0.14,3.98,0.09,7.4,7.68,655.48,8.64,8.78,3.26,3.12,4.53,NA,33.61,225.46,259.75,5.86,11.38,3091.4,2727.97,2838.04,0.11,6.47,2.28,10.55,2.99,2.65,0.68,0.06,0,2002.849,2002,4.2,0,0,0,0,234.5,79327.76072,"2002-04-17","2002-11-27",112,0,11.2813434184931
"46",2003-04-29,6.06,11.02,94.36,94.48,0.21,4.17,0.89,7.15,7.93,663.36,9.3,9.54,3.24,3.13,28.35,NA,79.52,553.91,595.39,7.79,16.4,2987.96,NA,NA,0.23,6.49,2.31,10.25,2.89,2.51,0.65,0.1,0.04,2003.323,2003,3.4,0,0,0,0,428.1,69635.17216,"2003-04-24","2003-12-03",148,0,11.1510250658041
"47",2003-06-23,14,9.26,96.93,NA,0.23,3.91,0.53,7.41,8.06,NA,8.42,8.61,3.58,3.52,4.87,NA,22.82,235.92,294.85,3.57,9.71,2498.06,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,2003.474,2003,1.1,0,0,0,0,155.6,53497.5692,"2003-04-24","2003-12-03",148,0,10.8873914963379
"48",2003-07-21,15.42,8.8,95.17,NA,0.23,3.29,1.85,7.51,7.96,NA,8.75,8.91,3.57,3.46,5.3,NA,23.09,215.4,245.01,6.27,11.85,2282.87,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,2003.551,2003,2.2,0,0,0,0,361.4,76879.44305,"2003-04-24","2003-12-03",148,0,11.2499937992111
"49",2003-08-20,17.6,8.29,94.17,95.64,0.27,4.53,0.88,7.53,8.17,661.69,9.13,9.23,3.91,3.72,3.14,NA,84.77,237.4,272.57,7.66,15.38,2163.16,NA,NA,0.32,6.76,2.32,10.18,2.91,2.54,0.67,0.23,0.02,2003.633,2003,1.1,0,0,0,0,399.6,70854.36054,"2003-04-24","2003-12-03",148,0,11.1683817893082
"50",2003-11-13,5.68,11.4,96.45,96.62,0.13,3.06,0.64,7.33,7.99,666.09,7.01,7,5.57,5.57,2.63,NA,27.59,242.7,288.1,2.02,7.14,2533.73,NA,NA,0.04,7.01,2.38,10.54,3.02,2.74,0.69,0.11,0,2003.866,2003,2.3,0,0,0,0,272.6,102849.4575,"2003-04-24","2003-12-03",148,0,11.5410216203953
"51",2004-04-30,6.14,11.21,95.97,93.14,NA,6.7,0.27,7.39,7.86,638.15,8.86,9.03,3.15,3.17,58.38,NA,13.71,315.15,340.58,9.96,12.14,2813.83,NA,NA,0.08,5.52,2.13,10.24,2.87,2.55,0.62,0.04,0,2004.328,2004,4,0,0,0,0,NA,124704.1185,"2004-04-16","2004-12-17",135,0,11.7336991583882
"52",2004-06-22,13.62,10.72,109.28,NA,0.23,2.47,1.66,7.59,7.96,NA,8.39,8.54,3.32,3.29,13.2,NA,60.97,274.55,290.6,2.35,7.28,2544.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2004.473,2004,1.1,0,0,0,0,269.6,81870.95401,"2004-04-16","2004-12-17",135,0,11.3128995550448
"53",2004-07-21,15.98,9.75,105.12,NA,0.24,1.78,1.07,7.46,7.94,NA,8.59,8.73,3.48,3.43,13.78,NA,35.35,247.56,259.46,1.88,5.57,2727.52,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,2004.552,2004,1,0,0,0,0,145.6,38911.84667,"2004-04-16","2004-12-17",135,0,10.5690540248884
"54",2004-08-16,15.17,5.99,65.33,94.9,0.26,1.81,2.5,7.55,7.92,647.9,8.64,8.78,3.44,3.42,16.45,NA,204.01,240.56,250.56,3.5,9.04,2665.48,NA,NA,0.16,7.01,2.41,11.31,3.11,3.08,0.7,0.05,0,2004.623,2004,1.1,0,0,0,0,562.5,35695.18089,"2004-04-16","2004-12-17",135,0,10.4827709695803
"55",2004-08-16,15.17,5.99,65.33,94.9,0.26,1.81,2.5,7.55,7.92,647.9,8.64,8.78,3.44,3.42,16.45,NA,204.01,240.56,250.56,3.5,9.04,2665.48,NA,NA,0.16,7.01,2.41,11.31,3.11,3.08,0.7,0.05,0,2004.623,2004,0.7,0,0,0,0,562.5,35695.18089,"2004-04-16","2004-12-17",135,0,10.4827709695803
"56",2004-11-10,8.19,9.78,88.14,96,0.12,4.15,1.27,7.4,7.98,638.25,8.55,8.67,3.13,3.12,5.81,NA,77.22,202.48,228.9,3,8,2815.79,NA,NA,0.12,3.02,1.23,11.08,3.06,3.25,0.66,0.06,0.01,2004.858,2004,4.3,0,0,0,0,21.39,40141.8149,"2004-04-16","2004-12-17",135,0,10.6001738355783
"57",2004-11-10,8.19,9.78,88.14,96,0.12,4.15,1.27,7.4,7.98,638.25,8.55,8.67,3.13,3.12,5.81,NA,77.22,202.48,228.9,3,8,2815.79,NA,NA,0.12,3.02,1.23,11.08,3.06,3.25,0.66,0.06,0.01,2004.858,2004,4.3,0,0,0,0,NA,40141.8149,"2004-04-16","2004-12-17",135,0,10.6001738355783
"58",2004-11-10,8.19,9.78,88.14,96,0.12,4.15,1.27,7.4,7.98,638.25,8.55,8.67,3.13,3.12,5.81,NA,77.22,202.48,228.9,3,8,2815.79,NA,NA,0.12,3.02,1.23,11.08,3.06,3.25,0.66,0.06,0.01,2004.858,2004,4.8,0,0,0,0,21.39,40141.8149,"2004-04-16","2004-12-17",135,0,10.6001738355783
"59",2004-11-10,8.19,9.78,88.14,96,0.12,4.15,1.27,7.4,7.98,638.25,8.55,8.67,3.13,3.12,5.81,NA,77.22,202.48,228.9,3,8,2815.79,NA,NA,0.12,3.02,1.23,11.08,3.06,3.25,0.66,0.06,0.01,2004.858,2004,4.8,0,0,0,0,NA,40141.8149,"2004-04-16","2004-12-17",135,0,10.6001738355783
"60",2005-04-20,6.39,11.83,102.22,96.09,0.21,7.27,0.24,7.34,7.89,660.55,9.14,9.33,3.05,3.03,6.72,NA,89.89,210.81,252.31,3.88,12.25,3266.16,NA,NA,0.18,6.31,2.57,11.37,3.11,2.8,0.66,0.07,0.02,2005.299,2005,4.7,0,0,0,0,290.53,140811.0487,"2005-04-14","2005-12-03",118,0,11.8551741905081
"61",2005-04-20,6.39,11.83,102.22,96.09,0.21,7.27,0.24,7.34,7.89,660.55,9.14,9.33,3.05,3.03,6.72,NA,89.89,210.81,252.31,3.88,12.25,3266.16,NA,NA,0.18,6.31,2.57,11.37,3.11,2.8,0.66,0.07,0.02,2005.299,2005,6.4,0,0,0,0,290.53,140811.0487,"2005-04-14","2005-12-03",118,0,11.8551741905081
"62",2005-06-13,14.22,10.54,108.11,NA,0.27,3.19,0.65,7.59,7.94,NA,9.44,9.69,3.64,3.62,1.96,NA,16.93,195.45,248.41,3.41,9.71,2733.74,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2005.447,2005,0.7,0,0,0,0,447.62,112841.9249,"2005-04-14","2005-12-03",118,0,11.6337432236376
"63",2005-07-12,17.27,10.05,110.52,NA,0.33,2.15,0.36,7.59,8.04,NA,8.92,9.1,3.57,3.46,2.94,NA,47.18,222.55,240.21,5.13,5.89,2693.71,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2005.526,2005,0.4,0,0,0,0,1600.7,66524.46203,"2005-04-14","2005-12-03",118,0,11.1053250090789
"64",2005-08-09,18.26,9.46,107.21,96.38,0.3,3.23,0.32,7.49,7.91,634.23,9.02,9.12,3.41,3.38,2.89,NA,18.53,288.87,320.26,3.96,10.74,2762.7,NA,NA,0.28,5.78,2.25,10.93,3.03,2.8,0.64,0.09,0.02,2005.603,2005,1,0,0,0,0,342.45,36120.08981,"2005-04-14","2005-12-03",118,0,10.4946044939619
"65",2005-11-15,8.49,9.04,81.98,97,0.13,4.45,0.31,7.4,7.88,667.64,9.07,9.26,3.34,3.29,1.51,NA,19.14,105.75,260.07,2.79,10.98,2924.17,NA,NA,0.05,6.06,2.26,11.24,3.22,3.01,0.7,0.07,0,2005.871,2005,5.2,0,0,0,0,104.86,37769.78604,"2005-04-14","2005-12-03",118,0,10.5392647508771
"66",2005-11-15,8.49,9.04,81.98,97,0.13,4.45,0.31,7.4,7.88,667.64,9.07,9.26,3.34,3.29,1.51,NA,19.14,105.75,260.07,2.79,10.98,2924.17,NA,NA,0.05,6.06,2.26,11.24,3.22,3.01,0.7,0.07,0,2005.871,2005,4.9,0,0,0,0,104.86,37769.78604,"2005-04-14","2005-12-03",118,0,10.5392647508771
"67",2006-04-20,6.39,10.21,88.45,97.71,0.17,7.8,0,7.17,7.92,663.39,8.33,8.24,2.67,2.55,38.11,NA,21.57,246.7,247.71,4.14,10.9,3263.35,NA,NA,0.05,6.96,2.5,10.31,3.09,2.75,0.59,0.07,0,2006.299,2006,NA,0,0,0,0,1490.3,105932.2045,"2006-04-13","2006-12-23",131,0,11.5705545882869
"68",2006-07-12,16.54,9.26,102.36,NA,0.28,2.4,0.65,7.41,7.88,NA,8.52,9.01,3.25,3.15,1.26,NA,95.52,227.47,285.29,5.18,12.94,2928.73,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,2006.526,2006,0.6,0,0,0,0,595.79,76774.5854,"2006-04-13","2006-12-23",131,0,11.2486289450991
"69",2006-08-09,18.63,8.98,103.25,98.83,0.29,4.23,2.27,7.53,8,655.47,8.29,8.41,3.24,3.37,1.22,NA,45.09,172.49,195.2,2.05,6.96,2788.33,NA,NA,0.28,7.67,2.37,14.76,4.18,3.63,0.62,0.14,0.02,2006.603,2006,0.8,0,0,0,0,1480.9,18557.99633,"2006-04-13","2006-12-23",131,0,9.82865604415473
"70",2006-10-30,8.18,9.31,83.82,101.38,0.12,3.12,0.62,7.37,7.86,655.02,8.46,8.57,3.03,2.97,2.57,NA,36,222.19,246.75,6,8.9,2856.98,NA,NA,0.05,5.73,2.1,10.36,3.11,2.96,0.68,0.06,0,2006.827,2006,2.8,0,0,0,0,380.01,49288.15794,"2006-04-13","2006-12-23",131,0,10.8054391271204
"71",2007-04-24,7.14,11.95,104.95,100.62,0.13,8.41,0.43,7.51,7.89,672.89,7.9,8.12,2.73,2.7,4.23,NA,4.71,199.47,265,3.33,8.57,3558.3,NA,NA,0.09,7.53,2.25,11.14,3.2,2.98,0.7,0.02,0,2007.31,2007,4,0,0,0,0,643.22,57749.85027,"2007-04-13","2007-12-03",111,0,10.9638760356534
"72",2007-06-19,15.13,9.09,96.24,NA,0.16,2.86,0.5,7.48,7.98,NA,8.23,8.35,2.94,2.86,5.69,NA,22.66,226.88,318.26,4.74,11.95,3222.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2007.463,2007,1.3,0,0,0,0,296.72,63864.52915,"2007-04-13","2007-12-03",111,0,11.0645193868669
"73",2007-06-19,15.13,9.09,96.24,NA,0.16,2.86,0.5,7.48,7.98,NA,8.23,8.35,2.94,2.86,5.69,NA,22.66,226.88,318.26,4.74,11.95,3222.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2007.463,2007,1,0,0,0,0,296.72,63864.52915,"2007-04-13","2007-12-03",111,0,11.0645193868669
"74",2007-07-16,16.37,8.69,94.72,NA,0.18,3.38,1.04,7.58,7.93,NA,8.18,8.4,3.34,2.97,6.45,NA,30.65,231.71,295.05,5.77,11.35,3113.91,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,2007.537,2007,1.5,0,0,0,0,829.31,79321.12792,"2007-04-13","2007-12-03",111,0,11.2812598024015
"75",2007-08-13,18.94,8.52,97.98,103.3,0.25,2.83,1.03,7.51,8.03,686.59,8.06,8.23,2.97,2.93,26.45,NA,2.15,199.86,224.94,3.59,8.4,3419.82,NA,NA,0.29,6.6,2.31,11.78,3.36,3.09,0.71,0.03,0.02,2007.614,2007,0.9,0,0,0,0,1144.2,86298.54542,"2007-04-13","2007-12-03",111,0,11.3655680220048
"76",2007-11-12,8.3,10.13,91.46,104,0.08,3.84,0.72,7.53,7.87,687.43,8.4,8.57,2.98,2.86,4.91,NA,16.68,239.17,269.17,2.68,8.15,3018.99,NA,NA,0.07,6.31,2.22,11.95,3.41,3.13,0.72,0.06,0,2007.863,2007,3.8,0,0,0,0,99.99,69229.21827,"2007-04-13","2007-12-03",111,0,11.1451782818273
"77",2008-05-13,7.12,10.51,92.52,103,0.16,4.12,1.21,7.36,7.94,684,8.92,9.05,3.3,3.23,60.95,NA,18.81,260.87,292.84,3.74,8.48,3471.21,NA,NA,0.15,4.88,1.45,11.88,3.34,3.03,0.66,0.02,0,2008.363,2008,3.4,0,0,0,0,804.83,101618.1581,"2008-05-01","2008-12-04",150,0,11.5289775196144
"78",2008-07-01,15.39,9.22,98.94,NA,0.19,4.42,0.91,7.57,7.83,NA,8.37,8.62,3.39,3.1,2.86,NA,6.05,246.76,287.14,15.98,26.05,3578.37,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,2008.497,2008,1.2,0,0,0,0,809.74,137303.0078,"2008-05-01","2008-12-04",150,0,11.8299454982896
"79",2008-08-25,17.79,8.85,99.85,104.77,0.23,2.46,1.48,7.56,8.04,718.22,8.67,8.78,3.46,3.37,2.11,NA,8.59,227.25,258.88,7.43,13.29,3036.34,NA,NA,0.29,6.53,2.16,11.65,3.34,3.05,0.76,0.2,0.03,2008.648,2008,0.8,0,0,0,0,1417.1,72434.45871,"2008-05-01","2008-12-04",150,0,11.1904374141791
"80",2008-11-12,8.12,10.25,92.12,105.49,0.11,3.87,1.4,7.49,7.9,716.68,8.52,8.6,3.22,3.25,25.48,NA,23.39,219.75,257.44,2.62,7.38,3179.99,NA,NA,0.06,6.63,2.09,12.79,3.57,3.27,0.75,0.05,0,2008.863,2008,3.6,0,0,0,0,47.02,77010.33942,"2008-05-01","2008-12-04",150,0,11.2516949700031
"81",2009-04-29,5.87,12.28,104.36,105.48,0.15,5.22,1.77,7.55,7.92,705.76,8.45,8.59,3.18,3.15,14.75,NA,4.95,143.26,198.78,4.67,6.86,3143.44,NA,NA,0.09,6.97,2.11,13.05,3.55,3.17,0.26,0.03,0,2009.323,2009,5.8,0,0,0,0,648.19,324208.1319,"2009-04-22","2009-12-11",139,0,12.6891409709426
"82",2000-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,10.9,0,0,0,0,281.7,128642.492,"2000-04-02","2000-12-04",107,0,11.7647924561157
"83",2000-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0.7,0,0,0,0,152.4,306599.4631,"2000-04-02","2000-12-04",107,0,12.6332974942768
"84",2000-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1.8,0,0,0,0,249.3,77778.75809,"2000-04-02","2000-12-04",107,0,11.2616236406242
"85",2000-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,6,0,0,0,0,123.5,95748.80998,"2000-04-02","2000-12-04",107,0,11.4694834785583
"86",2000-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,0,0,0,0,855,76589.00186,"2000-04-02","2000-12-04",107,0,11.2462087665691
"87",1997-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,0,0,0,0,NA,204417.0737,"1997-04-28","1997-12-22",154,0,12.2279176646451
