"sampledate","species_code","density"
1982-06-07,"51105",0
1982-06-07,"61701",0
1982-06-07,"51103",0
1982-06-07,"61805",0
1982-06-07,"20101",0
1982-06-07,"20701",0
1982-06-07,"61402",0
1982-06-07,"61806",0
1982-06-07,"63600",0
1982-06-07,"51100",0
1982-06-07,"61702",0
1982-06-07,"63004",0
1982-06-07,"61801",0
1982-06-07,"62400",0
1982-06-07,"61900",0
1982-06-07,"63612",0
1982-06-07,"30000",0
1982-06-07,"30801",0
1982-06-07,"51202",0
1982-06-07,"20601",0
1982-06-07,"51200",0
1982-06-07,"60202",0
1982-06-07,"61500",0
1982-06-07,"80000",0
1982-06-07,"63000",0
1982-06-07,"80001",0
1982-06-07,"88888",0
1982-06-07,"61904",0
1982-06-07,"63603",0
1982-06-07,"61911",0
1982-06-07,"62201",0
1982-06-07,"61803",0
1982-06-07,"60400",0
1982-06-07,"62407",0
1982-06-07,"61800",0
1982-06-07,"60203",0
1982-06-07,"30201",0
1982-06-07,"51101",0
1982-06-07,"61919",0
1982-06-07,"62000",0
1982-06-07,"60500",0
1982-06-07,"62700",0
1982-06-07,"61804",0
1982-06-07,"61809",0
1982-06-07,"62001",0
1982-06-07,"61300",0
1982-06-07,"62902",0
1982-06-07,"63700",0
1982-06-07,"63003",0
1982-06-07,"50000",0
1982-06-07,"61200",0
1982-06-07,"53200",0
1982-06-07,"51800",0
1982-06-07,"62005",0
1982-06-07,"63616",0
1982-06-07,"62607",0
1982-08-19,"20901",52.9
1982-08-19,"50700",1.2
1982-08-19,"51000",0.6
1982-08-19,"60200",13.4
1982-08-19,"60201",15.7
1982-08-19,"61808",67.4
1982-08-19,"61810",13.9
1982-08-19,"10000",40.1
1982-08-19,"20000",0
1982-08-19,"60300",0
1982-08-19,"61918",0.6
1982-08-19,"62406",1.2
1982-08-19,"63400",0
1982-08-19,"51130",1.7
1982-08-19,"51801",9.9
1982-08-19,"61501",0
1982-08-19,"63005",0
1982-08-19,"63602",0
1982-08-19,"50900",20.3
1982-08-19,"61502",1.2
1982-08-19,"20302",0
1982-08-19,"62007",0
1982-08-19,"60800",0
1982-08-19,"60900",0
1982-08-19,"51105",0
1982-08-19,"61701",0
1982-08-19,"51103",0
1982-08-19,"61805",0
1982-08-19,"20101",0
1982-08-19,"20701",0
1982-08-19,"61402",0
1982-08-19,"61806",0
1982-08-19,"63600",0
1982-08-19,"51100",0
1982-08-19,"61702",0
1982-08-19,"63004",0
1982-08-19,"61801",0
1982-08-19,"62400",0
1982-08-19,"61900",0
1982-08-19,"63612",0
1982-08-19,"30000",0
1982-08-19,"30801",0
1982-08-19,"51202",0
1982-08-19,"20601",0
1982-08-19,"51200",0
1982-08-19,"60202",0
1982-08-19,"61500",0
1982-08-19,"80000",0
1982-08-19,"63000",0
1982-08-19,"80001",0
1982-08-19,"88888",0
1982-08-19,"61904",0
1982-08-19,"63603",0
1982-08-19,"61911",0
1982-08-19,"62201",0
1982-08-19,"61803",0
1982-08-19,"60400",0
1982-08-19,"62407",0
1982-08-19,"61800",0
1982-08-19,"60203",0
1982-08-19,"30201",0
1982-08-19,"51101",0
1982-08-19,"61919",0
1982-08-19,"62000",0
1982-08-19,"60500",0
1982-08-19,"62700",0
1982-08-19,"61804",0
1982-08-19,"61809",0
1982-08-19,"62001",0
1982-08-19,"61300",0
1982-08-19,"62902",0
1982-08-19,"63700",0
1982-08-19,"63003",0
1982-08-19,"50000",0
1982-08-19,"61200",0
1982-08-19,"53200",0
1982-08-19,"51800",0
1982-08-19,"62005",0
1982-08-19,"63616",0
1982-08-19,"62607",0
1982-11-09,"20901",10.2
1982-11-09,"50700",7.7
1982-11-09,"51000",0
1982-11-09,"60200",2.6
1982-11-09,"60201",0
1982-11-09,"61808",10.2
1982-11-09,"61810",17.3
1982-11-09,"10000",0
1982-11-09,"20000",0
1982-11-09,"60300",0
1982-11-09,"61918",0.6
1982-11-09,"62406",0
1982-11-09,"63400",3.2
1982-11-09,"51130",0
1982-11-09,"51801",0
1982-11-09,"61501",0
1982-11-09,"63005",0
1982-11-09,"63602",0
1982-11-09,"50900",1.3
1982-11-09,"61502",0
1982-11-09,"20302",0.6
1982-11-09,"62007",0.6
1982-11-09,"60800",0
1982-11-09,"60900",0
1982-11-09,"51105",0
1982-11-09,"61701",0
1982-11-09,"51103",0
1982-11-09,"61805",0
1982-11-09,"20101",0
1982-11-09,"20701",0
1982-11-09,"61402",0
1982-11-09,"61806",0
1982-11-09,"63600",0
1982-11-09,"51100",0
1982-11-09,"61702",0
1982-11-09,"63004",0
1982-11-09,"61801",0
1982-11-09,"62400",0
1982-11-09,"61900",0
1982-11-09,"63612",0
1982-11-09,"30000",0
1982-11-09,"30801",0
1982-11-09,"51202",0
1982-11-09,"20601",0
1982-11-09,"51200",0
1982-11-09,"60202",0
1982-11-09,"61500",0
1982-11-09,"80000",0
1982-11-09,"63000",0
1982-11-09,"80001",0
1982-11-09,"88888",0
1982-11-09,"61904",0
1982-11-09,"63603",0
1982-11-09,"61911",0
1982-11-09,"62201",0
1982-11-09,"61803",0
1982-11-09,"60400",0
1982-11-09,"62407",0
1982-11-09,"61800",0
1982-11-09,"60203",0
1982-11-09,"30201",0
1982-11-09,"51101",0
1982-11-09,"61919",0
1982-11-09,"62000",0
1982-11-09,"60500",0
1982-11-09,"62700",0
1982-11-09,"61804",0
1982-11-09,"61809",0
1982-11-09,"62001",0
1982-11-09,"61300",0
1982-11-09,"62902",0
1982-11-09,"63700",0
1982-11-09,"63003",0
1982-11-09,"50000",0
1982-11-09,"61200",0
1982-11-09,"53200",0
1982-11-09,"51800",0
1982-11-09,"62005",0
1982-11-09,"63616",0
1982-11-09,"62607",0
1983-02-22,"20901",15.7
1983-02-22,"50700",6.3
1983-02-22,"51000",0
1983-02-22,"60200",16.7
1983-02-22,"60201",4.2
1983-02-22,"61808",167.3
1983-02-22,"61810",6.3
1983-02-22,"10000",0
1983-02-22,"20000",1.1
1983-02-22,"60300",0
1983-02-22,"61918",0
1983-02-22,"62406",0
1983-02-22,"63400",1.1
1983-02-22,"51130",0
1983-02-22,"51801",0
1983-02-22,"61501",0
1983-02-22,"63005",0
1983-02-22,"63602",0
1983-02-22,"50900",0
1983-02-22,"61502",0
1983-02-22,"20302",0
1983-02-22,"62007",0
1983-02-22,"60800",3.1
1983-02-22,"60900",4.2
1983-02-22,"51105",0
1983-02-22,"61701",0
1983-02-22,"51103",0
1983-02-22,"61805",0
1983-02-22,"20101",0
1983-02-22,"20701",0
1983-02-22,"61402",0
1983-02-22,"61806",0
1983-02-22,"63600",0
1983-02-22,"51100",0
1983-02-22,"61702",0
1983-02-22,"63004",0
1983-02-22,"61801",0
1983-02-22,"62400",0
1983-02-22,"61900",0
1983-02-22,"63612",0
1983-02-22,"30000",0
1983-02-22,"30801",0
1983-02-22,"51202",0
1983-02-22,"20601",0
1983-02-22,"51200",0
1983-02-22,"60202",0
1983-02-22,"61500",0
1983-02-22,"80000",0
1983-02-22,"63000",0
1983-02-22,"80001",0
1983-02-22,"88888",0
1983-02-22,"61904",0
1983-02-22,"63603",0
1983-02-22,"61911",0
1983-02-22,"62201",0
1983-02-22,"61803",0
1983-02-22,"60400",0
1983-02-22,"62407",0
1983-02-22,"61800",0
1983-02-22,"60203",0
1983-02-22,"30201",0
1983-02-22,"51101",0
1983-02-22,"61919",0
1983-02-22,"62000",0
1983-02-22,"60500",0
1983-02-22,"62700",0
1983-02-22,"61804",0
1983-02-22,"61809",0
1983-02-22,"62001",0
1983-02-22,"61300",0
1983-02-22,"62902",0
1983-02-22,"63700",0
1983-02-22,"63003",0
1983-02-22,"50000",0
1983-02-22,"61200",0
1983-02-22,"53200",0
1983-02-22,"51800",0
1983-02-22,"62005",0
1983-02-22,"63616",0
1983-02-22,"62607",0
1983-05-09,"20901",18.3
1983-05-09,"50700",0.5
1983-05-09,"51000",0
1983-05-09,"60200",83.7
1983-05-09,"60201",8.9
1983-05-09,"61808",40.8
1983-05-09,"61810",7.8
1983-05-09,"10000",3.7
1983-05-09,"20000",0
1983-05-09,"60300",0
1983-05-09,"61918",0
1983-05-09,"62406",0
1983-05-09,"63400",7.8
1983-05-09,"51130",0.5
1983-05-09,"51801",0
1983-05-09,"61501",0
1983-05-09,"63005",0
1983-05-09,"63602",0
1983-05-09,"50900",1.1
1983-05-09,"61502",0
1983-05-09,"20302",0
1983-05-09,"62007",0
1983-05-09,"60800",0
1983-05-09,"60900",0.5
1983-05-09,"51105",1.6
1983-05-09,"61701",0.5
1983-05-09,"51103",0
1983-05-09,"61805",0
1983-05-09,"20101",0
1983-05-09,"20701",0
1983-05-09,"61402",0
1983-05-09,"61806",0
1983-05-09,"63600",0
1983-05-09,"51100",0
1983-05-09,"61702",0
1983-05-09,"63004",0
1983-05-09,"61801",0
1983-05-09,"62400",0
1983-05-09,"61900",0
1983-05-09,"63612",0
1983-05-09,"30000",0
1983-05-09,"30801",0
1983-05-09,"51202",0
1983-05-09,"20601",0
1983-05-09,"51200",0
1983-05-09,"60202",0
1983-05-09,"61500",0
1983-05-09,"80000",0
1983-05-09,"63000",0
1983-05-09,"80001",0
1983-05-09,"88888",0
1983-05-09,"61904",0
1983-05-09,"63603",0
1983-05-09,"61911",0
1983-05-09,"62201",0
1983-05-09,"61803",0
1983-05-09,"60400",0
1983-05-09,"62407",0
1983-05-09,"61800",0
1983-05-09,"60203",0
1983-05-09,"30201",0
1983-05-09,"51101",0
1983-05-09,"61919",0
1983-05-09,"62000",0
1983-05-09,"60500",0
1983-05-09,"62700",0
1983-05-09,"61804",0
1983-05-09,"61809",0
1983-05-09,"62001",0
1983-05-09,"61300",0
1983-05-09,"62902",0
1983-05-09,"63700",0
1983-05-09,"63003",0
1983-05-09,"50000",0
1983-05-09,"61200",0
1983-05-09,"53200",0
1983-05-09,"51800",0
1983-05-09,"62005",0
1983-05-09,"63616",0
1983-05-09,"62607",0
1983-06-23,"20901",17.2
1983-06-23,"50700",3.7
1983-06-23,"51000",0.5
1983-06-23,"60200",6.5
1983-06-23,"60201",2.8
1983-06-23,"61808",1118.1
1983-06-23,"61810",1230.6
1983-06-23,"10000",62.3
1983-06-23,"20000",0
1983-06-23,"60300",0
1983-06-23,"61918",0
1983-06-23,"62406",9.3
1983-06-23,"63400",3.7
1983-06-23,"51130",0.9
1983-06-23,"51801",20.5
1983-06-23,"61501",0
1983-06-23,"63005",0
1983-06-23,"63602",0
1983-06-23,"50900",6
1983-06-23,"61502",9.3
1983-06-23,"20302",0
1983-06-23,"62007",0
1983-06-23,"60800",0
1983-06-23,"60900",0
1983-06-23,"51105",0
1983-06-23,"61701",0
1983-06-23,"51103",0.5
1983-06-23,"61805",0
1983-06-23,"20101",0
1983-06-23,"20701",0
1983-06-23,"61402",0
1983-06-23,"61806",0
1983-06-23,"63600",0
1983-06-23,"51100",0
1983-06-23,"61702",0
1983-06-23,"63004",0
1983-06-23,"61801",0
1983-06-23,"62400",0
1983-06-23,"61900",0
1983-06-23,"63612",0
1983-06-23,"30000",0
1983-06-23,"30801",0
1983-06-23,"51202",0
1983-06-23,"20601",0
1983-06-23,"51200",0
1983-06-23,"60202",0
1983-06-23,"61500",0
1983-06-23,"80000",0
1983-06-23,"63000",0
1983-06-23,"80001",0
1983-06-23,"88888",0
1983-06-23,"61904",0
1983-06-23,"63603",0
1983-06-23,"61911",0
1983-06-23,"62201",0
1983-06-23,"61803",0
1983-06-23,"60400",0
1983-06-23,"62407",0
1983-06-23,"61800",0
1983-06-23,"60203",0
1983-06-23,"30201",0
1983-06-23,"51101",0
1983-06-23,"61919",0
1983-06-23,"62000",0
1983-06-23,"60500",0
1983-06-23,"62700",0
1983-06-23,"61804",0
1983-06-23,"61809",0
1983-06-23,"62001",0
1983-06-23,"61300",0
1983-06-23,"62902",0
1983-06-23,"63700",0
1983-06-23,"63003",0
1983-06-23,"50000",0
1983-06-23,"61200",0
1983-06-23,"53200",0
1983-06-23,"51800",0
1983-06-23,"62005",0
1983-06-23,"63616",0
1983-06-23,"62607",0
1983-08-17,"20901",32
1983-08-17,"50700",5.8
1983-08-17,"51000",0
1983-08-17,"60200",29.4
1983-08-17,"60201",1.3
1983-08-17,"61808",20.5
1983-08-17,"61810",846
1983-08-17,"10000",88.2
1983-08-17,"20000",0
1983-08-17,"60300",0
1983-08-17,"61918",0
1983-08-17,"62406",0
1983-08-17,"63400",0
1983-08-17,"51130",0
1983-08-17,"51801",2.6
1983-08-17,"61501",0
1983-08-17,"63005",0
1983-08-17,"63602",0
1983-08-17,"50900",12.8
1983-08-17,"61502",1.3
1983-08-17,"20302",0
1983-08-17,"62007",0
1983-08-17,"60800",0
1983-08-17,"60900",0
1983-08-17,"51105",0
1983-08-17,"61701",0
1983-08-17,"51103",0
1983-08-17,"61805",0
1983-08-17,"20101",0
1983-08-17,"20701",0
1983-08-17,"61402",0
1983-08-17,"61806",0
1983-08-17,"63600",0
1983-08-17,"51100",0
1983-08-17,"61702",0
1983-08-17,"63004",0
1983-08-17,"61801",0
1983-08-17,"62400",0
1983-08-17,"61900",0
1983-08-17,"63612",0
1983-08-17,"30000",0
1983-08-17,"30801",0
1983-08-17,"51202",0
1983-08-17,"20601",0
1983-08-17,"51200",0
1983-08-17,"60202",0
1983-08-17,"61500",0
1983-08-17,"80000",0
1983-08-17,"63000",0
1983-08-17,"80001",0
1983-08-17,"88888",0
1983-08-17,"61904",0
1983-08-17,"63603",0
1983-08-17,"61911",0
1983-08-17,"62201",0
1983-08-17,"61803",0
1983-08-17,"60400",0
1983-08-17,"62407",0
1983-08-17,"61800",0
1983-08-17,"60203",0
1983-08-17,"30201",0
1983-08-17,"51101",0
1983-08-17,"61919",0
1983-08-17,"62000",0
1983-08-17,"60500",0
1983-08-17,"62700",0
1983-08-17,"61804",0
1983-08-17,"61809",0
1983-08-17,"62001",0
1983-08-17,"61300",0
1983-08-17,"62902",0
1983-08-17,"63700",0
1983-08-17,"63003",0
1983-08-17,"50000",0
1983-08-17,"61200",0
1983-08-17,"53200",0
1983-08-17,"51800",0
1983-08-17,"62005",0
1983-08-17,"63616",0
1983-08-17,"62607",0
1983-11-14,"20901",3.1
1983-11-14,"50700",1.7
1983-11-14,"51000",0
1983-11-14,"60200",7.8
1983-11-14,"60201",0
1983-11-14,"61808",176.9
1983-11-14,"61810",149
1983-11-14,"10000",3.5
1983-11-14,"20000",0
1983-11-14,"60300",0
1983-11-14,"61918",0
1983-11-14,"62406",0
1983-11-14,"63400",7
1983-11-14,"51130",0
1983-11-14,"51801",0
1983-11-14,"61501",0
1983-11-14,"63005",0
1983-11-14,"63602",0
1983-11-14,"50900",0.4
1983-11-14,"61502",0
1983-11-14,"20302",0.4
1983-11-14,"62007",0
1983-11-14,"60800",0
1983-11-14,"60900",0
1983-11-14,"51105",0
1983-11-14,"61701",0
1983-11-14,"51103",0
1983-11-14,"61805",0
1983-11-14,"20101",0
1983-11-14,"20701",0
1983-11-14,"61402",0
1983-11-14,"61806",0
1983-11-14,"63600",0
1983-11-14,"51100",0
1983-11-14,"61702",0
1983-11-14,"63004",0
1983-11-14,"61801",0
1983-11-14,"62400",0
1983-11-14,"61900",0
1983-11-14,"63612",0
1983-11-14,"30000",0
1983-11-14,"30801",0
1983-11-14,"51202",0
1983-11-14,"20601",0
1983-11-14,"51200",0
1983-11-14,"60202",0
1983-11-14,"61500",0
1983-11-14,"80000",0
1983-11-14,"63000",0
1983-11-14,"80001",0
1983-11-14,"88888",0
1983-11-14,"61904",0
1983-11-14,"63603",0
1983-11-14,"61911",0
1983-11-14,"62201",0
1983-11-14,"61803",0
1983-11-14,"60400",0
1983-11-14,"62407",0
1983-11-14,"61800",0
1983-11-14,"60203",0
1983-11-14,"30201",0
1983-11-14,"51101",0
1983-11-14,"61919",0
1983-11-14,"62000",0
1983-11-14,"60500",0
1983-11-14,"62700",0
1983-11-14,"61804",0
1983-11-14,"61809",0
1983-11-14,"62001",0
1983-11-14,"61300",0
1983-11-14,"62902",0
1983-11-14,"63700",0
1983-11-14,"63003",0
1983-11-14,"50000",0
1983-11-14,"61200",0
1983-11-14,"53200",0
1983-11-14,"51800",0
1983-11-14,"62005",0
1983-11-14,"63616",0
1983-11-14,"62607",0
1984-02-28,"20901",4.4
1984-02-28,"50700",6.7
1984-02-28,"51000",0
1984-02-28,"60200",19.3
1984-02-28,"60201",0
1984-02-28,"61808",118.5
1984-02-28,"61810",12.6
1984-02-28,"10000",0
1984-02-28,"20000",0
1984-02-28,"60300",4.4
1984-02-28,"61918",0
1984-02-28,"62406",0.7
1984-02-28,"63400",0
1984-02-28,"51130",0
1984-02-28,"51801",0
1984-02-28,"61501",0
1984-02-28,"63005",0
1984-02-28,"63602",0
1984-02-28,"50900",0
1984-02-28,"61502",0
1984-02-28,"20302",0
1984-02-28,"62007",0
1984-02-28,"60800",0
1984-02-28,"60900",0
1984-02-28,"51105",0
1984-02-28,"61701",0.7
1984-02-28,"51103",0
1984-02-28,"61805",0.7
1984-02-28,"20101",0
1984-02-28,"20701",0
1984-02-28,"61402",0
1984-02-28,"61806",0
1984-02-28,"63600",0
1984-02-28,"51100",0
1984-02-28,"61702",0
1984-02-28,"63004",0
1984-02-28,"61801",0
1984-02-28,"62400",0
1984-02-28,"61900",0
1984-02-28,"63612",0
1984-02-28,"30000",0
1984-02-28,"30801",0
1984-02-28,"51202",0
1984-02-28,"20601",0
1984-02-28,"51200",0
1984-02-28,"60202",0
1984-02-28,"61500",0
1984-02-28,"80000",0
1984-02-28,"63000",0
1984-02-28,"80001",0
1984-02-28,"88888",0
1984-02-28,"61904",0
1984-02-28,"63603",0
1984-02-28,"61911",0
1984-02-28,"62201",0
1984-02-28,"61803",0
1984-02-28,"60400",0
1984-02-28,"62407",0
1984-02-28,"61800",0
1984-02-28,"60203",0
1984-02-28,"30201",0
1984-02-28,"51101",0
1984-02-28,"61919",0
1984-02-28,"62000",0
1984-02-28,"60500",0
1984-02-28,"62700",0
1984-02-28,"61804",0
1984-02-28,"61809",0
1984-02-28,"62001",0
1984-02-28,"61300",0
1984-02-28,"62902",0
1984-02-28,"63700",0
1984-02-28,"63003",0
1984-02-28,"50000",0
1984-02-28,"61200",0
1984-02-28,"53200",0
1984-02-28,"51800",0
1984-02-28,"62005",0
1984-02-28,"63616",0
1984-02-28,"62607",0
1984-05-08,"20901",3.5
1984-05-08,"50700",0
1984-05-08,"51000",0
1984-05-08,"60200",122
1984-05-08,"60201",0
1984-05-08,"61808",504.2
1984-05-08,"61810",18.6
1984-05-08,"10000",5.8
1984-05-08,"20000",1.8
1984-05-08,"60300",0
1984-05-08,"61918",1.2
1984-05-08,"62406",0
1984-05-08,"63400",134.8
1984-05-08,"51130",0
1984-05-08,"51801",0
1984-05-08,"61501",0
1984-05-08,"63005",0
1984-05-08,"63602",0
1984-05-08,"50900",0.6
1984-05-08,"61502",4.7
1984-05-08,"20302",0
1984-05-08,"62007",0
1984-05-08,"60800",1.2
1984-05-08,"60900",0
1984-05-08,"51105",0
1984-05-08,"61701",0
1984-05-08,"51103",0
1984-05-08,"61805",1.2
1984-05-08,"20101",0
1984-05-08,"20701",0
1984-05-08,"61402",0
1984-05-08,"61806",0
1984-05-08,"63600",0
1984-05-08,"51100",0
1984-05-08,"61702",0
1984-05-08,"63004",0
1984-05-08,"61801",0
1984-05-08,"62400",0
1984-05-08,"61900",0
1984-05-08,"63612",0
1984-05-08,"30000",0
1984-05-08,"30801",0
1984-05-08,"51202",0
1984-05-08,"20601",0
1984-05-08,"51200",0
1984-05-08,"60202",0
1984-05-08,"61500",0
1984-05-08,"80000",0
1984-05-08,"63000",0
1984-05-08,"80001",0
1984-05-08,"88888",0
1984-05-08,"61904",0
1984-05-08,"63603",0
1984-05-08,"61911",0
1984-05-08,"62201",0
1984-05-08,"61803",0
1984-05-08,"60400",0
1984-05-08,"62407",0
1984-05-08,"61800",0
1984-05-08,"60203",0
1984-05-08,"30201",0
1984-05-08,"51101",0
1984-05-08,"61919",0
1984-05-08,"62000",0
1984-05-08,"60500",0
1984-05-08,"62700",0
1984-05-08,"61804",0
1984-05-08,"61809",0
1984-05-08,"62001",0
1984-05-08,"61300",0
1984-05-08,"62902",0
1984-05-08,"63700",0
1984-05-08,"63003",0
1984-05-08,"50000",0
1984-05-08,"61200",0
1984-05-08,"53200",0
1984-05-08,"51800",0
1984-05-08,"62005",0
1984-05-08,"63616",0
1984-05-08,"62607",0
1984-06-19,"20901",22
1984-06-19,"50700",32.6
1984-06-19,"51000",0
1984-06-19,"60200",6.6
1984-06-19,"60201",0
1984-06-19,"61808",1005.5
1984-06-19,"61810",242.8
1984-06-19,"10000",25.4
1984-06-19,"20000",1.2
1984-06-19,"60300",0
1984-06-19,"61918",0
1984-06-19,"62406",15.5
1984-06-19,"63400",9.9
1984-06-19,"51130",1.1
1984-06-19,"51801",37
1984-06-19,"61501",0
1984-06-19,"63005",12.1
1984-06-19,"63602",2.2
1984-06-19,"50900",17.1
1984-06-19,"61502",15.5
1984-06-19,"20302",0
1984-06-19,"62007",0
1984-06-19,"60800",0
1984-06-19,"60900",0
1984-06-19,"51105",0
1984-06-19,"61701",0
1984-06-19,"51103",0
1984-06-19,"61805",0
1984-06-19,"20101",0.6
1984-06-19,"20701",0.6
1984-06-19,"61402",1.1
1984-06-19,"61806",1.1
1984-06-19,"63600",0
1984-06-19,"51100",0
1984-06-19,"61702",0
1984-06-19,"63004",0
1984-06-19,"61801",0
1984-06-19,"62400",0
1984-06-19,"61900",0
1984-06-19,"63612",0
1984-06-19,"30000",0
1984-06-19,"30801",0
1984-06-19,"51202",0
1984-06-19,"20601",0
1984-06-19,"51200",0
1984-06-19,"60202",0
1984-06-19,"61500",0
1984-06-19,"80000",0
1984-06-19,"63000",0
1984-06-19,"80001",0
1984-06-19,"88888",0
1984-06-19,"61904",0
1984-06-19,"63603",0
1984-06-19,"61911",0
1984-06-19,"62201",0
1984-06-19,"61803",0
1984-06-19,"60400",0
1984-06-19,"62407",0
1984-06-19,"61800",0
1984-06-19,"60203",0
1984-06-19,"30201",0
1984-06-19,"51101",0
1984-06-19,"61919",0
1984-06-19,"62000",0
1984-06-19,"60500",0
1984-06-19,"62700",0
1984-06-19,"61804",0
1984-06-19,"61809",0
1984-06-19,"62001",0
1984-06-19,"61300",0
1984-06-19,"62902",0
1984-06-19,"63700",0
1984-06-19,"63003",0
1984-06-19,"50000",0
1984-06-19,"61200",0
1984-06-19,"53200",0
1984-06-19,"51800",0
1984-06-19,"62005",0
1984-06-19,"63616",0
1984-06-19,"62607",0
1984-08-01,"20901",97.7
1984-08-01,"50700",0
1984-08-01,"51000",0
1984-08-01,"60200",0
1984-08-01,"60201",23
1984-08-01,"61808",10.1
1984-08-01,"61810",47.4
1984-08-01,"10000",209.9
1984-08-01,"20000",0
1984-08-01,"60300",0
1984-08-01,"61918",0
1984-08-01,"62406",0
1984-08-01,"63400",0
