lakeid,sampledate,species_code,species_name,density,individuals_measured,avg_length
SP,8/11/81,70039,,0.18,,
SP,8/11/81,70064,,0.18,,
SP,8/25/81,10000,COPEPOD NAUPLII,2.26,,
SP,8/25/81,20000,CYCLOPOID,1.4,,
SP,8/25/81,30000,CALANOID,1.03,,
SP,8/25/81,50700,BOSMINIDAE,2.33,,
SP,8/25/81,51000,CHYDORUS,0.39,,
SP,8/25/81,51103,DAPHNIA MENDOTAE,0.39,,
SP,8/25/81,51104,DAPHNIA LONGIREMIS,0.78,,
SP,8/25/81,51200,DIAPHANOSOMA,0.68,,
SP,8/25/81,61500,GASTROPUS,0.58,,
SP,8/25/81,61702,KELLICOTTIA LONGISPINA,1.03,,
SP,8/25/81,61801,KERATELLA COCHLEARIS,1.63,,
SP,8/25/81,61900,LECANE,0.39,,
SP,8/25/81,62400,MONOSTYLA,0.39,,
SP,8/25/81,63000,POLYARTHRA,0.68,,
SP,8/25/81,63400,SYNCHAETA,0.39,,
SP,8/25/81,63600,TRICHOCERCA,0.39,,
SP,8/25/81,69901,,0.39,,
SP,8/25/81,70039,,0.9,,
SP,9/15/81,10000,COPEPOD NAUPLII,3.29,,
SP,9/15/81,20000,CYCLOPOID,2.87,,
SP,9/15/81,30000,CALANOID,0.58,,
SP,9/15/81,50700,BOSMINIDAE,1.1,,
SP,9/15/81,51000,CHYDORUS,0.78,,
SP,9/15/81,51108,DAPHNIA DENTIFERA,0.39,,
SP,9/15/81,51200,DIAPHANOSOMA,0.39,,
SP,9/15/81,60700,COLURELLA,0.65,,
SP,9/15/81,61400,FILINIA,0.39,,
SP,9/15/81,61500,GASTROPUS,0.58,,
SP,9/15/81,61702,KELLICOTTIA LONGISPINA,0.71,,
SP,9/15/81,61801,KERATELLA COCHLEARIS,3.88,,
SP,9/15/81,61803,KERATELLA CRASSA,0.39,,
SP,9/15/81,61806,KERATELLA QUADRATA,0.39,,
SP,9/15/81,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,9/15/81,61900,LECANE,0.39,,
SP,9/15/81,63000,POLYARTHRA,1.63,,
SP,9/15/81,63400,SYNCHAETA,0.58,,
SP,9/15/81,63600,TRICHOCERCA,0.39,,
SP,9/15/81,69901,,1.16,,
SP,9/15/81,70038,,0.39,,
SP,9/15/81,70039,,0.39,,
SP,9/15/81,70041,,0.84,,
SP,9/15/81,70051,,0.39,,
SP,9/15/81,70052,,0.39,,
SP,9/22/81,10000,COPEPOD NAUPLII,26.19,,
SP,9/22/81,20302,DIACYCLOPS THOMASI,11.9,,
SP,9/22/81,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.38,,
SP,9/22/81,30801,SKISTODIAPTOMUS OREGONENSIS,2.38,,
SP,9/22/81,61702,KELLICOTTIA LONGISPINA,4.76,,
SP,9/22/81,61801,KERATELLA COCHLEARIS,16.67,,
SP,9/22/81,61803,KERATELLA CRASSA,2.38,,
SP,9/22/81,61804,KERATELLA EARLINAE,9.52,,
SP,9/22/81,61900,LECANE,2.38,,
SP,9/22/81,63004,POLYARTHRA REMATA,11.9,,
SP,9/22/81,63005,POLYARTHRA VULGARIS,14.29,,
SP,9/22/81,63400,SYNCHAETA,2.38,,
SP,9/22/81,69915,UNKNOWN,14.29,,
SP,12/2/81,10000,COPEPOD NAUPLII,4.65,,
SP,12/2/81,20000,CYCLOPOID,1.3,,
SP,12/2/81,20302,DIACYCLOPS THOMASI,2.33,,
SP,12/2/81,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.63,,
SP,12/2/81,30000,CALANOID,0.08,,
SP,12/2/81,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,,
SP,12/2/81,51000,CHYDORUS,2.81,,
SP,12/2/81,60300,ASPLANCHNA,8.99,,
SP,12/2/81,60900,CONOCHILUS,0.3,,
SP,12/2/81,60902,CONOCHILUS UNICORNIS,6.54,,
SP,12/2/81,61702,KELLICOTTIA LONGISPINA,45,,
SP,12/2/81,61801,KERATELLA COCHLEARIS,62.82,,
SP,12/2/81,61803,KERATELLA CRASSA,1,,
SP,12/2/81,61805,KERATELLA HIEMALIS,0.24,,
SP,12/2/81,61806,KERATELLA QUADRATA,1.89,,
SP,12/2/81,61900,LECANE,2.36,,
SP,12/2/81,61904,LECANE INERMIS,0.23,,
SP,12/2/81,63001,POLYARTHRA DOLICHOPTERA,0.42,,
SP,12/2/81,63004,POLYARTHRA REMATA,0.08,,
SP,12/2/81,63005,POLYARTHRA VULGARIS,6.25,,
SP,12/2/81,69935,,3.39,,
SP,12/2/81,69936,,0.89,,
SP,1/20/82,10000,COPEPOD NAUPLII,34.54,,
SP,1/20/82,20302,DIACYCLOPS THOMASI,6.66,,
SP,1/20/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.31,,
SP,1/20/82,30402,LEPTODIAPTOMUS MINUTUS,0.31,,
SP,1/20/82,51000,CHYDORUS,0.66,,
SP,1/20/82,51100,DAPHNIA,0.31,,
SP,1/20/82,60300,ASPLANCHNA,0.62,,
SP,1/20/82,60900,CONOCHILUS,16.67,,
SP,1/20/82,61402,FILINIA TERMINALIS,0.9,,
SP,1/20/82,61502,GASTROPUS STYLIFER,0.35,,
SP,1/20/82,61702,KELLICOTTIA LONGISPINA,26.21,,
SP,1/20/82,61801,KERATELLA COCHLEARIS,0.31,,
SP,1/20/82,61803,KERATELLA CRASSA,1,,
SP,1/20/82,61804,KERATELLA EARLINAE,12.53,,
SP,1/20/82,61805,KERATELLA HIEMALIS,0.23,,
SP,1/20/82,61806,KERATELLA QUADRATA,0.35,,
SP,1/20/82,61904,LECANE INERMIS,3.93,,
SP,1/20/82,63005,POLYARTHRA VULGARIS,9.34,,
SP,1/20/82,63400,SYNCHAETA,0.23,,
SP,1/20/82,69990,,0.23,,
SP,1/20/82,69991,,0.23,,
SP,1/20/82,69992,UNKNOWN ROTIFER,0.62,,
SP,2/24/82,10000,COPEPOD NAUPLII,12.77,,
SP,2/24/82,20000,CYCLOPOID,0.93,,
SP,2/24/82,20302,DIACYCLOPS THOMASI,0.64,,
SP,2/24/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.73,,
SP,2/24/82,51104,DAPHNIA LONGIREMIS,0.11,,
SP,2/24/82,60300,ASPLANCHNA,0.53,,
SP,2/24/82,60902,CONOCHILUS UNICORNIS,8.64,,
SP,2/24/82,61500,GASTROPUS,0.42,,
SP,2/24/82,61702,KELLICOTTIA LONGISPINA,15.67,,
SP,2/24/82,61801,KERATELLA COCHLEARIS,1.75,,
SP,2/24/82,61803,KERATELLA CRASSA,0.82,,
SP,2/24/82,61805,KERATELLA HIEMALIS,0.14,,
SP,2/24/82,61806,KERATELLA QUADRATA,0.72,,
SP,2/24/82,61900,LECANE,0.43,,
SP,2/24/82,63001,POLYARTHRA DOLICHOPTERA,1.86,,
SP,2/24/82,63005,POLYARTHRA VULGARIS,3.49,,
SP,2/24/82,69932,,0.86,,
SP,5/27/82,10000,COPEPOD NAUPLII,41.62,,
SP,5/27/82,20000,CYCLOPOID,1.53,,
SP,5/27/82,20300,DIACYCLOPS,1.07,,
SP,5/27/82,20302,DIACYCLOPS THOMASI,26.6,,
SP,5/27/82,30000,CALANOID,1.44,,
SP,5/27/82,30402,LEPTODIAPTOMUS MINUTUS,14.13,,
SP,5/27/82,30801,SKISTODIAPTOMUS OREGONENSIS,2.53,,
SP,5/27/82,50700,BOSMINIDAE,1.55,,
SP,5/27/82,51130,DAPHNIA PULICARIA,0.14,,
SP,5/27/82,60300,ASPLANCHNA,1.55,,
SP,5/27/82,60900,CONOCHILUS,28.58,,
SP,5/27/82,61702,KELLICOTTIA LONGISPINA,18.34,,
SP,5/27/82,61801,KERATELLA COCHLEARIS,15.67,,
SP,5/27/82,61803,KERATELLA CRASSA,8,,
SP,5/27/82,61804,KERATELLA EARLINAE,12.66,,
SP,5/27/82,61805,KERATELLA HIEMALIS,0.14,,
SP,5/27/82,61806,KERATELLA QUADRATA,1.76,,
SP,5/27/82,61808,KERATELLA TAUROCEPHALA,16.46,,
SP,5/27/82,61900,LECANE,1.27,,
SP,5/27/82,63000,POLYARTHRA,3.48,,
SP,5/27/82,63001,POLYARTHRA DOLICHOPTERA,19.38,,
SP,5/27/82,63004,POLYARTHRA REMATA,1.27,,
SP,5/27/82,63005,POLYARTHRA VULGARIS,21.84,,
SP,5/27/82,63400,SYNCHAETA,9.27,,
SP,5/27/82,69915,UNKNOWN,1.27,,
SP,5/27/82,70057,,0.63,,
SP,5/27/82,70058,,0.43,,
SP,5/27/82,70059,,0.66,,
SP,5/27/82,70060,,2.13,,
SP,6/10/82,10000,COPEPOD NAUPLII,31.79,,
SP,6/10/82,20000,CYCLOPOID,1.97,,
SP,6/10/82,20302,DIACYCLOPS THOMASI,19.25,,
SP,6/10/82,30000,CALANOID,0.95,,
SP,6/10/82,30400,DIAPTOMID,0.3,,
SP,6/10/82,30402,LEPTODIAPTOMUS MINUTUS,0.48,,
SP,6/10/82,30801,SKISTODIAPTOMUS OREGONENSIS,8,,
SP,6/10/82,50700,BOSMINIDAE,1.98,,
SP,6/10/82,51100,DAPHNIA,0.4,,
SP,6/10/82,51130,DAPHNIA PULICARIA,0.18,,
SP,6/10/82,51202,DIAPHANOSOMA BIRGEI,0.4,,
SP,6/10/82,60300,ASPLANCHNA,0.62,,
SP,6/10/82,60900,CONOCHILUS,22.34,,
SP,6/10/82,60901,CONOCHILUS HIPPOCREPIS,2.33,,
SP,6/10/82,60902,CONOCHILUS UNICORNIS,0.36,,
SP,6/10/82,61502,GASTROPUS STYLIFER,39.4,,
SP,6/10/82,61702,KELLICOTTIA LONGISPINA,34.83,,
SP,6/10/82,61801,KERATELLA COCHLEARIS,12.51,,
SP,6/10/82,61803,KERATELLA CRASSA,17.69,,
SP,6/10/82,61804,KERATELLA EARLINAE,40.2,,
SP,6/10/82,61805,KERATELLA HIEMALIS,1.79,,
SP,6/10/82,61806,KERATELLA QUADRATA,10.15,,
SP,6/10/82,61808,KERATELLA TAUROCEPHALA,0.58,,
SP,6/10/82,63000,POLYARTHRA,20.8,,
SP,6/10/82,63001,POLYARTHRA DOLICHOPTERA,2.73,,
SP,6/10/82,63005,POLYARTHRA VULGARIS,1.34,,
SP,6/10/82,63400,SYNCHAETA,7.42,,
SP,6/10/82,70061,,0.36,,
SP,6/10/82,70062,,0.94,,
SP,6/10/82,70063,,0.18,,
SP,7/8/82,10000,COPEPOD NAUPLII,7.07,,
SP,7/8/82,20000,CYCLOPOID,2.72,,
SP,7/8/82,30000,CALANOID,1.88,,
SP,7/8/82,50700,BOSMINIDAE,0.65,,
SP,7/8/82,51100,DAPHNIA,0.65,,
SP,7/8/82,51200,DIAPHANOSOMA,1.16,,
SP,7/8/82,60900,CONOCHILUS,3.04,,
SP,7/8/82,61400,FILINIA,0.43,,
SP,7/8/82,61702,KELLICOTTIA LONGISPINA,4.67,,
SP,7/8/82,61801,KERATELLA COCHLEARIS,27.07,,
SP,7/8/82,61806,KERATELLA QUADRATA,4.57,,
SP,7/8/82,63000,POLYARTHRA,4.24,,
SP,7/8/82,63400,SYNCHAETA,1.2,,
SP,7/8/82,63600,TRICHOCERCA,2.03,,
SP,8/2/82,10000,COPEPOD NAUPLII,5.33,,
SP,8/2/82,20000,CYCLOPOID,0.78,,
SP,8/2/82,20302,DIACYCLOPS THOMASI,0.78,,
SP,8/2/82,30000,CALANOID,0.39,,
SP,8/2/82,30400,DIAPTOMID,0.58,,
SP,8/2/82,51100,DAPHNIA,0.39,,
SP,8/2/82,51130,DAPHNIA PULICARIA,0.78,,
SP,8/2/82,51200,DIAPHANOSOMA,0.39,,
SP,8/2/82,51202,DIAPHANOSOMA BIRGEI,0.39,,
SP,8/2/82,60900,CONOCHILUS,2.71,,
SP,8/2/82,61702,KELLICOTTIA LONGISPINA,2.2,,
SP,8/2/82,61801,KERATELLA COCHLEARIS,3.1,,
SP,8/2/82,61803,KERATELLA CRASSA,2.58,,
SP,8/2/82,61806,KERATELLA QUADRATA,3.1,,
SP,8/2/82,61900,LECANE,1.16,,
SP,8/2/82,63001,POLYARTHRA DOLICHOPTERA,1.16,,
SP,8/2/82,63005,POLYARTHRA VULGARIS,0.78,,
SP,8/2/82,63400,SYNCHAETA,2.81,,
SP,8/17/82,10000,COPEPOD NAUPLII,8.64,,
SP,8/17/82,20000,CYCLOPOID,2.48,,
SP,8/17/82,20302,DIACYCLOPS THOMASI,1.07,,
SP,8/17/82,30000,CALANOID,0.48,,
SP,8/17/82,30402,LEPTODIAPTOMUS MINUTUS,0.96,,
SP,8/17/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.28,,
SP,8/17/82,51103,DAPHNIA MENDOTAE,0.76,,
SP,8/17/82,51104,DAPHNIA LONGIREMIS,0.63,,
SP,8/17/82,51200,DIAPHANOSOMA,1.73,,
SP,8/17/82,60902,CONOCHILUS UNICORNIS,0.95,,
SP,8/17/82,61402,FILINIA TERMINALIS,0.22,,
SP,8/17/82,61500,GASTROPUS,0.12,,
SP,8/17/82,61702,KELLICOTTIA LONGISPINA,4.18,,
SP,8/17/82,61801,KERATELLA COCHLEARIS,11.32,,
SP,8/17/82,61803,KERATELLA CRASSA,0.3,,
SP,8/17/82,61805,KERATELLA HIEMALIS,0.12,,
SP,8/17/82,61806,KERATELLA QUADRATA,2.13,,
SP,8/17/82,61808,KERATELLA TAUROCEPHALA,0.13,,
SP,8/17/82,61900,LECANE,0.21,,
SP,8/17/82,63001,POLYARTHRA DOLICHOPTERA,2.13,,
SP,8/17/82,63003,POLYARTHRA MAJOR,0.12,,
SP,8/17/82,63005,POLYARTHRA VULGARIS,0.65,,
SP,8/17/82,63400,SYNCHAETA,0.12,,
SP,8/17/82,63603,TRICHOCERCA CYLINDRICA,0.13,,
SP,9/9/82,10000,COPEPOD NAUPLII,14.14,,
SP,9/9/82,20000,CYCLOPOID,6.99,,
SP,9/9/82,20302,DIACYCLOPS THOMASI,3.62,,
SP,9/9/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.3,,
SP,9/9/82,30402,LEPTODIAPTOMUS MINUTUS,0.86,,
SP,9/9/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.91,,
SP,9/9/82,51103,DAPHNIA MENDOTAE,1.23,,
SP,9/9/82,51200,DIAPHANOSOMA,1.23,,
SP,9/9/82,60902,CONOCHILUS UNICORNIS,0.52,,
SP,9/9/82,61500,GASTROPUS,2.04,,
SP,9/9/82,61702,KELLICOTTIA LONGISPINA,14.94,,
SP,9/9/82,61801,KERATELLA COCHLEARIS,27.4,,
SP,9/9/82,61806,KERATELLA QUADRATA,2.23,,
SP,9/9/82,61808,KERATELLA TAUROCEPHALA,0.33,,
SP,9/9/82,61900,LECANE,0.28,,
SP,9/9/82,62900,PLOESOMA,1.16,,
SP,9/9/82,63001,POLYARTHRA DOLICHOPTERA,2.71,,
SP,9/9/82,63005,POLYARTHRA VULGARIS,2.64,,
SP,10/7/82,10000,COPEPOD NAUPLII,21.84,,
SP,10/7/82,20302,DIACYCLOPS THOMASI,19.54,,
SP,10/7/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,3.45,,
SP,10/7/82,30402,LEPTODIAPTOMUS MINUTUS,1.15,,
SP,10/7/82,51000,CHYDORUS,2.3,,
SP,10/7/82,51104,DAPHNIA LONGIREMIS,2.3,,
SP,10/7/82,51202,DIAPHANOSOMA BIRGEI,2.3,,
SP,10/7/82,61702,KELLICOTTIA LONGISPINA,20.69,,
SP,10/7/82,61801,KERATELLA COCHLEARIS,57.47,,
SP,10/7/82,61804,KERATELLA EARLINAE,2.3,,
SP,10/7/82,63001,POLYARTHRA DOLICHOPTERA,3.45,,
SP,10/7/82,63004,POLYARTHRA REMATA,2.3,,
SP,10/7/82,63005,POLYARTHRA VULGARIS,18.39,,
SP,11/10/82,10000,COPEPOD NAUPLII,2.9,,
SP,11/10/82,20000,CYCLOPOID,3.38,,
SP,11/10/82,20302,DIACYCLOPS THOMASI,1.85,,
SP,11/10/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.77,,
SP,11/10/82,30000,CALANOID,0.05,,
SP,11/10/82,30402,LEPTODIAPTOMUS MINUTUS,0.12,,
SP,11/10/82,30801,SKISTODIAPTOMUS OREGONENSIS,0.4,,
SP,11/10/82,50700,BOSMINIDAE,0.99,,
SP,11/10/82,51103,DAPHNIA MENDOTAE,3.03,,
SP,11/10/82,51104,DAPHNIA LONGIREMIS,0.25,,
SP,11/10/82,60200,ASCOMORPHA,0.48,,
SP,11/10/82,60300,ASPLANCHNA,1.83,,
SP,11/10/82,61500,GASTROPUS,0.67,,
SP,11/10/82,61702,KELLICOTTIA LONGISPINA,3.14,,
SP,11/10/82,61801,KERATELLA COCHLEARIS,12.96,,
SP,11/10/82,61806,KERATELLA QUADRATA,0.05,,
SP,11/10/82,61900,LECANE,0.34,,
SP,11/10/82,63001,POLYARTHRA DOLICHOPTERA,0.34,,
SP,11/10/82,63005,POLYARTHRA VULGARIS,12.67,,
SP,11/10/82,63400,SYNCHAETA,0.11,,
SP,1/13/83,10000,COPEPOD NAUPLII,20.12,,
SP,1/13/83,20302,DIACYCLOPS THOMASI,15.38,,
SP,1/13/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.37,,
SP,1/13/83,51103,DAPHNIA MENDOTAE,4.73,,
SP,1/13/83,61702,KELLICOTTIA LONGISPINA,11.83,,
SP,1/13/83,61801,KERATELLA COCHLEARIS,7.1,,
SP,1/13/83,61805,KERATELLA HIEMALIS,3.55,,
SP,1/13/83,63004,POLYARTHRA REMATA,1.18,,
SP,1/13/83,63005,POLYARTHRA VULGARIS,10.65,,
SP,3/28/83,10000,COPEPOD NAUPLII,48.99,,
SP,3/28/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1.07,,
SP,3/28/83,60300,ASPLANCHNA,1.07,,
SP,3/28/83,61702,KELLICOTTIA LONGISPINA,11.71,,
SP,3/28/83,61805,KERATELLA HIEMALIS,1.07,,
SP,3/28/83,63400,SYNCHAETA,1.07,,
SP,5/25/83,10000,COPEPOD NAUPLII,11.71,,
SP,5/25/83,20302,DIACYCLOPS THOMASI,24.49,,
SP,5/25/83,30801,SKISTODIAPTOMUS OREGONENSIS,1.07,,
SP,5/25/83,51103,DAPHNIA MENDOTAE,1.07,,
SP,5/25/83,60300,ASPLANCHNA,9.58,,
SP,5/25/83,60900,CONOCHILUS,8.52,,
SP,5/25/83,61501,GASTROPUS HYPTOPUS,6.39,,
SP,5/25/83,61502,GASTROPUS STYLIFER,1.07,,
SP,5/25/83,61702,KELLICOTTIA LONGISPINA,317.36,,
SP,5/25/83,61801,KERATELLA COCHLEARIS,19.17,,
SP,5/25/83,61805,KERATELLA HIEMALIS,5.32,,
SP,5/25/83,63001,POLYARTHRA DOLICHOPTERA,1.07,,
SP,5/25/83,63004,POLYARTHRA REMATA,2.13,,
SP,5/25/83,63005,POLYARTHRA VULGARIS,52.18,,
SP,5/25/83,63400,SYNCHAETA,2.13,,
SP,6/9/83,10000,COPEPOD NAUPLII,33.82,,
SP,6/9/83,20000,CYCLOPOID,12.02,,
SP,6/9/83,20302,DIACYCLOPS THOMASI,4.61,,
SP,6/9/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.22,,
SP,6/9/83,30000,CALANOID,3.18,,
SP,6/9/83,30402,LEPTODIAPTOMUS MINUTUS,0.52,,
SP,6/9/83,30801,SKISTODIAPTOMUS OREGONENSIS,1.74,,
SP,6/9/83,50700,BOSMINIDAE,0.2,,
SP,6/9/83,51000,CHYDORUS,0.22,,
SP,6/9/83,51103,DAPHNIA MENDOTAE,2.39,,
SP,6/9/83,51104,DAPHNIA LONGIREMIS,0.59,,
SP,6/9/83,51130,DAPHNIA PULICARIA,0.2,,
SP,6/9/83,60200,ASCOMORPHA,0.12,,
SP,6/9/83,60300,ASPLANCHNA,2.81,,
SP,6/9/83,60902,CONOCHILUS UNICORNIS,59.17,,
SP,6/9/83,61500,GASTROPUS,1.62,,
SP,6/9/83,61702,KELLICOTTIA LONGISPINA,224.63,,
SP,6/9/83,61801,KERATELLA COCHLEARIS,73.69,,
SP,6/9/83,61805,KERATELLA HIEMALIS,0.95,,
SP,6/9/83,61806,KERATELLA QUADRATA,4.25,,
SP,6/9/83,61900,LECANE,0.19,,
SP,6/9/83,63001,POLYARTHRA DOLICHOPTERA,16.82,,
SP,6/9/83,63005,POLYARTHRA VULGARIS,38.54,,
SP,6/21/83,10000,COPEPOD NAUPLII,60.91,,
SP,6/21/83,20000,CYCLOPOID,15.52,,
SP,6/21/83,20302,DIACYCLOPS THOMASI,2.16,,
SP,6/21/83,30000,CALANOID,2.41,,
SP,6/21/83,30801,SKISTODIAPTOMUS OREGONENSIS,0.87,,
SP,6/21/83,50700,BOSMINIDAE,1.46,,
SP,6/21/83,51000,CHYDORUS,0.11,,
SP,6/21/83,51103,DAPHNIA MENDOTAE,5.6,,
SP,6/21/83,51104,DAPHNIA LONGIREMIS,0.84,,
SP,6/21/83,51108,DAPHNIA DENTIFERA,0.38,,
SP,6/21/83,51202,DIAPHANOSOMA BIRGEI,0.04,,
SP,6/21/83,51801,HOLOPEDIUM GIBBERUM,0.3,,
SP,6/21/83,60200,ASCOMORPHA,1.91,,
SP,6/21/83,60300,ASPLANCHNA,0.84,,
SP,6/21/83,60902,CONOCHILUS UNICORNIS,153.7,,
SP,6/21/83,61400,FILINIA,0.34,,
SP,6/21/83,61702,KELLICOTTIA LONGISPINA,242.06,,
SP,6/21/83,61801,KERATELLA COCHLEARIS,63.04,,
SP,6/21/83,61805,KERATELLA HIEMALIS,0.18,,
SP,6/21/83,61806,KERATELLA QUADRATA,15.32,,
SP,6/21/83,61900,LECANE,1.25,,
SP,6/21/83,62900,PLOESOMA,0.98,,
SP,6/21/83,63001,POLYARTHRA DOLICHOPTERA,6.36,,
SP,6/21/83,63005,POLYARTHRA VULGARIS,23.34,,
SP,6/21/83,63400,SYNCHAETA,0.92,,
SP,6/21/83,63600,TRICHOCERCA,0.1,,
SP,6/21/83,69928,UNKNOWN,6.15,,
SP,7/8/83,10000,COPEPOD NAUPLII,28.64,,
